Date,UNITED KINGDOM GROWTH Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,156.693
1975-02-28,194.389
1975-03-31,184.376
1975-04-30,209.376
1975-05-30,215.123
1975-06-30,178.158
1975-07-31,171.715
1975-08-29,192.818
1975-09-30,189.608
1975-10-31,198.896
1975-11-28,195.497
1975-12-31,204.943
1976-01-30,224.984
1976-02-27,218.812
1976-03-31,206.763
1976-04-30,203.872
1976-05-31,179.892
1976-06-30,182.288
1976-07-30,177.556
1976-08-31,167.978
1976-09-30,147.237
1976-10-29,127.418
1976-11-30,141.354
1976-12-31,175.173
1977-01-31,190.715
1977-02-28,195.684
1977-03-31,195.097
1977-04-29,208.115
1977-05-31,211.794
1977-06-30,221.656
1977-07-29,218.809
1977-08-31,246.862
1977-09-30,266.557
1977-10-31,271.23
1977-11-30,254.995
1977-12-30,272.33
1978-01-31,263.572
1978-02-28,247.197
1978-03-31,253.95
1978-04-28,250.435
1978-05-31,261.267
1978-06-30,261.349
1978-07-31,291.974
1978-08-31,301.577
1978-09-29,306.084
1978-10-31,309.673
1978-11-30,293.691
1978-12-29,303.917
1979-01-31,298.376
1979-02-28,321.41
1979-03-30,381.402
1979-04-30,397.947
1979-05-31,365.243
1979-06-29,371.242
1979-07-31,381.135
1979-08-31,386.841
1979-09-28,396.819
1979-10-31,363.634
1979-11-30,378.554
1979-12-31,369.895
1980-01-31,410.354
1980-02-29,441.78
1980-03-31,375.365
1980-04-30,399.481
1980-05-30,412.889
1980-06-30,470.23
1980-07-31,486.258
1980-08-29,502.085
1980-09-30,527.655
1980-10-31,595.23
1980-11-28,594.617
1980-12-31,557.153
1981-01-30,551.241
1981-02-27,529.682
1981-03-31,537.883
1981-04-30,539.044
1981-05-29,503.163
1981-06-30,475.164
1981-07-31,462.989
1981-08-31,490.731
1981-09-30,397.36
1981-10-30,408.628
1981-11-30,487.335
1981-12-31,473.509
1982-01-29,504.666
1982-02-26,468.507
1982-03-31,476.31
1982-04-30,488.739
1982-05-31,507.505
1982-06-30,482.529
1982-07-30,514.454
1982-08-31,523.315
1982-09-30,573.184
1982-10-29,565.348
1982-11-30,563.101
1982-12-31,568.362
1983-01-31,546.1
1983-02-28,556.462
1983-03-31,552.271
1983-04-29,624.161
1983-05-31,640.62
1983-06-30,626.987
1983-07-29,614.654
1983-08-31,596.46
1983-09-30,591.529
1983-10-31,588.794
1983-11-30,611.87
1983-12-30,605.691
1984-01-31,607.346
1984-02-29,632.667
1984-03-30,661.125
1984-04-30,652.03
1984-05-31,577.171
1984-06-29,587.69
1984-07-31,555.546
1984-08-31,613.695
1984-09-28,598.13
1984-10-31,597.001
1984-11-30,609.447
1984-12-31,651.144
1985-01-31,658.236
1985-02-28,620.508
1985-03-29,728.528
1985-04-30,750.265
1985-05-31,787.53
1985-06-28,746.159
1985-07-31,851.999
1985-08-30,897.248
1985-09-30,865.583
1985-10-31,951.863
1985-11-29,1029.239
1985-12-31,970.095
1986-01-31,958.906
1986-02-28,1081.038
1986-03-31,1158.339
1986-04-30,1223.185
1986-05-30,1123.53
1986-06-30,1198.981
1986-07-31,1082.105
1986-08-29,1148.242
1986-09-30,1018.19
1986-10-31,1030.361
1986-11-28,1066.575
1986-12-31,1119.97
1987-01-30,1239.98
1987-02-27,1424.004
1987-03-31,1459.52
1987-04-30,1543.06
1987-05-29,1620.17
1987-06-30,1663.786
1987-07-31,1698.11
1987-08-31,1665.849
1987-09-30,1758.445
1987-10-30,1377.434
1987-11-30,1302.129
1987-12-31,1451.601
1988-01-29,1439.203
1988-02-29,1424.975
1988-03-31,1471.187
1988-04-29,1508.885
1988-05-31,1456.871
1988-06-30,1432.443
1988-07-29,1430.418
1988-08-31,1330.145
1988-09-30,1397.332
1988-10-31,1498.509
1988-11-30,1507.66
1988-12-30,1483.016
1989-01-31,1647.63
1989-02-28,1620.319
1989-03-31,1632.172
1989-04-28,1665.327
1989-05-31,1556.108
1989-06-30,1571.164
1989-07-31,1781.467
1989-08-31,1760.631
1989-09-29,1725.475
1989-10-31,1571.066
1989-11-30,1645.52
1989-12-29,1773.613
1990-01-31,1784.354
1990-02-28,1727.924
1990-03-30,1673.693
1990-04-30,1569.321
1990-05-31,1816.671
1990-06-29,1941.202
1990-07-31,2010.169
1990-08-31,1898.471
1990-09-28,1745.505
1990-10-31,1887.471
1990-11-30,1985.605
1990-12-31,1975.498
1991-01-31,2077.951
1991-02-28,2231.329
1991-03-29,2146.047
1991-04-30,2107.389
1991-05-31,2122.66
1991-06-28,1970.745
1991-07-31,2194.237
1991-08-30,2247.666
1991-09-30,2349.87
1991-10-31,2342.137
1991-11-29,2281.724
1991-12-31,2522.419
1992-01-31,2501.846
1992-02-28,2476.409
1992-03-31,2350.937
1992-04-30,2572.429
1992-05-29,2734.247
1992-06-30,2662.37
1992-07-31,2603.066
1992-08-31,2602.755
1992-09-30,2553.502
1992-10-30,2341.412
1992-11-30,2366.371
1992-12-31,2436.266
1993-01-29,2331.405
1993-02-26,2224.688
1993-03-31,2340.445
1993-04-30,2391.956
1993-05-31,2391.86
1993-06-30,2342.175
1993-07-30,2322.878
1993-08-31,2512.717
1993-09-30,2457.72
1993-10-29,2549.927
1993-11-30,2573.067
1993-12-31,2727.415
1994-01-31,2812.869
1994-02-28,2677.133
1994-03-31,2473.843
1994-04-29,2584.832
1994-05-31,2439.558
1994-06-30,2419.426
1994-07-29,2553.668
1994-08-31,2702.448
1994-09-30,2553.783
1994-10-31,2681.302
1994-11-30,2577.784
1994-12-30,2586.729
1995-01-31,2551.811
1995-02-28,2571.462
1995-03-31,2764.636
1995-04-28,2798.756
1995-05-31,2851.819
1995-06-30,2898.462
1995-07-31,3030.851
1995-08-31,2963.472
1995-09-29,3089.573
1995-10-31,3129.545
1995-11-30,3127.969
1995-12-29,3199.919
1996-01-31,3205.747
1996-02-29,3212.744
1996-03-29,3183.024
1996-04-30,3257.613
1996-05-31,3304.171
1996-06-28,3303.825
1996-07-31,3311.975
1996-08-30,3475.624
1996-09-30,3599.281
1996-10-31,3754.257
1996-11-29,3935.008
1996-12-31,4038.045
1997-01-31,3901.416
1997-02-28,4014.246
1997-03-31,4092.112
1997-04-30,4155.767
1997-05-30,4280.214
1997-06-30,4371.006
1997-07-31,4566.948
1997-08-29,4523.333
1997-09-30,4984.084
1997-10-31,4654.193
1997-11-28,4658.228
1997-12-31,4885.874
1998-01-30,5109.852
1998-02-27,5523.322
1998-03-31,5733.144
1998-04-30,5823.205
1998-05-29,5646.302
1998-06-30,5755.779
1998-07-31,5566.051
1998-08-31,5276.181
1998-09-30,5082.666
1998-10-30,5444.862
1998-11-30,5704.051
1998-12-31,6096.871
1999-01-29,6201.659
1999-02-26,6225.464
1999-03-31,6286.351
1999-04-30,6189.565
1999-05-31,5882.063
1999-06-30,5924.534
1999-07-30,5871.268
1999-08-31,5847.951
1999-09-30,5676.903
1999-10-29,6063.481
1999-11-30,6272.559
1999-12-31,6674.594
2000-01-31,6129.522
2000-02-29,6036.796
2000-03-31,6451.212
2000-04-28,6409.914
2000-05-31,5874.525
2000-06-30,6008.173
2000-07-31,5988.296
2000-08-31,6136.852
2000-09-29,5958.257
2000-10-31,5781.642
2000-11-30,5524.4
2000-12-29,5828.881
2001-01-31,5666.184
2001-02-28,5455.499
2001-03-30,5067.765
2001-04-30,5350.354
2001-05-31,5240.898
2001-06-29,5131.096
2001-07-31,5109.862
2001-08-31,4980.972
2001-09-28,4598.655
2001-10-31,4713.487
2001-11-30,4837.072
2001-12-31,4930.301
2002-01-31,4790.96
2002-02-28,4824.655
2002-03-29,4966.944
2002-04-30,5039.476
2002-05-31,4833.776
2002-06-28,4708.117
2002-07-31,4298.94
2002-08-30,4185.481
2002-09-30,3949.583
2002-10-31,4192.587
2002-11-29,4209.342
2002-12-31,4186.762
2003-01-31,3872.125
2003-02-28,3724.53
2003-03-31,3750.616
2003-04-30,4165.309
2003-05-30,4338.456
2003-06-30,4323.231
2003-07-31,4261.969
2003-08-29,4183.348
2003-09-30,4377.011
2003-10-31,4644.802
2003-11-28,4820.014
2003-12-31,5119.781
2004-01-30,5143.782
2004-02-27,5346.547
2004-03-31,5196.059
2004-04-30,5160.857
2004-05-31,5233.151
2004-06-30,5183.173
2004-07-30,5082.861
2004-08-31,5092.004
2004-09-30,5210.337
2004-10-29,5363.577
2004-11-30,5708.868
2004-12-31,5841.559
2005-01-31,5766.572
2005-02-28,6089.768
2005-03-31,5956.858
2005-04-29,5939.511
2005-05-31,5877.398
2005-06-30,5891.902
2005-07-29,6043.498
2005-08-31,6264.925
2005-09-30,6383.683
2005-10-31,6224.926
2005-11-30,6146.859
2005-12-30,6333.365
2006-01-31,6737.0
2006-02-28,6608.561
2006-03-31,6830.382
2006-04-28,7310.705
2006-05-31,7154.186
2006-06-30,7224.602
2006-07-31,7353.297
2006-08-31,7500.172
2006-09-29,7332.98
2006-10-31,7653.979
2006-11-30,7824.858
2006-12-29,8061.607
2007-01-31,8117.051
2007-02-28,8235.166
2007-03-30,8612.903
2007-04-30,8965.029
2007-05-31,9119.66
2007-06-29,9158.364
2007-07-31,8984.506
2007-08-31,8956.122
2007-09-28,9433.208
2007-10-31,9933.642
2007-11-30,9656.793
2007-12-31,9362.073
2008-01-31,8643.502
2008-02-29,8795.935
2008-03-31,8526.838
2008-04-30,9037.205
2008-05-30,9132.915
2008-06-30,8715.106
2008-07-31,8337.782
2008-08-29,7986.554
2008-09-30,6678.985
2008-10-31,5334.566
2008-11-28,4838.327
2008-12-31,4780.401
2009-01-30,4675.771
2009-02-27,4349.567
2009-03-31,4503.288
2009-04-30,4905.463
2009-05-29,5614.109
2009-06-30,5572.511
2009-07-31,6075.673
2009-08-31,6195.835
2009-09-30,6440.943
2009-10-30,6591.767
2009-11-30,6859.203
2009-12-31,7121.061
2010-01-29,6780.522
2010-02-26,6686.385
2010-03-31,7216.453
2010-04-30,7057.652
2010-05-31,6370.609
2010-06-30,6336.318
2010-07-30,7055.646
2010-08-31,6906.812
