Date,UNITED KINGDOM GROWTH Standard (Large+Mid Cap)
2001-01-01,5828.881
2001-01-02,5805.143
2001-01-03,5706.314
2001-01-04,5679.713
2001-01-05,5660.228
2001-01-08,5667.626
2001-01-09,5580.335
2001-01-10,5581.231
2001-01-11,5641.71
2001-01-12,5628.223
2001-01-15,5692.609
2001-01-16,5594.4
2001-01-17,5688.045
2001-01-18,5728.191
2001-01-19,5695.617
2001-01-22,5701.919
2001-01-23,5714.799
2001-01-24,5662.193
2001-01-25,5671.447
2001-01-26,5714.108
2001-01-29,5691.09
2001-01-30,5659.846
2001-01-31,5666.184
2001-02-01,5715.523
2001-02-02,5698.533
2001-02-05,5751.98
2001-02-06,5709.975
2001-02-07,5670.908
2001-02-08,5570.034
2001-02-09,5564.096
2001-02-12,5635.581
2001-02-13,5649.646
2001-02-14,5642.718
2001-02-15,5587.81
2001-02-16,5491.139
2001-02-19,5506.602
2001-02-20,5395.545
2001-02-21,5466.16
2001-02-22,5484.679
2001-02-23,5435.846
2001-02-26,5402.254
2001-02-27,5446.101
2001-02-28,5455.499
2001-03-01,5491.538
2001-03-02,5524.212
2001-03-05,5529.565
2001-03-06,5535.157
2001-03-07,5500.597
2001-03-08,5523.542
2001-03-09,5478.464
2001-03-12,5355.103
2001-03-13,5232.107
2001-03-14,5145.367
2001-03-15,5234.008
2001-03-16,5004.451
2001-03-19,4972.797
2001-03-20,5064.455
2001-03-21,4985.34
2001-03-22,4707.707
2001-03-23,4875.212
2001-03-26,5030.428
2001-03-27,5170.922
2001-03-28,5058.516
2001-03-29,5038.915
2001-03-30,5067.765
2001-04-02,5041.191
2001-04-03,4915.667
2001-04-04,4974.768
2001-04-05,5038.234
2001-04-06,5024.744
2001-04-09,5080.597
2001-04-10,5159.733
2001-04-11,5108.112
2001-04-12,5117.472
2001-04-13,5117.472
2001-04-16,5095.977
2001-04-17,5122.138
2001-04-18,5225.266
2001-04-19,5200.342
2001-04-20,5232.08
2001-04-23,5217.814
2001-04-24,5174.814
2001-04-25,5190.646
2001-04-26,5244.619
2001-04-27,5335.152
2001-04-30,5350.354
2001-05-01,5320.583
2001-05-02,5337.84
2001-05-03,5243.862
2001-05-04,5329.158
2001-05-07,5339.354
