Date,PORTUGAL SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,391.784
2001-01-02,394.886
2001-01-03,388.834
2001-01-04,397.602
2001-01-05,393.022
2001-01-08,386.285
2001-01-09,386.127
2001-01-10,391.535
2001-01-11,403.407
2001-01-12,414.325
2001-01-15,411.631
2001-01-16,403.963
2001-01-17,409.296
2001-01-18,417.849
2001-01-19,413.708
2001-01-22,410.546
2001-01-23,411.368
2001-01-24,411.459
2001-01-25,409.83
2001-01-26,411.131
2001-01-29,410.14
2001-01-30,414.246
2001-01-31,421.156
2001-02-01,423.846
2001-02-02,418.862
2001-02-05,415.692
2001-02-06,414.56
2001-02-07,412.372
2001-02-08,402.353
2001-02-09,396.03
2001-02-12,396.723
2001-02-13,393.729
2001-02-14,387.292
2001-02-15,386.13
2001-02-16,387.336
2001-02-19,389.879
2001-02-20,382.986
2001-02-21,382.694
2001-02-22,378.629
2001-02-23,376.772
2001-02-26,382.148
2001-02-27,385.929
2001-02-28,383.465
2001-03-01,385.041
2001-03-02,389.21
2001-03-05,398.851
2001-03-06,399.184
2001-03-07,398.966
2001-03-08,399.245
2001-03-09,393.638
2001-03-12,387.081
2001-03-13,382.471
2001-03-14,377.153
2001-03-15,375.412
2001-03-16,366.07
2001-03-19,364.576
2001-03-20,366.198
2001-03-21,357.382
2001-03-22,338.63
2001-03-23,351.425
2001-03-26,353.082
2001-03-27,356.162
2001-03-28,355.265
2001-03-29,360.354
2001-03-30,363.558
2001-04-02,360.717
2001-04-03,356.485
2001-04-04,365.983
2001-04-05,367.091
2001-04-06,367.617
2001-04-09,367.948
2001-04-10,361.645
2001-04-11,349.699
2001-04-12,348.796
2001-04-13,348.796
2001-04-16,345.224
2001-04-17,338.582
2001-04-18,336.935
2001-04-19,346.747
2001-04-20,345.513
2001-04-23,341.898
2001-04-24,343.857
2001-04-25,345.126
2001-04-26,349.474
2001-04-27,341.693
2001-04-30,342.001
2001-05-01,343.814
2001-05-02,344.262
2001-05-03,343.51
2001-05-04,344.631
2001-05-07,343.889
2001-05-08,340.68
2001-05-09,338.222
2001-05-10,336.55
2001-05-11,329.581
2001-05-14,328.238
2001-05-15,328.851
2001-05-16,330.456
2001-05-17,325.734
2001-05-18,322.133
2001-05-21,321.375
2001-05-22,315.551
2001-05-23,313.707
2001-05-24,313.193
2001-05-25,321.469
2001-05-28,326.562
2001-05-29,318.627
2001-05-30,318.545
2001-05-31,310.872
2001-06-01,312.638
2001-06-04,312.437
2001-06-05,311.083
2001-06-06,309.823
2001-06-07,309.11
2001-06-08,304.665
2001-06-11,297.856
2001-06-12,297.048
2001-06-13,302.36
2001-06-14,304.952
2001-06-15,299.001
2001-06-18,291.049
2001-06-19,286.4
2001-06-20,281.124
2001-06-21,283.117
2001-06-22,284.089
2001-06-25,288.309
2001-06-26,282.568
2001-06-27,277.165
2001-06-28,275.766
2001-06-29,275.316
2001-07-02,273.061
2001-07-03,275.42
2001-07-04,273.711
2001-07-05,270.54
2001-07-06,267.095
2001-07-09,267.451
2001-07-10,269.824
2001-07-11,269.876
2001-07-12,269.106
2001-07-13,269.986
2001-07-16,268.961
2001-07-17,264.798
2001-07-18,269.13
2001-07-19,269.712
2001-07-20,268.062
2001-07-23,267.73
2001-07-24,270.443
2001-07-25,268.523
2001-07-26,269.648
2001-07-27,272.136
2001-07-30,271.684
2001-07-31,273.097
2001-08-01,273.014
2001-08-02,266.553
2001-08-03,261.706
2001-08-06,257.358
2001-08-07,254.674
2001-08-08,253.281
2001-08-09,255.373
2001-08-10,259.865
2001-08-13,264.942
2001-08-14,265.953
2001-08-15,270.013
2001-08-16,266.327
2001-08-17,263.834
2001-08-20,261.548
2001-08-21,263.405
2001-08-22,265.41
2001-08-23,261.457
2001-08-24,262.963
2001-08-27,263.505
2001-08-28,260.97
2001-08-29,260.465
2001-08-30,259.477
2001-08-31,257.625
2001-09-03,253.42
2001-09-04,247.13
2001-09-05,247.105
2001-09-06,245.418
2001-09-07,242.477
2001-09-10,236.509
2001-09-11,231.391
2001-09-12,226.345
2001-09-13,227.399
2001-09-14,222.841
2001-09-17,219.173
2001-09-18,222.787
2001-09-19,226.965
2001-09-20,223.139
2001-09-21,221.35
2001-09-24,226.805
2001-09-25,234.664
2001-09-26,235.278
2001-09-27,233.378
2001-09-28,228.676
2001-10-01,231.489
2001-10-02,232.773
2001-10-03,233.348
2001-10-04,234.75
2001-10-05,236.176
2001-10-08,238.333
2001-10-09,240.567
2001-10-10,242.511
2001-10-11,239.919
2001-10-12,240.583
2001-10-15,239.271
2001-10-16,241.641
2001-10-17,242.269
2001-10-18,243.229
2001-10-19,242.793
2001-10-22,248.001
2001-10-23,250.015
2001-10-24,250.497
2001-10-25,247.611
2001-10-26,248.394
2001-10-29,250.187
2001-10-30,249.093
2001-10-31,250.908
2001-11-01,252.51
2001-11-02,251.397
2001-11-05,254.287
2001-11-06,257.495
2001-11-07,263.0
2001-11-08,259.878
2001-11-09,257.455
2001-11-12,257.593
2001-11-13,257.961
2001-11-14,259.822
2001-11-15,256.677
2001-11-16,255.727
2001-11-19,257.461
2001-11-20,257.579
2001-11-21,252.345
2001-11-22,252.866
2001-11-23,253.226
2001-11-26,258.113
2001-11-27,259.928
2001-11-28,256.101
2001-11-29,253.735
2001-11-30,254.834
2001-12-03,250.495
2001-12-04,250.875
2001-12-05,255.586
2001-12-06,256.632
2001-12-07,257.627
2001-12-10,255.759
2001-12-11,259.11
2001-12-12,260.055
2001-12-13,259.755
2001-12-14,264.046
2001-12-17,263.161
2001-12-18,262.75
2001-12-19,259.6
2001-12-20,256.822
2001-12-21,257.012
2001-12-24,254.448
2001-12-25,254.448
2001-12-26,254.665
2001-12-27,259.722
2001-12-28,258.455
2001-12-31,260.976
2002-01-01,260.976
2002-01-02,264.352
2002-01-03,268.057
2002-01-04,265.726
2002-01-07,264.762
2002-01-08,264.784
2002-01-09,263.61
2002-01-10,262.036
2002-01-11,258.525
2002-01-14,257.439
2002-01-15,259.369
2002-01-16,260.926
2002-01-17,263.285
2002-01-18,261.806
2002-01-21,261.617
2002-01-22,261.449
2002-01-23,261.89
2002-01-24,260.169
2002-01-25,253.179
2002-01-28,254.879
2002-01-29,252.829
2002-01-30,251.906
2002-01-31,252.294
2002-02-01,254.638
2002-02-04,254.605
2002-02-05,253.664
2002-02-06,254.782
2002-02-07,250.097
2002-02-08,251.849
2002-02-11,252.287
2002-02-12,251.927
2002-02-13,247.77
2002-02-14,244.909
2002-02-15,244.464
2002-02-18,244.34
2002-02-19,242.52
2002-02-20,242.638
2002-02-21,242.552
2002-02-22,241.932
2002-02-25,238.93
2002-02-26,239.262
2002-02-27,240.003
2002-02-28,243.898
2002-03-01,244.185
2002-03-04,250.622
