Date,PORTUGAL SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,277.411
1994-06-30,265.232
1994-07-29,279.974
1994-08-31,302.006
1994-09-30,295.809
1994-10-31,303.623
1994-11-30,297.629
1994-12-30,294.225
1995-01-31,284.094
1995-02-28,292.318
1995-03-31,314.251
1995-04-28,312.44
1995-05-31,307.402
1995-06-30,309.075
1995-07-31,304.235
1995-08-31,280.955
1995-09-29,283.487
1995-10-31,297.174
1995-11-30,280.117
1995-12-29,286.893
1996-01-31,294.289
1996-02-29,293.073
1996-03-29,306.861
1996-04-30,310.657
1996-05-31,307.682
1996-06-28,332.269
1996-07-31,339.151
1996-08-30,340.004
1996-09-30,337.004
1996-10-31,341.607
1996-11-29,345.401
1996-12-31,356.972
1997-01-31,372.175
1997-02-28,363.967
1997-03-31,364.198
1997-04-30,364.347
1997-05-30,373.365
1997-06-30,399.772
1997-07-31,405.432
1997-08-29,383.793
1997-09-30,426.494
1997-10-31,419.575
1997-11-28,419.047
1997-12-31,435.97
1998-01-30,488.89
1998-02-27,541.448
1998-03-31,629.414
1998-04-30,726.374
1998-05-29,707.326
1998-06-30,664.706
1998-07-31,682.793
1998-08-31,593.525
1998-09-30,503.63
1998-10-30,608.042
1998-11-30,636.473
1998-12-31,657.613
1999-01-29,653.79
1999-02-26,608.998
1999-03-31,565.985
1999-04-30,525.623
1999-05-31,533.099
1999-06-30,520.795
1999-07-30,525.709
1999-08-31,530.852
1999-09-30,542.91
1999-10-29,560.143
1999-11-30,565.711
1999-12-31,637.674
2000-01-31,661.226
2000-02-29,806.173
2000-03-31,709.038
2000-04-28,617.078
2000-05-31,595.042
2000-06-30,586.904
2000-07-31,541.701
2000-08-31,490.523
2000-09-29,459.503
2000-10-31,391.461
2000-11-30,365.254
2000-12-29,377.997
2001-01-31,406.335
2001-02-28,369.97
2001-03-30,350.764
2001-04-30,330.309
2001-05-31,300.873
2001-06-29,266.461
2001-07-31,264.313
2001-08-31,249.339
2001-09-28,221.321
2001-10-31,242.838
2001-11-30,246.638
2001-12-31,252.582
2002-01-31,244.179
2002-02-28,236.054
2002-03-29,248.6
2002-04-30,256.513
2002-05-31,258.843
2002-06-28,259.347
2002-07-31,233.082
2002-08-30,241.559
2002-09-30,192.312
2002-10-31,226.621
2002-11-29,252.0
2002-12-31,257.53
2003-01-31,265.314
2003-02-28,254.909
2003-03-31,263.864
2003-04-30,281.267
2003-05-30,300.295
2003-06-30,287.767
2003-07-31,268.73
2003-08-29,284.686
2003-09-30,307.715
2003-10-31,329.775
2003-11-28,369.547
2003-12-31,399.908
2004-01-30,431.044
2004-02-27,462.447
2004-03-31,439.331
2004-04-30,442.456
2004-05-31,433.65
2004-06-30,437.638
2004-07-30,414.387
2004-08-31,414.801
2004-09-30,432.402
2004-10-29,459.201
2004-11-30,488.988
2004-12-31,508.23
2005-01-31,528.713
2005-02-28,534.309
2005-03-31,518.292
2005-04-29,516.956
2005-05-31,499.003
2005-06-30,494.488
2005-07-29,493.088
2005-08-31,516.342
2005-09-30,534.529
2005-10-31,502.145
2005-11-30,508.088
2005-12-30,535.775
2006-01-31,555.766
2006-02-28,580.917
2006-03-31,620.87
2006-04-28,653.355
2006-05-31,633.783
2006-06-30,655.14
2006-07-31,655.448
2006-08-31,674.627
2006-09-29,706.165
2006-10-31,730.34
2006-11-30,766.589
2006-12-29,780.884
2007-01-31,836.264
2007-02-28,860.328
2007-03-30,878.983
2007-04-30,959.638
2007-05-31,1000.0
2007-06-29,1003.646
2007-07-31,1020.167
2007-08-31,956.762
2007-09-28,918.586
2007-10-31,990.383
2007-11-30,1000.021
2007-12-31,963.663
2008-01-31,828.008
2008-02-29,828.224
2008-03-31,839.779
2008-04-30,876.782
2008-05-30,817.195
2008-06-30,681.133
2008-07-31,677.204
2008-08-29,640.73
2008-09-30,580.591
2008-10-31,424.788
2008-11-28,412.505
2008-12-31,450.647
2009-01-30,439.072
2009-02-27,406.419
2009-03-31,457.258
2009-04-30,493.822
2009-05-29,562.256
2009-06-30,553.027
2009-07-31,567.854
2009-08-31,603.028
2009-09-30,676.66
2009-10-30,657.614
2009-11-30,672.335
2009-12-31,669.943
2010-01-29,622.823
2010-02-26,579.725
2010-03-31,602.635
2010-04-30,562.024
2010-05-31,479.993
2010-06-30,494.741
2010-07-30,544.165
2010-08-31,534.192
2010-09-30,594.171
2010-10-29,647.034
2010-11-30,568.966
2010-12-31,647.366
2011-01-31,644.028
2011-02-28,670.526
2011-03-31,703.934
2011-04-29,717.063
2011-05-31,765.237
2011-06-30,766.069
2011-07-29,759.54
2011-08-31,720.35
2011-09-30,621.281
2011-10-31,682.659
2011-11-30,680.244
2011-12-30,652.152
2012-01-31,641.627
2012-02-29,671.502
2012-03-30,704.336
2012-04-30,674.846
2012-05-31,622.875
2012-06-29,551.253
2012-07-31,514.675
2012-08-31,549.221
2012-09-28,552.245
2012-10-31,577.056
2012-11-30,615.695
2012-12-31,647.499
2013-01-31,718.271
2013-02-28,675.132
2013-03-29,662.391
2013-04-30,802.008
2013-05-31,730.009
2013-06-28,722.066
2013-07-31,680.933
2013-08-30,668.035
2013-09-30,708.816
2013-10-31,651.294
2013-11-29,732.943
2013-12-31,733.478
2014-01-31,693.748
2014-02-28,781.565
2014-03-31,778.868
2014-04-30,764.453
2014-05-30,713.833
2014-06-30,610.794
2014-07-31,475.338
2014-08-29,438.389
2014-09-30,400.763
2014-10-31,342.289
2014-11-28,356.048
2014-12-31,300.761
2015-01-30,291.495
2015-02-27,354.02
2015-03-31,383.255
2015-04-30,405.487
2015-05-29,384.501
2015-06-30,361.187
2015-07-31,386.792
2015-08-31,357.928
2015-09-30,330.72
2015-10-30,356.583
2015-11-30,346.659
2015-12-31,340.717
2016-01-29,334.689
2016-02-29,331.043
2016-03-31,370.662
2016-04-29,377.302
2016-05-31,369.947
2016-06-30,365.124
2016-07-29,373.88
2016-08-31,380.467
2016-09-30,380.589
2016-10-31,376.804
2016-11-30,362.062
2016-12-30,374.345
2017-01-31,381.366
2017-02-28,375.451
2017-03-31,406.239
2017-04-28,417.65
2017-05-31,452.97
2017-06-30,446.621
2017-07-31,464.163
2017-08-31,471.759
2017-09-29,496.506
2017-10-31,498.672
2017-11-30,519.484
2017-12-29,513.752
2018-01-31,561.433
2018-02-28,530.948
2018-03-30,504.691
2018-04-30,504.195
2018-05-31,476.915
2018-06-29,472.944
2018-07-31,500.186
2018-08-31,494.052
2018-09-28,491.549
2018-10-31,428.026
2018-11-30,416.061
2018-12-31,402.025
2019-01-31,430.542
2019-02-28,446.022
2019-03-29,437.837
2019-04-30,466.973
2019-05-31,440.785
2019-06-28,458.629
2019-07-31,456.632
2019-08-30,431.127
2019-09-30,449.348
2019-10-31,467.039
2019-11-29,464.639
2019-12-31,478.162
2020-01-31,454.62
2020-02-28,427.234
2020-03-31,389.622
2020-04-30,383.143
2020-05-29,400.351
2020-06-30,412.431
2020-07-31,406.379
2020-08-31,397.787
2020-09-30,390.539
2020-10-30,383.74
2020-11-30,414.128
2020-12-31,417.605
2021-01-29,404.796
2021-02-26,389.871
2021-03-31,416.066
2021-04-30,449.839
2021-05-31,486.26
2021-06-30,464.406
2021-07-30,507.429
2021-08-31,530.67
2021-09-30,503.64
2021-10-29,564.076
2021-11-30,532.477
2021-12-31,562.891
2022-01-31,580.981
2022-02-28,532.567
2022-03-31,586.064
2022-04-29,509.474
2022-05-31,520.677
2022-06-30,536.047
2022-07-29,562.634
2022-08-31,546.611
2022-09-30,460.34
2022-10-31,506.845
2022-11-30,532.942
2022-12-30,527.919
2023-01-31,536.19
2023-02-28,513.925
2023-03-31,572.782
2023-04-28,610.882
2023-05-31,591.101
2023-06-30,662.729
2023-07-31,690.062
2023-08-31,674.209
2023-09-29,643.884
2023-10-31,656.981
2023-11-30,684.924
2023-12-29,698.144
2024-01-31,682.25
2024-02-29,697.005
2024-03-29,648.393
2024-04-30,739.906
2024-05-31,772.691
2024-06-28,737.897
2024-07-31,711.215
2024-08-30,726.264
2024-09-30,697.854
2024-10-31,654.734
2024-11-29,642.479
2024-12-31,643.074
2025-01-31,661.907
2025-02-28,682.01
2025-03-31,690.668
2025-04-30,709.135
2025-05-30,752.571
