Date,DENMARK SMALL CAP Small Cap
2000-12-29,100.0
2001-01-31,118.845
2001-02-28,111.621
2001-03-30,101.041
2001-04-30,108.758
2001-05-31,110.402
2001-06-29,98.506
2001-07-31,98.44
2001-08-31,95.414
2001-09-28,85.926
2001-10-31,87.342
2001-11-30,88.085
2001-12-31,89.255
2002-01-31,93.568
2002-02-28,93.432
2002-03-29,101.769
2002-04-30,106.991
2002-05-31,112.237
2002-06-28,107.882
2002-07-31,97.481
2002-08-30,93.655
2002-09-30,85.07
2002-10-31,86.777
2002-11-29,91.258
2002-12-31,93.946
2003-01-31,88.103
2003-02-28,86.282
2003-03-31,90.684
2003-04-30,102.487
2003-05-30,112.368
2003-06-30,113.923
2003-07-31,113.477
2003-08-29,128.033
2003-09-30,137.222
2003-10-31,148.849
2003-11-28,151.224
2003-12-31,162.449
2004-01-30,174.439
2004-02-27,178.513
2004-03-31,176.296
2004-04-30,176.225
2004-05-31,180.459
2004-06-30,189.305
2004-07-30,187.011
2004-08-31,191.385
2004-09-30,205.531
2004-10-29,214.423
2004-11-30,240.137
2004-12-31,253.778
2005-01-31,255.75
2005-02-28,271.587
2005-03-31,272.909
2005-04-29,275.089
2005-05-31,282.327
2005-06-30,303.861
2005-07-29,321.514
2005-08-31,330.508
2005-09-30,338.861
2005-10-31,325.509
2005-11-30,337.777
2005-12-30,374.968
2006-01-31,410.943
2006-02-28,433.163
2006-03-31,458.746
2006-04-28,514.89
2006-05-31,496.62
2006-06-30,465.786
2006-07-31,461.662
2006-08-31,475.906
2006-09-29,498.565
2006-10-31,520.632
2006-11-30,585.178
2006-12-29,615.631
2007-01-31,611.097
2007-02-28,583.943
2007-03-30,593.796
2007-04-30,649.151
2007-05-31,668.048
2007-06-29,651.328
2007-07-31,646.031
2007-08-31,615.975
2007-09-28,623.563
2007-10-31,655.762
2007-11-30,555.405
2007-12-31,532.621
2008-01-31,446.032
2008-02-29,476.913
2008-03-31,482.629
2008-04-30,488.119
2008-05-30,493.378
2008-06-30,435.164
2008-07-31,420.567
2008-08-29,399.663
2008-09-30,291.611
2008-10-31,204.939
2008-11-28,182.022
2008-12-31,180.225
2009-01-30,184.924
2009-02-27,160.914
2009-03-31,158.916
2009-04-30,195.458
2009-05-29,230.573
2009-06-30,222.611
2009-07-31,254.976
2009-08-31,277.765
2009-09-30,291.48
2009-10-30,286.007
2009-11-30,286.343
2009-12-31,300.177
2010-01-29,301.265
2010-02-26,290.782
2010-03-31,310.056
2010-04-30,324.692
2010-05-31,267.155
2010-06-30,261.286
2010-07-30,291.889
2010-08-31,265.042
2010-09-30,314.165
2010-10-29,326.367
2010-11-30,311.022
2010-12-31,351.656
2011-01-31,368.268
2011-02-28,365.638
2011-03-31,367.585
2011-04-29,393.8
2011-05-31,381.627
2011-06-30,366.662
2011-07-29,353.723
2011-08-31,294.81
2011-09-30,263.428
2011-10-31,292.11
2011-11-30,282.775
2011-12-30,265.851
2012-01-31,305.796
2012-02-29,334.092
2012-03-30,324.68
2012-04-30,328.709
2012-05-31,293.574
2012-06-29,296.03
2012-07-31,300.419
2012-08-31,324.245
2012-09-28,342.228
2012-10-31,344.706
2012-11-30,340.346
2012-12-31,350.006
2013-01-31,382.415
2013-02-28,403.171
2013-03-29,409.434
2013-04-30,427.956
2013-05-31,453.765
2013-06-28,434.32
2013-07-31,484.62
2013-08-30,485.328
2013-09-30,537.94
2013-10-31,569.062
2013-11-29,584.147
2013-12-31,602.714
2014-01-31,608.11
2014-02-28,665.763
2014-03-31,664.601
2014-04-30,685.801
2014-05-30,739.897
2014-06-30,742.89
2014-07-31,709.128
2014-08-29,700.282
2014-09-30,667.115
2014-10-31,678.198
2014-11-28,675.884
2014-12-31,687.672
2015-01-30,674.79
2015-02-27,713.952
2015-03-31,720.88
2015-04-30,758.517
2015-05-29,776.263
2015-06-30,774.302
2015-07-31,805.727
2015-08-31,780.353
2015-09-30,784.641
2015-10-30,787.003
2015-11-30,831.874
2015-12-31,850.26
2016-01-29,804.431
2016-02-29,796.788
2016-03-31,854.093
2016-04-29,836.798
2016-05-31,866.368
2016-06-30,799.191
2016-07-29,844.062
2016-08-31,901.04
2016-09-30,912.984
2016-10-31,886.132
2016-11-30,831.328
2016-12-30,875.562
2017-01-31,930.305
2017-02-28,941.013
2017-03-31,986.939
2017-04-28,1057.893
2017-05-31,1106.57
2017-06-30,1124.76
2017-07-31,1189.193
2017-08-31,1220.477
2017-09-29,1231.093
2017-10-31,1235.056
2017-11-30,1197.609
2017-12-29,1228.276
2018-01-31,1293.71
2018-02-28,1281.681
2018-03-30,1279.67
2018-04-30,1304.478
2018-05-31,1349.084
2018-06-29,1414.883
2018-07-31,1503.24
2018-08-31,1473.544
2018-09-28,1364.606
2018-10-31,1188.683
2018-11-30,1089.198
2018-12-31,1086.957
2019-01-31,1185.692
2019-02-28,1211.259
2019-03-29,1200.676
2019-04-30,1272.205
2019-05-31,1152.579
2019-06-28,1177.078
2019-07-31,1136.056
2019-08-30,1080.196
2019-09-30,1092.327
2019-10-31,1104.861
2019-11-29,1184.176
2019-12-31,1248.034
2020-01-31,1250.93
2020-02-28,1202.369
2020-03-31,1005.101
2020-04-30,1133.678
2020-05-29,1269.159
2020-06-30,1270.724
2020-07-31,1387.32
2020-08-31,1497.488
2020-09-30,1465.133
2020-10-30,1397.483
2020-11-30,1600.044
2020-12-31,1727.415
2021-01-29,1630.275
2021-02-26,1703.381
2021-03-31,1769.612
2021-04-30,1898.271
2021-05-31,1989.101
2021-06-30,1974.127
2021-07-30,2039.707
2021-08-31,2045.984
2021-09-30,1912.057
2021-10-29,1975.624
2021-11-30,1840.416
2021-12-31,1911.729
2022-01-31,1752.031
2022-02-28,1673.583
2022-03-31,1681.929
2022-04-29,1609.884
2022-05-31,1655.705
2022-06-30,1475.451
2022-07-29,1605.108
2022-08-31,1501.659
2022-09-30,1314.495
2022-10-31,1421.829
2022-11-30,1578.577
2022-12-30,1639.576
2023-01-31,1707.594
2023-02-28,1746.774
2023-03-31,1739.02
2023-04-28,1824.902
2023-05-31,1757.064
2023-06-30,1829.042
2023-07-31,1803.718
2023-08-31,1730.227
2023-09-29,1669.146
2023-10-31,1556.873
2023-11-30,1721.661
2023-12-29,1831.013
2024-01-31,1902.679
2024-02-29,2016.652
2024-03-29,2041.64
2024-04-30,2026.937
2024-05-31,2200.955
2024-06-28,2202.32
2024-07-31,2267.551
2024-08-30,2298.142
2024-09-30,2287.499
2024-10-31,2143.611
2024-11-29,2064.993
2024-12-31,2030.363
2025-01-31,2086.24
2025-02-28,2118.981
2025-03-31,2094.641
2025-04-30,2240.678
2025-05-30,2364.645
2025-06-30,2427.607
2025-07-31,2436.984
2025-08-29,2591.707
2025-09-30,2663.885
