Date,DENMARK SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,102.778
2001-01-03,102.276
2001-01-04,104.405
2001-01-05,107.542
2001-01-08,110.801
2001-01-09,108.305
2001-01-10,109.495
2001-01-11,112.061
2001-01-12,113.63
2001-01-15,114.261
2001-01-16,114.506
2001-01-17,114.968
2001-01-18,116.28
2001-01-19,116.607
2001-01-22,117.455
2001-01-23,119.922
2001-01-24,118.311
2001-01-25,119.206
2001-01-26,119.057
2001-01-29,117.204
2001-01-30,117.495
2001-01-31,118.845
2001-02-01,120.71
2001-02-02,122.907
2001-02-05,120.957
2001-02-06,120.481
2001-02-07,119.084
2001-02-08,118.614
2001-02-09,118.746
2001-02-12,117.156
2001-02-13,115.681
2001-02-14,114.667
2001-02-15,114.159
2001-02-16,116.153
2001-02-19,115.495
2001-02-20,115.822
2001-02-21,116.088
2001-02-22,113.26
2001-02-23,111.915
2001-02-26,111.116
2001-02-27,112.465
2001-02-28,111.621
2001-03-01,111.286
2001-03-02,111.607
2001-03-05,110.427
2001-03-06,114.153
2001-03-07,115.755
2001-03-08,116.219
2001-03-09,115.828
2001-03-12,114.013
2001-03-13,109.267
2001-03-14,107.696
2001-03-15,106.65
2001-03-16,106.434
2001-03-19,103.674
2001-03-20,104.863
2001-03-21,103.237
2001-03-22,99.435
2001-03-23,101.977
2001-03-26,102.8
2001-03-27,103.458
2001-03-28,101.938
2001-03-29,100.515
2001-03-30,101.107
2001-04-02,98.91
2001-04-03,99.496
2001-04-04,98.372
2001-04-05,97.439
2001-04-06,97.194
2001-04-09,97.99
2001-04-10,97.131
2001-04-11,98.074
2001-04-12,98.393
2001-04-13,98.393
2001-04-16,98.521
2001-04-17,97.967
2001-04-18,99.415
2001-04-19,104.463
2001-04-20,105.339
2001-04-23,104.517
2001-04-24,103.921
2001-04-25,103.322
2001-04-26,105.293
2001-04-27,105.022
2001-04-30,108.958
2001-05-01,109.382
2001-05-02,111.455
2001-05-03,112.992
2001-05-04,114.489
2001-05-07,114.172
2001-05-08,113.525
2001-05-09,111.972
2001-05-10,112.851
2001-05-11,111.95
2001-05-14,111.415
2001-05-15,112.108
2001-05-16,111.375
2001-05-17,113.152
2001-05-18,111.35
2001-05-21,111.941
2001-05-22,110.742
2001-05-23,111.011
2001-05-24,110.601
2001-05-25,110.059
2001-05-28,110.779
2001-05-29,110.994
2001-05-30,111.155
2001-05-31,110.656
2001-06-01,109.456
2001-06-04,109.607
2001-06-05,109.649
2001-06-06,111.236
2001-06-07,110.538
2001-06-08,109.284
2001-06-11,107.563
2001-06-12,107.825
2001-06-13,108.593
2001-06-14,108.091
2001-06-15,107.069
2001-06-18,106.47
2001-06-19,104.831
2001-06-20,103.853
2001-06-21,103.804
2001-06-22,102.173
2001-06-25,100.949
2001-06-26,99.662
2001-06-27,99.59
2001-06-28,98.938
2001-06-29,98.733
2001-07-02,99.178
2001-07-03,99.821
2001-07-04,99.493
2001-07-05,97.329
2001-07-06,96.925
2001-07-09,97.058
2001-07-10,98.462
2001-07-11,97.067
2001-07-12,97.69
2001-07-13,98.037
2001-07-16,97.681
2001-07-17,96.89
2001-07-18,98.099
2001-07-19,99.163
2001-07-20,98.97
2001-07-23,98.39
2001-07-24,98.161
2001-07-25,98.307
2001-07-26,98.2
2001-07-27,98.029
2001-07-30,98.628
2001-07-31,98.684
2001-08-01,101.073
2001-08-02,101.602
2001-08-03,101.585
2001-08-06,100.691
2001-08-07,100.557
2001-08-08,98.421
2001-08-09,97.659
2001-08-10,98.138
2001-08-13,98.416
2001-08-14,99.194
2001-08-15,99.517
2001-08-16,100.008
2001-08-17,100.616
2001-08-20,100.469
2001-08-21,100.608
2001-08-22,100.107
2001-08-23,99.01
2001-08-24,98.523
2001-08-27,99.162
2001-08-28,97.864
2001-08-29,98.298
2001-08-30,96.726
2001-08-31,95.651
2001-09-03,95.51
2001-09-04,93.239
2001-09-05,92.515
2001-09-06,93.33
2001-09-07,92.549
2001-09-10,91.416
2001-09-11,89.129
2001-09-12,89.718
2001-09-13,89.354
2001-09-14,89.026
2001-09-17,87.072
2001-09-18,86.925
2001-09-19,86.892
2001-09-20,82.886
2001-09-21,79.184
2001-09-24,80.789
2001-09-25,82.123
2001-09-26,84.701
2001-09-27,84.425
2001-09-28,86.343
2001-10-01,85.874
