Date,DENMARK SMALL CAP Small Cap
2000-12-29,100.0
2001-01-31,118.845
2001-02-28,111.621
2001-03-30,101.107
2001-04-30,108.958
2001-05-31,110.656
2001-06-29,98.733
2001-07-31,98.684
2001-08-31,95.651
2001-09-28,86.343
2001-10-31,87.766
2001-11-30,88.512
2001-12-31,89.698
2002-01-31,94.033
2002-02-28,93.896
2002-03-29,102.353
2002-04-30,107.65
2002-05-31,112.983
2002-06-28,108.607
2002-07-31,98.137
2002-08-30,94.285
2002-09-30,85.717
2002-10-31,87.468
2002-11-29,91.984
2002-12-31,94.7
2003-01-31,88.811
2003-02-28,86.975
2003-03-31,91.539
2003-04-30,103.577
2003-05-30,113.569
2003-06-30,115.14
2003-07-31,114.689
2003-08-29,129.401
2003-09-30,138.688
2003-10-31,150.492
2003-11-28,152.893
2003-12-31,164.252
2004-01-30,176.375
2004-02-27,180.495
2004-03-31,178.475
2004-04-30,178.709
2004-05-31,183.027
2004-06-30,192.0
2004-07-30,189.673
2004-08-31,194.11
2004-09-30,208.546
2004-10-29,217.568
2004-11-30,243.66
2004-12-31,257.52
2005-01-31,259.521
2005-02-28,275.591
2005-03-31,277.215
2005-04-29,280.491
2005-05-31,288.085
2005-06-30,310.059
2005-07-29,328.072
2005-08-31,337.249
2005-09-30,345.935
2005-10-31,332.304
2005-11-30,344.829
2005-12-30,382.843
2006-01-31,419.574
2006-02-28,442.261
2006-03-31,468.983
2006-04-28,527.103
2006-05-31,508.477
2006-06-30,476.939
2006-07-31,472.716
2006-08-31,487.301
2006-09-29,510.831
2006-10-31,533.522
2006-11-30,599.667
2006-12-29,630.962
2007-01-31,626.315
2007-02-28,598.485
2007-03-30,609.859
2007-04-30,667.4
2007-05-31,686.828
2007-06-29,669.683
2007-07-31,664.237
2007-08-31,633.352
2007-09-28,641.153
2007-10-31,674.793
2007-11-30,571.523
2007-12-31,548.085
2008-01-31,458.982
2008-02-29,491.057
2008-03-31,497.428
2008-04-30,505.054
2008-05-30,510.592
2008-06-30,450.374
2008-07-31,435.267
2008-08-29,413.633
2008-09-30,301.837
2008-10-31,212.17
2008-11-28,188.444
2008-12-31,186.584
2009-01-30,191.449
2009-02-27,166.591
2009-03-31,164.623
2009-04-30,203.368
2009-05-29,239.904
2009-06-30,231.638
2009-07-31,265.314
2009-08-31,289.399
2009-09-30,303.688
2009-10-30,297.985
2009-11-30,298.336
2009-12-31,312.749
2010-01-29,313.883
2010-02-26,302.961
2010-03-31,323.271
2010-04-30,338.957
2010-05-31,278.892
2010-06-30,272.781
2010-07-30,304.731
2010-08-31,277.205
2010-09-30,328.608
2010-10-29,341.371
2010-11-30,325.321
2010-12-31,367.85
2011-01-31,385.227
2011-02-28,382.476
2011-03-31,384.747
2011-04-29,412.587
2011-05-31,400.154
2011-06-30,384.462
2011-07-29,370.923
2011-08-31,309.145
2011-09-30,276.264
2011-10-31,306.343
2011-11-30,296.811
2011-12-30,279.047
2012-01-31,320.974
2012-02-29,350.676
2012-03-30,341.31
2012-04-30,346.099
2012-05-31,309.211
2012-06-29,311.798
2012-07-31,316.421
2012-08-31,341.516
2012-09-28,360.465
2012-10-31,363.075
2012-11-30,358.67
2012-12-31,368.85
2013-01-31,403.004
2013-02-28,424.878
2013-03-29,432.077
2013-04-30,452.348
2013-05-31,479.628
2013-06-28,459.075
2013-07-31,512.242
2013-08-30,512.99
2013-09-30,568.613
2013-10-31,601.509
2013-11-29,617.887
2013-12-31,637.528
2014-01-31,643.235
2014-02-28,704.218
2014-03-31,703.801
2014-04-30,726.628
2014-05-30,783.944
2014-06-30,787.115
2014-07-31,751.523
2014-08-29,742.148
2014-09-30,707.021
2014-10-31,718.767
2014-11-28,716.687
2014-12-31,729.252
2015-01-30,715.59
2015-02-27,757.147
2015-03-31,765.823
2015-04-30,806.55
2015-05-29,825.42
2015-06-30,823.531
2015-07-31,857.555
2015-08-31,830.549
2015-09-30,835.157
2015-10-30,837.699
2015-11-30,885.859
2015-12-31,905.464
2016-01-29,856.66
2016-02-29,848.691
2016-03-31,911.619
2016-04-29,895.064
2016-05-31,926.98
2016-06-30,855.425
2016-07-29,903.453
2016-08-31,964.595
2016-09-30,977.431
2016-10-31,948.683
2016-11-30,890.01
2016-12-30,937.42
2017-01-31,996.031
2017-02-28,1007.591
2017-03-31,1059.284
2017-04-28,1137.606
2017-05-31,1189.951
2017-06-30,1210.28
2017-07-31,1279.613
2017-08-31,1313.614
2017-09-29,1325.091
2017-10-31,1329.357
2017-11-30,1289.324
2017-12-29,1322.413
2018-01-31,1392.862
2018-02-28,1380.015
2018-03-30,1380.465
2018-04-30,1411.362
2018-05-31,1459.898
2018-06-29,1531.435
2018-07-31,1627.691
2018-08-31,1595.571
2018-09-28,1478.653
2018-10-31,1288.028
2018-11-30,1180.229
2018-12-31,1177.883
2019-01-31,1284.878
2019-02-28,1312.715
2019-03-29,1303.405
2019-04-30,1384.429
2019-05-31,1254.25
2019-06-28,1281.048
2019-07-31,1236.403
2019-08-30,1175.639
2019-09-30,1188.842
2019-10-31,1202.484
2019-11-29,1288.807
2019-12-31,1358.386
2020-01-31,1361.67
2020-02-28,1308.809
2020-03-31,1095.593
2020-04-30,1236.853
2020-05-29,1384.664
2020-06-30,1386.478
2020-07-31,1513.696
2020-08-31,1634.953
2020-09-30,1599.628
2020-10-30,1525.796
2020-11-30,1746.956
2020-12-31,1886.022
2021-01-29,1781.027
2021-02-26,1860.895
2021-03-31,1936.848
2021-04-30,2081.036
2021-05-31,2180.611
2021-06-30,2164.324
2021-07-30,2236.223
2021-08-31,2243.104
2021-09-30,2096.274
2021-10-29,2166.618
2021-11-30,2018.339
2021-12-31,2096.546
2022-01-31,1921.409
2022-02-28,1835.585
2022-03-31,1851.119
2022-04-29,1774.242
2022-05-31,1825.139
2022-06-30,1626.835
2022-07-29,1769.795
2022-08-31,1656.804
2022-09-30,1450.303
2022-10-31,1568.726
2022-11-30,1742.638
2022-12-30,1809.977
2023-01-31,1885.264
2023-02-28,1928.521
2023-03-31,1924.692
2023-04-28,2024.596
2023-05-31,1949.807
2023-06-30,2029.778
2023-07-31,2001.675
2023-08-31,1920.449
2023-09-29,1852.653
2023-10-31,1728.17
2023-11-30,1911.419
2023-12-29,2033.437
2024-01-31,2113.29
2024-02-29,2240.3
2024-03-29,2273.472
2024-04-30,2260.576
2024-05-31,2454.653
2024-06-28,2456.283
2024-07-31,2529.036
2024-08-30,2563.225
2024-09-30,2551.354
2024-10-31,2392.274
2024-11-29,2304.609
2024-12-31,2266.085
2025-01-31,2328.783
2025-02-28,2365.33
2025-03-31,2343.625
2025-04-30,2512.689
2025-05-30,2651.789
