Date,DENMARK SMALL CAP Small Cap
2001-01-01,100.0
2001-01-02,102.778
2001-01-03,102.276
2001-01-04,104.405
2001-01-05,107.542
2001-01-08,110.801
2001-01-09,108.305
2001-01-10,109.495
2001-01-11,112.061
2001-01-12,113.63
2001-01-15,114.261
2001-01-16,114.506
2001-01-17,114.968
2001-01-18,116.28
2001-01-19,116.607
2001-01-22,117.455
2001-01-23,119.922
2001-01-24,118.311
2001-01-25,119.206
2001-01-26,119.057
2001-01-29,117.204
2001-01-30,117.495
2001-01-31,118.845
2001-02-01,120.71
2001-02-02,122.907
2001-02-05,120.957
2001-02-06,120.481
2001-02-07,119.084
2001-02-08,118.614
2001-02-09,118.746
2001-02-12,117.156
2001-02-13,115.681
2001-02-14,114.667
2001-02-15,114.159
2001-02-16,116.153
2001-02-19,115.495
2001-02-20,115.822
2001-02-21,116.088
2001-02-22,113.26
2001-02-23,111.915
2001-02-26,111.116
2001-02-27,112.465
2001-02-28,111.621
2001-03-01,111.286
2001-03-02,111.607
2001-03-05,110.427
2001-03-06,114.153
2001-03-07,115.755
2001-03-08,116.219
2001-03-09,115.752
2001-03-12,113.938
2001-03-13,109.195
2001-03-14,107.625
2001-03-15,106.581
2001-03-16,106.364
2001-03-19,103.606
2001-03-20,104.795
2001-03-21,103.169
2001-03-22,99.37
2001-03-23,101.91
2001-03-26,102.733
2001-03-27,103.391
2001-03-28,101.871
2001-03-29,100.449
2001-03-30,101.041
2001-04-02,98.846
2001-04-03,99.431
2001-04-04,98.307
2001-04-05,97.375
2001-04-06,97.131
2001-04-09,97.926
2001-04-10,97.067
2001-04-11,98.01
2001-04-12,98.328
2001-04-13,98.328
2001-04-16,98.457
2001-04-17,97.903
2001-04-18,99.35
2001-04-19,104.271
2001-04-20,105.146
2001-04-23,104.325
2001-04-24,103.73
2001-04-25,103.132
2001-04-26,105.1
2001-04-27,104.829
2001-04-30,108.758
2001-05-01,109.181
2001-05-02,111.25
2001-05-03,112.784
2001-05-04,114.278
2001-05-07,113.962
2001-05-08,113.316
2001-05-09,111.766
2001-05-10,112.644
2001-05-11,111.745
2001-05-14,111.21
2001-05-15,111.902
2001-05-16,111.17
2001-05-17,112.944
2001-05-18,111.146
2001-05-21,111.726
2001-05-22,110.529
2001-05-23,110.797
2001-05-24,110.388
2001-05-25,109.847
2001-05-28,110.566
2001-05-29,110.78
2001-05-30,110.899
2001-05-31,110.402
2001-06-01,109.204
2001-06-04,109.355
2001-06-05,109.397
2001-06-06,110.98
2001-06-07,110.284
2001-06-08,109.033
2001-06-11,107.315
2001-06-12,107.577
2001-06-13,108.344
2001-06-14,107.843
2001-06-15,106.823
2001-06-18,106.225
2001-06-19,104.589
2001-06-20,103.614
2001-06-21,103.565
2001-06-22,101.938
2001-06-25,100.717
2001-06-26,99.432
2001-06-27,99.361
2001-06-28,98.711
2001-06-29,98.506
2001-07-02,98.949
2001-07-03,99.591
2001-07-04,99.265
2001-07-05,97.105
2001-07-06,96.702
2001-07-09,96.835
2001-07-10,98.235
2001-07-11,96.827
2001-07-12,97.448
2001-07-13,97.794
2001-07-16,97.439
2001-07-17,96.651
2001-07-18,97.856
2001-07-19,98.917
2001-07-20,98.726
2001-07-23,98.146
2001-07-24,97.918
2001-07-25,98.063
2001-07-26,97.957
2001-07-27,97.786
2001-07-30,98.384
2001-07-31,98.44
2001-08-01,100.823
2001-08-02,101.351
2001-08-03,101.333
2001-08-06,100.442
2001-08-07,100.308
2001-08-08,98.177
2001-08-09,97.418
2001-08-10,97.895
2001-08-13,98.172
2001-08-14,98.948
2001-08-15,99.27
2001-08-16,99.76
2001-08-17,100.367
2001-08-20,100.221
2001-08-21,100.359
2001-08-22,99.859
2001-08-23,98.765
2001-08-24,98.279
2001-08-27,98.916
2001-08-28,97.622
2001-08-29,98.055
2001-08-30,96.486
2001-08-31,95.414
2001-09-03,95.274
2001-09-04,93.008
2001-09-05,92.286
2001-09-06,93.099
2001-09-07,92.32
2001-09-10,91.153
2001-09-11,88.835
2001-09-12,89.422
2001-09-13,89.059
2001-09-14,88.732
2001-09-17,86.784
2001-09-18,86.638
2001-09-19,86.593
2001-09-20,82.601
2001-09-21,78.911
2001-09-24,80.511
2001-09-25,81.726
2001-09-26,84.292
2001-09-27,84.018
2001-09-28,85.926
2001-10-01,85.46
