Date,WORLD Standard (Large+Mid Cap)
2001-01-01,2487.613
2001-01-02,2448.197
2001-01-03,2500.507
2001-01-04,2499.878
2001-01-05,2467.819
2001-01-08,2458.663
2001-01-09,2445.318
2001-01-10,2449.707
2001-01-11,2471.715
2001-01-12,2469.263
2001-01-15,2466.535
2001-01-16,2470.08
2001-01-17,2484.502
2001-01-18,2513.682
2001-01-19,2505.33
2001-01-22,2505.827
2001-01-23,2522.897
2001-01-24,2519.216
2001-01-25,2514.061
2001-01-26,2510.01
2001-01-29,2519.313
2001-01-30,2533.967
2001-01-31,2535.516
2001-02-01,2545.727
2001-02-02,2506.524
2001-02-05,2511.842
2001-02-06,2506.911
2001-02-07,2484.892
2001-02-08,2461.964
2001-02-09,2434.866
2001-02-12,2462.04
2001-02-13,2443.455
2001-02-14,2428.684
2001-02-15,2438.63
2001-02-16,2406.166
2001-02-19,2404.608
2001-02-20,2369.657
2001-02-21,2338.33
2001-02-22,2330.33
2001-02-23,2314.034
2001-02-26,2345.311
2001-02-27,2343.264
2001-02-28,2320.954
2001-03-01,2319.588
2001-03-02,2305.372
2001-03-05,2316.379
2001-03-06,2344.108
2001-03-07,2350.446
2001-03-08,2352.309
2001-03-09,2313.238
2001-03-12,2230.396
2001-03-13,2225.98
2001-03-14,2176.343
2001-03-15,2194.597
2001-03-16,2144.324
2001-03-19,2162.639
2001-03-20,2147.818
2001-03-21,2122.216
2001-03-22,2071.4
2001-03-23,2122.504
2001-03-26,2171.765
2001-03-27,2218.17
2001-03-28,2176.44
2001-03-29,2155.682
2001-03-30,2168.117
2001-04-02,2146.214
2001-04-03,2093.263
2001-04-04,2107.554
2001-04-05,2171.277
2001-04-06,2152.069
2001-04-09,2162.125
2001-04-10,2197.572
2001-04-11,2198.174
2001-04-12,2225.394
2001-04-13,2224.35
2001-04-16,2212.459
2001-04-17,2219.968
2001-04-18,2287.312
2001-04-19,2320.801
2001-04-20,2311.661
2001-04-23,2284.175
2001-04-24,2267.541
2001-04-25,2290.881
2001-04-26,2307.728
2001-04-27,2327.357
2001-04-30,2327.938
2001-05-01,2358.674
2001-05-02,2360.546
2001-05-03,2330.877
2001-05-04,2354.644
2001-05-07,2355.532
2001-05-08,2341.387
2001-05-09,2327.12
2001-05-10,2337.289
2001-05-11,2318.98
2001-05-14,2303.468
2001-05-15,2316.829
2001-05-16,2352.379
2001-05-17,2366.374
2001-05-18,2367.396
2001-05-21,2393.414
2001-05-22,2389.085
2001-05-23,2363.053
2001-05-24,2364.52
2001-05-25,2343.039
2001-05-28,2343.49
2001-05-29,2328.33
2001-05-30,2296.34
2001-05-31,2297.603
2001-06-01,2300.911
2001-06-04,2311.288
2001-06-05,2332.14
2001-06-06,2313.051
2001-06-07,2322.028
2001-06-08,2307.41
2001-06-11,2282.223
2001-06-12,2268.138
2001-06-13,2262.739
2001-06-14,2239.335
2001-06-15,2225.799
2001-06-18,2210.786
2001-06-19,2213.488
2001-06-20,2218.75
2001-06-21,2236.74
2001-06-22,2230.551
2001-06-25,2225.856
2001-06-26,2212.906
2001-06-27,2204.481
2001-06-28,2217.281
2001-06-29,2225.293
2001-07-02,2247.199
2001-07-03,2237.551
2001-07-04,2230.03
2001-07-05,2198.966
2001-07-06,2156.136
2001-07-09,2167.126
2001-07-10,2154.277
2001-07-11,2145.951
2001-07-12,2180.681
2001-07-13,2189.554
2001-07-16,2175.982
2001-07-17,2176.62
2001-07-18,2173.0
2001-07-19,2189.849
2001-07-20,2182.627
2001-07-23,2153.9
2001-07-24,2132.688
2001-07-25,2147.936
2001-07-26,2161.504
2001-07-27,2172.637
2001-07-30,2176.014
2001-07-31,2195.549
2001-08-01,2208.126
2001-08-02,2223.218
2001-08-03,2210.731
2001-08-06,2192.73
2001-08-07,2197.67
2001-08-08,2167.429
2001-08-09,2156.708
2001-08-10,2164.224
2001-08-13,2166.087
2001-08-14,2175.5
2001-08-15,2175.743
2001-08-16,2169.079
2001-08-17,2139.698
2001-08-20,2142.352
2001-08-21,2137.737
2001-08-22,2151.899
2001-08-23,2141.342
2001-08-24,2174.097
2001-08-27,2168.835
2001-08-28,2141.131
2001-08-29,2123.534
2001-08-30,2085.422
2001-08-31,2089.841
2001-09-03,2075.938
2001-09-04,2081.204
2001-09-05,2065.54
2001-09-06,2026.128
2001-09-07,1997.0
2001-09-10,1990.174
2001-09-11,1960.293
2001-09-12,1951.377
2001-09-13,1962.305
2001-09-14,1945.543
2001-09-17,1893.673
2001-09-18,1885.555
2001-09-19,1866.355
2001-09-20,1808.408
2001-09-21,1761.403
2001-09-24,1827.39
2001-09-25,1849.732
2001-09-26,1848.979
2001-09-27,1865.281
2001-09-28,1905.414
