Date,WORLD Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,94.528
1970-02-27,97.558
1970-03-31,97.947
1970-04-30,88.877
1970-05-29,83.357
1970-06-30,81.389
1970-07-31,86.525
1970-08-31,89.464
1970-09-30,92.438
1970-10-30,91.164
1970-11-30,93.296
1970-12-31,98.017
1971-01-29,102.615
1971-02-26,103.788
1971-03-31,108.435
1971-04-30,112.068
1971-05-31,109.5
1971-06-30,110.702
1971-07-30,109.019
1971-08-31,111.488
1971-09-30,110.515
1971-10-29,106.433
1971-11-30,107.426
1971-12-31,117.193
1972-01-31,121.582
1972-02-29,126.354
1972-03-31,128.197
1972-04-28,129.991
1972-05-31,132.732
1972-06-30,129.744
1972-07-31,131.847
1972-08-31,135.69
1972-09-29,133.722
1972-10-31,134.917
1972-11-30,142.094
1972-12-29,144.79
1973-01-31,145.225
1973-02-28,146.32
1973-03-30,146.617
1973-04-30,139.331
1973-05-31,139.013
1973-06-29,139.984
1973-07-31,143.42
1973-08-31,137.559
1973-09-28,141.637
1973-10-31,143.167
1973-11-30,124.712
1973-12-31,123.787
1974-01-31,124.841
1974-02-28,126.894
1974-03-29,123.8
1974-04-30,121.85
1974-05-31,117.059
1974-06-28,113.49
1974-07-31,106.887
1974-08-30,96.694
1974-09-30,87.796
1974-10-31,96.318
1974-11-29,94.934
1974-12-31,93.484
1975-01-31,107.239
1975-02-28,116.842
1975-03-31,117.83
1975-04-30,122.839
1975-05-30,125.871
1975-06-30,127.582
1975-07-31,120.651
1975-08-29,118.919
1975-09-30,114.055
1975-10-31,122.042
1975-11-28,125.502
1975-12-31,125.732
1976-01-30,137.094
1976-02-27,136.202
1976-03-31,137.942
1976-04-30,137.064
1976-05-31,134.908
1976-06-30,139.189
1976-07-30,138.023
1976-08-31,137.837
1976-09-30,139.131
1976-10-29,134.396
1976-11-30,134.011
1976-12-31,144.228
1977-01-31,139.528
1977-02-28,139.06
1977-03-31,138.34
1977-04-29,140.004
1977-05-31,138.251
1977-06-30,143.608
1977-07-29,141.838
1977-08-31,142.518
1977-09-30,144.449
1977-10-31,142.147
1977-11-30,144.094
1977-12-30,147.115
1978-01-31,142.95
1978-02-28,142.028
1978-03-31,148.635
1978-04-28,155.498
1978-05-31,157.639
1978-06-30,159.391
1978-07-31,171.076
1978-08-31,175.192
1978-09-29,177.417
1978-10-31,174.171
1978-11-30,168.217
1978-12-29,173.914
1979-01-31,178.579
1979-02-28,175.375
1979-03-30,182.932
1979-04-30,182.886
1979-05-31,179.939
1979-06-29,185.346
1979-07-31,186.962
1979-08-31,194.695
1979-09-28,199.306
1979-10-31,184.702
1979-11-30,190.619
1979-12-31,195.949
1980-01-31,207.989
1980-02-29,208.339
1980-03-31,186.164
1980-04-30,198.609
1980-05-30,208.657
1980-06-30,218.936
1980-07-31,225.928
1980-08-29,230.624
1980-09-30,237.829
1980-10-31,245.044
1980-11-28,255.562
1980-12-31,250.269
1981-01-30,243.284
1981-02-27,244.275
1981-03-31,253.264
1981-04-30,253.653
1981-05-29,248.95
1981-06-30,248.816
1981-07-31,244.857
1981-08-31,240.322
1981-09-30,222.529
1981-10-30,229.625
1981-11-30,246.964
1981-12-31,241.998
1982-01-29,238.722
1982-02-26,224.495
1982-03-31,218.592
1982-04-30,229.574
1982-05-31,223.959
1982-06-30,214.09
1982-07-30,211.565
