Date,WORLD Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,94.455
1970-02-27,97.405
1970-03-31,97.708
1970-04-30,88.578
1970-05-29,82.99
1970-06-30,80.946
1970-07-31,85.965
1970-08-31,88.799
1970-09-30,91.667
1970-10-30,90.314
1970-11-30,92.337
1970-12-31,96.915
1971-01-29,101.369
1971-02-26,102.438
1971-03-31,106.933
1971-04-30,110.429
1971-05-31,107.814
1971-06-30,108.909
1971-07-30,107.168
1971-08-31,109.507
1971-09-30,108.466
1971-10-29,104.351
1971-11-30,105.233
1971-12-31,114.712
1972-01-31,118.911
1972-02-29,123.473
1972-03-31,125.187
1972-04-28,126.848
1972-05-31,129.432
1972-06-30,126.428
1972-07-31,128.381
1972-08-31,132.028
1972-09-29,130.019
1972-10-31,131.094
1972-11-30,137.975
1972-12-29,140.503
1973-01-31,140.826
1973-02-28,141.799
1973-03-30,141.997
1973-04-30,134.842
1973-05-31,134.44
1973-06-29,135.285
1973-07-31,138.51
1973-08-31,132.743
1973-09-28,136.584
1973-10-31,137.962
1973-11-30,120.073
1973-12-31,119.086
1974-01-31,119.999
1974-02-28,121.866
1974-03-29,118.78
1974-04-30,116.801
1974-05-31,112.098
1974-06-28,108.574
1974-07-31,102.144
1974-08-30,92.287
1974-09-30,83.68
1974-10-31,91.689
1974-11-29,90.257
1974-12-31,88.758
1975-01-31,101.701
1975-02-28,110.683
1975-03-31,111.494
1975-04-30,116.112
1975-05-30,118.858
1975-06-30,120.356
1975-07-31,113.706
1975-08-29,111.945
1975-09-30,107.251
1975-10-31,114.639
1975-11-28,117.774
1975-12-31,117.875
1976-01-30,128.408
1976-02-27,127.458
1976-03-31,128.961
1976-04-30,128.021
1976-05-31,125.888
1976-06-30,129.762
1976-07-30,128.548
1976-08-31,128.256
1976-09-30,129.333
1976-10-29,124.808
1976-11-30,124.318
1976-12-31,133.667
1977-01-31,129.18
1977-02-28,128.613
1977-03-31,127.809
1977-04-29,129.206
1977-05-31,127.451
1977-06-30,132.249
1977-07-29,130.476
1977-08-31,130.958
1977-09-30,132.589
1977-10-31,130.324
1977-11-30,131.957
1977-12-30,134.575
1978-01-31,130.616
1978-02-28,129.612
1978-03-31,135.475
1978-04-28,141.556
1978-05-31,143.331
1978-06-30,144.75
1978-07-31,155.181
1978-08-31,158.737
1978-09-29,160.561
1978-10-31,157.432
1978-11-30,151.859
1978-12-29,156.805
1979-01-31,160.811
1979-02-28,157.72
1979-03-30,164.318
1979-04-30,164.067
1979-05-31,161.215
1979-06-29,165.861
1979-07-31,167.094
1979-08-31,173.787
1979-09-28,177.675
1979-10-31,164.44
1979-11-30,169.474
1979-12-31,173.98
1980-01-31,184.435
1980-02-29,184.503
1980-03-31,164.629
1980-04-30,175.383
1980-05-30,183.992
1980-06-30,192.781
1980-07-31,198.672
1980-08-29,202.521
1980-09-30,208.571
1980-10-31,214.614
1980-11-28,223.556
1980-12-31,218.644
1981-01-30,212.25
1981-02-27,212.838
1981-03-31,220.375
1981-04-30,220.452
1981-05-29,216.119
1981-06-30,215.717
1981-07-31,212.043
1981-08-31,207.838
1981-09-30,192.186
1981-10-30,198.044
1981-11-30,212.731
1981-12-31,208.181
1982-01-29,205.087
1982-02-26,192.634
1982-03-31,187.341
1982-04-30,196.502
1982-05-31,191.513
1982-06-30,182.826
1982-07-30,180.439
1982-08-31,193.491
1982-09-30,194.351
1982-10-29,207.664
1982-11-30,218.621
1982-12-31,228.392
1983-01-31,233.223
1983-02-28,238.074
1983-03-31,246.407
1983-04-29,263.953
1983-05-31,261.323
1983-06-30,269.484
1983-07-29,264.634
1983-08-31,266.012
1983-09-30,271.354
1983-10-31,268.119
1983-11-30,275.001
1983-12-30,278.474
1984-01-31,280.739
1984-02-29,276.062
1984-03-30,289.006
1984-04-30,287.909
1984-05-31,266.284
1984-06-29,268.54
1984-07-31,259.05
1984-08-31,284.998
1984-09-28,283.868
1984-10-31,286.847
1984-11-30,285.717
1984-12-31,291.613
1985-01-31,307.636
1985-02-28,308.161
1985-03-29,318.779
1985-04-30,317.824
1985-05-31,334.076
1985-06-28,339.953
1985-07-31,346.882
1985-08-30,349.639
1985-09-30,352.162
1985-10-31,371.024
1985-11-29,391.668
1985-12-31,409.905
1986-01-31,415.868
1986-02-28,453.234
1986-03-31,497.416
1986-04-30,510.97
1986-05-30,509.368
1986-06-30,529.674
1986-07-31,533.795
1986-08-29,580.299
1986-09-30,557.094
1986-10-31,547.38
1986-11-28,570.392
1986-12-31,581.613
1987-01-30,649.78
1987-02-27,671.046
1987-03-31,712.438
1987-04-30,754.049
1987-05-29,754.929
1987-06-30,754.32
1987-07-31,769.218
1987-08-31,814.51
1987-09-30,800.149
1987-10-30,664.106
1987-11-30,647.759
1987-12-31,675.624
1988-01-29,691.913
1988-02-29,731.87
1988-03-31,753.77
1988-04-29,763.076
1988-05-31,747.624
1988-06-30,746.387
1988-07-29,760.221
1988-08-31,718.253
1988-09-30,748.52
1988-10-31,798.132
1988-11-30,825.706
1988-12-30,832.956
1989-01-31,862.88
1989-02-28,857.236
1989-03-31,851.517
1989-04-28,870.942
1989-05-31,849.365
1989-06-30,839.555
1989-07-31,934.194
1989-08-31,911.357
1989-09-29,936.856
1989-10-31,905.377
1989-11-30,941.282
1989-12-29,971.297
1990-01-31,925.695
1990-02-28,885.751
1990-03-30,832.006
1990-04-30,819.754
1990-05-31,905.816
1990-06-29,899.096
1990-07-31,907.018
1990-08-31,821.844
1990-09-28,734.905
1990-10-31,803.227
1990-11-30,789.752
1990-12-31,806.004
1991-01-31,835.195
1991-02-28,912.224
1991-03-29,885.059
1991-04-30,891.704
1991-05-31,911.635
1991-06-28,855.081
1991-07-31,895.189
1991-08-30,892.068
1991-09-30,915.185
1991-10-31,929.747
1991-11-29,888.95
1991-12-31,953.376
1992-01-31,935.445
1992-02-28,919.024
1992-03-31,875.45
1992-04-30,887.368
1992-05-29,922.382
1992-06-30,891.197
1992-07-31,893.181
1992-08-31,914.607
1992-09-30,905.929
1992-10-30,881.1
1992-11-30,896.586
1992-12-31,903.55
1993-01-29,906.301
1993-02-26,927.499
1993-03-31,981.0
1993-04-30,1026.195
1993-05-31,1049.573
1993-06-30,1040.498
1993-07-30,1061.664
1993-08-31,1110.067
1993-09-30,1089.292
1993-10-29,1119.047
1993-11-30,1055.482
1993-12-31,1106.871
1994-01-31,1179.617
1994-02-28,1164.091
1994-03-31,1113.644
1994-04-29,1147.809
1994-05-31,1150.502
1994-06-30,1147.044
1994-07-29,1168.588
1994-08-31,1203.514
1994-09-30,1171.626
1994-10-31,1204.684
1994-11-30,1152.169
1994-12-30,1163.056
1995-01-31,1145.319
1995-02-28,1161.738
1995-03-31,1217.451
1995-04-28,1259.598
1995-05-31,1270.088
1995-06-30,1269.412
1995-07-31,1332.64
1995-08-31,1302.664
1995-09-29,1340.324
1995-10-31,1318.933
1995-11-30,1364.441
1995-12-29,1404.045
1996-01-31,1429.154
1996-02-29,1437.564
1996-03-29,1461.188
1996-04-30,1495.247
1996-05-31,1496.24
1996-06-28,1503.506
1996-07-31,1450.069
1996-08-30,1466.435
1996-09-30,1523.547
1996-10-31,1533.881
1996-11-29,1619.535
1996-12-31,1593.294
1997-01-31,1612.197
1997-02-28,1630.438
1997-03-31,1597.883
1997-04-30,1649.809
1997-05-30,1751.34
1997-06-30,1838.388
1997-07-31,1922.758
1997-08-29,1793.832
1997-09-30,1890.983
1997-10-31,1791.153
1997-11-28,1822.544
1997-12-31,1844.451
1998-01-30,1895.546
1998-02-27,2023.462
1998-03-31,2108.595
1998-04-30,2128.884
1998-05-29,2101.886
1998-06-30,2151.45
1998-07-31,2147.679
1998-08-31,1860.958
1998-09-30,1893.551
1998-10-30,2064.403
1998-11-30,2186.848
1998-12-31,2293.354
1999-01-29,2343.238
1999-02-26,2280.572
1999-03-31,2375.193
1999-04-30,2468.493
1999-05-31,2377.959
1999-06-30,2488.537
1999-07-30,2480.736
1999-08-31,2475.989
1999-09-30,2451.644
1999-10-29,2578.744
1999-11-30,2650.956
1999-12-31,2865.199
2000-01-31,2700.79
2000-02-29,2707.75
2000-03-31,2894.57
2000-04-28,2771.849
2000-05-31,2701.344
2000-06-30,2791.969
2000-07-31,2713.038
2000-08-31,2800.953
2000-09-29,2651.69
2000-10-31,2606.936
2000-11-30,2448.334
2000-12-29,2487.613
2001-01-31,2535.516
2001-02-28,2320.954
2001-03-30,2168.117
2001-04-30,2327.938
2001-05-31,2297.603
2001-06-29,2225.293
2001-07-31,2195.549
2001-08-31,2089.841
2001-09-28,1905.414
2001-10-31,1941.798
2001-11-30,2056.38
2001-12-31,2069.099
2002-01-31,2006.204
2002-02-28,1988.559
2002-03-29,2076.155
2002-04-30,2005.587
2002-05-31,2008.931
2002-06-28,1886.694
2002-07-31,1727.499
2002-08-30,1730.449
2002-09-30,1539.926
2002-10-31,1653.394
2002-11-29,1742.287
2002-12-31,1657.636
2003-01-31,1607.121
2003-02-28,1578.994
2003-03-31,1573.782
2003-04-30,1713.248
2003-05-30,1810.79
2003-06-30,1841.901
2003-07-31,1879.089
2003-08-29,1919.456
2003-09-30,1931.008
2003-10-31,2045.405
2003-11-28,2076.32
2003-12-31,2206.423
