Date,WORLD Standard (Large+Mid Cap)
2001-01-01,3249.513
2001-01-02,3198.046
2001-01-03,3266.453
2001-01-04,3265.641
2001-01-05,3223.762
2001-01-08,3211.873
2001-01-09,3194.459
2001-01-10,3200.227
2001-01-11,3228.999
2001-01-12,3225.795
2001-01-15,3222.233
2001-01-16,3226.909
2001-01-17,3245.785
2001-01-18,3283.916
2001-01-19,3273.005
2001-01-22,3273.659
2001-01-23,3295.96
2001-01-24,3291.154
2001-01-25,3284.421
2001-01-26,3279.135
2001-01-29,3291.323
2001-01-30,3310.51
2001-01-31,3312.626
2001-02-01,3326.021
2001-02-02,3274.803
2001-02-05,3281.766
2001-02-06,3275.334
2001-02-07,3246.685
2001-02-08,3216.737
2001-02-09,3181.352
2001-02-12,3216.867
2001-02-13,3192.635
2001-02-14,3173.449
2001-02-15,3186.486
2001-02-16,3144.079
2001-02-19,3142.065
2001-02-20,3096.406
2001-02-21,3055.502
2001-02-22,3045.063
2001-02-23,3023.839
2001-02-26,3064.736
2001-02-27,3062.103
2001-02-28,3033.04
2001-03-01,3031.266
2001-03-02,3012.688
2001-03-05,3027.186
2001-03-06,3063.432
2001-03-07,3071.81
2001-03-08,3074.256
2001-03-09,3023.215
2001-03-12,2914.951
2001-03-13,2909.285
2001-03-14,2844.423
2001-03-15,2868.285
2001-03-16,2802.587
2001-03-19,2826.554
2001-03-20,2807.196
2001-03-21,2773.759
2001-03-22,2707.417
2001-03-23,2774.235
2001-03-26,2838.665
2001-03-27,2899.672
2001-03-28,2845.217
2001-03-29,2818.114
2001-03-30,2834.397
2001-04-02,2805.769
2001-04-03,2736.546
2001-04-04,2755.321
2001-04-05,2838.644
2001-04-06,2813.719
2001-04-09,2826.879
2001-04-10,2873.296
2001-04-11,2874.227
2001-04-12,2909.915
2001-04-13,2908.55
2001-04-16,2893.002
2001-04-17,2902.906
2001-04-18,2991.003
2001-04-19,3034.861
2001-04-20,3022.921
2001-04-23,2987.071
2001-04-24,2965.328
2001-04-25,2995.915
2001-04-26,3018.012
2001-04-27,3043.797
2001-04-30,3044.611
2001-05-01,3084.827
2001-05-02,3087.407
2001-05-03,3048.697
2001-05-04,3079.846
2001-05-07,3081.051
2001-05-08,3062.586
2001-05-09,3044.024
2001-05-10,3057.422
2001-05-11,3033.591
2001-05-14,3013.409
2001-05-15,3030.896
2001-05-16,3077.506
2001-05-17,3095.865
2001-05-18,3097.341
2001-05-21,3131.571
2001-05-22,3125.931
2001-05-23,3091.971
2001-05-24,3093.906
2001-05-25,3065.823
2001-05-28,3066.429
2001-05-29,3046.716
2001-05-30,3005.064
2001-05-31,3006.796
2001-06-01,3011.182
2001-06-04,3024.788
2001-06-05,3052.106
2001-06-06,3027.216
2001-06-07,3038.988
2001-06-08,3019.966
2001-06-11,2987.05
2001-06-12,2968.624
2001-06-13,2961.686
2001-06-14,2931.104
2001-06-15,2913.388
2001-06-18,2893.932
2001-06-19,2897.476
2001-06-20,2904.389
2001-06-21,2927.973
2001-06-22,2919.872
2001-06-25,2913.654
2001-06-26,2896.716
2001-06-27,2885.757
2001-06-28,2902.527
2001-06-29,2913.016
2001-07-02,2941.731
2001-07-03,2929.188
2001-07-04,2919.348
2001-07-05,2878.776
2001-07-06,2822.817
2001-07-09,2837.215
2001-07-10,2820.431
2001-07-11,2809.556
2001-07-12,2855.054
2001-07-13,2866.674
2001-07-16,2848.906
2001-07-17,2849.742
2001-07-18,2845.041
2001-07-19,2867.111
2001-07-20,2857.655
2001-07-23,2820.052
2001-07-24,2792.28
2001-07-25,2812.245
2001-07-26,2830.013
2001-07-27,2844.624
2001-07-30,2849.067
2001-07-31,2874.656
2001-08-01,2891.178
2001-08-02,2910.995
2001-08-03,2894.711
2001-08-06,2871.142
2001-08-07,2877.627
2001-08-08,2838.099
2001-08-09,2824.165
2001-08-10,2834.013
2001-08-13,2836.527
2001-08-14,2848.874
2001-08-15,2849.386
2001-08-16,2840.671
2001-08-17,2802.255
2001-08-20,2805.73
2001-08-21,2799.692
2001-08-22,2818.274
2001-08-23,2804.454
2001-08-24,2847.361
2001-08-27,2840.534
2001-08-28,2804.261
2001-08-29,2781.291
2001-08-30,2731.436
2001-08-31,2737.233
2001-09-03,2719.05
2001-09-04,2725.952
2001-09-05,2705.519
2001-09-06,2653.913
2001-09-07,2615.763
2001-09-10,2606.834
