Date,ITALY LARGE VALUE Large Cap
2001-01-01,411.265
2001-01-02,409.848
2001-01-03,406.326
2001-01-04,410.349
2001-01-05,415.348
2001-01-08,415.623
2001-01-09,409.381
2001-01-10,410.1
2001-01-11,419.149
2001-01-12,422.508
2001-01-15,420.351
2001-01-16,417.426
2001-01-17,417.572
2001-01-18,426.278
2001-01-19,418.285
2001-01-22,420.78
2001-01-23,421.298
2001-01-24,419.719
2001-01-25,419.654
2001-01-26,422.312
2001-01-29,420.834
2001-01-30,423.27
2001-01-31,426.246
2001-02-01,427.062
2001-02-02,421.615
2001-02-05,422.893
2001-02-06,418.427
2001-02-07,414.451
2001-02-08,409.288
2001-02-09,407.546
2001-02-12,414.815
2001-02-13,409.262
2001-02-14,406.723
2001-02-15,397.701
2001-02-16,398.873
2001-02-19,400.981
2001-02-20,390.724
2001-02-21,389.719
2001-02-22,385.294
2001-02-23,379.858
2001-02-26,385.651
2001-02-27,388.026
2001-02-28,390.288
2001-03-01,391.125
2001-03-02,390.447
2001-03-05,388.278
2001-03-06,392.882
2001-03-07,394.312
2001-03-08,396.393
2001-03-09,392.081
2001-03-12,381.803
2001-03-13,375.09
2001-03-14,367.993
2001-03-15,365.285
2001-03-16,355.554
2001-03-19,357.407
2001-03-20,363.997
2001-03-21,362.044
2001-03-22,341.99
2001-03-23,349.652
2001-03-26,358.628
2001-03-27,369.584
2001-03-28,362.451
2001-03-29,364.93
2001-03-30,367.566
2001-04-02,369.595
2001-04-03,363.689
2001-04-04,377.061
2001-04-05,378.286
2001-04-06,379.795
2001-04-09,385.072
2001-04-10,383.391
2001-04-11,378.116
2001-04-12,382.801
2001-04-13,382.801
2001-04-16,378.881
2001-04-17,379.254
2001-04-18,377.629
2001-04-19,382.202
2001-04-20,386.024
2001-04-23,382.652
2001-04-24,385.91
2001-04-25,390.372
2001-04-26,391.744
2001-04-27,388.722
2001-04-30,388.09
2001-05-01,390.147
2001-05-02,390.74
2001-05-03,383.578
2001-05-04,382.828
2001-05-07,383.724
