Date,ITALY LARGE VALUE Large Cap
1994-05-31,214.091
1994-06-30,202.576
1994-07-29,208.609
1994-08-31,199.313
1994-09-30,200.157
1994-10-31,188.226
1994-11-30,173.986
1994-12-30,176.843
1995-01-31,193.246
1995-02-28,173.425
1995-03-31,161.85
1995-04-28,181.212
1995-05-31,181.427
1995-06-30,172.58
1995-07-31,187.159
1995-08-31,180.525
1995-09-29,176.919
1995-10-31,163.206
1995-11-30,154.355
1995-12-29,170.62
1996-01-31,180.64
1996-02-29,176.421
1996-03-29,168.284
1996-04-30,194.526
1996-05-31,196.512
1996-06-28,194.894
1996-07-31,180.174
1996-08-30,180.732
1996-09-30,188.299
1996-10-31,179.834
1996-11-29,191.046
1996-12-31,192.93
1997-01-31,215.716
1997-02-28,197.471
1997-03-31,200.495
1997-04-30,203.75
1997-05-30,207.424
1997-06-30,222.499
1997-07-31,233.96
1997-08-29,227.191
1997-09-30,261.635
1997-10-31,246.751
1997-11-28,251.358
1997-12-31,278.097
1998-01-30,317.023
1998-02-27,341.244
1998-03-31,421.726
1998-04-30,418.013
1998-05-29,451.808
1998-06-30,425.081
1998-07-31,471.683
1998-08-31,388.338
1998-09-30,354.169
1998-10-30,370.49
1998-11-30,415.695
1998-12-31,445.109
1999-01-29,416.338
1999-02-26,411.53
1999-03-31,443.109
1999-04-30,439.092
1999-05-31,415.904
1999-06-30,407.995
1999-07-30,406.52
1999-08-31,409.783
1999-09-30,437.733
1999-10-29,414.117
1999-11-30,394.852
1999-12-31,399.731
2000-01-31,363.536
2000-02-29,392.181
2000-03-31,392.261
2000-04-28,380.793
2000-05-31,397.283
2000-06-30,430.368
2000-07-31,413.01
2000-08-31,418.07
2000-09-29,389.189
2000-10-31,392.084
2000-11-30,402.049
2000-12-29,411.265
2001-01-31,426.246
2001-02-28,390.288
2001-03-30,367.566
2001-04-30,388.09
2001-05-31,363.936
2001-06-29,351.435
2001-07-31,363.183
2001-08-31,362.736
2001-09-28,317.898
2001-10-31,327.316
2001-11-30,327.599
2001-12-31,334.195
2002-01-31,324.272
2002-02-28,325.928
2002-03-29,349.965
2002-04-30,354.105
2002-05-31,352.316
2002-06-28,358.507
2002-07-31,340.861
2002-08-30,350.129
2002-09-30,301.48
2002-10-31,326.79
2002-11-29,352.555
2002-12-31,351.601
2003-01-31,346.212
2003-02-28,342.104
2003-03-31,319.929
2003-04-30,357.834
2003-05-30,408.264
2003-06-30,405.962
2003-07-31,396.539
2003-08-29,387.631
2003-09-30,399.008
2003-10-31,415.498
2003-11-28,447.76
2003-12-31,479.439
2004-01-30,486.64
2004-02-27,505.068
2004-03-31,508.081
2004-04-30,513.801
2004-05-31,518.024
2004-06-30,531.659
2004-07-30,527.289
2004-08-31,524.839
2004-09-30,558.799
2004-10-29,588.988
2004-11-30,636.989
2004-12-31,677.167
2005-01-31,654.876
2005-02-28,679.862
2005-03-31,676.711
2005-04-29,648.924
2005-05-31,635.978
2005-06-30,645.363
2005-07-29,677.202
2005-08-31,697.555
2005-09-30,706.105
2005-10-31,656.081
2005-11-30,676.827
2005-12-30,706.91
2006-01-31,741.442
2006-02-28,735.001
2006-03-31,749.123
2006-04-28,780.952
2006-05-31,789.438
2006-06-30,796.646
2006-07-31,800.154
2006-08-31,834.581
2006-09-29,839.227
2006-10-31,871.831
2006-11-30,920.914
2006-12-29,939.498
2007-01-31,937.574
2007-02-28,924.638
2007-03-30,944.163
2007-04-30,1009.147
2007-05-31,1000.0
2007-06-29,984.299
2007-07-31,953.374
2007-08-31,953.269
