Date,ITALY LARGE VALUE Large Cap
2001-01-01,445.63
2001-01-02,444.094
2001-01-03,440.278
2001-01-04,444.637
2001-01-05,450.054
2001-01-08,450.352
2001-01-09,443.588
2001-01-10,444.368
2001-01-11,454.172
2001-01-12,457.813
2001-01-15,455.475
2001-01-16,452.305
2001-01-17,452.464
2001-01-18,461.898
2001-01-19,453.236
2001-01-22,455.94
2001-01-23,456.501
2001-01-24,454.791
2001-01-25,454.72
2001-01-26,457.6
2001-01-29,455.998
2001-01-30,458.638
2001-01-31,461.863
2001-02-01,462.747
2001-02-02,456.845
2001-02-05,458.23
2001-02-06,453.391
2001-02-07,449.082
2001-02-08,443.487
2001-02-09,441.6
2001-02-12,449.476
2001-02-13,443.459
2001-02-14,440.708
2001-02-15,430.933
2001-02-16,432.202
2001-02-19,434.486
2001-02-20,423.373
2001-02-21,422.283
2001-02-22,417.489
2001-02-23,411.598
2001-02-26,417.876
2001-02-27,420.449
2001-02-28,422.9
2001-03-01,423.807
2001-03-02,423.072
2001-03-05,420.722
2001-03-06,425.711
2001-03-07,427.26
2001-03-08,429.515
2001-03-09,424.843
2001-03-12,413.706
2001-03-13,406.432
2001-03-14,398.742
2001-03-15,395.807
2001-03-16,385.264
2001-03-19,387.272
2001-03-20,394.412
2001-03-21,392.296
2001-03-22,370.566
2001-03-23,378.869
2001-03-26,388.595
2001-03-27,400.466
2001-03-28,392.737
2001-03-29,395.423
2001-03-30,398.279
2001-04-02,400.478
2001-04-03,394.078
2001-04-04,408.568
2001-04-05,409.895
2001-04-06,411.53
2001-04-09,417.248
2001-04-10,415.427
2001-04-11,409.711
2001-04-12,414.788
2001-04-13,414.788
2001-04-16,410.54
2001-04-17,410.944
2001-04-18,409.183
2001-04-19,414.139
2001-04-20,418.28
2001-04-23,414.456
2001-04-24,417.985
2001-04-25,422.817
2001-04-26,424.304
2001-04-27,421.031
2001-04-30,420.346
2001-05-01,422.575
2001-05-02,423.216
2001-05-03,415.459
2001-05-04,414.646
2001-05-07,415.617
2001-05-08,410.8
2001-05-09,406.609
2001-05-10,409.334
2001-05-11,404.06
2001-05-14,407.136
2001-05-15,407.521
2001-05-16,410.424
2001-05-17,409.509
2001-05-18,410.66
2001-05-21,408.578
2001-05-22,408.021
2001-05-23,403.303
2001-05-24,406.857
2001-05-25,404.018
2001-05-28,406.922
2001-05-29,403.963
2001-05-30,398.709
2001-05-31,393.444
2001-06-01,391.881
2001-06-04,389.485
2001-06-05,390.726
2001-06-06,385.168
2001-06-07,390.25
2001-06-08,391.803
2001-06-11,389.265
2001-06-12,390.176
2001-06-13,395.792
2001-06-14,394.362
2001-06-15,394.302
2001-06-18,385.107
2001-06-19,382.572
2001-06-20,375.59
2001-06-21,372.294
2001-06-22,374.401
2001-06-25,382.915
2001-06-26,377.834
2001-06-27,381.05
2001-06-28,377.146
2001-06-29,377.545
2001-07-02,383.351
2001-07-03,381.722
2001-07-04,380.409
2001-07-05,378.422
2001-07-06,373.16
2001-07-09,377.474
2001-07-10,375.203
2001-07-11,373.603
2001-07-12,368.622
2001-07-13,368.851
2001-07-16,371.801
2001-07-17,364.673
2001-07-18,368.333
2001-07-19,375.446
2001-07-20,375.762
2001-07-23,375.45
2001-07-24,378.346
2001-07-25,378.106
2001-07-26,379.147
2001-07-27,382.268
2001-07-30,389.415
2001-07-31,390.166
2001-08-01,391.641
2001-08-02,388.84
2001-08-03,389.925
2001-08-06,392.048
2001-08-07,392.4
2001-08-08,391.473
2001-08-09,394.798
2001-08-10,390.95
2001-08-13,393.269
2001-08-14,394.313
2001-08-15,400.333
2001-08-16,398.66
2001-08-17,393.477
2001-08-20,391.254
2001-08-21,391.789
2001-08-22,398.378
2001-08-23,395.635
2001-08-24,401.094
2001-08-27,398.395
2001-08-28,393.637
2001-08-29,397.619
2001-08-30,391.323
2001-08-31,389.686
