Date,ITALY LARGE VALUE Large Cap
1994-05-31,241.631
1994-06-30,228.635
1994-07-29,235.354
1994-08-31,224.867
1994-09-30,225.819
1994-10-31,212.324
1994-11-30,196.26
1994-12-30,199.483
1995-01-31,217.987
1995-02-28,195.628
1995-03-31,182.571
1995-04-28,204.412
1995-05-31,204.065
1995-06-30,194.028
1995-07-31,209.975
1995-08-31,202.504
1995-09-29,198.46
1995-10-31,183.077
1995-11-30,173.118
1995-12-29,191.36
1996-01-31,202.598
1996-02-29,197.866
1996-03-29,188.741
1996-04-30,218.172
1996-05-31,219.082
1996-06-28,217.12
1996-07-31,200.072
1996-08-30,200.692
1996-09-30,209.094
1996-10-31,199.694
1996-11-29,212.078
1996-12-31,214.169
1997-01-31,239.464
1997-02-28,219.21
1997-03-31,222.567
1997-04-30,226.18
1997-05-30,229.103
1997-06-30,245.542
1997-07-31,257.694
1997-08-29,250.238
1997-09-30,288.175
1997-10-31,271.781
1997-11-28,276.791
1997-12-31,306.237
1998-01-30,349.101
1998-02-27,375.773
1998-03-31,464.398
1998-04-30,460.247
1998-05-29,496.474
1998-06-30,466.795
1998-07-31,516.596
1998-08-31,425.315
1998-09-30,387.893
1998-10-30,405.767
1998-11-30,455.277
1998-12-31,487.492
1999-01-29,455.981
1999-02-26,450.715
1999-03-31,485.301
1999-04-30,480.881
1999-05-31,455.076
1999-06-30,445.175
1999-07-30,443.082
1999-08-31,446.638
1999-09-30,477.102
1999-10-29,451.362
1999-11-30,430.332
1999-12-31,435.649
2000-01-31,396.202
2000-02-29,427.421
2000-03-31,427.509
2000-04-28,414.968
2000-05-31,432.312
2000-06-30,467.052
2000-07-31,447.548
2000-08-31,453.03
2000-09-29,421.734
2000-10-31,424.872
2000-11-30,435.644
2000-12-29,445.63
2001-01-31,461.863
2001-02-28,422.9
2001-03-30,398.279
2001-04-30,420.346
2001-05-31,393.444
2001-06-29,377.545
2001-07-31,390.166
2001-08-31,389.686
2001-09-28,341.517
2001-10-31,351.635
2001-11-30,351.897
2001-12-31,358.982
2002-01-31,348.324
2002-02-28,350.102
2002-03-29,375.922
2002-04-30,379.978
2002-05-31,376.356
2002-06-28,381.376
2002-07-31,362.605
2002-08-30,372.464
2002-09-30,320.712
2002-10-31,347.637
2002-11-29,375.044
2002-12-31,373.134
2003-01-31,367.414
2003-02-28,363.055
2003-03-31,339.522
2003-04-30,379.602
2003-05-30,432.797
2003-06-30,425.994
2003-07-31,416.106
2003-08-29,406.759
2003-09-30,418.697
2003-10-31,436.001
2003-11-28,469.855
2003-12-31,503.097
2004-01-30,510.654
2004-02-27,529.991
2004-03-31,533.153
2004-04-30,539.13
2004-05-31,540.904
2004-06-30,551.677
2004-07-30,547.143
2004-08-31,544.601
2004-09-30,579.839
2004-10-29,611.164
2004-11-30,659.411
2004-12-31,701.003
2005-01-31,677.927
2005-02-28,703.793
2005-03-31,700.531
2005-04-29,669.62
2005-05-31,654.887
2005-06-30,660.427
2005-07-29,693.008
2005-08-31,713.836
2005-09-30,722.586
2005-10-31,669.839
2005-11-30,689.99
2005-12-30,720.658
2006-01-31,755.861
2006-02-28,749.296
2006-03-31,763.692
2006-04-28,793.38
2006-05-31,799.601
2006-06-30,803.271
2006-07-31,806.808
2006-08-31,841.522
2006-09-29,846.206
2006-10-31,877.536
2006-11-30,925.888
2006-12-29,944.572
2007-01-31,942.637
2007-02-28,929.631
2007-03-30,949.262
2007-04-30,1012.237
2007-05-31,1000.0
2007-06-29,981.337
2007-07-31,950.506
2007-08-31,950.401
2007-09-28,984.268
2007-10-31,1009.871
2007-11-30,1005.032
2007-12-31,991.517
2008-01-31,892.314
2008-02-29,886.972
2008-03-31,849.132
2008-04-30,924.29
2008-05-30,938.97
2008-06-30,842.385
2008-07-31,797.537
2008-08-29,758.464
2008-09-30,626.423
2008-10-31,493.785
2008-11-28,470.965
2008-12-31,500.525
2009-01-30,433.004
2009-02-27,376.315
2009-03-31,397.613
2009-04-30,473.924
2009-05-29,536.03
2009-06-30,515.789
2009-07-31,559.522
2009-08-31,618.658
2009-09-30,662.025
2009-10-30,622.357
2009-11-30,626.427
2009-12-31,628.136
2010-01-29,570.705
2010-02-26,538.248
2010-03-31,575.008
2010-04-30,535.452
2010-05-31,452.677
2010-06-30,452.309
2010-07-30,526.714
2010-08-31,490.608
2010-09-30,544.826
2010-10-29,577.373
2010-11-30,478.106
2010-12-31,512.896
2011-01-31,576.908
2011-02-28,600.854
2011-03-31,597.325
2011-04-29,651.171
2011-05-31,599.393
2011-06-30,587.513
2011-07-29,528.902
2011-08-31,458.823
2011-09-30,415.606
2011-10-31,476.935
2011-11-30,439.974
2011-12-30,423.554
2012-01-31,443.423
2012-02-29,462.792
2012-03-30,449.312
2012-04-30,411.126
2012-05-31,349.561
2012-06-29,408.648
2012-07-31,379.849
2012-08-31,425.657
2012-09-28,436.319
2012-10-31,454.41
2012-11-30,467.417
2012-12-31,484.503
2013-01-31,534.368
2013-02-28,455.199
2013-03-29,425.58
2013-04-30,484.447
2013-05-31,484.063
2013-06-28,429.914
2013-07-31,466.02
2013-08-30,475.305
2013-09-30,512.222
2013-10-31,579.482
2013-11-29,570.553
2013-12-31,572.745
2014-01-31,568.66
2014-02-28,612.749
2014-03-31,643.158
2014-04-30,661.183
2014-05-30,663.725
2014-06-30,686.889
2014-07-31,650.951
2014-08-29,630.545
2014-09-30,621.452
2014-10-31,586.152
2014-11-28,576.013
2014-12-31,526.611
2015-01-30,526.72
2015-02-27,555.642
2015-03-31,535.136
2015-04-30,567.641
2015-05-29,561.527
2015-06-30,543.321
2015-07-31,556.87
2015-08-31,527.452
2015-09-30,517.324
2015-10-30,539.318
2015-11-30,527.309
2015-12-31,502.2
2016-01-29,454.444
2016-02-29,437.687
2016-03-31,476.971
2016-04-29,489.634
2016-05-31,475.472
2016-06-30,448.318
2016-07-29,458.007
2016-08-31,454.522
2016-09-30,444.921
2016-10-31,444.67
2016-11-30,422.019
2016-12-30,485.385
2017-01-31,464.192
2017-02-28,460.245
2017-03-31,511.004
2017-04-28,517.43
2017-05-31,550.239
2017-06-30,561.775
2017-07-31,602.818
2017-08-31,607.403
2017-09-29,628.419
2017-10-31,610.386
2017-11-30,622.42
2017-12-29,608.918
2018-01-31,680.475
2018-02-28,641.629
2018-03-30,647.866
2018-04-30,688.817
2018-05-31,590.282
2018-06-29,594.529
2018-07-31,619.896
2018-08-31,545.45
2018-09-28,561.191
2018-10-31,518.844
2018-11-30,529.473
2018-12-31,516.05
2019-01-31,548.619
2019-02-28,574.928
2019-03-29,586.303
2019-04-30,595.153
2019-05-31,540.901
2019-06-28,588.601
2019-07-31,581.649
2019-08-30,574.134
2019-09-30,597.908
2019-10-31,620.312
2019-11-29,619.565
2019-12-31,643.461
2020-01-31,632.85
2020-02-28,589.99
2020-03-31,442.673
2020-04-30,444.134
2020-05-29,473.42
2020-06-30,518.797
2020-07-31,535.304
2020-08-31,550.241
2020-09-30,509.572
2020-10-30,468.334
2020-11-30,609.67
2020-12-31,616.857
2021-01-29,602.727
2021-02-26,637.6
2021-03-31,675.183
2021-04-30,672.757
2021-05-31,713.63
2021-06-30,681.093
2021-07-30,683.802
2021-08-31,690.156
2021-09-30,666.792
2021-10-29,703.824
2021-11-30,633.558
2021-12-31,691.479
2022-01-31,707.955
2022-02-28,672.324
2022-03-31,631.76
2022-04-29,579.457
2022-05-31,614.782
2022-06-30,513.232
2022-07-29,511.16
2022-08-31,496.46
2022-09-30,458.502
2022-10-31,523.605
2022-11-30,600.594
2022-12-30,596.523
2023-01-31,686.622
2023-02-28,696.859
2023-03-31,699.404
2023-04-28,739.83
2023-05-31,679.474
2023-06-30,762.119
2023-07-31,829.202
2023-08-31,794.083
2023-09-29,778.779
2023-10-31,782.387
2023-11-30,865.899
2023-12-29,895.577
2024-01-31,892.323
2024-02-29,922.634
2024-03-29,999.342
2024-04-30,969.22
2024-05-31,1014.567
2024-06-28,962.912
2024-07-31,987.058
2024-08-30,1018.679
2024-09-30,1021.509
2024-10-31,997.986
2024-11-29,945.937
2024-12-31,951.362
2025-01-31,1031.01
2025-02-28,1102.641
2025-03-31,1156.359
2025-04-30,1196.453
2025-05-30,1280.723
2025-06-30,1319.121
