Date,ITALY IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,650.243
2001-01-02,642.762
2001-01-03,616.687
2001-01-04,629.526
2001-01-05,634.173
2001-01-08,627.678
2001-01-09,625.101
2001-01-10,630.352
2001-01-11,647.924
2001-01-12,662.522
2001-01-15,654.074
2001-01-16,646.624
2001-01-17,659.893
2001-01-18,667.525
2001-01-19,662.227
2001-01-22,662.26
2001-01-23,656.574
2001-01-24,653.574
2001-01-25,650.152
2001-01-26,648.713
2001-01-29,641.082
2001-01-30,650.26
2001-01-31,660.335
2001-02-01,658.225
2001-02-02,645.245
2001-02-05,640.607
2001-02-06,637.384
2001-02-07,627.617
2001-02-08,619.399
2001-02-09,614.041
2001-02-12,626.255
2001-02-13,616.172
2001-02-14,599.595
2001-02-15,598.225
2001-02-16,591.102
2001-02-19,592.5
2001-02-20,574.632
2001-02-21,573.536
2001-02-22,568.268
2001-02-23,561.148
2001-02-26,570.923
2001-02-27,571.269
2001-02-28,570.941
2001-03-01,563.068
2001-03-02,557.673
2001-03-05,552.81
2001-03-06,570.094
2001-03-07,568.954
2001-03-08,570.368
2001-03-09,558.018
2001-03-12,537.887
2001-03-13,532.725
2001-03-14,523.458
2001-03-15,525.211
2001-03-16,512.52
2001-03-19,512.999
2001-03-20,522.895
2001-03-21,512.174
2001-03-22,481.602
2001-03-23,502.276
2001-03-26,516.121
2001-03-27,529.136
2001-03-28,518.866
2001-03-29,519.404
2001-03-30,522.659
2001-04-02,521.6
2001-04-03,508.54
2001-04-04,521.907
2001-04-05,529.835
2001-04-06,531.225
2001-04-09,537.652
2001-04-10,537.055
2001-04-11,531.303
2001-04-12,537.956
2001-04-13,537.956
2001-04-16,532.45
2001-04-17,531.194
2001-04-18,541.415
2001-04-19,549.29
2001-04-20,551.05
2001-04-23,536.959
2001-04-24,539.467
2001-04-25,541.589
2001-04-26,543.71
2001-04-27,544.887
2001-04-30,551.759
2001-05-01,554.777
2001-05-02,554.659
2001-05-03,543.077
2001-05-04,544.908
2001-05-07,543.107
2001-05-08,537.032
2001-05-09,530.806
2001-05-10,535.091
2001-05-11,530.126
2001-05-14,531.293
2001-05-15,531.252
2001-05-16,530.043
2001-05-17,529.801
2001-05-18,525.575
2001-05-21,523.532
2001-05-22,526.859
2001-05-23,523.148
2001-05-24,522.587
2001-05-25,516.183
2001-05-28,520.601
2001-05-29,510.284
2001-05-30,500.069
2001-05-31,495.097
2001-06-01,490.839
2001-06-04,487.291
2001-06-05,492.494
2001-06-06,489.071
2001-06-07,493.798
2001-06-08,495.023
2001-06-11,489.638
2001-06-12,485.581
2001-06-13,487.197
2001-06-14,480.538
2001-06-15,477.345
2001-06-18,474.096
2001-06-19,473.003
2001-06-20,467.057
2001-06-21,465.888
2001-06-22,467.556
2001-06-25,474.154
2001-06-26,468.111
2001-06-27,470.459
2001-06-28,468.281
2001-06-29,472.055
2001-07-02,480.567
2001-07-03,480.899
2001-07-04,475.434
2001-07-05,469.375
2001-07-06,464.24
2001-07-09,468.173
2001-07-10,469.024
2001-07-11,467.04
2001-07-12,464.512
2001-07-13,465.39
2001-07-16,464.919
2001-07-17,456.389
2001-07-18,460.841
2001-07-19,463.985
2001-07-20,463.501
2001-07-23,463.188
2001-07-24,464.216
2001-07-25,462.94
2001-07-26,464.315
2001-07-27,469.2
2001-07-30,474.784
2001-07-31,476.793
2001-08-01,481.662
2001-08-02,485.115
2001-08-03,485.559
2001-08-06,485.21
2001-08-07,483.609
2001-08-08,479.699
2001-08-09,480.121
2001-08-10,477.12
2001-08-13,480.039
2001-08-14,483.617
2001-08-15,491.0
2001-08-16,485.45
2001-08-17,478.418
2001-08-20,474.233
2001-08-21,476.499
2001-08-22,480.076
2001-08-23,476.558
2001-08-24,484.042
2001-08-27,481.538
2001-08-28,474.967
2001-08-29,476.934
2001-08-30,466.49
2001-08-31,461.409
2001-09-03,453.314
2001-09-04,445.465
2001-09-05,430.719
2001-09-06,414.607
2001-09-07,417.281
2001-09-10,411.255
2001-09-11,383.795
2001-09-12,381.509
2001-09-13,386.31
2001-09-14,366.292
2001-09-17,364.063
2001-09-18,356.221
2001-09-19,352.548
2001-09-20,335.366
2001-09-21,317.158
2001-09-24,342.615
2001-09-25,358.605
2001-09-26,362.995
2001-09-27,366.188
2001-09-28,379.093
2001-10-01,370.813
