Date,ITALY IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,620.013
2001-01-02,612.879
2001-01-03,588.016
2001-01-04,600.259
2001-01-05,604.689
2001-01-08,598.497
2001-01-09,596.039
2001-01-10,601.046
2001-01-11,617.801
2001-01-12,631.72
2001-01-15,623.665
2001-01-16,616.561
2001-01-17,629.213
2001-01-18,636.491
2001-01-19,631.439
2001-01-22,631.471
2001-01-23,626.049
2001-01-24,623.189
2001-01-25,619.926
2001-01-26,618.553
2001-01-29,611.277
2001-01-30,620.029
2001-01-31,629.635
2001-02-01,627.624
2001-02-02,615.246
2001-02-05,610.824
2001-02-06,607.751
2001-02-07,598.439
2001-02-08,590.603
2001-02-09,585.493
2001-02-12,597.14
2001-02-13,587.525
2001-02-14,571.719
2001-02-15,570.413
2001-02-16,563.621
2001-02-19,564.954
2001-02-20,547.917
2001-02-21,546.871
2001-02-22,541.849
2001-02-23,535.06
2001-02-26,544.38
2001-02-27,544.71
2001-02-28,544.397
2001-03-01,536.891
2001-03-02,531.746
2001-03-05,527.109
2001-03-06,543.589
2001-03-07,542.503
2001-03-08,543.85
2001-03-09,532.075
2001-03-12,512.88
2001-03-13,507.958
2001-03-14,499.122
2001-03-15,500.794
2001-03-16,488.692
2001-03-19,489.149
2001-03-20,498.585
2001-03-21,488.363
2001-03-22,459.212
2001-03-23,478.924
2001-03-26,492.126
2001-03-27,504.536
2001-03-28,494.743
2001-03-29,495.258
2001-03-30,498.368
2001-04-02,497.358
2001-04-03,484.905
2001-04-04,497.652
2001-04-05,505.211
2001-04-06,506.536
2001-04-09,512.664
2001-04-10,512.096
2001-04-11,506.61
2001-04-12,512.954
2001-04-13,512.954
2001-04-16,507.704
2001-04-17,506.506
2001-04-18,516.252
2001-04-19,523.762
2001-04-20,525.439
2001-04-23,512.876
2001-04-24,515.272
2001-04-25,517.299
2001-04-26,519.325
2001-04-27,520.449
2001-04-30,527.013
2001-05-01,529.896
2001-05-02,529.783
2001-05-03,518.721
2001-05-04,520.469
2001-05-07,518.762
2001-05-08,512.96
2001-05-09,507.013
2001-05-10,511.106
2001-05-11,506.363
2001-05-14,507.478
2001-05-15,507.439
2001-05-16,506.286
2001-05-17,506.055
2001-05-18,502.012
2001-05-21,501.008
2001-05-22,504.192
2001-05-23,500.641
2001-05-24,500.103
2001-05-25,493.975
2001-05-28,498.203
2001-05-29,488.33
2001-05-30,478.554
2001-05-31,473.797
2001-06-01,469.722
2001-06-04,466.331
2001-06-05,471.31
2001-06-06,468.035
2001-06-07,472.558
2001-06-08,473.73
2001-06-11,468.577
2001-06-12,464.694
2001-06-13,466.241
2001-06-14,459.869
2001-06-15,456.813
2001-06-18,453.84
2001-06-19,452.794
2001-06-20,447.102
2001-06-21,445.982
2001-06-22,447.579
2001-06-25,453.896
2001-06-26,448.111
2001-06-27,450.358
2001-06-28,448.273
2001-06-29,451.886
2001-07-02,460.034
2001-07-03,460.352
2001-07-04,455.12
2001-07-05,449.321
2001-07-06,444.405
2001-07-09,448.194
2001-07-10,449.009
2001-07-11,447.11
2001-07-12,444.69
2001-07-13,445.53
2001-07-16,445.079
2001-07-17,436.913
2001-07-18,441.176
2001-07-19,444.185
2001-07-20,443.722
2001-07-23,443.425
2001-07-24,444.409
2001-07-25,443.187
2001-07-26,444.504
2001-07-27,449.18
2001-07-30,454.526
2001-07-31,456.45
2001-08-01,461.11
2001-08-02,464.416
2001-08-03,464.841
2001-08-06,464.507
2001-08-07,462.975
2001-08-08,459.232
2001-08-09,459.636
2001-08-10,456.762
2001-08-13,459.557
2001-08-14,462.982
2001-08-15,470.05
2001-08-16,464.736
2001-08-17,458.005
2001-08-20,453.999
2001-08-21,456.168
2001-08-22,459.592
2001-08-23,456.224
2001-08-24,463.389
2001-08-27,460.992
2001-08-28,454.701
2001-08-29,456.584
2001-08-30,446.586
2001-08-31,441.721
2001-09-03,433.972
2001-09-04,426.458
2001-09-05,412.341
2001-09-06,396.917
2001-09-07,399.477
2001-09-10,393.707
2001-09-11,367.42
2001-09-12,365.231
2001-09-13,369.827
2001-09-14,350.663
2001-09-17,348.529
2001-09-18,341.022
2001-09-19,337.505
2001-09-20,321.056
2001-09-21,303.625
2001-09-24,327.997
2001-09-25,343.304
2001-09-26,347.507
2001-09-27,350.564
2001-09-28,362.918
2001-10-01,354.991
