Date,ITALY IMI GROWTH IMI (Large+Mid+Small Cap)
2012-04-30,488.648
2012-05-31,406.699
2012-06-29,435.967
2012-07-31,439.874
2012-08-31,463.673
2012-09-28,474.121
2012-10-31,486.054
2012-11-30,491.111
2012-12-31,500.817
2013-01-31,526.061
2013-02-28,491.841
2013-03-29,488.941
2013-04-30,523.813
2013-05-31,539.571
2013-06-28,490.317
2013-07-31,553.46
2013-08-30,550.814
2013-09-30,589.309
2013-10-31,639.963
2013-11-29,632.732
2013-12-31,639.932
2014-01-31,645.384
2014-02-28,690.036
2014-03-31,735.247
2014-04-30,734.628
2014-05-30,718.225
2014-06-30,682.251
2014-07-31,642.625
2014-08-29,634.741
2014-09-30,624.687
2014-10-31,582.076
2014-11-28,599.861
2014-12-31,560.68
2015-01-30,567.201
2015-02-27,631.317
2015-03-31,646.261
2015-04-30,665.093
2015-05-29,684.328
2015-06-30,675.07
2015-07-31,710.338
2015-08-31,668.459
2015-09-30,644.405
2015-10-30,675.04
2015-11-30,650.879
2015-12-31,641.614
2016-01-29,536.205
2016-02-29,501.716
2016-03-31,542.733
2016-04-29,554.134
2016-05-31,537.727
2016-06-30,462.802
2016-07-29,493.647
2016-08-31,506.574
2016-09-30,496.444
2016-10-31,507.16
2016-11-30,494.661
2016-12-30,539.118
2017-01-31,552.532
2017-02-28,558.664
2017-03-31,602.285
2017-04-28,635.725
2017-05-31,670.366
2017-06-30,662.475
2017-07-31,716.151
2017-08-31,741.53
2017-09-29,776.328
2017-10-31,786.655
2017-11-30,767.664
2017-12-29,773.387
2018-01-31,856.158
2018-02-28,797.908
2018-03-30,791.706
2018-04-30,821.399
2018-05-31,790.008
2018-06-29,777.0
2018-07-31,782.861
2018-08-31,745.079
2018-09-28,756.061
2018-10-31,655.612
2018-11-30,644.515
2018-12-31,605.485
2019-01-31,680.077
2019-02-28,692.499
2019-03-29,700.104
2019-04-30,725.615
2019-05-31,669.134
2019-06-28,740.47
2019-07-31,722.664
2019-08-30,704.044
2019-09-30,701.057
2019-10-31,735.232
2019-11-29,773.165
2019-12-31,772.275
2020-01-31,755.438
2020-02-28,700.421
2020-03-31,601.178
2020-04-30,651.195
2020-05-29,694.634
2020-06-30,718.011
2020-07-31,766.548
2020-08-31,802.221
2020-09-30,797.347
2020-10-30,763.807
2020-11-30,894.441
2020-12-31,963.019
2021-01-29,909.391
2021-02-26,948.453
2021-03-31,969.7
2021-04-30,1000.29
2021-05-31,1077.867
2021-06-30,1061.881
2021-07-30,1077.848
2021-08-31,1104.083
2021-09-30,1067.61
2021-10-29,1125.436
2021-11-30,1069.534
2021-12-31,1127.284
2022-01-31,1005.518
2022-02-28,951.014
2022-03-31,949.886
2022-04-29,894.77
2022-05-31,891.316
2022-06-30,790.307
2022-07-29,862.323
2022-08-31,798.399
2022-09-30,747.022
2022-10-31,797.612
2022-11-30,890.441
2022-12-30,903.36
2023-01-31,994.158
2023-02-28,987.662
2023-03-31,1007.304
2023-04-28,1025.041
2023-05-31,975.469
2023-06-30,1056.496
2023-07-31,1068.324
2023-08-31,1028.206
2023-09-29,941.001
2023-10-31,908.875
2023-11-30,1033.869
2023-12-29,1065.969
2024-01-31,1077.96
2024-02-29,1182.884
2024-03-29,1233.683
2024-04-30,1200.506
2024-05-31,1252.304
2024-06-28,1209.928
2024-07-31,1244.445
2024-08-30,1337.018
2024-09-30,1329.277
2024-10-31,1299.204
2024-11-29,1218.113
2024-12-31,1209.676
2025-01-31,1295.129
2025-02-28,1336.649
2025-03-31,1286.529
2025-04-30,1368.807
2025-05-30,1490.185
2025-06-30,1518.616
2025-07-31,1501.016
2025-08-29,1589.454
2025-09-30,1623.373
2025-10-31,1547.955
