Date,ITALY IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,299.145
1994-06-30,277.181
1994-07-29,291.73
1994-08-31,287.057
1994-09-30,287.247
1994-10-31,274.519
1994-11-30,257.903
1994-12-30,261.093
1995-01-31,273.412
1995-02-28,246.812
1995-03-31,232.207
1995-04-28,254.242
1995-05-31,256.612
1995-06-30,251.427
1995-07-31,273.301
1995-08-31,268.076
1995-09-29,265.37
1995-10-31,255.253
1995-11-30,242.999
1995-12-29,259.944
1996-01-31,270.77
1996-02-29,271.512
1996-03-29,259.404
1996-04-30,295.698
1996-05-31,307.109
1996-06-28,312.226
1996-07-31,289.572
1996-08-30,287.387
1996-09-30,314.218
1996-10-31,297.251
1996-11-29,326.959
1996-12-31,325.09
1997-01-31,359.885
1997-02-28,317.477
1997-03-31,326.399
1997-04-30,334.073
1997-05-30,333.163
1997-06-30,373.27
1997-07-31,395.99
1997-08-29,386.235
1997-09-30,442.264
1997-10-31,413.744
1997-11-28,423.905
1997-12-31,445.846
1998-01-30,480.084
1998-02-27,497.548
1998-03-31,591.383
1998-04-30,570.973
1998-05-29,598.062
1998-06-30,568.323
1998-07-31,621.544
1998-08-31,545.26
1998-09-30,516.447
1998-10-30,552.185
1998-11-30,608.145
1998-12-31,657.754
1999-01-29,640.071
1999-02-26,633.095
1999-03-31,640.743
1999-04-30,621.493
1999-05-31,596.383
1999-06-30,587.934
1999-07-30,567.095
1999-08-31,582.709
1999-09-30,574.795
1999-10-29,563.242
1999-11-30,593.209
1999-12-31,735.889
2000-01-31,721.279
2000-02-29,858.73
2000-03-31,774.503
2000-04-28,710.309
2000-05-31,720.124
2000-06-30,736.994
2000-07-31,716.366
2000-08-31,699.124
2000-09-29,665.497
2000-10-31,659.914
2000-11-30,650.269
2000-12-29,650.243
2001-01-31,660.335
2001-02-28,570.941
2001-03-30,522.659
2001-04-30,551.759
2001-05-31,495.097
2001-06-29,472.055
2001-07-31,476.793
2001-08-31,461.409
2001-09-28,379.093
2001-10-31,398.791
2001-11-30,424.027
2001-12-31,427.986
2002-01-31,405.175
2002-02-28,400.69
2002-03-29,425.065
2002-04-30,423.199
2002-05-31,415.471
2002-06-28,418.416
2002-07-31,363.829
2002-08-30,364.862
2002-09-30,318.365
2002-10-31,342.647
2002-11-29,374.947
2002-12-31,370.368
2003-01-31,363.237
2003-02-28,394.299
2003-03-31,367.199
2003-04-30,417.212
2003-05-30,452.95
2003-06-30,443.797
2003-07-31,447.536
2003-08-29,429.446
2003-09-30,447.332
2003-10-31,469.601
2003-11-28,506.786
2003-12-31,524.954
2004-01-30,533.777
2004-02-27,529.473
2004-03-31,499.046
2004-04-30,505.796
2004-05-31,513.265
2004-06-30,534.019
2004-07-30,513.822
2004-08-31,509.273
2004-09-30,532.236
2004-10-29,566.234
2004-11-30,610.703
2004-12-31,662.984
2005-01-31,652.371
2005-02-28,671.92
2005-03-31,667.092
2005-04-29,639.432
2005-05-31,633.524
2005-06-30,639.585
2005-07-29,664.827
2005-08-31,656.726
2005-09-30,670.501
2005-10-31,624.919
2005-11-30,634.277
2005-12-30,663.651
2006-01-31,705.169
2006-02-28,736.438
2006-03-31,764.984
2006-04-28,802.927
2006-05-31,776.636
2006-06-30,769.498
2006-07-31,775.589
2006-08-31,802.524
2006-09-29,792.656
2006-10-31,837.066
2006-11-30,890.574
2006-12-29,910.969
2007-01-31,912.534
2007-02-28,907.862
2007-03-30,932.165
2007-04-30,1013.715
2007-05-31,1000.0
2007-06-29,983.842
2007-07-31,968.443
2007-08-31,951.638
2007-09-28,992.111
2007-10-31,1052.853
2007-11-30,993.855
2007-12-31,973.742
2008-01-31,870.373
2008-02-29,878.738
2008-03-31,896.392
2008-04-30,914.039
2008-05-30,892.576
2008-06-30,798.47
2008-07-31,762.205
2008-08-29,737.18
2008-09-30,658.412
2008-10-31,471.471
2008-11-28,435.066
2008-12-31,475.862
2009-01-30,396.32
2009-02-27,333.878
2009-03-31,372.175
2009-04-30,438.534
2009-05-29,501.442
2009-06-30,483.469
2009-07-31,525.723
2009-08-31,547.025
2009-09-30,589.682
2009-10-30,581.517
2009-11-30,598.293
2009-12-31,614.794
2010-01-29,576.346
2010-02-26,543.5
2010-03-31,586.269
2010-04-30,547.868
2010-05-31,477.618
2010-06-30,463.884
2010-07-30,529.255
2010-08-31,483.636
2010-09-30,555.927
2010-10-29,602.602
2010-11-30,536.572
2010-12-31,601.564
2011-01-31,651.668
2011-02-28,663.077
2011-03-31,673.745
2011-04-29,726.585
2011-05-31,679.459
2011-06-30,651.073
2011-07-29,616.514
2011-08-31,521.764
2011-09-30,438.794
2011-10-31,495.874
2011-11-30,477.288
2011-12-30,448.57
2012-01-31,482.507
2012-02-29,510.589
2012-03-30,504.17
2012-04-30,473.687
2012-05-31,392.95
2012-06-29,421.228
2012-07-31,425.003
2012-08-31,447.997
2012-09-28,458.092
2012-10-31,469.62
2012-11-30,474.161
2012-12-31,483.504
