Date,ACWI SMALL VALUE Small Cap
2001-01-01,327.896
2001-01-02,324.481
2001-01-03,328.227
2001-01-04,327.946
2001-01-05,325.45
2001-01-08,325.098
2001-01-09,324.277
2001-01-10,326.541
2001-01-11,328.255
2001-01-12,329.02
2001-01-15,328.631
2001-01-16,332.036
2001-01-17,332.124
2001-01-18,334.122
2001-01-19,333.167
2001-01-22,334.191
2001-01-23,337.411
2001-01-24,335.952
2001-01-25,335.963
2001-01-26,335.825
2001-01-29,338.296
2001-01-30,340.142
2001-01-31,341.215
2001-02-01,343.466
2001-02-02,341.895
2001-02-05,342.343
2001-02-06,342.775
2001-02-07,342.289
2001-02-08,340.108
2001-02-09,339.116
2001-02-12,341.826
2001-02-13,341.292
2001-02-14,341.053
2001-02-15,341.929
2001-02-16,340.478
2001-02-19,340.433
2001-02-20,338.759
2001-02-21,335.451
2001-02-22,332.5
2001-02-23,332.508
2001-02-26,336.167
2001-02-27,335.765
2001-02-28,334.26
2001-03-01,333.967
2001-03-02,334.882
2001-03-05,334.411
2001-03-06,337.091
2001-03-07,337.91
2001-03-08,338.46
2001-03-09,336.658
2001-03-12,329.837
2001-03-13,327.151
2001-03-14,322.341
2001-03-15,321.37
2001-03-16,317.458
2001-03-19,319.5
2001-03-20,318.373
2001-03-21,315.474
2001-03-22,310.054
2001-03-23,314.779
2001-03-26,318.987
2001-03-27,320.866
2001-03-28,318.175
2001-03-29,316.556
2001-03-30,318.649
2001-04-02,315.217
2001-04-03,311.654
2001-04-04,312.549
2001-04-05,318.352
2001-04-06,316.679
2001-04-09,317.799
2001-04-10,320.433
2001-04-11,319.905
2001-04-12,323.145
2001-04-13,323.388
2001-04-16,322.014
2001-04-17,323.255
2001-04-18,326.317
2001-04-19,329.936
2001-04-20,329.654
2001-04-23,328.598
2001-04-24,329.329
2001-04-25,332.482
2001-04-26,335.376
2001-04-27,336.255
2001-04-30,337.034
2001-05-01,340.653
2001-05-02,341.358
2001-05-03,340.672
2001-05-04,342.906
2001-05-07,342.216
2001-05-08,341.685
2001-05-09,340.992
2001-05-10,341.826
2001-05-11,341.098
2001-05-14,340.371
2001-05-15,342.107
2001-05-16,344.369
2001-05-17,347.637
2001-05-18,347.905
2001-05-21,350.925
2001-05-22,350.935
2001-05-23,349.387
2001-05-24,349.862
2001-05-25,349.524
2001-05-28,349.489
2001-05-29,347.89
2001-05-30,345.346
2001-05-31,345.581
2001-06-01,347.341
2001-06-04,348.855
2001-06-05,350.643
2001-06-06,349.305
2001-06-07,350.296
2001-06-08,349.557
2001-06-11,347.477
2001-06-12,346.647
2001-06-13,346.745
2001-06-14,344.077
2001-06-15,342.761
2001-06-18,340.248
2001-06-19,339.149
2001-06-20,339.331
2001-06-21,341.003
2001-06-22,340.171
2001-06-25,340.16
2001-06-26,341.631
2001-06-27,342.197
2001-06-28,341.856
2001-06-29,346.765
2001-07-02,344.273
2001-07-03,344.071
2001-07-04,343.431
2001-07-05,341.244
2001-07-06,338.104
2001-07-09,337.6
2001-07-10,336.876
2001-07-11,335.569
2001-07-12,338.885
2001-07-13,338.945
2001-07-16,337.539
2001-07-17,338.474
2001-07-18,338.69
2001-07-19,339.731
2001-07-20,339.95
2001-07-23,336.693
2001-07-24,334.544
2001-07-25,335.811
2001-07-26,337.808
2001-07-27,338.015
2001-07-30,337.552
2001-07-31,338.906
2001-08-01,341.555
2001-08-02,343.528
2001-08-03,343.279
2001-08-06,341.099
2001-08-07,340.889
2001-08-08,339.382
2001-08-09,339.347
2001-08-10,341.203
2001-08-13,341.528
2001-08-14,343.654
2001-08-15,346.216
2001-08-16,347.163
2001-08-17,345.692
2001-08-20,344.972
2001-08-21,344.884
2001-08-22,346.949
2001-08-23,345.229
2001-08-24,346.673
2001-08-27,346.008
2001-08-28,344.269
2001-08-29,343.907
2001-08-30,341.242
2001-08-31,340.692
2001-09-03,338.846
2001-09-04,337.981
2001-09-05,335.764
2001-09-06,332.557
2001-09-07,329.85
2001-09-10,325.466
2001-09-11,323.966
2001-09-12,318.465
2001-09-13,319.046
2001-09-14,318.783
2001-09-17,307.191
2001-09-18,306.656
2001-09-19,305.095
2001-09-20,297.264
2001-09-21,289.723
2001-09-24,294.985
2001-09-25,297.808
2001-09-26,297.285
2001-09-27,298.079
2001-09-28,303.465
2001-10-01,302.48
2001-10-02,303.761
2001-10-03,306.601
2001-10-04,308.942
2001-10-05,308.824
2001-10-08,306.961
2001-10-09,306.239
2001-10-10,309.208
2001-10-11,312.531
2001-10-12,312.102
2001-10-15,312.715
2001-10-16,314.625
2001-10-17,312.973
2001-10-18,310.438
2001-10-19,310.784
2001-10-22,311.78
2001-10-23,311.575
2001-10-24,312.098
2001-10-25,315.189
2001-10-26,315.966
2001-10-29,314.493
2001-10-30,311.828
2001-10-31,312.68
2001-11-01,314.881
2001-11-02,314.253
2001-11-05,315.715
2001-11-06,318.175
2001-11-07,317.781
2001-11-08,317.97
2001-11-09,317.587
2001-11-12,317.583
2001-11-13,319.09
2001-11-14,321.147
2001-11-15,321.283
2001-11-16,322.546
2001-11-19,324.938
2001-11-20,324.248
2001-11-21,323.237
2001-11-22,323.783
2001-11-23,325.704
2001-11-26,327.774
2001-11-27,327.374
2001-11-28,325.021
2001-11-29,327.027
2001-11-30,327.608
2001-12-03,325.369
2001-12-04,328.425
2001-12-05,332.309
2001-12-06,334.197
2001-12-07,333.971
2001-12-10,331.688
2001-12-11,330.839
2001-12-12,332.094
2001-12-13,329.217
2001-12-14,329.596
2001-12-17,331.349
2001-12-18,331.906
2001-12-19,330.132
2001-12-20,328.831
2001-12-21,330.332
2001-12-24,330.581
2001-12-25,330.951
2001-12-26,331.936
2001-12-27,334.249
2001-12-28,335.865
2001-12-31,336.443
2002-01-01,336.425
2002-01-02,336.994
2002-01-03,339.49
2002-01-04,341.667
2002-01-07,340.892
2002-01-08,340.653
2002-01-09,339.743
2002-01-10,339.383
2002-01-11,337.891
2002-01-14,335.777
2002-01-15,335.511
2002-01-16,332.306
2002-01-17,333.612
2002-01-18,332.925
2002-01-21,333.82
2002-01-22,331.785
2002-01-23,333.886
2002-01-24,334.463
2002-01-25,334.114
2002-01-28,335.409
2002-01-29,333.114
2002-01-30,333.871
2002-01-31,335.461
2002-02-01,334.695
2002-02-04,332.445
2002-02-05,331.112
2002-02-06,329.862
2002-02-07,328.701
2002-02-08,331.745
2002-02-11,334.4
2002-02-12,335.63
2002-02-13,337.373
2002-02-14,337.331
2002-02-15,337.865
2002-02-18,337.942
2002-02-19,335.097
2002-02-20,336.636
2002-02-21,335.214
2002-02-22,337.586
2002-02-25,337.958
2002-02-26,338.994
2002-02-27,340.939
2002-02-28,341.161
2002-03-01,344.857
2002-03-04,350.738
2002-03-05,350.7
2002-03-06,354.32
2002-03-07,357.444
2002-03-08,358.357
2002-03-11,360.043
2002-03-12,358.496
2002-03-13,357.363
2002-03-14,358.949
2002-03-15,360.596
2002-03-18,361.423
2002-03-19,363.069
2002-03-20,362.208
2002-03-21,363.611
2002-03-22,362.905
2002-03-25,360.833
2002-03-26,362.464
2002-03-27,365.188
2002-03-28,365.464
2002-03-29,364.693
2002-04-01,364.549
2002-04-02,364.616
2002-04-03,364.33
2002-04-04,365.794
2002-04-05,366.688
2002-04-08,368.381
2002-04-09,368.198
2002-04-10,372.137
2002-04-11,370.469
2002-04-12,372.96
2002-04-15,372.592
2002-04-16,376.614
2002-04-17,377.458
2002-04-18,377.991
2002-04-19,378.236
2002-04-22,376.879
2002-04-23,376.46
2002-04-24,376.208
2002-04-25,377.051
2002-04-26,375.255
2002-04-29,374.702
2002-04-30,377.049
2002-05-01,378.543
2002-05-02,379.931
2002-05-03,381.523
2002-05-06,378.582
2002-05-07,376.331
2002-05-08,379.127
2002-05-09,377.144
2002-05-10,375.293
2002-05-13,376.631
2002-05-14,378.945
2002-05-15,381.033
2002-05-16,380.258
2002-05-17,382.955
2002-05-20,381.536
2002-05-21,379.563
2002-05-22,380.395
2002-05-23,381.964
2002-05-24,381.667
2002-05-27,381.893
2002-05-28,382.046
2002-05-29,380.618
2002-05-30,381.092
2002-05-31,380.91
2002-06-03,377.003
2002-06-04,375.528
2002-06-05,375.274
2002-06-06,372.165
2002-06-07,372.449
2002-06-10,372.304
2002-06-11,369.757
2002-06-12,369.061
2002-06-13,365.676
2002-06-14,363.885
2002-06-17,367.7
2002-06-18,368.293
2002-06-19,364.214
2002-06-20,363.3
2002-06-21,364.071
2002-06-24,363.098
2002-06-25,360.525
2002-06-26,358.858
2002-06-27,361.424
2002-06-28,366.076
2002-07-01,363.208
2002-07-02,356.759
2002-07-03,353.671
2002-07-04,353.797
2002-07-05,359.748
2002-07-08,358.984
2002-07-09,357.595
2002-07-10,351.631
2002-07-11,347.523
2002-07-12,345.857
2002-07-15,343.052
2002-07-16,340.268
2002-07-17,340.488
2002-07-18,337.443
2002-07-19,331.771
2002-07-22,324.068
2002-07-23,314.716
2002-07-24,318.414
2002-07-25,321.451
2002-07-26,320.869
2002-07-29,330.693
2002-07-30,333.329
2002-07-31,331.901
2002-08-01,328.882
2002-08-02,323.478
2002-08-05,317.393
2002-08-06,319.0
2002-08-07,322.722
2002-08-08,326.067
2002-08-09,327.913
2002-08-12,327.703
2002-08-13,323.849
2002-08-14,329.869
2002-08-15,331.051
2002-08-16,332.877
2002-08-19,334.498
2002-08-20,333.342
2002-08-21,337.687
2002-08-22,339.771
2002-08-23,336.095
2002-08-26,339.623
2002-08-27,338.262
2002-08-28,334.301
2002-08-29,334.087
2002-08-30,333.695
2002-09-02,333.392
2002-09-03,327.89
2002-09-04,329.647
2002-09-05,325.99
2002-09-06,329.182
2002-09-09,329.253
2002-09-10,329.763
2002-09-11,330.23
2002-09-12,326.8
2002-09-13,326.686
2002-09-16,324.018
2002-09-17,321.571
