Date,ACWI SMALL VALUE Small Cap
1994-05-31,244.387
1994-06-30,248.805
1994-07-29,250.639
1994-08-31,255.035
1994-09-30,250.434
1994-10-31,251.278
1994-11-30,238.504
1994-12-30,242.506
1995-01-31,239.494
1995-02-28,238.898
1995-03-31,245.28
1995-04-28,250.019
1995-05-31,249.387
1995-06-30,249.942
1995-07-31,260.908
1995-08-31,258.574
1995-09-29,260.545
1995-10-31,251.939
1995-11-30,256.781
1995-12-29,265.435
1996-01-31,268.778
1996-02-29,273.632
1996-03-29,277.774
1996-04-30,289.707
1996-05-31,292.18
1996-06-28,291.086
1996-07-31,278.842
1996-08-30,283.083
1996-09-30,285.609
1996-10-31,283.757
1996-11-29,290.339
1996-12-31,290.284
1997-01-31,290.253
1997-02-28,292.818
1997-03-31,286.644
1997-04-30,284.697
1997-05-30,305.074
1997-06-30,317.108
1997-07-31,318.785
1997-08-29,314.658
1997-09-30,324.365
1997-10-31,313.142
1997-11-28,304.873
1997-12-31,304.169
1998-01-30,308.15
1998-02-27,328.613
1998-03-31,341.121
1998-04-30,343.433
1998-05-29,336.934
1998-06-30,327.662
1998-07-31,314.277
1998-08-31,270.948
1998-09-30,274.36
1998-10-30,287.385
1998-11-30,300.038
1998-12-31,307.51
1999-01-29,302.917
1999-02-26,291.247
1999-03-31,299.785
1999-04-30,325.688
1999-05-31,326.193
1999-06-30,342.522
1999-07-30,346.271
1999-08-31,344.058
1999-09-30,340.689
1999-10-29,335.021
1999-11-30,336.291
1999-12-31,345.367
2000-01-31,340.3
2000-02-29,344.19
2000-03-31,352.84
2000-04-28,334.026
2000-05-31,330.521
2000-06-30,346.917
2000-07-31,340.554
2000-08-31,351.458
2000-09-29,342.398
2000-10-31,327.979
2000-11-30,320.565
2000-12-29,338.432
2001-01-31,352.197
2001-02-28,344.975
2001-03-30,328.705
2001-04-30,347.579
2001-05-31,356.216
2001-06-29,357.312
2001-07-31,349.162
2001-08-31,350.946
2001-09-28,312.491
2001-10-31,321.943
2001-11-30,337.252
2001-12-31,346.265
2002-01-31,345.225
2002-02-28,351.034
2002-03-29,375.046
2002-04-30,387.606
2002-05-31,391.398
2002-06-28,376.027
2002-07-31,340.853
2002-08-30,342.564
2002-09-30,315.563
2002-10-31,319.806
2002-11-29,337.057
2002-12-31,332.252
2003-01-31,325.453
2003-02-28,319.514
2003-03-31,318.993
2003-04-30,348.602
2003-05-30,380.925
2003-06-30,392.187
2003-07-31,407.337
2003-08-29,425.103
2003-09-30,433.08
2003-10-31,463.093
2003-11-28,475.696
2003-12-31,500.705
2004-01-30,518.741
2004-02-27,533.417
