Date,ACWI SMALL VALUE Small Cap
2001-12-19,339.831
2001-12-20,338.488
2001-12-21,340.017
2001-12-24,340.272
2001-12-25,340.649
2001-12-26,341.655
2001-12-27,344.016
2001-12-28,345.672
2001-12-31,346.265
2002-01-01,346.246
2002-01-02,346.831
2002-01-03,349.399
2002-01-04,351.639
2002-01-07,350.841
2002-01-08,350.594
2002-01-09,349.655
2002-01-10,349.283
2002-01-11,347.746
2002-01-14,345.568
2002-01-15,345.294
2002-01-16,341.991
2002-01-17,343.335
2002-01-18,342.629
2002-01-21,343.548
2002-01-22,341.454
2002-01-23,343.615
2002-01-24,344.208
2002-01-25,343.848
2002-01-28,345.18
2002-01-29,342.815
2002-01-30,343.592
2002-01-31,345.225
2002-02-01,344.434
2002-02-04,342.115
2002-02-05,340.742
2002-02-06,339.451
2002-02-07,338.254
2002-02-08,341.386
2002-02-11,344.117
2002-02-12,345.381
2002-02-13,347.169
2002-02-14,347.125
2002-02-15,347.672
2002-02-18,347.751
2002-02-19,344.82
2002-02-20,346.396
2002-02-21,344.932
2002-02-22,347.371
2002-02-25,347.748
2002-02-26,348.812
2002-02-27,350.807
2002-02-28,351.034
2002-03-01,354.836
2002-03-04,360.881
2002-03-05,360.839
2002-03-06,364.547
2002-03-07,367.757
2002-03-08,368.689
2002-03-11,370.423
2002-03-12,368.83
2002-03-13,367.645
2002-03-14,369.264
2002-03-15,370.958
2002-03-18,371.801
2002-03-19,373.488
2002-03-20,372.6
2002-03-21,374.042
2002-03-22,373.3
2002-03-25,371.166
2002-03-26,372.77
2002-03-27,375.559
2002-03-28,375.839
2002-03-29,375.046
2002-04-01,374.898
2002-04-02,374.959
2002-04-03,374.653
2002-04-04,376.157
2002-04-05,377.066
2002-04-08,378.801
2002-04-09,378.607
2002-04-10,382.655
2002-04-11,380.937
2002-04-12,383.485
2002-04-15,383.105
2002-04-16,387.239
2002-04-17,388.103
2002-04-18,388.648
2002-04-19,388.895
2002-04-22,387.483
2002-04-23,387.051
2002-04-24,386.787
2002-04-25,387.644
2002-04-26,385.791
2002-04-29,385.203
2002-04-30,387.606
2002-05-01,389.14
2002-05-02,390.559
2002-05-03,392.191
2002-05-06,389.143
2002-05-07,386.825
2002-05-08,389.691
2002-05-09,387.652
2002-05-10,385.741
2002-05-13,387.107
2002-05-14,389.481
2002-05-15,391.612
2002-05-16,390.806
2002-05-17,393.568
2002-05-20,392.093
2002-05-21,390.059
2002-05-22,390.909
2002-05-23,392.52
2002-05-24,392.212
2002-05-27,392.44
2002-05-28,392.59
2002-05-29,391.11
2002-05-30,391.593
2002-05-31,391.398
2002-06-03,387.377
2002-06-04,385.86
2002-06-05,385.592
2002-06-06,382.393
2002-06-07,382.683
2002-06-10,382.53
2002-06-11,379.907
2002-06-12,379.182
2002-06-13,375.7
2002-06-14,373.852
2002-06-17,377.769
2002-06-18,378.376
2002-06-19,374.184
2002-06-20,373.241
2002-06-21,374.032
2002-06-24,373.01
2002-06-25,370.362
2002-06-26,368.627
2002-06-27,371.25
2002-06-28,376.027
2002-07-01,373.073
2002-07-02,366.443
2002-07-03,363.27
2002-07-04,363.398
2002-07-05,369.509
2002-07-08,368.719
2002-07-09,367.289
2002-07-10,361.161
2002-07-11,356.938
2002-07-12,355.227
2002-07-15,352.343
2002-07-16,349.484
2002-07-17,349.706
2002-07-18,346.578
2002-07-19,340.752
2002-07-22,332.84
2002-07-23,323.229
2002-07-24,327.024
2002-07-25,330.14
2002-07-26,329.54
2002-07-29,339.622
2002-07-30,342.323
2002-07-31,340.853
2002-08-01,337.745
2002-08-02,332.195
2002-08-05,325.945
2002-08-06,327.594
2002-08-07,331.406
