Date,ACWI SMALL VALUE Small Cap
1994-05-31,234.195
1994-06-30,238.48
1994-07-29,240.279
1994-08-31,244.504
1994-09-30,240.115
1994-10-31,240.932
1994-11-30,228.688
1994-12-30,232.535
1995-01-31,229.657
1995-02-28,229.089
1995-03-31,235.261
1995-04-28,239.84
1995-05-31,239.297
1995-06-30,239.895
1995-07-31,250.465
1995-08-31,248.23
1995-09-29,250.147
1995-10-31,241.896
1995-11-30,246.549
1995-12-29,254.87
1996-01-31,258.09
1996-02-29,262.756
1996-03-29,266.786
1996-04-30,278.286
1996-05-31,280.747
1996-06-28,279.773
1996-07-31,268.059
1996-08-30,272.145
1996-09-30,274.6
1996-10-31,272.827
1996-11-29,279.166
1996-12-31,279.129
1997-01-31,279.116
1997-02-28,281.589
1997-03-31,275.7
1997-04-30,273.872
1997-05-30,293.559
1997-06-30,305.227
1997-07-31,306.895
1997-08-29,302.944
1997-09-30,312.333
1997-10-31,301.54
1997-11-28,293.591
1997-12-31,292.934
1998-01-30,296.78
1998-02-27,316.506
1998-03-31,328.616
1998-04-30,330.901
1998-05-29,324.741
1998-06-30,315.896
1998-07-31,303.043
1998-08-31,261.28
1998-09-30,264.607
1998-10-30,277.179
1998-11-30,289.395
1998-12-31,296.622
1999-01-29,292.213
1999-02-26,280.982
1999-03-31,289.314
1999-04-30,314.369
1999-05-31,314.923
1999-06-30,330.757
1999-07-30,334.415
1999-08-31,332.316
1999-09-30,329.134
1999-10-29,323.682
1999-11-30,324.944
1999-12-31,333.764
2000-01-31,328.895
2000-02-29,332.694
2000-03-31,341.173
2000-04-28,323.047
2000-05-31,319.757
2000-06-30,335.737
2000-07-31,329.622
2000-08-31,340.233
2000-09-29,331.551
2000-10-31,317.615
2000-11-30,310.482
2000-12-29,327.85
2001-01-31,341.215
2001-02-28,334.26
2001-03-30,318.649
2001-04-30,337.034
2001-05-31,345.581
2001-06-29,346.765
2001-07-31,338.906
2001-08-31,340.692
2001-09-28,303.465
2001-10-31,312.68
2001-11-30,327.608
2001-12-31,336.443
2002-01-31,335.461
2002-02-28,341.161
2002-03-29,364.693
2002-04-30,377.049
2002-05-31,380.91
2002-06-28,366.076
2002-07-31,331.901
2002-08-30,333.695
2002-09-30,307.578
2002-10-31,311.845
2002-11-29,328.812
2002-12-31,324.315
2003-01-31,317.772
2003-02-28,312.132
2003-03-31,311.905
2003-04-30,341.099
2003-05-30,373.014
2003-06-30,384.271
2003-07-31,399.26
2003-08-29,416.84
2003-09-30,424.866
2003-10-31,454.45
2003-11-28,466.974
2003-12-31,491.772
2004-01-30,509.593
2004-02-27,524.19
2004-03-31,536.28
2004-04-30,511.388
2004-05-31,515.045
2004-06-30,535.668
2004-07-30,517.873
2004-08-31,524.726
2004-09-30,542.37
2004-10-29,554.991
2004-11-30,598.842
2004-12-31,625.101
2005-01-31,617.771
2005-02-28,640.285
2005-03-31,627.876
2005-04-29,608.61
2005-05-31,626.087
2005-06-30,644.771
2005-07-29,674.365
2005-08-31,677.059
2005-09-30,691.394
2005-10-31,669.243
2005-11-30,695.903
2005-12-30,716.21
2006-01-31,766.821
2006-02-28,769.555
2006-03-31,796.033
2006-04-28,817.453
2006-05-31,781.743
2006-06-30,775.242
2006-07-31,769.17
2006-08-31,790.007
2006-09-29,797.85
2006-10-31,833.764
2006-11-30,868.819
2006-12-29,887.451
2007-01-31,903.269
2007-02-28,912.85
2007-03-30,934.101
2007-04-30,969.335
2007-05-31,1000.0
2007-06-29,985.483
2007-07-31,955.341
2007-08-31,939.733
2007-09-28,959.041
2007-10-31,987.586
2007-11-30,919.005
2007-12-31,902.865
2008-01-31,843.967
2008-02-29,845.024
2008-03-31,838.79
2008-04-30,867.261
2008-05-30,884.689
2008-06-30,793.646
2008-07-31,792.242
2008-08-29,793.48
2008-09-30,703.419
2008-10-31,545.941
2008-11-28,504.67
2008-12-31,541.107
2009-01-30,492.05
2009-02-27,436.019
2009-03-31,476.723
2009-04-30,568.333
2009-05-29,627.672
2009-06-30,632.102
2009-07-31,697.813
2009-08-31,749.431
2009-09-30,792.67
2009-10-30,761.506
2009-11-30,779.216
2009-12-31,814.696
2010-01-29,797.639
2010-02-26,813.638
2010-03-31,876.549
2010-04-30,910.163
