Date,IRELAND Standard (Large+Mid Cap)
2001-12-19,379.434
2001-12-20,383.887
2001-12-21,389.619
2001-12-24,385.731
2001-12-25,385.731
2001-12-26,386.061
2001-12-27,389.634
2001-12-28,391.416
2001-12-31,398.099
2002-01-01,398.099
2002-01-02,398.201
2002-01-03,392.981
2002-01-04,391.247
2002-01-07,391.012
2002-01-08,388.128
2002-01-09,385.337
2002-01-10,381.343
2002-01-11,383.622
2002-01-14,384.217
2002-01-15,386.382
2002-01-16,384.87
2002-01-17,387.159
2002-01-18,376.629
2002-01-21,372.591
2002-01-22,373.805
2002-01-23,375.017
2002-01-24,376.177
2002-01-25,366.956
2002-01-28,363.696
2002-01-29,359.702
2002-01-30,338.435
2002-01-31,343.326
2002-02-01,349.808
2002-02-04,323.709
2002-02-05,311.207
2002-02-06,301.392
2002-02-07,299.149
2002-02-08,304.288
2002-02-11,304.72
2002-02-12,309.536
2002-02-13,311.159
2002-02-14,310.32
2002-02-15,310.296
2002-02-18,305.847
2002-02-19,305.08
2002-02-20,302.233
2002-02-21,304.15
2002-02-22,305.297
2002-02-25,308.778
2002-02-26,312.301
2002-02-27,313.084
2002-02-28,313.485
2002-03-01,313.89
2002-03-04,321.35
2002-03-05,320.906
2002-03-06,319.348
2002-03-07,321.768
2002-03-08,320.007
2002-03-11,322.61
2002-03-12,323.355
2002-03-13,326.333
2002-03-14,327.467
2002-03-15,328.582
2002-03-18,330.128
2002-03-19,334.449
2002-03-20,333.533
2002-03-21,332.324
2002-03-22,336.276
2002-03-25,337.485
2002-03-26,331.652
2002-03-27,331.625
2002-03-28,334.109
2002-03-29,334.109
2002-04-01,336.847
2002-04-02,341.725
2002-04-03,337.976
2002-04-04,334.718
2002-04-05,332.858
2002-04-08,328.472
2002-04-09,325.857
2002-04-10,326.804
2002-04-11,327.044
2002-04-12,325.082
2002-04-15,327.594
2002-04-16,326.658
2002-04-17,330.601
2002-04-18,329.181
2002-04-19,332.192
2002-04-22,336.029
2002-04-23,335.292
2002-04-24,337.148
2002-04-25,336.731
2002-04-26,338.381
2002-04-29,340.851
2002-04-30,340.608
2002-05-01,341.509
2002-05-02,343.224
2002-05-03,350.009
2002-05-06,351.179
2002-05-07,344.912
2002-05-08,348.079
2002-05-09,351.0
2002-05-10,353.626
2002-05-13,353.702
2002-05-14,349.934
2002-05-15,353.068
2002-05-16,349.003
2002-05-17,353.724
2002-05-20,355.437
2002-05-21,348.742
2002-05-22,353.61
2002-05-23,353.402
2002-05-24,351.559
2002-05-27,353.334
2002-05-28,354.978
2002-05-29,358.758
2002-05-30,358.885
2002-05-31,357.568
2002-06-03,359.003
2002-06-04,358.041
2002-06-05,356.742
2002-06-06,360.051
2002-06-07,354.431
2002-06-10,355.897
2002-06-11,354.398
2002-06-12,349.359
2002-06-13,348.234
2002-06-14,340.58
2002-06-17,338.918
2002-06-18,340.379
2002-06-19,340.844
2002-06-20,337.134
2002-06-21,340.271
2002-06-24,341.84
2002-06-25,342.299
2002-06-26,337.015
2002-06-27,332.519
2002-06-28,338.099
2002-07-01,332.824
2002-07-02,323.471
2002-07-03,307.49
2002-07-04,310.495
2002-07-05,314.018
2002-07-08,317.381
2002-07-09,323.127
2002-07-10,316.875
2002-07-11,309.788
2002-07-12,314.733
2002-07-15,312.941
2002-07-16,313.193
2002-07-17,316.385
2002-07-18,319.192
2002-07-19,316.076
2002-07-22,307.191
2002-07-23,295.804
2002-07-24,278.774
2002-07-25,288.747
2002-07-26,286.049
2002-07-29,289.101
2002-07-30,289.62
2002-07-31,296.831
2002-08-01,298.652
2002-08-02,300.092
2002-08-05,295.741
2002-08-06,294.203
2002-08-07,298.599
2002-08-08,298.793
2002-08-09,301.235
2002-08-12,304.281
2002-08-13,312.333
2002-08-14,316.561
2002-08-15,321.394
2002-08-16,320.878
2002-08-19,316.986
2002-08-20,312.176
2002-08-21,316.067
2002-08-22,315.359
2002-08-23,312.891
2002-08-26,314.575
2002-08-27,315.959
2002-08-28,311.987
2002-08-29,309.06
2002-08-30,310.988
2002-09-02,307.548
2002-09-03,300.557
2002-09-04,297.155
2002-09-05,293.6
2002-09-06,295.328
2002-09-09,296.569
2002-09-10,299.533
2002-09-11,304.974
2002-09-12,298.402
2002-09-13,294.174
2002-09-16,294.177
2002-09-17,298.716
2002-09-18,290.945
2002-09-19,288.327
2002-09-20,289.222
2002-09-23,281.251
2002-09-24,273.401
2002-09-25,273.101
2002-09-26,281.364
2002-09-27,277.406
2002-09-30,268.083
2002-10-01,268.79
2002-10-02,274.143
2002-10-03,271.351
2002-10-04,267.292
2002-10-07,259.839
2002-10-08,256.949
2002-10-09,251.332
2002-10-10,253.778
2002-10-11,269.353
2002-10-14,268.064
2002-10-15,277.759
2002-10-16,273.451
2002-10-17,277.56
2002-10-18,282.875
2002-10-21,284.177
2002-10-22,286.628
2002-10-23,283.471
2002-10-24,289.535
2002-10-25,288.546
2002-10-28,294.405
2002-10-29,288.385
2002-10-30,287.391
2002-10-31,301.596
2002-11-01,305.264
2002-11-04,317.087
2002-11-05,312.776
2002-11-06,307.523
2002-11-07,309.567
2002-11-08,308.042
2002-11-11,306.978
2002-11-12,312.601
2002-11-13,311.998
2002-11-14,308.505
2002-11-15,310.241
2002-11-18,313.707
2002-11-19,313.635
2002-11-20,307.174
2002-11-21,309.733
2002-11-22,304.536
2002-11-25,304.931
2002-11-26,303.649
2002-11-27,305.557
2002-11-28,309.417
2002-11-29,313.717
2002-12-02,315.081
2002-12-03,309.488
2002-12-04,311.248
2002-12-05,303.256
2002-12-06,302.307
2002-12-09,295.539
2002-12-10,298.25
2002-12-11,303.853
2002-12-12,296.718
2002-12-13,290.454
2002-12-16,291.363
2002-12-17,293.198
2002-12-18,286.998
2002-12-19,288.004
2002-12-20,290.114
2002-12-23,289.069
2002-12-24,290.265
2002-12-25,290.265
2002-12-26,290.997
2002-12-27,291.629
2002-12-30,294.307
2002-12-31,293.636
2003-01-01,293.636
2003-01-02,300.0
2003-01-03,305.669
2003-01-06,310.46
2003-01-07,309.424
2003-01-08,306.427
2003-01-09,309.371
2003-01-10,313.827
2003-01-13,313.108
2003-01-14,313.889
2003-01-15,308.019
2003-01-16,307.565
2003-01-17,306.7
2003-01-20,308.571
2003-01-21,307.535
2003-01-22,305.371
2003-01-23,303.553
2003-01-24,303.989
2003-01-27,295.985
2003-01-28,294.547
2003-01-29,292.665
2003-01-30,301.153
2003-01-31,302.05
2003-02-03,310.854
2003-02-04,304.551
2003-02-05,300.74
2003-02-06,295.91
2003-02-07,291.627
2003-02-10,291.876
2003-02-11,293.746
2003-02-12,291.619
2003-02-13,298.236
2003-02-14,299.769
2003-02-17,300.103
2003-02-18,301.61
2003-02-19,300.986
2003-02-20,305.883
2003-02-21,303.626
2003-02-24,299.6
2003-02-25,289.872
2003-02-26,289.141
2003-02-27,287.255
2003-02-28,293.188
2003-03-03,296.378
2003-03-04,301.051
2003-03-05,300.237
2003-03-06,301.423
2003-03-07,305.228
2003-03-10,307.266
2003-03-11,303.5
2003-03-12,300.663
2003-03-13,302.978
2003-03-14,303.679
2003-03-17,301.865
2003-03-18,304.742
2003-03-19,306.263
2003-03-20,305.443
