Date,IRELAND Standard (Large+Mid Cap)
2001-01-01,409.151
2001-01-02,415.221
2001-01-03,403.561
2001-01-04,409.464
2001-01-05,409.592
2001-01-08,403.929
2001-01-09,399.661
2001-01-10,394.974
2001-01-11,404.337
2001-01-12,403.373
2001-01-15,401.65
2001-01-16,399.41
2001-01-17,398.509
2001-01-18,404.604
2001-01-19,402.653
2001-01-22,402.681
2001-01-23,403.474
2001-01-24,410.01
2001-01-25,412.606
2001-01-26,413.602
2001-01-29,414.334
2001-01-30,409.494
2001-01-31,415.493
2001-02-01,415.999
2001-02-02,412.677
2001-02-05,416.771
2001-02-06,413.943
2001-02-07,420.395
2001-02-08,415.405
2001-02-09,412.61
2001-02-12,418.439
2001-02-13,418.085
2001-02-14,411.442
2001-02-15,408.703
2001-02-16,414.362
2001-02-19,414.959
2001-02-20,412.595
2001-02-21,410.847
2001-02-22,409.393
2001-02-23,410.917
2001-02-26,406.891
2001-02-27,412.876
2001-02-28,411.765
2001-03-01,417.728
2001-03-02,413.084
2001-03-05,412.655
2001-03-06,409.063
2001-03-07,406.33
2001-03-08,402.14
2001-03-09,398.222
2001-03-12,393.135
2001-03-13,384.132
2001-03-14,378.36
2001-03-15,379.823
2001-03-16,372.061
2001-03-19,370.021
2001-03-20,377.687
2001-03-21,366.973
2001-03-22,343.349
2001-03-23,355.42
2001-03-26,369.508
2001-03-27,385.596
2001-03-28,382.113
2001-03-29,374.338
2001-03-30,380.397
2001-04-02,377.974
2001-04-03,370.6
2001-04-04,373.183
2001-04-05,379.169
2001-04-06,384.377
2001-04-09,390.709
2001-04-10,394.746
2001-04-11,391.092
2001-04-12,389.803
2001-04-13,389.803
2001-04-16,385.811
2001-04-17,386.713
2001-04-18,385.305
2001-04-19,383.413
2001-04-20,387.904
2001-04-23,386.689
2001-04-24,385.323
2001-04-25,388.1
2001-04-26,390.314
2001-04-27,391.05
2001-04-30,396.403
2001-05-01,395.996
2001-05-02,397.576
2001-05-03,400.883
2001-05-04,402.165
2001-05-07,400.525
2001-05-08,402.14
2001-05-09,403.152
2001-05-10,409.727
2001-05-11,408.436
2001-05-14,409.632
2001-05-15,407.321
2001-05-16,410.767
2001-05-17,414.525
2001-05-18,416.452
2001-05-21,416.68
2001-05-22,421.056
2001-05-23,420.609
2001-05-24,409.918
2001-05-25,409.145
2001-05-28,411.032
2001-05-29,412.944
2001-05-30,413.151
2001-05-31,409.209
2001-06-01,412.648
2001-06-04,413.209
2001-06-05,420.435
2001-06-06,419.998
2001-06-07,418.679
2001-06-08,415.748
2001-06-11,409.051
2001-06-12,407.515
2001-06-13,410.326
2001-06-14,415.708
2001-06-15,425.234
2001-06-18,427.087
2001-06-19,426.624
2001-06-20,425.194
2001-06-21,423.04
2001-06-22,425.588
2001-06-25,423.092
2001-06-26,417.267
2001-06-27,416.919
2001-06-28,413.891
2001-06-29,420.884
2001-07-02,419.505
2001-07-03,421.344
2001-07-04,418.803
2001-07-05,413.539
2001-07-06,411.486
2001-07-09,418.066
2001-07-10,424.161
2001-07-11,421.985
2001-07-12,420.788
2001-07-13,421.522
2001-07-16,422.07
2001-07-17,416.656
2001-07-18,429.011
2001-07-19,432.956
2001-07-20,427.497
2001-07-23,431.09
2001-07-24,425.686
2001-07-25,414.856
2001-07-26,412.204
2001-07-27,414.821
2001-07-30,411.599
2001-07-31,411.377
2001-08-01,412.177
2001-08-02,414.055
2001-08-03,414.336
2001-08-06,407.424
2001-08-07,409.132
2001-08-08,408.679
2001-08-09,403.729
2001-08-10,407.256
2001-08-13,413.203
2001-08-14,414.682
2001-08-15,415.404
2001-08-16,416.213
2001-08-17,416.085
2001-08-20,414.81
2001-08-21,418.229
2001-08-22,416.712
2001-08-23,414.404
2001-08-24,418.096
2001-08-27,415.917
2001-08-28,415.683
2001-08-29,413.129
2001-08-30,404.051
2001-08-31,402.577
2001-09-03,401.924
2001-09-04,393.359
2001-09-05,394.733
2001-09-06,397.652
2001-09-07,397.008
2001-09-10,388.43
2001-09-11,386.128
2001-09-12,369.995
2001-09-13,377.805
2001-09-14,375.319
2001-09-17,367.204
2001-09-18,366.659
2001-09-19,352.31
2001-09-20,340.888
2001-09-21,329.606
2001-09-24,334.372
2001-09-25,339.22
2001-09-26,343.861
2001-09-27,348.904
2001-09-28,353.646
2001-10-01,350.386
2001-10-02,351.997
2001-10-03,354.55
2001-10-04,360.852
2001-10-05,367.09
2001-10-08,359.567
2001-10-09,356.376
2001-10-10,358.829
2001-10-11,363.702
2001-10-12,366.035
2001-10-15,366.706
2001-10-16,373.856
2001-10-17,375.796
2001-10-18,373.28
2001-10-19,364.62
2001-10-22,363.706
2001-10-23,371.035
2001-10-24,371.29
2001-10-25,368.055
2001-10-26,368.81
2001-10-29,366.344
2001-10-30,360.104
2001-10-31,360.497
2001-11-01,357.976
2001-11-02,357.594
2001-11-05,360.493
2001-11-06,363.932
2001-11-07,358.158
2001-11-08,355.423
2001-11-09,354.691
2001-11-12,350.249
2001-11-13,350.829
2001-11-14,348.377
2001-11-15,353.658
2001-11-16,355.413
2001-11-19,356.643
2001-11-20,366.4
2001-11-21,366.727
2001-11-22,367.954
2001-11-23,367.422
2001-11-26,370.213
2001-11-27,370.193
2001-11-28,368.832
2001-11-29,369.875
2001-11-30,378.262
2001-12-03,375.771
2001-12-04,379.069
2001-12-05,385.59
2001-12-06,388.776
2001-12-07,388.523
2001-12-10,387.158
2001-12-11,384.303
2001-12-12,379.06
2001-12-13,378.235
2001-12-14,370.665
2001-12-17,381.892
2001-12-18,381.856
2001-12-19,379.063
2001-12-20,383.512
2001-12-21,389.238
2001-12-24,385.354
2001-12-25,385.354
2001-12-26,385.683
2001-12-27,389.252
2001-12-28,391.033
2001-12-31,397.709
2002-01-01,397.709
2002-01-02,397.811
2002-01-03,392.597
2002-01-04,390.865
2002-01-07,390.629
2002-01-08,387.749
