Date,KOKUSAI INDEX (WORLD ex JP) IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,511.944
2001-01-02,507.912
2001-01-03,513.471
2001-01-04,512.295
2001-01-05,508.318
2001-01-08,508.036
2001-01-09,505.11
2001-01-10,506.56
2001-01-11,509.103
2001-01-12,507.346
2001-01-15,507.067
2001-01-16,508.254
2001-01-17,508.074
2001-01-18,510.138
2001-01-19,505.763
2001-01-22,507.484
2001-01-23,511.423
2001-01-24,510.013
2001-01-25,511.549
2001-01-26,511.128
2001-01-29,513.562
2001-01-30,517.715
2001-01-31,518.582
2001-02-01,521.493
2001-02-02,517.484
2001-02-05,520.522
2001-02-06,519.498
2001-02-07,517.416
2001-02-08,515.051
2001-02-09,513.907
2001-02-12,518.67
2001-02-13,516.207
2001-02-14,512.593
2001-02-15,510.951
2001-02-16,509.782
2001-02-19,510.635
2001-02-20,504.665
2001-02-21,499.125
2001-02-22,497.438
2001-02-23,494.374
2001-02-26,500.261
2001-02-27,501.64
2001-02-28,498.822
2001-03-01,498.645
2001-03-02,501.745
2001-03-05,502.598
2001-03-06,505.02
2001-03-07,507.27
2001-03-08,509.829
2001-03-09,504.521
2001-03-12,491.858
2001-03-13,488.918
2001-03-14,477.244
2001-03-15,480.979
2001-03-16,471.298
2001-03-19,474.676
2001-03-20,471.499
2001-03-21,462.157
2001-03-22,449.747
2001-03-23,457.98
2001-03-26,467.052
2001-03-27,476.693
2001-03-28,469.817
2001-03-29,469.892
2001-03-30,475.018
2001-04-02,472.015
2001-04-03,461.553
2001-04-04,464.224
2001-04-05,474.284
2001-04-06,469.989
2001-04-09,474.869
2001-04-10,481.674
2001-04-11,478.683
2001-04-12,482.911
2001-04-13,482.911
2001-04-16,482.157
2001-04-17,483.954
2001-04-18,491.462
2001-04-19,494.88
2001-04-20,493.207
2001-04-23,490.212
2001-04-24,488.581
2001-04-25,493.105
2001-04-26,496.792
2001-04-27,500.633
2001-04-30,498.823
2001-05-01,502.028
2001-05-02,500.656
2001-05-03,496.067
2001-05-04,500.759
2001-05-07,500.661
2001-05-08,498.134
2001-05-09,497.884
2001-05-10,500.86
2001-05-11,497.567
2001-05-14,496.606
2001-05-15,500.069
2001-05-16,508.768
2001-05-17,510.504
2001-05-18,511.581
2001-05-21,514.736
2001-05-22,513.467
2001-05-23,508.296
2001-05-24,508.44
2001-05-25,505.617
2001-05-28,506.116
2001-05-29,504.518
2001-05-30,500.942
2001-05-31,502.018
2001-06-01,502.515
2001-06-04,505.102
2001-06-05,508.523
2001-06-06,504.032
2001-06-07,504.462
2001-06-08,502.25
2001-06-11,498.492
2001-06-12,497.802
2001-06-13,497.45
2001-06-14,491.995
2001-06-15,490.542
2001-06-18,487.746
2001-06-19,488.179
2001-06-20,488.259
2001-06-21,492.002
2001-06-22,491.082
2001-06-25,490.078
2001-06-26,488.156
2001-06-27,487.388
2001-06-28,489.672
2001-06-29,492.753
2001-07-02,496.092
2001-07-03,494.456
2001-07-04,493.888
2001-07-05,490.654
2001-07-06,484.24
2001-07-09,485.746
2001-07-10,483.682
2001-07-11,482.744
2001-07-12,487.21
2001-07-13,489.241
2001-07-16,487.316
2001-07-17,488.351
2001-07-18,489.303
2001-07-19,491.26
2001-07-20,489.77
2001-07-23,486.218
2001-07-24,479.932
2001-07-25,483.091
2001-07-26,486.186
2001-07-27,488.189
2001-07-30,489.906
2001-07-31,493.069
