Date,KOKUSAI INDEX (WORLD ex JP) IMI VALUE IMI (Large+Mid+Small Cap)
2016-03-31,1176.563
2016-04-29,1204.926
2016-05-31,1210.872
2016-06-30,1199.583
2016-07-29,1243.309
2016-08-31,1253.235
2016-09-30,1258.512
2016-10-31,1241.112
2016-11-30,1285.115
2016-12-30,1331.822
2017-01-31,1348.124
2017-02-28,1381.159
2017-03-31,1390.789
2017-04-28,1400.857
2017-05-31,1412.471
2017-06-30,1432.948
2017-07-31,1466.641
2017-08-31,1454.822
2017-09-29,1502.411
2017-10-31,1513.235
2017-11-30,1545.707
2017-12-29,1568.572
2018-01-31,1632.227
2018-02-28,1545.955
2018-03-30,1518.843
2018-04-30,1539.62
2018-05-31,1529.731
2018-06-29,1531.053
2018-07-31,1586.517
2018-08-31,1582.281
2018-09-28,1588.756
2018-10-31,1499.205
2018-11-30,1525.931
2018-12-31,1402.225
2019-01-31,1510.354
2019-02-28,1556.637
2019-03-29,1558.374
2019-04-30,1607.907
2019-05-31,1503.887
2019-06-28,1600.403
2019-07-31,1599.16
2019-08-30,1546.239
2019-09-30,1606.703
2019-10-31,1637.951
2019-11-29,1675.193
2019-12-31,1730.904
2020-01-31,1677.744
2020-02-28,1515.174
2020-03-31,1237.894
2020-04-30,1357.8
2020-05-29,1396.984
2020-06-30,1413.692
2020-07-31,1458.08
2020-08-31,1522.777
2020-09-30,1471.155
2020-10-30,1435.527
2020-11-30,1665.239
2020-12-31,1730.595
2021-01-29,1718.0
2021-02-26,1804.594
2021-03-31,1909.226
2021-04-30,1979.698
2021-05-31,2039.217
2021-06-30,2010.514
2021-07-30,2022.22
2021-08-31,2057.349
2021-09-30,1988.482
2021-10-29,2090.59
2021-11-30,2011.906
2021-12-31,2147.669
2022-01-31,2110.214
2022-02-28,2080.379
2022-03-31,2132.038
2022-04-29,2025.917
2022-05-31,2069.687
2022-06-30,1879.483
2022-07-29,1975.48
2022-08-31,1914.21
2022-09-30,1749.63
2022-10-31,1928.496
2022-11-30,2064.883
2022-12-30,2006.136
2023-01-31,2110.613
2023-02-28,2052.089
