Date,KOKUSAI INDEX (WORLD ex JP) IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,490.436
2001-01-02,486.579
2001-01-03,491.917
2001-01-04,490.793
2001-01-05,486.983
2001-01-08,486.73
2001-01-09,483.93
2001-01-10,485.328
2001-01-11,487.772
2001-01-12,486.089
2001-01-15,485.822
2001-01-16,486.97
2001-01-17,486.805
2001-01-18,488.785
2001-01-19,484.593
2001-01-22,486.243
2001-01-23,490.018
2001-01-24,488.669
2001-01-25,490.142
2001-01-26,489.738
2001-01-29,492.08
2001-01-30,496.07
2001-01-31,496.914
2001-02-01,499.716
2001-02-02,495.875
2001-02-05,498.789
2001-02-06,497.814
2001-02-07,495.844
2001-02-08,493.58
2001-02-09,492.488
2001-02-12,497.057
2001-02-13,494.706
2001-02-14,491.261
2001-02-15,489.696
2001-02-16,488.579
2001-02-19,489.402
2001-02-20,483.682
2001-02-21,478.379
2001-02-22,476.771
2001-02-23,473.836
2001-02-26,479.487
2001-02-27,480.817
2001-02-28,478.137
2001-03-01,477.97
2001-03-02,480.942
2001-03-05,481.766
2001-03-06,484.089
2001-03-07,486.272
2001-03-08,488.729
2001-03-09,483.643
2001-03-12,471.506
2001-03-13,468.712
2001-03-14,457.523
2001-03-15,461.106
2001-03-16,451.826
2001-03-19,455.069
2001-03-20,452.025
2001-03-21,443.074
2001-03-22,431.181
2001-03-23,439.078
2001-03-26,447.779
2001-03-27,457.029
2001-03-28,450.461
2001-03-29,450.536
2001-03-30,455.455
2001-04-02,452.576
2001-04-03,442.551
2001-04-04,445.132
2001-04-05,454.784
2001-04-06,450.703
2001-04-09,455.387
2001-04-10,461.927
2001-04-11,459.072
2001-04-12,463.149
2001-04-13,463.149
2001-04-16,462.426
2001-04-17,464.158
2001-04-18,471.366
2001-04-19,474.659
2001-04-20,473.059
2001-04-23,470.191
2001-04-24,468.628
2001-04-25,472.977
2001-04-26,476.531
2001-04-27,480.242
2001-04-30,478.515
2001-05-01,481.591
2001-05-02,480.299
2001-05-03,475.916
2001-05-04,480.431
2001-05-07,480.347
2001-05-08,477.931
2001-05-09,477.714
2001-05-10,480.593
2001-05-11,477.458
2001-05-14,476.562
2001-05-15,479.888
2001-05-16,488.257
2001-05-17,489.935
2001-05-18,491.0
2001-05-21,494.068
2001-05-22,492.852
2001-05-23,487.911
2001-05-24,488.053
2001-05-25,485.349
2001-05-28,485.837
2001-05-29,484.333
2001-05-30,480.947
2001-05-31,482.0
2001-06-01,482.492
2001-06-04,484.982
2001-06-05,488.274
2001-06-06,483.987
2001-06-07,484.407
2001-06-08,482.307
2001-06-11,478.71
2001-06-12,478.05
2001-06-13,477.746
2001-06-14,472.524
2001-06-15,471.131
2001-06-18,468.509
2001-06-19,468.927
2001-06-20,469.008
2001-06-21,472.61
2001-06-22,471.727
2001-06-25,470.767
2001-06-26,468.923
2001-06-27,468.207
2001-06-28,470.404
2001-06-29,473.366
2001-07-02,476.585
2001-07-03,475.034
2001-07-04,474.49
2001-07-05,471.388
2001-07-06,465.254
2001-07-09,466.702
2001-07-10,464.726
2001-07-11,463.832
2001-07-12,468.126
2001-07-13,470.08
2001-07-16,468.231
2001-07-17,469.227
2001-07-18,470.151
2001-07-19,472.033
2001-07-20,470.602
2001-07-23,467.191
2001-07-24,461.151
2001-07-25,464.187
2001-07-26,467.164
2001-07-27,469.101
2001-07-30,470.755
2001-07-31,473.795
2001-08-01,476.192
2001-08-02,477.25
2001-08-03,475.814
2001-08-06,472.543
2001-08-07,473.227
2001-08-08,468.234
2001-08-09,467.732
2001-08-10,470.192
2001-08-13,471.223
2001-08-14,473.032
2001-08-15,474.134
2001-08-16,473.84
2001-08-17,469.433
2001-08-20,470.854
2001-08-21,470.365
2001-08-22,473.05
2001-08-23,471.667
2001-08-24,476.313
2001-08-27,474.474
2001-08-28,470.344
2001-08-29,468.197
2001-08-30,462.988
2001-08-31,463.281
2001-09-03,461.495
2001-09-04,462.408
2001-09-05,460.086
2001-09-06,453.031
2001-09-07,446.676
2001-09-10,444.669
2001-09-11,437.818
2001-09-12,437.109
2001-09-13,438.918
2001-09-14,433.988
2001-09-17,423.576
2001-09-18,421.146
2001-09-19,415.01
2001-09-20,401.005
2001-09-21,390.698
2001-09-24,403.872
2001-09-25,408.85
2001-09-26,409.793
2001-09-27,414.878
2001-09-28,423.484
2001-10-01,420.739
2001-10-02,424.737
2001-10-03,429.419
2001-10-04,432.339
2001-10-05,431.556
2001-10-08,428.606
2001-10-09,428.161
2001-10-10,434.926
2001-10-11,437.462
2001-10-12,435.197
2001-10-15,432.797
2001-10-16,436.388
2001-10-17,435.687
2001-10-18,430.036
2001-10-19,427.54
2001-10-22,431.081
2001-10-23,432.276
2001-10-24,432.085
2001-10-25,433.463
2001-10-26,437.732
2001-10-29,432.932
2001-10-30,426.231
2001-10-31,426.732
2001-11-01,432.584
2001-11-02,433.203
2001-11-05,437.61
2001-11-06,440.445
2001-11-07,441.593
2001-11-08,443.331
2001-11-09,442.963
2001-11-12,439.859
2001-11-13,445.877
2001-11-14,446.792
2001-11-15,446.253
2001-11-16,447.83
2001-11-19,451.313
2001-11-20,450.058
2001-11-21,447.289
2001-11-22,448.462
2001-11-23,450.895
2001-11-26,451.798
2001-11-27,449.306
2001-11-28,444.042
2001-11-29,447.041
2001-11-30,447.993
2001-12-03,444.899
2001-12-04,449.338
2001-12-05,457.462
2001-12-06,458.404
2001-12-07,456.21
2001-12-10,450.666
2001-12-11,449.065
2001-12-12,448.788
2001-12-13,444.161
2001-12-14,444.154
2001-12-17,449.666
2001-12-18,451.634
2001-12-19,452.629
2001-12-20,450.651
2001-12-21,451.846
2001-12-24,451.747
2001-12-25,451.747
2001-12-26,453.446
2001-12-27,458.488
2001-12-28,460.035
2001-12-31,459.099
2002-01-01,459.097
2002-01-02,460.315
2002-01-03,464.014
2002-01-04,466.777
2002-01-07,464.579
2002-01-08,462.053
2002-01-09,460.283
2002-01-10,459.913
2002-01-11,457.523
2002-01-14,453.659
2002-01-15,456.184
2002-01-16,450.101
2002-01-17,453.155
2002-01-18,451.543
2002-01-21,451.394
2002-01-22,450.347
2002-01-23,453.603
2002-01-24,455.184
2002-01-25,453.794
2002-01-28,454.708
2002-01-29,446.187
2002-01-30,447.042
2002-01-31,452.553
2002-02-01,451.428
2002-02-04,445.006
2002-02-05,441.729
2002-02-06,438.248
2002-02-07,439.154
2002-02-08,443.779
2002-02-11,448.922
2002-02-12,447.951
2002-02-13,450.789
2002-02-14,452.145
2002-02-15,449.948
2002-02-18,448.928
2002-02-19,442.604
2002-02-20,444.711
2002-02-21,443.482
2002-02-22,446.014
2002-02-25,451.076
2002-02-26,452.391
2002-02-27,454.176
2002-02-28,454.232
2002-03-01,460.952
2002-03-04,470.202
2002-03-05,468.127
2002-03-06,474.16
2002-03-07,475.123
2002-03-08,475.302
2002-03-11,476.398
2002-03-12,475.015
2002-03-13,473.609
2002-03-14,474.917
2002-03-15,479.323
2002-03-18,479.826
2002-03-19,482.465
2002-03-20,478.895
2002-03-21,478.419
2002-03-22,477.552
2002-03-25,472.76
2002-03-26,474.768
2002-03-27,476.879
2002-03-28,478.61
2002-03-29,478.609
2002-04-01,479.054
2002-04-02,478.162
2002-04-03,475.242
2002-04-04,474.308
2002-04-05,474.218
2002-04-08,472.97
2002-04-09,472.95
2002-04-10,478.234
2002-04-11,472.151
2002-04-12,473.925
2002-04-15,473.117
2002-04-16,481.395
2002-04-17,482.366
2002-04-18,482.106
2002-04-19,483.113
2002-04-22,478.646
2002-04-23,477.573
2002-04-24,476.084
2002-04-25,475.076
2002-04-26,472.19
2002-04-29,469.548
2002-04-30,473.919
2002-05-01,477.04
2002-05-02,478.494
2002-05-03,478.828
2002-05-06,473.631
2002-05-07,470.652
2002-05-08,478.666
2002-05-09,475.452
2002-05-10,471.913
2002-05-13,477.123
2002-05-14,481.408
2002-05-15,481.923
2002-05-16,482.768
2002-05-17,485.148
2002-05-20,481.645
2002-05-21,479.28
2002-05-22,480.433
2002-05-23,482.919
2002-05-24,480.793
2002-05-27,480.6
2002-05-28,478.889
2002-05-29,477.713
2002-05-30,475.976
2002-05-31,478.323
2002-06-03,470.662
2002-06-04,467.971
2002-06-05,467.554
2002-06-06,462.17
2002-06-07,461.681
2002-06-10,461.716
2002-06-11,458.005
2002-06-12,457.823
2002-06-13,453.29
2002-06-14,448.92
2002-06-17,459.64
2002-06-18,460.835
2002-06-19,455.266
2002-06-20,450.666
2002-06-21,447.825
2002-06-24,445.147
2002-06-25,443.27
2002-06-26,440.369
2002-06-27,444.984
2002-06-28,451.682
2002-07-01,447.35
2002-07-02,437.857
2002-07-03,432.926
2002-07-04,434.718
2002-07-05,447.29
2002-07-08,446.638
2002-07-09,440.1
2002-07-10,427.291
2002-07-11,422.253
2002-07-12,419.304
2002-07-15,412.687
2002-07-16,408.678
2002-07-17,412.636
2002-07-18,408.005
2002-07-19,394.631
2002-07-22,378.707
2002-07-23,367.298
2002-07-24,377.178
2002-07-25,383.272
2002-07-26,387.04
2002-07-29,405.532
2002-07-30,408.136
2002-07-31,412.218
2002-08-01,400.608
2002-08-02,394.598
2002-08-05,383.386
2002-08-06,391.393
2002-08-07,395.62
2002-08-08,407.168
2002-08-09,411.045
2002-08-12,408.505
2002-08-13,404.262
2002-08-14,411.102
2002-08-15,416.166
2002-08-16,416.077
2002-08-19,424.172
2002-08-20,419.344
2002-08-21,424.677
2002-08-22,429.686
2002-08-23,422.297
2002-08-26,424.905
2002-08-27,426.368
2002-08-28,417.399
2002-08-29,415.526
2002-08-30,416.366
2002-09-02,415.078
2002-09-03,401.111
2002-09-04,404.426
2002-09-05,399.98
2002-09-06,405.91
2002-09-09,406.316
2002-09-10,409.082
2002-09-11,411.121
2002-09-12,401.883
2002-09-13,400.313
2002-09-16,399.569
2002-09-17,392.999
2002-09-18,387.901
2002-09-19,379.207
2002-09-20,379.941
2002-09-23,373.75
2002-09-24,366.377
2002-09-25,372.121
2002-09-26,382.169
2002-09-27,374.336
2002-09-30,368.23
2002-10-01,377.959
2002-10-02,373.442
2002-10-03,369.125
2002-10-04,360.503
2002-10-07,354.255
2002-10-08,354.261
2002-10-09,346.596
2002-10-10,357.255
2002-10-11,371.08
2002-10-14,371.215
2002-10-15,388.383
2002-10-16,382.484
2002-10-17,390.734
2002-10-18,390.983
2002-10-21,396.248
2002-10-22,392.585
2002-10-23,391.084
2002-10-24,390.51
2002-10-25,393.23
2002-10-28,394.276
2002-10-29,386.839
2002-10-30,392.491
2002-10-31,393.783
2002-11-01,398.081
2002-11-04,403.372
2002-11-05,406.567
2002-11-06,407.342
2002-11-07,400.175
2002-11-08,397.878
2002-11-11,391.69
2002-11-12,393.465
2002-11-13,390.899
2002-11-14,397.714
2002-11-15,401.37
2002-11-18,400.869
2002-11-19,400.409
2002-11-20,403.487
2002-11-21,412.951
2002-11-22,412.983
2002-11-25,412.499
2002-11-26,405.03
2002-11-27,413.887
2002-11-28,416.083
2002-11-29,415.682
2002-12-02,415.372
2002-12-03,409.601
2002-12-04,407.735
2002-12-05,404.099
2002-12-06,406.29
2002-12-09,398.637
2002-12-10,402.527
2002-12-11,404.075
2002-12-12,402.464
2002-12-13,399.259
2002-12-16,408.488
2002-12-17,406.172
2002-12-18,400.62
2002-12-19,398.481
2002-12-20,403.441
2002-12-23,403.898
2002-12-24,402.873
2002-12-25,402.873
2002-12-26,403.228
2002-12-27,396.273
2002-12-30,398.923
2002-12-31,400.62
2003-01-01,400.62
2003-01-02,411.189
2003-01-03,411.919
2003-01-06,420.546
2003-01-07,415.963
2003-01-08,410.201
2003-01-09,416.29
2003-01-10,417.33
2003-01-13,417.496
2003-01-14,419.447
2003-01-15,414.649
2003-01-16,414.001
2003-01-17,409.737
2003-01-20,408.18
2003-01-21,401.814
2003-01-22,396.802
2003-01-23,398.076
2003-01-24,390.852
2003-01-27,382.778
2003-01-28,386.0
2003-01-29,387.923
2003-01-30,384.457
2003-01-31,388.543
2003-02-03,392.15
2003-02-04,386.966
2003-02-05,387.234
2003-02-06,382.75
2003-02-07,379.307
2003-02-10,379.654
2003-02-11,378.849
2003-02-12,373.949
2003-02-13,374.228
2003-02-14,379.326
2003-02-17,380.964
2003-02-18,385.65
2003-02-19,382.451
2003-02-20,380.003
2003-02-21,384.03
2003-02-24,377.968
2003-02-25,376.299
2003-02-26,373.025
2003-02-27,376.701
2003-02-28,379.271
2003-03-03,379.452
2003-03-04,374.268
2003-03-05,376.136
2003-03-06,372.2
2003-03-07,372.217
2003-03-10,363.65
2003-03-11,361.24
2003-03-12,356.965
2003-03-13,368.171
2003-03-14,371.87
2003-03-17,381.668
2003-03-18,382.699
2003-03-19,386.126
2003-03-20,386.62
2003-03-21,395.142
2003-03-24,383.456
2003-03-25,387.492
2003-03-26,386.407
2003-03-27,384.574
2003-03-28,383.564
2003-03-31,377.232
2003-04-01,382.235
2003-04-02,389.821
2003-04-03,388.64
2003-04-04,390.803
2003-04-07,394.601
2003-04-08,392.826
2003-04-09,389.891
2003-04-10,391.234
2003-04-11,390.731
2003-04-14,396.874
2003-04-15,400.929
2003-04-16,397.38
2003-04-17,401.977
2003-04-18,401.977
2003-04-21,401.096
2003-04-22,409.276
2003-04-23,414.216
2003-04-24,410.856
2003-04-25,405.643
2003-04-28,412.723
2003-04-29,413.464
2003-04-30,415.643
2003-05-01,415.74
2003-05-02,420.37
2003-05-05,420.653
2003-05-06,425.316
2003-05-07,423.297
2003-05-08,419.041
2003-05-09,423.748
2003-05-12,428.154
2003-05-13,427.813
2003-05-14,428.015
2003-05-15,431.089
2003-05-16,432.286
2003-05-19,424.223
2003-05-20,424.532
2003-05-21,426.072
2003-05-22,429.9
2003-05-23,432.431
2003-05-26,432.971
2003-05-27,438.404
2003-05-28,439.803
2003-05-29,439.767
2003-05-30,444.316
2003-06-02,448.954
2003-06-03,448.82
2003-06-04,454.547
2003-06-05,457.434
2003-06-06,458.678
2003-06-09,453.167
2003-06-10,455.554
2003-06-11,462.797
2003-06-12,464.644
2003-06-13,460.669
2003-06-16,468.953
2003-06-17,469.882
2003-06-18,467.996
2003-06-19,461.196
2003-06-20,462.195
2003-06-23,455.295
2003-06-24,455.102
2003-06-25,454.314
2003-06-26,455.227
2003-06-27,452.79
2003-06-30,451.392
2003-07-01,452.54
2003-07-02,457.33
2003-07-03,456.188
2003-07-04,455.529
2003-07-07,461.605
2003-07-08,461.489
2003-07-09,459.095
2003-07-10,453.627
2003-07-11,457.454
2003-07-14,461.33
2003-07-15,457.96
2003-07-16,454.58
2003-07-17,450.263
2003-07-18,454.831
2003-07-21,450.743
2003-07-22,454.306
2003-07-23,454.365
2003-07-24,455.865
2003-07-25,460.434
2003-07-28,461.535
2003-07-29,459.111
2003-07-30,457.704
2003-07-31,458.847
2003-08-01,454.555
2003-08-04,455.029
2003-08-05,451.356
2003-08-06,450.969
2003-08-07,453.618
2003-08-08,455.594
2003-08-11,457.26
2003-08-12,460.704
2003-08-13,459.857
2003-08-14,463.592
2003-08-15,463.861
2003-08-18,466.569
2003-08-19,466.788
2003-08-20,466.765
2003-08-21,467.433
2003-08-22,462.244
2003-08-25,461.566
2003-08-26,460.434
2003-08-27,461.546
2003-08-28,464.006
2003-08-29,465.581
2003-09-01,467.032
2003-09-02,470.781
2003-09-03,474.186
2003-09-04,474.806
2003-09-05,473.73
2003-09-08,478.121
2003-09-09,475.168
2003-09-10,470.303
2003-09-11,471.757
2003-09-12,473.257
2003-09-15,472.62
2003-09-16,476.136
2003-09-17,476.517
2003-09-18,482.065
2003-09-19,481.489
2003-09-22,477.25
2003-09-23,477.783
2003-09-24,473.596
2003-09-25,470.947
2003-09-26,467.17
2003-09-29,469.578
2003-09-30,466.454
2003-10-01,476.01
2003-10-02,477.667
2003-10-03,482.31
2003-10-06,484.601
2003-10-07,486.099
2003-10-08,484.974
2003-10-09,488.082
2003-10-10,488.302
2003-10-13,491.677
2003-10-14,492.755
2003-10-15,492.791
2003-10-16,493.852
2003-10-17,489.93
2003-10-20,491.342
2003-10-21,491.445
2003-10-22,486.042
2003-10-23,485.624
2003-10-24,485.092
2003-10-27,486.563
2003-10-28,490.635
2003-10-29,492.729
2003-10-30,493.788
2003-10-31,494.268
2003-11-03,497.312
2003-11-04,496.164
2003-11-05,494.868
2003-11-06,495.984
2003-11-07,497.484
2003-11-10,495.244
2003-11-11,493.909
2003-11-12,499.172
2003-11-13,500.624
2003-11-14,499.576
2003-11-17,494.799
2003-11-18,493.769
2003-11-19,495.559
2003-11-20,493.137
2003-11-21,494.263
2003-11-24,498.914
2003-11-25,501.382
2003-11-26,504.264
2003-11-27,504.628
2003-11-28,505.037
2003-12-01,511.006
2003-12-02,512.075
2003-12-03,513.268
2003-12-04,513.535
2003-12-05,512.084
2003-12-08,515.427
2003-12-09,514.704
2003-12-10,513.259
2003-12-11,516.464
2003-12-12,519.596
2003-12-15,518.627
2003-12-16,520.906
2003-12-17,522.41
2003-12-18,527.361
2003-12-19,528.442
2003-12-22,530.793
2003-12-23,532.562
2003-12-24,532.92
2003-12-25,532.92
2003-12-26,533.545
2003-12-29,538.827
2003-12-30,540.632
2003-12-31,542.544
2004-01-01,542.545
2004-01-02,543.916
2004-01-05,549.804
2004-01-06,550.736
2004-01-07,549.249
2004-01-08,552.511
2004-01-09,550.096
2004-01-12,551.1
2004-01-13,549.917
2004-01-14,552.828
2004-01-15,552.693
2004-01-16,553.373
2004-01-19,553.359
2004-01-20,556.311
2004-01-21,561.636
2004-01-22,561.536
2004-01-23,559.786
2004-01-26,561.067
2004-01-27,559.386
2004-01-28,555.377
2004-01-29,551.461
2004-01-30,550.533
2004-02-02,551.925
2004-02-03,552.483
2004-02-04,548.128
2004-02-05,549.914
2004-02-06,556.284
