Date,USA SMID VALUE SMID (Small+Mid Cap)
2001-12-19,454.453
2001-12-20,452.141
2001-12-21,455.891
2001-12-24,457.881
2001-12-25,457.881
2001-12-26,461.049
2001-12-27,463.605
2001-12-28,465.643
2001-12-31,463.616
2002-01-01,463.608
2002-01-02,462.237
2002-01-03,465.449
2002-01-04,469.636
2002-01-07,467.871
2002-01-08,467.152
2002-01-09,465.803
2002-01-10,465.04
2002-01-11,461.554
2002-01-14,457.445
2002-01-15,459.477
2002-01-16,454.32
2002-01-17,457.696
2002-01-18,454.803
2002-01-21,454.803
2002-01-22,452.815
2002-01-23,457.479
2002-01-24,460.526
2002-01-25,462.347
2002-01-28,463.585
2002-01-29,456.622
2002-01-30,460.528
2002-01-31,465.277
2002-02-01,463.715
2002-02-04,456.669
2002-02-05,455.017
2002-02-06,451.608
2002-02-07,449.672
2002-02-08,455.135
2002-02-11,460.581
2002-02-12,460.397
2002-02-13,465.112
2002-02-14,463.792
2002-02-15,463.122
2002-02-18,463.123
2002-02-19,457.052
2002-02-20,461.732
2002-02-21,458.642
2002-02-22,462.735
2002-02-25,466.593
2002-02-26,469.247
2002-02-27,471.257
2002-02-28,470.48
2002-03-01,476.189
2002-03-04,484.772
2002-03-05,484.422
2002-03-06,491.577
2002-03-07,491.087
2002-03-08,492.476
2002-03-11,493.634
2002-03-12,492.792
2002-03-13,490.542
2002-03-14,492.314
2002-03-15,495.446
2002-03-18,497.346
2002-03-19,499.747
2002-03-20,495.432
2002-03-21,497.154
2002-03-22,495.79
2002-03-25,490.436
2002-03-26,494.314
2002-03-27,499.763
2002-03-28,500.632
2002-03-29,500.632
2002-04-01,499.002
2002-04-02,497.527
2002-04-03,493.23
2002-04-04,494.883
2002-04-05,496.335
2002-04-08,500.378
2002-04-09,502.013
2002-04-10,509.97
2002-04-11,504.619
2002-04-12,509.089
2002-04-15,506.33
2002-04-16,512.035
2002-04-17,510.916
2002-04-18,509.93
2002-04-19,510.353
2002-04-22,505.597
2002-04-23,506.039
2002-04-24,504.733
2002-04-25,505.729
2002-04-26,502.11
2002-04-29,499.465
2002-04-30,506.06
2002-05-01,507.695
2002-05-02,510.25
2002-05-03,509.914
2002-05-06,502.84
2002-05-07,501.154
2002-05-08,506.901
2002-05-09,502.078
2002-05-10,496.037
2002-05-13,500.047
2002-05-14,507.644
2002-05-15,507.387
2002-05-16,504.776
2002-05-17,505.947
2002-05-20,502.623
2002-05-21,498.564
2002-05-22,498.949
2002-05-23,504.657
2002-05-24,501.75
2002-05-27,501.75
2002-05-28,499.133
2002-05-29,497.135
2002-05-30,496.008
2002-05-31,498.13
2002-06-03,487.626
2002-06-04,485.015
2002-06-05,486.93
2002-06-06,479.018
2002-06-07,481.815
2002-06-10,481.91
2002-06-11,475.531
2002-06-12,475.653
2002-06-13,470.937
2002-06-14,471.18
2002-06-17,482.598
2002-06-18,482.891
2002-06-19,478.053
2002-06-20,474.789
2002-06-21,472.887
2002-06-24,469.859
2002-06-25,464.8
2002-06-26,460.78
2002-06-27,465.811
2002-06-28,470.933
2002-07-01,462.19
2002-07-02,450.866
2002-07-03,446.429
2002-07-04,446.429
2002-07-05,458.798
2002-07-08,453.788
2002-07-09,445.73
2002-07-10,434.209
2002-07-11,432.691
2002-07-12,429.081
2002-07-15,426.023
2002-07-16,420.876
2002-07-17,420.125
2002-07-18,410.219
2002-07-19,397.975
2002-07-22,387.246
2002-07-23,373.297
2002-07-24,390.326
2002-07-25,394.673
2002-07-26,398.777
2002-07-29,418.645
2002-07-30,420.69
2002-07-31,421.64
2002-08-01,415.139
2002-08-02,403.45
2002-08-05,393.726
2002-08-06,404.835
2002-08-07,409.507
2002-08-08,418.223
2002-08-09,419.53
2002-08-12,419.894
2002-08-13,411.061
2002-08-14,421.991
2002-08-15,425.459
2002-08-16,425.232
2002-08-19,430.839
2002-08-20,427.532
2002-08-21,433.069
2002-08-22,438.618
2002-08-23,431.452
2002-08-26,437.353
2002-08-27,432.764
2002-08-28,426.494
2002-08-29,426.763
2002-08-30,426.62
2002-09-02,426.62
2002-09-03,415.05
2002-09-04,421.238
2002-09-05,415.712
2002-09-06,421.703
2002-09-09,423.507
2002-09-10,423.154
2002-09-11,423.213
2002-09-12,414.402
2002-09-13,416.797
2002-09-16,414.522
2002-09-17,406.551
2002-09-18,404.549
2002-09-19,394.569
2002-09-20,395.805
2002-09-23,389.745
2002-09-24,382.346
2002-09-25,390.205
2002-09-26,399.086
2002-09-27,388.651
2002-09-30,386.525
2002-10-01,396.194
2002-10-02,385.045
2002-10-03,380.758
2002-10-04,371.337
