Date,BELGIUM SMALL VALUE Small Cap
2001-01-01,216.511
2001-01-02,217.071
2001-01-03,215.939
2001-01-04,217.851
2001-01-05,219.381
2001-01-08,219.443
2001-01-09,214.569
2001-01-10,214.6
2001-01-11,217.879
2001-01-12,218.177
2001-01-15,217.019
2001-01-16,216.368
2001-01-17,214.735
2001-01-18,216.594
2001-01-19,216.227
2001-01-22,216.029
2001-01-23,215.064
2001-01-24,211.314
2001-01-25,209.19
2001-01-26,209.687
2001-01-29,210.024
2001-01-30,209.506
2001-01-31,209.801
2001-02-01,214.457
2001-02-02,213.777
2001-02-05,216.2
2001-02-06,213.374
2001-02-07,213.264
2001-02-08,209.234
2001-02-09,210.096
2001-02-12,211.074
2001-02-13,210.007
2001-02-14,207.701
2001-02-15,204.794
2001-02-16,208.331
2001-02-19,209.191
2001-02-20,214.534
2001-02-21,215.716
2001-02-22,215.991
2001-02-23,216.69
2001-02-26,217.839
2001-02-27,219.457
2001-02-28,221.555
2001-03-01,223.374
2001-03-02,224.751
2001-03-05,223.422
2001-03-06,224.318
2001-03-07,223.571
2001-03-08,224.179
2001-03-09,222.838
2001-03-12,220.012
2001-03-13,213.352
2001-03-14,209.119
2001-03-15,206.297
2001-03-16,203.705
2001-03-19,204.204
2001-03-20,206.207
2001-03-21,200.788
2001-03-22,195.489
2001-03-23,197.973
2001-03-26,202.229
2001-03-27,203.407
2001-03-28,200.15
2001-03-29,199.064
2001-03-30,202.499
2001-04-02,202.927
2001-04-03,203.014
2001-04-04,207.546
2001-04-05,206.754
2001-04-06,208.839
2001-04-09,209.119
2001-04-10,208.427
2001-04-11,208.15
2001-04-12,209.94
2001-04-13,209.94
2001-04-16,207.79
2001-04-17,207.133
2001-04-18,206.135
2001-04-19,211.761
2001-04-20,212.263
2001-04-23,209.937
2001-04-24,209.651
2001-04-25,209.826
2001-04-26,212.931
2001-04-27,210.87
2001-04-30,212.509
2001-05-01,213.573
2001-05-02,212.439
2001-05-03,213.483
2001-05-04,212.781
2001-05-07,211.107
2001-05-08,210.748
2001-05-09,210.741
2001-05-10,210.457
2001-05-11,207.41
2001-05-14,206.779
2001-05-15,209.361
2001-05-16,212.435
2001-05-17,213.448
2001-05-18,212.416
2001-05-21,212.323
2001-05-22,209.248
2001-05-23,206.256
2001-05-24,205.399
2001-05-25,204.922
2001-05-28,207.175
2001-05-29,205.354
2001-05-30,206.498
2001-05-31,204.163
2001-06-01,204.375
2001-06-04,204.652
2001-06-05,208.699
2001-06-06,207.378
2001-06-07,208.642
2001-06-08,208.856
2001-06-11,207.47
2001-06-12,208.775
2001-06-13,208.236
2001-06-14,208.625
2001-06-15,207.437
2001-06-18,207.275
2001-06-19,205.223
2001-06-20,201.605
2001-06-21,200.689
2001-06-22,202.053
2001-06-25,203.199
2001-06-26,201.46
2001-06-27,200.606
2001-06-28,197.51
2001-06-29,199.153
2001-07-02,198.481
