Date,BELGIUM SMALL VALUE Small Cap
1994-05-31,152.318
1994-06-30,150.475
1994-07-29,154.8
1994-08-31,157.52
1994-09-30,154.542
1994-10-31,154.978
1994-11-30,148.856
1994-12-30,150.624
1995-01-31,150.575
1995-02-28,152.608
1995-03-31,160.183
1995-04-28,161.935
1995-05-31,168.226
1995-06-30,174.514
1995-07-31,177.307
1995-08-31,167.056
1995-09-29,171.406
1995-10-31,169.122
1995-11-30,163.256
1995-12-29,171.667
1996-01-31,178.273
1996-02-29,177.414
1996-03-29,175.525
1996-04-30,176.588
1996-05-31,177.719
1996-06-28,185.187
1996-07-31,185.504
1996-08-30,184.37
1996-09-30,180.252
1996-10-31,183.003
1996-11-29,193.28
1996-12-31,192.069
1997-01-31,199.49
1997-02-28,197.453
1997-03-31,200.748
1997-04-30,198.351
1997-05-30,216.963
1997-06-30,218.481
1997-07-31,213.395
1997-08-29,203.619
1997-09-30,219.329
1997-10-31,221.754
1997-11-28,219.926
1997-12-31,225.819
1998-01-30,229.707
1998-02-27,243.843
1998-03-31,258.161
1998-04-30,264.948
1998-05-29,286.276
1998-06-30,299.526
1998-07-31,303.388
1998-08-31,270.885
1998-09-30,270.966
1998-10-30,279.367
1998-11-30,276.989
1998-12-31,284.707
1999-01-29,271.505
1999-02-26,271.918
1999-03-31,260.509
1999-04-30,263.629
1999-05-31,255.956
1999-06-30,251.793
1999-07-30,252.448
1999-08-31,258.526
1999-09-30,257.652
1999-10-29,252.12
1999-11-30,237.732
1999-12-31,243.153
2000-01-31,222.187
2000-02-29,218.976
2000-03-31,215.808
2000-04-28,205.337
2000-05-31,213.798
2000-06-30,220.943
2000-07-31,219.038
2000-08-31,215.155
2000-09-29,205.545
2000-10-31,195.43
2000-11-30,199.432
2000-12-29,216.511
2001-01-31,209.801
2001-02-28,221.555
2001-03-30,202.499
2001-04-30,212.509
2001-05-31,204.163
2001-06-29,199.153
2001-07-31,201.196
2001-08-31,202.034
2001-09-28,181.703
2001-10-31,182.905
2001-11-30,196.187
2001-12-31,209.497
2002-01-31,208.884
2002-02-28,213.435
2002-03-29,228.336
2002-04-30,237.772
2002-05-31,247.684
2002-06-28,246.94
2002-07-31,232.497
2002-08-30,229.106
2002-09-30,205.821
2002-10-31,213.852
2002-11-29,228.251
2002-12-31,241.637
2003-01-31,236.687
2003-02-28,221.365
2003-03-31,223.627
2003-04-30,250.892
2003-05-30,296.611
2003-06-30,296.585
2003-07-31,302.121
2003-08-29,319.658
2003-09-30,335.63
2003-10-31,362.697
2003-11-28,377.206
2003-12-31,403.643
2004-01-30,415.845
2004-02-27,419.732
2004-03-31,397.277
2004-04-30,390.717
2004-05-31,402.916
2004-06-30,418.853
2004-07-30,417.119
2004-08-31,432.001
2004-09-30,452.117
2004-10-29,477.796
2004-11-30,546.111
2004-12-31,574.582
2005-01-31,569.328
2005-02-28,607.551
2005-03-31,594.226
2005-04-29,576.66
2005-05-31,557.591
2005-06-30,569.096
2005-07-29,598.213
2005-08-31,626.747
2005-09-30,659.684
2005-10-31,628.969
2005-11-30,639.313
2005-12-30,658.423
2006-01-31,702.272
2006-02-28,714.292
2006-03-31,718.196
2006-04-28,769.097
2006-05-31,731.816
2006-06-30,752.619
2006-07-31,752.794
2006-08-31,763.33
2006-09-29,775.402
2006-10-31,794.242
2006-11-30,825.771
2006-12-29,866.339
2007-01-31,863.616
2007-02-28,869.089
2007-03-30,915.389
2007-04-30,960.467
2007-05-31,1000.0
2007-06-29,1002.198
2007-07-31,965.682
2007-08-31,931.836
2007-09-28,941.925
2007-10-31,937.347
2007-11-30,907.142
2007-12-31,914.109
2008-01-31,837.974
2008-02-29,864.213
2008-03-31,865.337
2008-04-30,867.138
2008-05-30,887.56
2008-06-30,832.165
2008-07-31,777.017
2008-08-29,777.96
2008-09-30,643.214
2008-10-31,442.149
2008-11-28,391.304
2008-12-31,416.616
2009-01-30,400.066
2009-02-27,364.809
2009-03-31,378.18
2009-04-30,467.401
2009-05-29,527.653
2009-06-30,523.772
2009-07-31,565.961
2009-08-31,652.966
2009-09-30,694.071
2009-10-30,699.333
2009-11-30,716.969
2009-12-31,712.032
2010-01-29,695.133
2010-02-26,707.875
2010-03-31,751.964
2010-04-30,739.899
2010-05-31,666.821
2010-06-30,655.885
2010-07-30,743.994
2010-08-31,724.349
2010-09-30,835.3
2010-10-29,900.259
2010-11-30,812.097
2010-12-31,890.75
2011-01-31,915.164
2011-02-28,924.507
2011-03-31,971.868
2011-04-29,1026.874
2011-05-31,1007.067
2011-06-30,992.344
2011-07-29,928.683
2011-08-31,873.151
2011-09-30,740.836
2011-10-31,776.933
2011-11-30,724.985
2011-12-30,703.947
2012-01-31,749.155
2012-02-29,783.053
2012-03-30,802.298
2012-04-30,776.906
2012-05-31,689.657
2012-06-29,709.385
2012-07-31,707.699
2012-08-31,716.141
2012-09-28,764.565
2012-10-31,773.829
2012-11-30,774.362
2012-12-31,829.374
2013-01-31,880.798
2013-02-28,848.746
2013-03-29,810.745
2013-04-30,851.913
2013-05-31,860.665
2013-06-28,829.973
2013-07-31,863.583
2013-08-30,849.918
2013-09-30,923.017
2013-10-31,959.677
2013-11-29,945.637
2013-12-31,976.99
2014-01-31,947.805
2014-02-28,998.805
2014-03-31,1019.66
2014-04-30,1036.912
2014-05-30,1029.886
2014-06-30,1027.965
2014-07-31,1026.055
2014-08-29,1020.833
2014-09-30,971.922
2014-10-31,974.853
2014-11-28,996.45
2014-12-31,987.157
2015-01-30,972.399
2015-02-27,1008.71
2015-03-31,961.757
2015-04-30,1003.268
2015-05-29,990.84
2015-06-30,969.49
2015-07-31,1008.233
2015-08-31,938.278
2015-09-30,927.052
2015-10-30,980.615
2015-11-30,927.488
2015-12-31,978.677
2016-01-29,911.74
2016-02-29,911.024
2016-03-31,1001.032
2016-04-29,1018.647
2016-05-31,1044.598
2016-06-30,1012.674
2016-07-29,1040.925
2016-08-31,1032.688
2016-09-30,1066.109
2016-10-31,1041.303
2016-11-30,986.949
2016-12-30,1031.578
2017-01-31,1039.292
2017-02-28,1049.915
2017-03-31,1096.237
2017-04-28,1127.588
2017-05-31,1171.803
2017-06-30,1156.068
2017-07-31,1205.699
2017-08-31,1220.359
2017-09-29,1258.03
2017-10-31,1233.445
2017-11-30,1237.167
2017-12-29,1262.431
2018-01-31,1353.529
2018-02-28,1309.289
2018-03-30,1243.582
2018-04-30,1248.106
2018-05-31,1224.778
2018-06-29,1194.841
2018-07-31,1257.461
2018-08-31,1244.096
2018-09-28,1209.563
2018-10-31,1144.07
2018-11-30,1162.166
2018-12-31,1121.384
2019-01-31,1190.289
2019-02-28,1186.248
2019-03-29,1223.068
2019-04-30,1268.066
2019-05-31,1214.024
2019-06-28,1261.689
2019-07-31,1286.036
2019-08-30,1301.775
2019-09-30,1334.357
2019-10-31,1400.921
2019-11-29,1433.592
2019-12-31,1499.956
2020-01-31,1461.733
2020-02-28,1347.376
2020-03-31,1198.89
2020-04-30,1273.55
2020-05-29,1350.16
2020-06-30,1349.806
2020-07-31,1402.05
2020-08-31,1468.692
2020-09-30,1434.894
2020-10-30,1289.055
2020-11-30,1554.319
2020-12-31,1626.03
2021-01-29,1626.412
2021-02-26,1662.263
2021-03-31,1641.762
2021-04-30,1728.618
2021-05-31,1841.49
2021-06-30,1815.667
2021-07-30,1912.735
2021-08-31,1950.244
2021-09-30,1829.156
2021-10-29,1921.136
2021-11-30,1859.212
2021-12-31,1972.371
2022-01-31,1876.336
2022-02-28,1843.338
2022-03-31,1899.428
2022-04-29,1802.816
2022-05-31,1772.493
2022-06-30,1546.404
2022-07-29,1579.862
2022-08-31,1473.906
2022-09-30,1248.385
2022-10-31,1271.801
2022-11-30,1339.446
2022-12-30,1381.662
2023-01-31,1487.817
2023-02-28,1489.828
2023-03-31,1486.501
2023-04-28,1531.138
2023-05-31,1422.547
2023-06-30,1439.389
2023-07-31,1500.458
2023-08-31,1449.764
2023-09-29,1377.495
2023-10-31,1312.903
2023-11-30,1458.64
2023-12-29,1616.793
2024-01-31,1547.865
2024-02-29,1463.4
2024-03-29,1488.818
2024-04-30,1526.316
2024-05-31,1609.511
2024-06-28,1513.87
2024-07-31,1558.917
2024-08-30,1628.665
2024-09-30,1697.511
2024-10-31,1564.088
2024-11-29,1460.129
2024-12-31,1400.771
2025-01-31,1415.605
2025-02-28,1461.491
2025-03-31,1592.215
2025-04-30,1762.493
2025-05-30,1846.234
