Date,BELGIUM SMALL VALUE Small Cap
2001-01-01,227.852
2001-01-02,228.441
2001-01-03,227.25
2001-01-04,229.262
2001-01-05,230.872
2001-01-08,230.937
2001-01-09,225.809
2001-01-10,225.842
2001-01-11,229.292
2001-01-12,229.605
2001-01-15,228.386
2001-01-16,227.702
2001-01-17,225.984
2001-01-18,227.939
2001-01-19,227.554
2001-01-22,227.345
2001-01-23,226.329
2001-01-24,222.383
2001-01-25,220.148
2001-01-26,220.671
2001-01-29,221.025
2001-01-30,220.48
2001-01-31,220.791
2001-02-01,225.69
2001-02-02,224.975
2001-02-05,227.525
2001-02-06,224.551
2001-02-07,224.435
2001-02-08,220.194
2001-02-09,221.101
2001-02-12,222.13
2001-02-13,221.007
2001-02-14,218.58
2001-02-15,215.521
2001-02-16,219.244
2001-02-19,220.149
2001-02-20,225.771
2001-02-21,227.015
2001-02-22,227.305
2001-02-23,228.04
2001-02-26,229.25
2001-02-27,230.953
2001-02-28,233.16
2001-03-01,235.074
2001-03-02,236.524
2001-03-05,235.125
2001-03-06,236.068
2001-03-07,235.282
2001-03-08,235.922
2001-03-09,234.511
2001-03-12,231.536
2001-03-13,224.527
2001-03-14,220.073
2001-03-15,217.103
2001-03-16,214.376
2001-03-19,214.9
2001-03-20,217.008
2001-03-21,211.305
2001-03-22,205.729
2001-03-23,208.343
2001-03-26,212.822
2001-03-27,214.062
2001-03-28,210.634
2001-03-29,209.492
2001-03-30,213.106
2001-04-02,213.556
2001-04-03,213.649
2001-04-04,218.418
2001-04-05,217.584
2001-04-06,219.778
2001-04-09,220.073
2001-04-10,219.345
2001-04-11,219.053
2001-04-12,220.937
2001-04-13,220.937
2001-04-16,218.675
2001-04-17,217.983
2001-04-18,216.933
2001-04-19,222.853
2001-04-20,223.382
2001-04-23,220.934
2001-04-24,220.633
2001-04-25,220.817
2001-04-26,224.085
2001-04-27,221.9
2001-04-30,223.625
2001-05-01,224.745
2001-05-02,223.552
2001-05-03,224.65
2001-05-04,223.911
2001-05-07,222.009
2001-05-08,221.632
2001-05-09,221.625
2001-05-10,221.186
2001-05-11,218.662
2001-05-14,217.872
2001-05-15,220.592
2001-05-16,222.703
2001-05-17,223.736
2001-05-18,222.641
2001-05-21,222.544
2001-05-22,219.305
2001-05-23,216.17
2001-05-24,215.272
2001-05-25,214.754
2001-05-28,217.115
2001-05-29,215.176
2001-05-30,216.375
2001-05-31,213.9
2001-06-01,213.871
2001-06-04,214.162
2001-06-05,218.297
2001-06-06,216.916
2001-06-07,218.238
2001-06-08,218.408
2001-06-11,216.957
2001-06-12,218.322
2001-06-13,217.702
2001-06-14,218.109
2001-06-15,216.867
2001-06-18,216.693
2001-06-19,214.548
2001-06-20,210.766
2001-06-21,209.808
2001-06-22,211.11
2001-06-25,212.307
2001-06-26,210.491
2001-06-27,209.598
2001-06-28,206.364
2001-06-29,208.075
2001-07-02,207.368
2001-07-03,209.578
2001-07-04,208.997
2001-07-05,207.715
2001-07-06,208.48
2001-07-09,209.173
2001-07-10,208.937
2001-07-11,210.098
2001-07-12,207.572
2001-07-13,208.278
2001-07-16,208.732
2001-07-17,208.561
2001-07-18,212.087
2001-07-19,211.259
2001-07-20,212.227
2001-07-23,210.671
2001-07-24,211.09
2001-07-25,210.625
2001-07-26,208.693
2001-07-27,208.351
2001-07-30,209.188
2001-07-31,210.157
2001-08-01,211.441
2001-08-02,211.546
