Date,BELGIUM SMALL VALUE Small Cap
1994-05-31,163.442
1994-06-30,161.206
1994-07-29,165.761
1994-08-31,168.673
1994-09-30,165.485
1994-10-31,165.952
1994-11-30,159.391
1994-12-30,161.285
1995-01-31,161.233
1995-02-28,163.41
1995-03-31,171.521
1995-04-28,173.306
1995-05-31,179.95
1995-06-30,186.413
1995-07-31,189.368
1995-08-31,178.42
1995-09-29,183.065
1995-10-31,180.626
1995-11-30,174.351
1995-12-29,183.333
1996-01-31,190.389
1996-02-29,189.471
1996-03-29,187.454
1996-04-30,188.589
1996-05-31,189.451
1996-06-28,197.095
1996-07-31,197.433
1996-08-30,196.225
1996-09-30,191.843
1996-10-31,194.77
1996-11-29,205.695
1996-12-31,204.406
1997-01-31,212.304
1997-02-28,209.93
1997-03-31,213.433
1997-04-30,210.812
1997-05-30,230.353
1997-06-30,231.583
1997-07-31,226.192
1997-08-29,215.83
1997-09-30,232.441
1997-10-31,235.01
1997-11-28,233.074
1997-12-31,239.319
1998-01-30,243.439
1998-02-27,258.236
1998-03-31,273.399
1998-04-30,280.57
1998-05-29,302.607
1998-06-30,316.029
1998-07-31,320.09
1998-08-31,285.798
1998-09-30,285.884
1998-10-30,294.747
1998-11-30,292.238
1998-12-31,300.381
1999-01-29,286.452
1999-02-26,286.888
1999-03-31,274.851
1999-04-30,278.143
1999-05-31,269.839
1999-06-30,265.245
1999-07-30,265.935
1999-08-31,272.338
1999-09-30,271.417
1999-10-29,265.59
1999-11-30,250.433
1999-12-31,256.143
2000-01-31,234.057
2000-02-29,230.675
2000-03-31,227.338
2000-04-28,216.307
2000-05-31,225.187
2000-06-30,232.517
2000-07-31,230.512
2000-08-31,226.425
2000-09-29,216.312
2000-10-31,205.667
2000-11-30,209.879
2000-12-29,227.852
2001-01-31,220.791
2001-02-28,233.16
2001-03-30,213.106
2001-04-30,223.625
2001-05-31,213.9
2001-06-29,208.075
2001-07-31,210.157
2001-08-31,211.033
2001-09-28,189.796
2001-10-31,191.007
2001-11-30,204.878
2001-12-31,218.706
2002-01-31,218.066
2002-02-28,222.806
2002-03-29,238.268
2002-04-30,247.973
2002-05-31,257.37
2002-06-28,256.296
2002-07-31,241.306
2002-08-30,237.785
2002-09-30,213.619
2002-10-31,221.954
2002-11-29,236.898
2002-12-31,250.792
2003-01-31,245.654
2003-02-28,229.746
2003-03-31,232.094
2003-04-30,259.732
2003-05-30,305.73
2003-06-30,305.315
2003-07-31,311.014
2003-08-29,329.067
2003-09-30,345.51
2003-10-31,373.373
2003-11-28,388.217
2003-12-31,415.426
2004-01-30,427.985
2004-02-27,431.959
2004-03-31,408.754
2004-04-30,401.035
2004-05-31,412.15
2004-06-30,427.982
2004-07-30,426.21
2004-08-31,441.416
2004-09-30,461.971
2004-10-29,488.209
2004-11-30,557.73
2004-12-31,586.754
2005-01-31,581.389
2005-02-28,620.421
2005-03-31,606.62
2005-04-29,587.815
2005-05-31,566.675
2005-06-30,577.65
2005-07-29,607.205
2005-08-31,636.168
2005-09-30,669.599
2005-10-31,638.423
2005-11-30,648.688
2005-12-30,667.555
2006-01-31,712.012
2006-02-28,724.186
2006-03-31,727.962
2006-04-28,778.477
2006-05-31,737.641
2006-06-30,757.306
2006-07-31,757.482
2006-08-31,768.084
2006-09-29,780.231
2006-10-31,799.011
2006-11-30,830.73
2006-12-29,870.618
2007-01-31,867.881
2007-02-28,873.363
2007-03-30,919.758
2007-04-30,963.62
2007-05-31,1000.0
2007-06-29,1000.686
2007-07-31,963.476
2007-08-31,929.706
2007-09-28,939.639
2007-10-31,934.878
2007-11-30,904.752
2007-12-31,910.672
2008-01-31,834.824
2008-02-29,860.964
2008-03-31,862.084
2008-04-30,863.57
2008-05-30,878.857
2008-06-30,822.517
2008-07-31,768.008
2008-08-29,768.678
2008-09-30,635.022
2008-10-31,436.348
2008-11-28,386.17
2008-12-31,410.305
2009-01-30,394.005
2009-02-27,359.146
2009-03-31,372.309
2009-04-30,457.956
2009-05-29,515.783
2009-06-30,509.69
2009-07-31,550.654
2009-08-31,635.305
2009-09-30,675.26
2009-10-30,680.379
2009-11-30,697.537
2009-12-31,692.448
2010-01-29,676.014
2010-02-26,688.405
2010-03-31,731.281
2010-04-30,718.82
2010-05-31,644.713
2010-06-30,633.698
2010-07-30,717.899
2010-08-31,698.92
2010-09-30,805.976
2010-10-29,868.197
2010-11-30,782.96
2010-12-31,857.59
2011-01-31,881.096
2011-02-28,890.091
2011-03-31,935.688
2011-04-29,988.096
2011-05-31,964.058
2011-06-30,949.415
2011-07-29,887.762
2011-08-31,834.677
2011-09-30,708.068
2011-10-31,742.568
2011-11-30,691.95
2011-12-30,671.638
2012-01-31,714.771
2012-02-29,747.113
2012-03-30,765.475
2012-04-30,740.088
2012-05-31,653.53
2012-06-29,670.444
2012-07-31,668.85
2012-08-31,676.829
2012-09-28,722.594
2012-10-31,731.35
2012-11-30,730.999
2012-12-31,782.931
2013-01-31,831.476
2013-02-28,801.218
2013-03-29,765.345
2013-04-30,803.267
2013-05-31,805.88
2013-06-28,775.738
2013-07-31,807.152
2013-08-30,794.38
2013-09-30,862.516
2013-10-31,896.773
2013-11-29,882.499
2013-12-31,911.736
2014-01-31,884.501
2014-02-28,932.094
2014-03-31,951.556
2014-04-30,967.656
2014-05-30,956.381
2014-06-30,952.808
2014-07-31,951.038
2014-08-29,946.198
2014-09-30,900.802
2014-10-31,903.519
2014-11-28,923.337
2014-12-31,912.254
2015-01-30,898.616
2015-02-27,932.172
2015-03-31,888.781
2015-04-30,924.856
2015-05-29,910.675
2015-06-30,889.426
2015-07-31,924.969
