Date,PORTUGAL SMID VALUE SMID (Small+Mid Cap)
2001-01-01,338.518
2001-01-02,345.604
2001-01-03,342.331
2001-01-04,348.916
2001-01-05,351.376
2001-01-08,348.207
2001-01-09,344.48
2001-01-10,346.202
2001-01-11,353.887
2001-01-12,357.572
2001-01-15,355.036
2001-01-16,350.79
2001-01-17,352.453
2001-01-18,357.406
2001-01-19,356.409
2001-01-22,356.825
2001-01-23,356.138
2001-01-24,354.004
2001-01-25,354.149
2001-01-26,354.432
2001-01-29,352.042
2001-01-30,354.849
2001-01-31,359.312
2001-02-01,361.843
2001-02-02,356.879
2001-02-05,355.265
2001-02-06,350.936
2001-02-07,351.19
2001-02-08,345.367
2001-02-09,343.376
2001-02-12,348.1
2001-02-13,345.183
2001-02-14,343.38
2001-02-15,339.115
2001-02-16,340.598
2001-02-19,340.729
2001-02-20,338.786
2001-02-21,338.142
2001-02-22,338.057
2001-02-23,335.222
2001-02-26,336.458
2001-02-27,339.787
2001-02-28,339.047
2001-03-01,341.429
2001-03-02,343.465
2001-03-05,341.765
2001-03-06,345.532
2001-03-07,344.622
2001-03-08,345.913
2001-03-09,339.328
2001-03-12,336.511
2001-03-13,333.017
2001-03-14,326.93
2001-03-15,326.829
2001-03-16,315.804
2001-03-19,312.432
2001-03-20,316.715
2001-03-21,309.664
2001-03-22,293.202
2001-03-23,302.633
2001-03-26,304.469
2001-03-27,304.776
2001-03-28,300.861
2001-03-29,299.651
2001-03-30,300.665
2001-04-02,297.232
2001-04-03,291.867
2001-04-04,296.906
2001-04-05,301.332
2001-04-06,301.178
2001-04-09,304.034
2001-04-10,305.376
2001-04-11,306.947
2001-04-12,311.188
2001-04-13,311.188
2001-04-16,308.001
2001-04-17,305.377
2001-04-18,305.044
2001-04-19,308.479
2001-04-20,307.194
2001-04-23,300.545
2001-04-24,300.105
2001-04-25,301.213
2001-04-26,300.117
2001-04-27,297.624
2001-04-30,299.583
2001-05-01,301.172
2001-05-02,299.797
2001-05-03,298.372
2001-05-04,298.788
2001-05-07,296.151
2001-05-08,291.363
2001-05-09,290.497
2001-05-10,291.328
2001-05-11,288.902
2001-05-14,288.079
2001-05-15,292.526
2001-05-16,293.257
2001-05-17,293.431
2001-05-18,289.953
2001-05-21,291.076
2001-05-22,284.63
2001-05-23,280.666
2001-05-24,280.591
2001-05-25,282.774
2001-05-28,286.344
2001-05-29,285.037
2001-05-30,285.329
2001-05-31,282.366
2001-06-01,282.328
2001-06-04,282.035
2001-06-05,281.5
2001-06-06,280.406
2001-06-07,279.963
2001-06-08,279.537
2001-06-11,270.859
2001-06-12,268.887
2001-06-13,273.494
2001-06-14,275.838
2001-06-15,274.231
2001-06-18,269.028
2001-06-19,265.843
2001-06-20,258.273
2001-06-21,256.96
2001-06-22,262.313
2001-06-25,262.744
2001-06-26,263.599
2001-06-27,262.676
2001-06-28,261.42
2001-06-29,260.895
2001-07-02,259.6
2001-07-03,261.38
2001-07-04,260.259
2001-07-05,256.138
2001-07-06,254.178
2001-07-09,252.399
2001-07-10,256.514
2001-07-11,254.745
2001-07-12,251.658
2001-07-13,250.227
2001-07-16,251.406
2001-07-17,248.31
2001-07-18,254.247
2001-07-19,255.555
2001-07-20,253.764
2001-07-23,250.822
2001-07-24,253.693
2001-07-25,254.154
2001-07-26,255.548
2001-07-27,257.549
2001-07-30,257.586
2001-07-31,256.7
2001-08-01,256.543
2001-08-02,257.361
2001-08-03,256.394
2001-08-06,256.192
2001-08-07,254.535
2001-08-08,252.654
2001-08-09,254.553
2001-08-10,254.676
2001-08-13,255.813
2001-08-14,257.048
2001-08-15,260.972
2001-08-16,258.89
2001-08-17,257.531
2001-08-20,256.054
2001-08-21,257.478
2001-08-22,257.853
2001-08-23,254.396
2001-08-24,254.211
2001-08-27,252.666
2001-08-28,250.66
2001-08-29,251.536
2001-08-30,251.227
2001-08-31,249.982
2001-09-03,247.969
