Date,PORTUGAL SMID VALUE SMID (Small+Mid Cap)
1994-05-31,150.042
1994-06-30,148.888
1994-07-29,160.914
1994-08-31,167.463
1994-09-30,164.094
1994-10-31,169.931
1994-11-30,164.725
1994-12-30,165.004
1995-01-31,158.499
1995-02-28,166.221
1995-03-31,176.009
1995-04-28,177.916
1995-05-31,179.977
1995-06-30,178.76
1995-07-31,177.532
1995-08-31,166.765
1995-09-29,171.532
1995-10-31,175.298
1995-11-30,167.873
1995-12-29,173.866
1996-01-31,183.669
1996-02-29,184.729
1996-03-29,187.663
1996-04-30,183.712
1996-05-31,189.417
1996-06-28,194.987
1996-07-31,200.332
1996-08-30,204.672
1996-09-30,200.248
1996-10-31,203.153
1996-11-29,205.234
1996-12-31,210.06
1997-01-31,215.292
1997-02-28,216.967
1997-03-31,218.594
1997-04-30,218.919
1997-05-30,233.547
1997-06-30,250.889
1997-07-31,275.952
1997-08-29,263.162
1997-09-30,296.216
1997-10-31,288.971
1997-11-28,282.054
1997-12-31,287.381
1998-01-30,320.729
1998-02-27,376.643
1998-03-31,444.332
1998-04-30,480.188
1998-05-29,462.821
1998-06-30,402.14
1998-07-31,437.861
1998-08-31,377.867
1998-09-30,349.055
1998-10-30,390.282
1998-11-30,389.364
1998-12-31,387.728
1999-01-29,372.878
1999-02-26,356.099
1999-03-31,344.816
1999-04-30,327.205
1999-05-31,326.026
1999-06-30,309.315
1999-07-30,320.072
1999-08-31,321.861
1999-09-30,322.09
1999-10-29,326.642
1999-11-30,320.4
1999-12-31,338.408
2000-01-31,339.803
2000-02-29,340.299
2000-03-31,321.37
2000-04-28,304.523
2000-05-31,312.422
2000-06-30,331.446
2000-07-31,338.7
2000-08-31,330.017
2000-09-29,331.856
2000-10-31,316.034
2000-11-30,324.171
2000-12-29,338.518
2001-01-31,359.312
2001-02-28,339.047
2001-03-30,300.665
2001-04-30,299.583
2001-05-31,282.366
2001-06-29,260.895
2001-07-31,256.7
2001-08-31,249.982
2001-09-28,231.306
2001-10-31,256.602
2001-11-30,260.233
2001-12-31,265.085
2002-01-31,261.071
2002-02-28,263.378
2002-03-29,278.176
2002-04-30,290.029
2002-05-31,296.848
2002-06-28,293.326
2002-07-31,257.862
2002-08-30,252.705
2002-09-30,204.646
2002-10-31,220.337
2002-11-29,253.646
2002-12-31,246.766
2003-01-31,238.291
2003-02-28,213.59
2003-03-31,223.407
2003-04-30,237.98
2003-05-30,267.861
2003-06-30,279.558
2003-07-31,277.167
2003-08-29,278.358
2003-09-30,306.34
2003-10-31,304.668
2003-11-28,325.652
2003-12-31,349.494
2004-01-30,347.555
2004-02-27,382.932
2004-03-31,378.553
2004-04-30,374.65
2004-05-31,374.276
2004-06-30,388.697
2004-07-30,375.38
2004-08-31,388.983
2004-09-30,416.216
2004-10-29,419.972
2004-11-30,442.493
2004-12-31,452.942
2005-01-31,446.495
2005-02-28,442.038
2005-03-31,420.886
2005-04-29,424.136
2005-05-31,400.965
2005-06-30,399.479
2005-07-29,417.168
2005-08-31,442.105
2005-09-30,447.527
2005-10-31,440.217
2005-11-30,456.379
2005-12-30,484.783
2006-01-31,518.144
2006-02-28,538.792
2006-03-31,604.296
2006-04-28,620.443
2006-05-31,598.218
2006-06-30,583.194
2006-07-31,591.781
2006-08-31,623.243
2006-09-29,635.591
2006-10-31,653.522
2006-11-30,696.581
2006-12-29,747.931
2007-01-31,765.206
2007-02-28,766.734
2007-03-30,771.892
2007-04-30,869.377
2007-05-31,1000.0
2007-06-29,987.628
2007-07-31,1028.707
2007-08-31,953.601
2007-09-28,947.424
2007-10-31,1014.568
2007-11-30,994.076
2007-12-31,941.219
2008-01-31,812.841
2008-02-29,847.987
2008-03-31,846.142
2008-04-30,907.335
2008-05-30,881.96
2008-06-30,732.663
2008-07-31,689.95
2008-08-29,631.042
2008-09-30,599.302
2008-10-31,458.693
2008-11-28,408.325
2008-12-31,455.095
2009-01-30,393.525
2009-02-27,350.204
2009-03-31,396.777
2009-04-30,479.056
2009-05-29,546.701
2009-06-30,533.531
2009-07-31,574.605
2009-08-31,632.155
2009-09-30,699.859
2009-10-30,690.102
2009-11-30,665.193
2009-12-31,654.047
2010-01-29,599.51
2010-02-26,534.647
2010-03-31,570.792
2010-04-30,517.628
2010-05-31,432.395
2010-06-30,434.265
2010-07-30,491.233
2010-08-31,466.543
2010-09-30,491.891
2010-10-29,537.888
2010-11-30,432.083
2010-12-31,461.979
2011-01-31,486.241
2011-02-28,512.916
2011-03-31,486.917
2011-04-29,507.244
2011-05-31,472.661
2011-06-30,440.695
2011-07-29,393.434
2011-08-31,340.852
2011-09-30,275.339
2011-10-31,256.879
2011-11-30,216.933
2011-12-30,217.469
2012-01-31,200.707
2012-02-29,225.321
2012-03-30,218.777
2012-04-30,202.384
2012-05-31,162.108
2012-06-29,184.429
2012-07-31,176.215
2012-08-31,197.504
2012-09-28,206.734
2012-10-31,228.499
2012-11-30,224.231
2012-12-31,250.253
2013-01-31,301.631
2013-02-28,277.667
2013-03-29,255.938
2013-04-30,278.142
2013-05-31,260.682
2013-06-28,239.024
2013-07-31,256.217
2013-08-30,258.933
2013-09-30,281.949
2013-10-31,315.811
2013-11-29,335.458
2013-12-31,349.892
2014-01-31,366.661
2014-02-28,403.793
2014-03-31,423.913
2014-04-30,418.453
2014-05-30,387.247
2014-06-30,386.41
2014-07-31,342.827
2014-08-29,331.401
2014-09-30,318.081
2014-10-31,283.221
2014-11-28,279.283
2014-12-31,254.378
2015-01-30,254.238
2015-02-27,276.574
2015-03-31,275.924
2015-04-30,281.108
2015-05-29,271.816
2015-06-30,261.648
2015-07-31,258.963
2015-08-31,243.69
2015-09-30,225.928
2015-10-30,243.744
2015-11-30,220.639
2015-12-31,230.229
2016-01-29,215.366
2016-02-29,201.33
2016-03-31,229.093
2016-04-29,237.023
2016-05-31,229.448
2016-06-30,188.798
2016-07-29,204.001
2016-08-31,199.282
2016-09-30,189.447
2016-10-31,189.693
2016-11-30,181.858
2016-12-30,195.655
2017-01-31,188.757
2017-02-28,189.952
2017-03-31,201.7
2017-04-28,208.979
2017-05-31,226.395
2017-06-30,231.088
2017-07-31,236.48
2017-08-31,230.761
2017-09-29,244.487
2017-10-31,248.582
2017-11-30,242.555
2017-12-29,245.405
2018-01-31,264.593
2018-02-28,249.585
2018-03-30,249.622
2018-04-30,253.479
2018-05-31,250.601
2018-06-29,256.358
2018-07-31,262.321
2018-08-31,250.341
2018-09-28,248.835
2018-10-31,230.385
2018-11-30,220.958
2018-12-31,211.845
2019-01-31,227.526
2019-02-28,227.625
2019-03-29,220.126
2019-04-30,229.788
2019-05-31,215.872
2019-06-28,226.854
2019-07-31,208.29
2019-08-30,197.04
2019-09-30,197.451
2019-10-31,211.402
2019-11-29,212.254
2019-12-31,217.333
2020-01-31,204.999
2020-02-28,171.627
2020-03-31,135.647
2020-04-30,147.976
2020-05-29,150.693
2020-06-30,150.455
2020-07-31,145.925
2020-08-31,148.121
2020-09-30,130.558
2020-10-30,116.826
2020-11-30,152.226
2020-12-31,153.927
2021-01-29,146.785
2021-02-26,159.24
2021-03-31,163.901
2021-04-30,167.479
2021-05-31,184.68
2021-06-30,167.332
2021-07-30,158.222
2021-08-31,168.551
2021-09-30,180.479
2021-10-29,175.752
2021-11-30,159.0
2021-12-31,166.585
2022-01-31,176.696
2022-02-28,178.376
2022-03-31,197.709
2022-04-29,188.07
2022-05-31,211.632
2022-06-30,193.865
2022-07-29,177.686
2022-08-31,176.529
2022-09-30,155.754
2022-10-31,171.064
2022-11-30,191.324
2022-12-30,202.741
2023-01-31,212.463
2023-02-28,207.019
2023-03-31,199.085
2023-04-28,212.408
2023-05-31,190.48
2023-06-30,202.21
2023-07-31,222.19
2023-08-31,227.535
2023-09-29,228.456
2023-10-31,236.272
2023-11-30,247.13
2023-12-29,236.774
2024-01-31,240.509
2024-02-29,235.985
2024-03-29,255.631
2024-04-30,281.511
2024-05-31,295.812
2024-06-28,283.244
2024-07-31,308.653
2024-08-30,323.425
2024-09-30,322.579
2024-10-31,328.722
2024-11-29,316.3
2024-12-31,313.979
2025-01-31,331.855
2025-02-28,353.756
2025-03-31,374.536
2025-04-30,422.767
2025-05-30,462.876
2025-06-30,492.301
2025-07-31,493.859
2025-08-29,508.326
2025-09-30,535.574
