Date,SPAIN SMALL VALUE Small Cap
1994-05-31,85.775
1994-06-30,85.199
1994-07-29,86.27
1994-08-31,86.733
1994-09-30,84.813
1994-10-31,84.787
1994-11-30,82.861
1994-12-30,80.357
1995-01-31,78.825
1995-02-28,80.607
1995-03-31,78.894
1995-04-28,85.925
1995-05-31,88.926
1995-06-30,89.264
1995-07-31,93.31
1995-08-31,88.541
1995-09-29,89.07
1995-10-31,87.13
1995-11-30,87.83
1995-12-29,88.589
1996-01-31,88.222
1996-02-29,92.118
1996-03-29,91.256
1996-04-30,90.308
1996-05-31,89.308
1996-06-28,91.601
1996-07-31,91.85
1996-08-30,93.482
1996-09-30,91.643
1996-10-31,94.725
1996-11-29,96.545
1996-12-31,105.364
1997-01-31,105.551
1997-02-28,103.094
1997-03-31,105.472
1997-04-30,107.727
1997-05-30,117.404
1997-06-30,126.473
1997-07-31,123.929
1997-08-29,123.495
1997-09-30,134.606
1997-10-31,129.473
1997-11-28,132.279
1997-12-31,136.483
1998-01-30,146.937
1998-02-27,165.125
1998-03-31,178.517
1998-04-30,186.651
1998-05-29,188.757
1998-06-30,186.184
1998-07-31,186.09
1998-08-31,178.711
1998-09-30,173.395
1998-10-30,181.248
1998-11-30,190.052
1998-12-31,190.665
1999-01-29,183.118
1999-02-26,178.955
1999-03-31,172.038
1999-04-30,166.256
1999-05-31,163.919
1999-06-30,158.399
1999-07-30,159.544
1999-08-31,161.069
1999-09-30,162.122
1999-10-29,156.315
1999-11-30,145.362
1999-12-31,142.885
2000-01-31,134.597
2000-02-29,141.504
2000-03-31,149.853
2000-04-28,142.399
2000-05-31,141.8
2000-06-30,142.078
2000-07-31,137.945
2000-08-31,135.637
2000-09-29,134.558
2000-10-31,129.21
2000-11-30,129.38
2000-12-29,136.342
2001-01-31,149.886
2001-02-28,150.988
2001-03-30,142.271
2001-04-30,147.109
2001-05-31,142.57
2001-06-29,142.193
2001-07-31,148.197
2001-08-31,152.35
2001-09-28,140.461
2001-10-31,145.167
2001-11-30,150.968
2001-12-31,149.147
2002-01-31,150.372
2002-02-28,157.471
2002-03-29,167.439
2002-04-30,183.458
2002-05-31,192.371
2002-06-28,193.865
2002-07-31,183.499
2002-08-30,181.183
2002-09-30,167.786
