Date,SPAIN SMALL VALUE Small Cap
2001-01-01,136.342
2001-01-02,138.994
2001-01-03,138.919
2001-01-04,140.951
2001-01-05,143.51
2001-01-08,143.397
2001-01-09,141.708
2001-01-10,142.394
2001-01-11,144.724
2001-01-12,146.757
2001-01-15,145.714
2001-01-16,144.714
2001-01-17,144.4
2001-01-18,147.738
2001-01-19,146.23
2001-01-22,146.354
2001-01-23,147.226
2001-01-24,144.943
2001-01-25,144.799
2001-01-26,145.679
2001-01-29,145.691
2001-01-30,147.156
2001-01-31,149.886
2001-02-01,153.012
2001-02-02,151.567
2001-02-05,152.808
2001-02-06,152.14
2001-02-07,150.889
2001-02-08,149.249
2001-02-09,149.767
2001-02-12,151.069
2001-02-13,150.08
2001-02-14,149.009
2001-02-15,147.457
2001-02-16,149.145
2001-02-19,150.697
2001-02-20,148.716
2001-02-21,149.638
2001-02-22,149.438
2001-02-23,149.311
2001-02-26,149.012
2001-02-27,150.179
2001-02-28,150.988
2001-03-01,152.505
2001-03-02,154.585
2001-03-05,153.354
2001-03-06,154.243
2001-03-07,153.217
2001-03-08,154.258
2001-03-09,153.955
2001-03-12,153.264
2001-03-13,150.759
2001-03-14,148.921
2001-03-15,148.964
2001-03-16,146.63
2001-03-19,145.886
2001-03-20,146.473
2001-03-21,143.865
2001-03-22,138.513
2001-03-23,141.026
2001-03-26,142.599
2001-03-27,143.296
2001-03-28,141.477
2001-03-29,140.442
2001-03-30,142.271
2001-04-02,144.681
2001-04-03,143.883
2001-04-04,146.417
2001-04-05,145.9
2001-04-06,147.776
2001-04-09,147.852
2001-04-10,145.962
2001-04-11,144.974
2001-04-12,146.364
2001-04-13,146.364
2001-04-16,144.865
2001-04-17,144.271
2001-04-18,143.336
2001-04-19,145.15
2001-04-20,147.365
2001-04-23,146.925
2001-04-24,146.868
2001-04-25,148.098
2001-04-26,149.136
2001-04-27,147.452
2001-04-30,147.109
2001-05-01,147.889
2001-05-02,148.147
2001-05-03,148.402
