Date,CANADA IMI GROWTH IMI (Large+Mid+Small Cap)
1998-05-29,334.772
1998-06-30,323.85
1998-07-31,304.821
1998-08-31,236.468
1998-09-30,236.046
1998-10-30,261.47
1998-11-30,276.166
1998-12-31,288.588
1999-01-29,314.597
1999-02-26,297.173
1999-03-31,313.86
1999-04-30,343.286
1999-05-31,341.45
1999-06-30,352.873
1999-07-30,351.844
1999-08-31,342.631
1999-09-30,359.372
1999-10-29,387.467
1999-11-30,424.713
1999-12-31,521.758
2000-01-31,535.488
2000-02-29,617.513
2000-03-31,640.227
2000-04-28,595.663
2000-05-31,565.606
2000-06-30,658.034
2000-07-31,678.202
2000-08-31,749.221
2000-09-29,643.149
2000-10-31,547.673
2000-11-30,464.986
2000-12-29,464.776
2001-01-31,499.386
2001-02-28,383.077
2001-03-30,337.322
2001-04-30,368.691
2001-05-31,364.794
2001-06-29,354.029
2001-07-31,349.158
2001-08-31,323.761
2001-09-28,292.301
2001-10-31,299.17
2001-11-30,325.125
2001-12-31,334.955
2002-01-31,328.254
2002-02-28,324.016
2002-03-29,339.47
2002-04-30,333.935
2002-05-31,340.887
2002-06-28,321.536
2002-07-31,283.803
2002-08-30,285.351
2002-09-30,261.507
2002-10-31,268.137
2002-11-29,279.525
2002-12-31,277.633
2003-01-31,286.527
2003-02-28,294.751
2003-03-31,291.131
2003-04-30,305.631
2003-05-30,337.61
2003-06-30,344.045
2003-07-31,343.704
2003-08-29,364.886
2003-09-30,371.752
2003-10-31,395.332
2003-11-28,410.376
2003-12-31,436.806
2004-01-30,443.442
2004-02-27,460.115
2004-03-31,452.255
2004-04-30,404.689
2004-05-31,423.424
2004-06-30,442.3
2004-07-30,432.2
2004-08-31,432.588
2004-09-30,470.944
2004-10-29,498.661
2004-11-30,521.791
2004-12-31,524.036
2005-01-31,509.605
2005-02-28,547.615
2005-03-31,553.214
2005-04-29,513.165
2005-05-31,535.639
2005-06-30,569.126
2005-07-29,600.74
2005-08-31,643.95
2005-09-30,677.81
2005-10-31,623.934
2005-11-30,654.012
2005-12-30,693.768
2006-01-31,776.72
2006-02-28,741.375
2006-03-31,760.244
2006-04-28,808.672
2006-05-31,779.099
2006-06-30,770.801
2006-07-31,773.041
2006-08-31,801.247
2006-09-29,759.882
2006-10-31,807.828
2006-11-30,845.785
2006-12-29,832.305
2007-01-31,837.857
2007-02-28,846.545
2007-03-30,868.351
2007-04-30,919.258
2007-05-31,1000.0
2007-06-29,1005.519
2007-07-31,1009.366
2007-08-31,995.341
2007-09-28,1114.941
2007-10-31,1244.956
2007-11-30,1094.165
2007-12-31,1159.445
2008-01-31,1072.469
2008-02-29,1177.436
2008-03-31,1102.193
2008-04-30,1192.931
2008-05-30,1305.974
2008-06-30,1295.324
2008-07-31,1149.074
2008-08-29,1117.019
2008-09-30,877.344
2008-10-31,613.521
2008-11-28,592.662
2008-12-31,599.503
2009-01-30,594.289
2009-02-27,537.772
2009-03-31,581.455
2009-04-30,647.751
2009-05-29,797.642
2009-06-30,732.598
2009-07-31,791.515
2009-08-31,773.569
2009-09-30,843.722
2009-10-30,811.217
2009-11-30,876.647
2009-12-31,903.176
2010-01-29,825.998
2010-02-26,873.727
2010-03-31,927.313
2010-04-30,960.696
2010-05-31,890.066
2010-06-30,844.278
2010-07-30,900.29
2010-08-31,908.8
2010-09-30,977.116
2010-10-29,1014.894
2010-11-30,1037.776
2010-12-31,1129.455
2011-01-31,1128.964
2011-02-28,1207.546
2011-03-31,1189.888
2011-04-29,1208.777
2011-05-31,1159.96
2011-06-30,1115.991
2011-07-29,1113.161
2011-08-31,1075.128
2011-09-30,887.996
2011-10-31,1000.952
2011-11-30,980.742
2011-12-30,931.091
2012-01-31,993.65
2012-02-29,1015.954
2012-03-30,966.826
2012-04-30,962.877
2012-05-31,871.107
2012-06-29,887.332
2012-07-31,897.515
2012-08-31,941.297
2012-09-28,984.476
2012-10-31,976.139
2012-11-30,948.785
2012-12-31,961.383
2013-01-31,975.787
2013-02-28,959.714
2013-03-29,974.034
2013-04-30,942.252
2013-05-31,934.472
2013-06-28,878.313
2013-07-31,922.038
2013-08-30,906.565
2013-09-30,939.506
2013-10-31,968.703
2013-11-29,959.402
2013-12-31,980.443
2014-01-31,952.53
2014-02-28,1002.376
2014-03-31,1017.167
2014-04-30,1045.934
2014-05-30,1055.871
2014-06-30,1119.724
2014-07-31,1103.172
2014-08-29,1143.578
2014-09-30,1076.911
2014-10-31,1048.081
2014-11-28,1048.641
2014-12-31,1044.921
2015-01-30,972.463
2015-02-27,1035.58
2015-03-31,1010.604
2015-04-30,1069.545
2015-05-29,1037.142
2015-06-30,1007.872
2015-07-31,993.084
2015-08-31,918.268
2015-09-30,866.095
2015-10-30,879.022
2015-11-30,865.678
2015-12-31,815.236
2016-01-29,792.542
2016-02-29,823.014
2016-03-31,886.446
2016-04-29,926.109
2016-05-31,907.33
2016-06-30,923.303
2016-07-29,964.642
2016-08-31,955.449
2016-09-30,968.627
2016-10-31,941.922
2016-11-30,937.234
2016-12-30,938.114
2017-01-31,966.72
2017-02-28,952.474
2017-03-31,971.525
2017-04-28,962.734
2017-05-31,965.218
2017-06-30,981.354
2017-07-31,1008.843
2017-08-31,1015.918
2017-09-29,1045.343
2017-10-31,1034.78
2017-11-30,1036.161
2017-12-29,1082.441
2018-01-31,1090.341
2018-02-28,1020.259
2018-03-30,1006.627
2018-04-30,1032.485
2018-05-31,1054.85
2018-06-29,1058.781
2018-07-31,1082.254
2018-08-31,1067.862
2018-09-28,1064.476
2018-10-31,974.59
2018-11-30,973.168
2018-12-31,900.097
2019-01-31,1015.137
2019-02-28,1044.709
2019-03-29,1045.931
2019-04-30,1067.397
2019-05-31,1038.661
2019-06-28,1105.266
2019-07-31,1107.386
2019-08-30,1106.566
2019-09-30,1101.757
2019-10-31,1094.349
2019-11-29,1129.346
2019-12-31,1158.111
2020-01-31,1178.089
2020-02-28,1096.052
2020-03-31,899.586
2020-04-30,1059.05
2020-05-29,1110.154
2020-06-30,1170.067
2020-07-31,1274.374
2020-08-31,1316.469
2020-09-30,1280.033
2020-10-30,1220.041
2020-11-30,1335.431
2020-12-31,1395.785
2021-01-29,1355.135
2021-02-26,1404.597
2021-03-31,1432.361
2021-04-30,1487.12
2021-05-31,1554.25
2021-06-30,1566.471
