Date,CANADA IMI GROWTH IMI (Large+Mid+Small Cap)
1998-05-29,327.963
1998-06-30,317.393
1998-07-31,298.785
1998-08-31,231.793
1998-09-30,231.485
1998-10-30,256.462
1998-11-30,270.885
1998-12-31,283.287
1999-01-29,308.828
1999-02-26,291.75
1999-03-31,308.253
1999-04-30,337.159
1999-05-31,335.4
1999-06-30,346.727
1999-07-30,345.742
1999-08-31,336.735
1999-09-30,353.292
1999-10-29,380.927
1999-11-30,417.593
1999-12-31,513.111
2000-01-31,526.629
2000-02-29,607.303
2000-03-31,629.747
2000-04-28,585.916
2000-05-31,556.373
2000-06-30,647.369
2000-07-31,667.229
2000-08-31,737.138
2000-09-29,632.812
2000-10-31,538.89
2000-11-30,457.568
2000-12-29,457.424
2001-01-31,491.504
2001-02-28,377.077
2001-03-30,332.136
2001-04-30,363.028
2001-05-31,359.263
2001-06-29,348.774
2001-07-31,343.996
2001-08-31,319.069
2001-09-28,288.344
2001-10-31,295.145
2001-11-30,320.837
2001-12-31,330.626
2002-01-31,324.031
2002-02-28,319.923
2002-03-29,335.285
2002-04-30,329.832
2002-05-31,336.797
2002-06-28,317.763
2002-07-31,280.494
2002-08-30,282.098
2002-09-30,258.594
2002-10-31,265.171
2002-11-29,276.512
2002-12-31,274.753
2003-01-31,283.562
2003-02-28,291.818
2003-03-31,288.336
2003-04-30,302.717
2003-05-30,334.487
2003-06-30,340.977
2003-07-31,340.647
2003-08-29,361.74
2003-09-30,368.627
2003-10-31,392.02
2003-11-28,407.027
2003-12-31,433.385
2004-01-30,439.991
2004-02-27,456.617
2004-03-31,448.924
2004-04-30,401.725
2004-05-31,420.489
2004-06-30,439.353
2004-07-30,429.346
2004-08-31,429.873
2004-09-30,468.066
2004-10-29,495.636
2004-11-30,518.777
2004-12-31,521.175
2005-01-31,506.851
2005-02-28,544.769
2005-03-31,550.484
2005-04-29,510.677
2005-05-31,533.171
2005-06-30,566.72
2005-07-29,598.231
2005-08-31,641.423
2005-09-30,675.307
2005-10-31,621.664
2005-11-30,651.891
2005-12-30,691.698
2006-01-31,774.443
2006-02-28,739.283
2006-03-31,758.288
2006-04-28,806.621
2006-05-31,777.285
2006-06-30,769.278
2006-07-31,771.604
2006-08-31,799.887
2006-09-29,758.758
2006-10-31,806.681
2006-11-30,844.705
2006-12-29,831.463
2007-01-31,837.111
2007-02-28,846.009
2007-03-30,868.019
2007-04-30,918.985
2007-05-31,1000.0
2007-06-29,1005.744
2007-07-31,1009.672
2007-08-31,995.809
2007-09-28,1115.735
2007-10-31,1245.915
2007-11-30,1095.236
2007-12-31,1160.973
2008-01-31,1073.949
2008-02-29,1179.192
2008-03-31,1104.236
2008-04-30,1195.239
2008-05-30,1308.733
2008-06-30,1298.579
2008-07-31,1152.038
2008-08-29,1120.037
2008-09-30,880.035
2008-10-31,615.474
2008-11-28,594.751
2008-12-31,601.924
2009-01-30,596.83
2009-02-27,540.294
2009-03-31,584.56
2009-04-30,651.358
2009-05-29,802.501
2009-06-30,737.344
2009-07-31,796.726
2009-08-31,778.834
2009-09-30,849.879
2009-10-30,817.201
2009-11-30,883.484
2009-12-31,910.56
2010-01-29,832.816
2010-02-26,881.01
2010-03-31,935.482
2010-04-30,969.239
2010-05-31,898.2
2010-06-30,852.298
2010-07-30,909.072
2010-08-31,917.896
2010-09-30,987.272
2010-10-29,1025.677
2010-11-30,1049.074
2010-12-31,1142.175
2011-01-31,1141.791
2011-02-28,1221.499
2011-03-31,1204.144
2011-04-29,1223.402
2011-05-31,1174.304
2011-06-30,1130.356
2011-07-29,1127.638
2011-08-31,1089.453
2011-09-30,900.255
2011-10-31,1014.923
2011-11-30,994.816
2011-12-30,945.109
2012-01-31,1008.811
2012-02-29,1031.736
2012-03-30,982.522
2012-04-30,978.692
2012-05-31,885.793
2012-06-29,902.968
2012-07-31,913.485
2012-08-31,958.395
2012-09-28,1003.04
2012-10-31,994.72
2012-11-30,967.17
2012-12-31,980.654
2013-01-31,995.546
2013-02-28,979.47
2013-03-29,994.78
2013-04-30,962.728
2013-05-31,955.169
2013-06-28,898.412
2013-07-31,943.533
2013-08-30,927.993
2013-09-30,962.413
2013-10-31,992.725
2013-11-29,983.51
2013-12-31,1005.656
2014-01-31,977.564
2014-02-28,1028.951
2014-03-31,1044.76
2014-04-30,1074.841
2014-05-30,1085.368
2014-06-30,1151.722
2014-07-31,1135.055
2014-08-29,1176.987
2014-09-30,1109.068
2014-10-31,1079.724
2014-11-28,1080.643
2014-12-31,1077.285
2015-01-30,1003.143
2015-02-27,1068.535
2015-03-31,1043.254
2015-04-30,1104.724
2015-05-29,1071.597
2015-06-30,1041.89
2015-07-31,1026.868
2015-08-31,949.901
2015-09-30,896.474
2015-10-30,910.085
2015-11-30,896.669
2015-12-31,844.969
2016-01-29,821.624
2016-02-29,853.61
2016-03-31,920.123
2016-04-29,961.381
2016-05-31,942.426
2016-06-30,959.67
2016-07-29,1002.733
2016-08-31,993.671
2016-09-30,1008.042
2016-10-31,980.345
2016-11-30,975.943
2016-12-30,977.481
2017-01-31,1007.459
2017-02-28,992.926
2017-03-31,1013.52
2017-04-28,1004.445
2017-05-31,1007.505
2017-06-30,1025.04
2017-07-31,1053.821
2017-08-31,1061.892
2017-09-29,1093.259
2017-10-31,1082.284
2017-11-30,1084.386
2017-12-29,1133.436
2018-01-31,1142.229
2018-02-28,1068.965
2018-03-30,1055.415
2018-04-30,1083.077
2018-05-31,1106.787
2018-06-29,1111.609
2018-07-31,1136.778
2018-08-31,1121.958
2018-09-28,1119.07
2018-10-31,1025.111
2018-11-30,1023.885
2018-12-31,947.485
2019-01-31,1069.133
2019-02-28,1100.407
2019-03-29,1102.519
2019-04-30,1125.721
2019-05-31,1095.623
2019-06-28,1166.685
2019-07-31,1169.41
2019-08-30,1168.745
2019-09-30,1164.477
2019-10-31,1157.155
2019-11-29,1194.384
2019-12-31,1225.538
2020-01-31,1247.152
2020-02-28,1160.571
2020-03-31,953.301
2020-04-30,1122.765
2020-05-29,1177.274
2020-06-30,1241.355
2020-07-31,1352.282
2020-08-31,1397.23
2020-09-30,1359.184
2020-10-30,1295.748
2020-11-30,1418.629
2020-12-31,1483.325
2021-01-29,1440.251
2021-02-26,1493.153
2021-03-31,1523.368
2021-04-30,1581.726
2021-05-31,1653.509
2021-06-30,1667.52
2021-07-30,1695.721
2021-08-31,1708.941
2021-09-30,1619.887
2021-10-29,1739.677
2021-11-30,1668.926
2021-12-31,1709.611
2022-01-31,1588.824
2022-02-28,1570.037
2022-03-31,1673.461
2022-04-29,1500.637
2022-05-31,1471.833
2022-06-30,1329.051
2022-07-29,1420.567
2022-08-31,1371.658
2022-09-30,1260.915
2022-10-31,1350.085
2022-11-30,1443.19
2022-12-30,1368.829
2023-01-31,1479.53
2023-02-28,1417.929
2023-03-31,1448.992
2023-04-28,1477.359
2023-05-31,1410.282
2023-06-30,1506.81
2023-07-31,1547.108
2023-08-31,1492.801
2023-09-29,1434.482
2023-10-31,1350.659
