Date,CANADA IMI GROWTH IMI (Large+Mid+Small Cap)
2001-01-01,464.754
2001-01-02,446.955
2001-01-03,471.189
2001-01-04,467.616
2001-01-05,450.869
2001-01-08,450.66
2001-01-09,445.891
2001-01-10,445.953
2001-01-11,464.159
2001-01-12,459.33
2001-01-15,460.769
2001-01-16,458.584
2001-01-17,468.631
2001-01-18,474.445
2001-01-19,495.537
2001-01-22,489.598
2001-01-23,499.269
2001-01-24,497.665
2001-01-25,485.757
2001-01-26,486.63
2001-01-29,499.886
2001-01-30,502.147
2001-01-31,499.386
2001-02-01,498.411
2001-02-02,487.889
2001-02-05,487.127
2001-02-06,484.764
2001-02-07,469.471
2001-02-08,467.501
2001-02-09,457.527
2001-02-12,456.577
2001-02-13,451.587
2001-02-14,449.398
2001-02-15,453.823
2001-02-16,403.477
2001-02-19,406.623
2001-02-20,392.304
2001-02-21,383.702
2001-02-22,387.956
2001-02-23,382.666
2001-02-26,388.566
2001-02-27,382.937
2001-02-28,383.077
2001-03-01,380.481
2001-03-02,372.493
2001-03-05,372.713
2001-03-06,385.143
2001-03-07,387.654
2001-03-08,380.991
2001-03-09,376.438
2001-03-12,363.993
2001-03-13,364.247
2001-03-14,354.948
2001-03-15,354.075
2001-03-16,349.831
2001-03-19,356.625
2001-03-20,348.991
2001-03-21,342.322
2001-03-22,348.358
2001-03-23,346.446
2001-03-26,349.122
2001-03-27,350.768
2001-03-28,332.218
2001-03-29,328.906
2001-03-30,337.322
2001-04-02,338.561
2001-04-03,324.154
2001-04-04,325.265
2001-04-05,332.651
2001-04-06,329.075
2001-04-09,331.658
2001-04-10,345.119
2001-04-11,343.744
2001-04-12,355.76
2001-04-13,355.76
2001-04-16,349.995
2001-04-17,353.606
2001-04-18,371.88
2001-04-19,379.318
2001-04-20,376.421
2001-04-23,365.581
2001-04-24,361.005
2001-04-25,365.804
2001-04-26,364.442
2001-04-27,365.576
2001-04-30,368.691
2001-05-01,369.19
2001-05-02,376.717
2001-05-03,371.958
2001-05-04,372.922
2001-05-07,373.855
2001-05-08,375.367
2001-05-09,372.688
2001-05-10,372.777
2001-05-11,365.067
2001-05-14,360.997
2001-05-15,362.977
2001-05-16,369.159
2001-05-17,374.44
2001-05-18,375.587
2001-05-21,376.03
2001-05-22,385.679
2001-05-23,380.549
2001-05-24,378.999
2001-05-25,376.109
2001-05-28,376.561
2001-05-29,374.887
2001-05-30,364.063
2001-05-31,364.794
2001-06-01,371.65
2001-06-04,373.06
2001-06-05,371.661
2001-06-06,370.227
2001-06-07,372.024
2001-06-08,368.538
2001-06-11,367.158
2001-06-12,366.714
2001-06-13,364.91
2001-06-14,360.932
2001-06-15,356.361
2001-06-18,351.927
2001-06-19,351.333
2001-06-20,350.687
2001-06-21,351.049
2001-06-22,352.41
2001-06-25,351.631
2001-06-26,349.855
2001-06-27,345.574
2001-06-28,346.438
2001-06-29,354.029
2001-07-02,354.555
2001-07-03,356.293
2001-07-04,354.654
2001-07-05,352.071
2001-07-06,345.988
2001-07-09,345.067
2001-07-10,341.685
2001-07-11,339.78
2001-07-12,344.333
2001-07-13,345.061
2001-07-16,341.07
2001-07-17,344.158
2001-07-18,340.254
2001-07-19,341.882
2001-07-20,341.751
2001-07-23,340.232
2001-07-24,340.218
2001-07-25,342.67
2001-07-26,343.05
2001-07-27,345.795
2001-07-30,346.085
2001-07-31,349.158
2001-08-01,349.453
2001-08-02,350.358
2001-08-03,350.111
2001-08-06,351.959
2001-08-07,350.242
2001-08-08,345.31
2001-08-09,344.328
2001-08-10,341.551
2001-08-13,340.774
2001-08-14,337.599
2001-08-15,337.206
2001-08-16,337.573
2001-08-17,332.381
2001-08-20,330.833
2001-08-21,327.825
2001-08-22,332.67
2001-08-23,332.953
2001-08-24,337.165
2001-08-27,337.035
2001-08-28,333.177
2001-08-29,330.078
2001-08-30,325.832
2001-08-31,323.761
2001-09-03,323.459
2001-09-04,327.636
2001-09-05,325.343
2001-09-06,324.798
2001-09-07,323.258
