Date,FRANCE IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,451.656
2001-01-02,453.295
2001-01-03,447.28
2001-01-04,449.805
2001-01-05,451.27
2001-01-08,451.137
2001-01-09,443.727
2001-01-10,440.439
2001-01-11,448.305
2001-01-12,448.949
2001-01-15,448.182
2001-01-16,443.031
2001-01-17,440.196
2001-01-18,444.019
2001-01-19,437.078
2001-01-22,440.523
2001-01-23,440.851
2001-01-24,437.38
2001-01-25,440.412
2001-01-26,440.545
2001-01-29,439.038
2001-01-30,443.114
2001-01-31,448.42
2001-02-01,448.688
2001-02-02,444.767
2001-02-05,449.675
2001-02-06,447.565
2001-02-07,445.475
2001-02-08,440.644
2001-02-09,441.799
2001-02-12,445.961
2001-02-13,440.689
2001-02-14,439.72
2001-02-15,432.33
2001-02-16,436.18
2001-02-19,439.793
2001-02-20,433.151
2001-02-21,431.383
2001-02-22,426.281
2001-02-23,423.198
2001-02-26,427.233
2001-02-27,433.043
2001-02-28,433.07
2001-03-01,440.404
2001-03-02,437.747
2001-03-05,436.849
2001-03-06,438.874
2001-03-07,441.15
2001-03-08,444.537
2001-03-09,443.206
2001-03-12,436.914
2001-03-13,425.458
2001-03-14,416.038
2001-03-15,416.897
2001-03-16,410.137
2001-03-19,408.281
2001-03-20,412.777
2001-03-21,405.543
2001-03-22,383.434
2001-03-23,392.378
2001-03-26,402.462
2001-03-27,411.574
2001-03-28,404.55
2001-03-29,404.116
2001-03-30,410.032
2001-04-02,410.403
2001-04-03,401.201
2001-04-04,410.93
2001-04-05,412.557
2001-04-06,415.485
2001-04-09,417.583
2001-04-10,418.45
2001-04-11,416.586
2001-04-12,423.703
2001-04-13,423.703
2001-04-16,419.364
2001-04-17,417.244
2001-04-18,418.693
2001-04-19,426.552
2001-04-20,430.493
2001-04-23,426.94
2001-04-24,428.287
2001-04-25,428.802
2001-04-26,434.501
2001-04-27,436.778
2001-04-30,434.458
2001-05-01,436.76
2001-05-02,432.773
2001-05-03,428.467
2001-05-04,429.822
2001-05-07,431.615
2001-05-08,429.918
2001-05-09,428.22
2001-05-10,435.46
2001-05-11,432.477
2001-05-14,429.836
2001-05-15,436.948
2001-05-16,440.105
2001-05-17,442.096
2001-05-18,445.662
2001-05-21,445.642
2001-05-22,440.086
2001-05-23,435.859
2001-05-24,436.552
2001-05-25,432.197
2001-05-28,434.972
2001-05-29,431.394
2001-05-30,428.239
2001-05-31,424.159
2001-06-01,421.475
2001-06-04,422.05
2001-06-05,427.433
2001-06-06,426.206
2001-06-07,424.477
2001-06-08,423.197
2001-06-11,419.082
2001-06-12,415.57
2001-06-13,419.445
2001-06-14,419.66
2001-06-15,419.008
2001-06-18,413.544
2001-06-19,414.531
2001-06-20,408.833
2001-06-21,409.311
2001-06-22,415.001
2001-06-25,420.194
2001-06-26,411.129
2001-06-27,409.908
2001-06-28,409.603
2001-06-29,413.915
2001-07-02,420.369
2001-07-03,417.196
2001-07-04,416.74
2001-07-05,410.405
2001-07-06,405.667
2001-07-09,408.117
2001-07-10,409.377
2001-07-11,406.454
2001-07-12,403.455
2001-07-13,407.871
2001-07-16,410.493
2001-07-17,404.76
2001-07-18,406.861
2001-07-19,407.875
2001-07-20,405.22
2001-07-23,406.626
2001-07-24,406.123
2001-07-25,401.646
2001-07-26,404.777
2001-07-27,411.108
2001-07-30,417.337
