Date,FRANCE IMI VALUE IMI (Large+Mid+Small Cap)
2001-01-01,430.995
2001-01-02,432.563
2001-01-03,426.823
2001-01-04,429.233
2001-01-05,430.631
2001-01-08,430.504
2001-01-09,423.433
2001-01-10,420.295
2001-01-11,427.809
2001-01-12,428.423
2001-01-15,427.692
2001-01-16,422.776
2001-01-17,420.071
2001-01-18,423.719
2001-01-19,417.096
2001-01-22,420.383
2001-01-23,420.696
2001-01-24,417.384
2001-01-25,420.277
2001-01-26,420.405
2001-01-29,418.966
2001-01-30,422.856
2001-01-31,427.919
2001-02-01,428.174
2001-02-02,424.435
2001-02-05,429.119
2001-02-06,427.105
2001-02-07,425.111
2001-02-08,420.501
2001-02-09,421.606
2001-02-12,425.577
2001-02-13,420.546
2001-02-14,419.625
2001-02-15,412.572
2001-02-16,416.246
2001-02-19,419.694
2001-02-20,413.356
2001-02-21,411.668
2001-02-22,406.799
2001-02-23,403.858
2001-02-26,407.708
2001-02-27,413.253
2001-02-28,413.279
2001-03-01,420.279
2001-03-02,417.743
2001-03-05,416.887
2001-03-06,418.82
2001-03-07,420.992
2001-03-08,424.224
2001-03-09,422.954
2001-03-12,416.949
2001-03-13,406.017
2001-03-14,397.027
2001-03-15,397.847
2001-03-16,391.396
2001-03-19,389.624
2001-03-20,393.915
2001-03-21,387.011
2001-03-22,365.913
2001-03-23,374.449
2001-03-26,384.071
2001-03-27,392.767
2001-03-28,386.065
2001-03-29,385.651
2001-03-30,391.296
2001-04-02,391.65
2001-04-03,382.868
2001-04-04,392.152
2001-04-05,393.708
2001-04-06,396.502
2001-04-09,398.504
2001-04-10,399.332
2001-04-11,397.553
2001-04-12,404.345
2001-04-13,404.345
2001-04-16,400.204
2001-04-17,398.181
2001-04-18,399.563
2001-04-19,407.064
2001-04-20,410.832
2001-04-23,407.44
2001-04-24,408.726
2001-04-25,409.217
2001-04-26,414.66
2001-04-27,416.832
2001-04-30,414.62
2001-05-01,416.817
2001-05-02,413.046
2001-05-03,408.937
2001-05-04,410.234
2001-05-07,411.987
2001-05-08,410.367
2001-05-09,408.882
2001-05-10,415.873
2001-05-11,413.172
2001-05-14,410.848
2001-05-15,417.658
2001-05-16,420.676
2001-05-17,422.578
2001-05-18,425.993
2001-05-21,425.974
2001-05-22,420.682
2001-05-23,416.666
2001-05-24,417.329
2001-05-25,413.176
2001-05-28,415.834
2001-05-29,412.807
2001-05-30,409.789
2001-05-31,405.899
2001-06-01,403.389
2001-06-04,403.939
2001-06-05,409.217
2001-06-06,408.188
2001-06-07,406.541
2001-06-08,405.335
2001-06-11,401.608
2001-06-12,398.268
2001-06-13,401.983
2001-06-14,402.393
2001-06-15,401.812
2001-06-18,396.577
2001-06-19,397.523
2001-06-20,392.099
2001-06-21,392.557
2001-06-22,398.016
2001-06-25,402.997
2001-06-26,394.305
2001-06-27,393.157
2001-06-28,392.883
2001-06-29,397.027
2001-07-02,403.314
2001-07-03,400.27
2001-07-04,399.837
2001-07-05,393.76
2001-07-06,389.215
2001-07-09,391.565
2001-07-10,392.775
2001-07-11,389.97
2001-07-12,387.093
2001-07-13,391.33
2001-07-16,393.849
2001-07-17,388.357
2001-07-18,390.373
2001-07-19,391.347
2001-07-20,388.801
2001-07-23,390.151
2001-07-24,389.668
2001-07-25,385.372
2001-07-26,388.376
2001-07-27,394.451
2001-07-30,400.428
2001-07-31,402.752
2001-08-01,405.974
2001-08-02,407.383
2001-08-03,406.578
2001-08-06,406.064
2001-08-07,404.147
2001-08-08,400.652
2001-08-09,400.201
2001-08-10,399.715
2001-08-13,404.986
2001-08-14,408.231
2001-08-15,412.016
2001-08-16,408.791
2001-08-17,403.728
2001-08-20,403.019
2001-08-21,404.753
2001-08-22,405.74
2001-08-23,401.622
2001-08-24,408.892
2001-08-27,407.131
2001-08-28,401.921
2001-08-29,403.745
2001-08-30,394.274
2001-08-31,391.241
2001-09-03,383.74
2001-09-04,379.127
2001-09-05,370.552
2001-09-06,361.394
2001-09-07,360.513
2001-09-10,355.444
2001-09-11,330.571
2001-09-12,329.989
2001-09-13,332.473
2001-09-14,320.883
2001-09-17,327.682
2001-09-18,323.146
2001-09-19,322.448
2001-09-20,308.218
2001-09-21,298.767
2001-09-24,315.416
2001-09-25,323.391
2001-09-26,328.025
2001-09-27,329.868
2001-09-28,328.934
2001-10-01,325.355
2001-10-02,327.056
2001-10-03,325.464
2001-10-04,335.721
2001-10-05,336.32
2001-10-08,335.204
2001-10-09,334.98
2001-10-10,341.504
2001-10-11,342.273
2001-10-12,345.071
2001-10-15,335.427
