Date,FRANCE IMI VALUE IMI (Large+Mid+Small Cap)
1994-05-31,162.201
1994-06-30,158.184
1994-07-29,172.04
1994-08-31,172.011
1994-09-30,159.514
1994-10-31,164.119
1994-11-30,162.873
1994-12-30,157.73
1995-01-31,152.275
1995-02-28,153.845
1995-03-31,168.314
1995-04-28,169.319
1995-05-31,173.28
1995-06-30,173.773
1995-07-31,181.037
1995-08-31,167.282
1995-09-29,161.795
1995-10-31,163.222
1995-11-30,163.619
1995-12-29,168.273
1996-01-31,170.84
1996-02-29,174.368
1996-03-29,176.58
1996-04-30,177.995
1996-05-31,177.965
1996-06-28,180.364
1996-07-31,176.627
1996-08-30,174.658
1996-09-30,179.899
1996-10-31,182.191
1996-11-29,189.854
1996-12-31,190.977
1997-01-31,198.643
1997-02-28,199.699
1997-03-31,206.146
1997-04-30,194.534
1997-05-30,196.896
1997-06-30,208.823
1997-07-31,216.733
1997-08-29,206.832
1997-09-30,226.567
1997-10-31,218.207
1997-11-28,217.617
1997-12-31,224.51
1998-01-30,232.464
1998-02-27,251.946
1998-03-31,281.131
1998-04-30,294.65
1998-05-29,311.742
1998-06-30,322.186
1998-07-31,327.717
1998-08-31,288.107
1998-09-30,271.331
1998-10-30,296.897
1998-11-30,314.674
1998-12-31,323.351
1999-01-29,334.151
1999-02-26,315.791
1999-03-31,315.961
1999-04-30,325.077
1999-05-31,317.565
1999-06-30,324.769
1999-07-30,331.01
1999-08-31,339.389
1999-09-30,348.108
1999-10-29,357.411
1999-11-30,369.476
1999-12-31,396.488
2000-01-31,376.091
2000-02-29,385.139
2000-03-31,397.762
2000-04-28,386.417
2000-05-31,399.437
2000-06-30,420.917
2000-07-31,419.188
2000-08-31,407.878
2000-09-29,392.529
2000-10-31,390.404
2000-11-30,397.298
2000-12-29,430.995
2001-01-31,427.919
2001-02-28,413.279
2001-03-30,391.296
2001-04-30,414.62
2001-05-31,405.899
2001-06-29,397.027
2001-07-31,402.752
2001-08-31,391.241
2001-09-28,328.934
2001-10-31,346.267
2001-11-30,365.561
2001-12-31,374.806
2002-01-31,350.447
2002-02-28,352.902
2002-03-29,379.873
2002-04-30,375.771
2002-05-31,383.845
2002-06-28,361.722
2002-07-31,309.432
2002-08-30,309.759
2002-09-30,245.252
2002-10-31,282.478
2002-11-29,305.487
2002-12-31,293.634
2003-01-31,295.346
2003-02-28,277.329
2003-03-31,264.374
2003-04-30,313.27
2003-05-30,336.631
2003-06-30,345.56
2003-07-31,361.376
2003-08-29,361.35
2003-09-30,359.557
2003-10-31,388.774
2003-11-28,408.801
2003-12-31,447.936
2004-01-30,449.51
2004-02-27,463.672
2004-03-31,449.794
2004-04-30,448.063
2004-05-31,459.561
2004-06-30,471.661
2004-07-30,459.488
2004-08-31,465.516
2004-09-30,483.928
2004-10-29,501.981
2004-11-30,529.633
2004-12-31,550.581
2005-01-31,548.019
2005-02-28,580.481
2005-03-31,568.896
2005-04-29,541.421
2005-05-31,554.605
2005-06-30,564.151
2005-07-29,594.765
2005-08-31,592.438
2005-09-30,610.849
2005-10-31,591.635
2005-11-30,609.065
2005-12-30,627.251
2006-01-31,690.106
2006-02-28,695.118
2006-03-31,730.239
2006-04-28,758.972
2006-05-31,751.445
2006-06-30,758.708
2006-07-31,767.196
2006-08-31,791.809
2006-09-29,798.583
2006-10-31,829.212
2006-11-30,855.603
2006-12-29,884.803
2007-01-31,882.908
2007-02-28,870.123
2007-03-30,886.188
2007-04-30,969.971
2007-05-31,1000.0
2007-06-29,998.44
2007-07-31,962.567
2007-08-31,932.193
2007-09-28,977.47
2007-10-31,1006.894
2007-11-30,988.74
2007-12-31,967.992
2008-01-31,855.058
2008-02-29,852.802
2008-03-31,867.228
2008-04-30,915.834
2008-05-30,927.312
2008-06-30,841.18
2008-07-31,830.847
2008-08-29,804.39
2008-09-30,693.089
2008-10-31,546.083
2008-11-28,511.771
2008-12-31,552.092
2009-01-30,475.701
2009-02-27,422.282
2009-03-31,463.897
2009-04-30,539.17
2009-05-29,611.146
2009-06-30,582.614
2009-07-31,647.431
2009-08-31,709.705
2009-09-30,757.937
2009-10-30,718.799
2009-11-30,747.881
2009-12-31,770.097
2010-01-29,707.859
2010-02-26,686.959
2010-03-31,731.179
2010-04-30,689.761
2010-05-31,599.993
2010-06-30,584.51
2010-07-30,660.671
2010-08-31,618.32
2010-09-30,705.265
2010-10-29,744.892
2010-11-30,658.23
2010-12-31,722.605
2011-01-31,786.944
2011-02-28,810.991
2011-03-31,804.887
2011-04-29,863.926
2011-05-31,834.372
2011-06-30,836.593
2011-07-29,760.35
2011-08-31,665.11
2011-09-30,571.609
2011-10-31,642.146
2011-11-30,600.781
2011-12-30,585.728
2012-01-31,615.108
2012-02-29,655.589
2012-03-30,640.43
2012-04-30,587.453
2012-05-31,519.302
2012-06-29,579.318
2012-07-31,581.121
2012-08-31,619.714
2012-09-28,633.747
2012-10-31,654.357
2012-11-30,675.347
2012-12-31,703.339
2013-01-31,744.356
2013-02-28,706.024
2013-03-29,692.285
2013-04-30,740.004
2013-05-31,762.841
2013-06-28,730.122
2013-07-31,804.888
2013-08-30,791.859
2013-09-30,864.677
2013-10-31,923.135
2013-11-29,928.425
2013-12-31,946.098
2014-01-31,905.818
2014-02-28,987.036
2014-03-31,991.921
2014-04-30,1020.307
2014-05-30,1020.079
2014-06-30,1009.734
2014-07-31,960.131
2014-08-29,972.596
2014-09-30,949.873
2014-10-31,884.412
2014-11-28,904.076
2014-12-31,855.018
2015-01-30,850.47
2015-02-27,904.702
2015-03-31,881.64
2015-04-30,925.726
2015-05-29,904.233
2015-06-30,888.638
2015-07-31,935.885
2015-08-31,874.458
2015-09-30,826.649
2015-10-30,893.586
2015-11-30,866.475
2015-12-31,839.837
2016-01-29,792.329
2016-02-29,783.294
2016-03-31,829.996
2016-04-29,859.375
2016-05-31,862.581
2016-06-30,802.101
2016-07-29,845.226
2016-08-31,840.175
2016-09-30,850.55
2016-10-31,860.353
2016-11-30,848.888
2016-12-30,903.865
2017-01-31,902.463
2017-02-28,895.646
2017-03-31,956.271
2017-04-28,995.296
2017-05-31,1048.097
2017-06-30,1035.392
2017-07-31,1073.0
2017-08-31,1075.284
2017-09-29,1116.775
2017-10-31,1107.74
2017-11-30,1110.459
2017-12-29,1101.555
2018-01-31,1178.146
2018-02-28,1118.935
2018-03-30,1088.142
2018-04-30,1133.503
2018-05-31,1061.717
2018-06-29,1052.564
2018-07-31,1106.876
2018-08-31,1066.259
2018-09-28,1093.025
2018-10-31,1004.237
2018-11-30,984.707
2018-12-31,919.322
2019-01-31,968.728
2019-02-28,990.387
2019-03-29,980.932
2019-04-30,1022.292
2019-05-31,956.357
2019-06-28,1023.67
2019-07-31,992.118
2019-08-30,968.107
2019-09-30,1021.814
2019-10-31,1049.311
2019-11-29,1059.408
2019-12-31,1102.716
2020-01-31,1043.909
2020-02-28,956.372
2020-03-31,758.031
2020-04-30,785.053
2020-05-29,826.609
2020-06-30,876.942
2020-07-31,884.175
2020-08-31,925.115
2020-09-30,869.326
2020-10-30,807.609
2020-11-30,1031.26
2020-12-31,1053.284
2021-01-29,1028.983
2021-02-26,1100.167
2021-03-31,1128.453
2021-04-30,1179.474
2021-05-31,1234.216
2021-06-30,1196.304
2021-07-30,1201.474
2021-08-31,1233.303
2021-09-30,1204.897
2021-10-29,1245.481
2021-11-30,1157.424
2021-12-31,1250.975
2022-01-31,1273.874
2022-02-28,1208.019
2022-03-31,1191.354
2022-04-29,1148.421
2022-05-31,1216.81
2022-06-30,1067.968
2022-07-29,1072.766
2022-08-31,1018.774
2022-09-30,930.099
2022-10-31,1042.29
2022-11-30,1150.409
2022-12-30,1180.673
2023-01-31,1274.368
2023-02-28,1287.007
2023-03-31,1274.675
2023-04-28,1342.133
2023-05-31,1244.424
2023-06-30,1316.172
2023-07-31,1364.174
2023-08-31,1340.513
2023-09-29,1318.714
2023-10-31,1257.036
2023-11-30,1355.328
2023-12-29,1418.027
2024-01-31,1410.686
2024-02-29,1382.461
2024-03-29,1462.687
2024-04-30,1467.657
2024-05-31,1543.241
2024-06-28,1399.947
2024-07-31,1479.376
2024-08-30,1539.196
2024-09-30,1546.09
2024-10-31,1478.841
2024-11-29,1389.102
2024-12-31,1377.143
2025-01-31,1475.605
2025-02-28,1536.474
2025-03-31,1600.662
2025-04-30,1674.698
2025-05-30,1724.171
2025-06-30,1770.385
