Date,JAPAN MID VALUE Mid Cap
1994-05-31,787.192
1994-06-30,840.674
1994-07-29,817.883
1994-08-31,812.48
1994-09-30,793.342
1994-10-31,805.679
1994-11-30,755.432
1994-12-30,770.344
1995-01-31,742.675
1995-02-28,694.187
1995-03-31,751.694
1995-04-28,778.693
1995-05-31,724.445
1995-06-30,692.37
1995-07-31,729.856
1995-08-31,711.893
1995-09-29,702.16
1995-10-31,671.985
1995-11-30,698.543
1995-12-29,731.969
1996-01-31,734.766
1996-02-29,727.328
1996-03-29,751.018
1996-04-30,818.204
1996-05-31,778.149
1996-06-28,778.597
1996-07-31,744.441
1996-08-30,705.494
1996-09-30,720.647
1996-10-31,676.709
1996-11-29,664.053
1996-12-31,610.099
1997-01-31,552.126
1997-02-28,552.888
1997-03-31,528.692
1997-04-30,533.741
1997-05-30,599.494
1997-06-30,622.219
1997-07-31,576.439
1997-08-29,515.527
1997-09-30,476.894
1997-10-31,477.682
1997-11-28,416.013
1997-12-31,356.606
1998-01-30,418.081
1998-02-27,431.675
1998-03-31,408.283
1998-04-30,392.821
1998-05-29,380.904
1998-06-30,386.622
1998-07-31,381.293
1998-08-31,354.05
1998-09-30,352.793
1998-10-30,401.845
1998-11-30,411.017
1998-12-31,428.483
1999-01-29,426.976
1999-02-26,415.509
1999-03-31,463.097
1999-04-30,483.659
1999-05-31,472.821
1999-06-30,493.99
1999-07-30,527.218
1999-08-31,543.608
1999-09-30,564.387
1999-10-29,560.037
1999-11-30,540.32
1999-12-31,519.991
2000-01-31,530.138
2000-02-29,501.973
2000-03-31,552.583
2000-04-28,526.194
2000-05-31,542.262
2000-06-30,603.18
2000-07-31,534.62
2000-08-31,563.609
2000-09-29,549.845
2000-10-31,521.615
2000-11-30,523.927
2000-12-29,493.783
2001-01-31,480.946
2001-02-28,473.172
2001-03-30,457.712
2001-04-30,504.247
2001-05-31,507.078
2001-06-29,487.029
2001-07-31,459.598
2001-08-31,461.959
2001-09-28,429.871
2001-10-31,427.419
2001-11-30,409.062
2001-12-31,376.398
2002-01-31,357.905
2002-02-28,376.808
2002-03-29,392.034
2002-04-30,411.7
2002-05-31,450.826
2002-06-28,431.85
2002-07-31,414.734
2002-08-30,411.057
2002-09-30,398.182
2002-10-31,365.283
2002-11-29,369.105
2002-12-31,369.585
2003-01-31,366.626
2003-02-28,376.408
2003-03-31,369.935
2003-04-30,376.888
2003-05-30,388.262
2003-06-30,413.851
2003-07-31,424.383
2003-08-29,469.126
2003-09-30,507.522
2003-10-31,533.9
2003-11-28,512.897
2003-12-31,556.646
2004-01-30,565.037
2004-02-27,572.49
2004-03-31,670.525
2004-04-30,626.246
2004-05-31,612.828
2004-06-30,666.406
2004-07-30,626.05
2004-08-31,632.512
2004-09-30,627.418
2004-10-29,638.806
2004-11-30,674.718
2004-12-31,707.156
2005-01-31,719.383
2005-02-28,735.958
2005-03-31,736.066
2005-04-29,720.578
2005-05-31,705.943
2005-06-30,710.223
2005-07-29,719.671
2005-08-31,758.195
2005-09-30,829.64
2005-10-31,835.128
2005-11-30,844.628
2005-12-30,911.855
2006-01-31,941.646
2006-02-28,929.554
2006-03-31,960.681
2006-04-28,984.293
2006-05-31,939.07
2006-06-30,926.369
2006-07-31,920.821
2006-08-31,929.169
2006-09-29,923.495
2006-10-31,929.475
2006-11-30,932.2
2006-12-29,945.312
2007-01-31,963.889
2007-02-28,1022.318
2007-03-30,1013.417
2007-04-30,997.283
2007-05-31,1000.0
2007-06-29,985.032
2007-07-31,973.727
2007-08-31,949.348
2007-09-28,969.073
2007-10-31,973.75
2007-11-30,946.494
2007-12-31,911.34
2008-01-31,894.948
2008-02-29,893.984
2008-03-31,889.713
2008-04-30,916.284
2008-05-30,936.862
2008-06-30,864.009
2008-07-31,835.18
2008-08-29,796.742
2008-09-30,724.464
2008-10-31,613.783
2008-11-28,644.098
2008-12-31,694.641
2009-01-30,639.087
2009-02-27,546.622
2009-03-31,596.344
2009-04-30,651.693
2009-05-29,723.823
2009-06-30,768.993
2009-07-31,780.633
2009-08-31,827.815
2009-09-30,802.796
2009-10-30,769.797
2009-11-30,745.113
2009-12-31,739.599
2010-01-29,759.088
2010-02-26,778.42
2010-03-31,823.313
2010-04-30,841.869
2010-05-31,778.053
2010-06-30,772.266
2010-07-30,784.89
2010-08-31,763.408
2010-09-30,796.963
2010-10-29,811.253
2010-11-30,825.36
2010-12-31,902.946
2011-01-31,902.553
2011-02-28,939.358
2011-03-31,866.201
2011-04-29,868.782
2011-05-31,851.82
2011-06-30,870.389
2011-07-29,910.237
2011-08-31,865.279
2011-09-30,878.451
2011-10-31,851.494
2011-11-30,813.402
2011-12-30,831.409
2012-01-31,866.135
2012-02-29,880.831
2012-03-30,902.642
2012-04-30,868.794
2012-05-31,784.689
2012-06-29,825.969
2012-07-31,795.548
2012-08-31,777.688
2012-09-28,793.931
2012-10-31,784.394
2012-11-30,800.99
2012-12-31,869.894
2013-01-31,877.341
2013-02-28,914.572
2013-03-29,978.864
2013-04-30,1088.36
2013-05-31,1020.48
2013-06-28,1033.302
2013-07-31,1045.039
2013-08-30,1024.902
2013-09-30,1124.61
2013-10-31,1115.525
2013-11-29,1122.066
2013-12-31,1128.105
2014-01-31,1096.094
2014-02-28,1087.327
2014-03-31,1081.664
2014-04-30,1070.106
2014-05-30,1115.35
2014-06-30,1170.54
2014-07-31,1175.192
2014-08-29,1151.37
2014-09-30,1123.843
2014-10-31,1114.697
2014-11-28,1116.904
2014-12-31,1121.283
2015-01-30,1164.091
2015-02-27,1233.444
2015-03-31,1229.768
2015-04-30,1281.899
2015-05-29,1301.874
2015-06-30,1269.063
2015-07-31,1298.847
2015-08-31,1226.58
2015-09-30,1185.537
2015-10-30,1275.758
2015-11-30,1240.414
2015-12-31,1240.847
2016-01-29,1145.809
