Date,GERMANY MID CAP Mid Cap
2001-01-01,377.375
2001-01-02,375.039
2001-01-03,369.26
2001-01-04,371.833
2001-01-05,369.786
2001-01-08,364.152
2001-01-09,360.144
2001-01-10,361.546
2001-01-11,370.26
2001-01-12,373.573
2001-01-15,373.516
2001-01-16,370.39
2001-01-17,373.115
2001-01-18,378.96
2001-01-19,377.636
2001-01-22,376.097
2001-01-23,379.75
2001-01-24,377.621
2001-01-25,379.471
2001-01-26,378.858
2001-01-29,378.832
2001-01-30,382.271
2001-01-31,384.572
2001-02-01,387.624
2001-02-02,382.759
2001-02-05,381.724
2001-02-06,383.024
2001-02-07,380.872
2001-02-08,376.49
2001-02-09,377.739
2001-02-12,378.908
2001-02-13,375.8
2001-02-14,370.873
2001-02-15,368.604
2001-02-16,370.074
2001-02-19,370.017
2001-02-20,364.522
2001-02-21,364.695
2001-02-22,359.581
2001-02-23,356.729
2001-02-26,359.936
2001-02-27,364.179
2001-02-28,360.036
2001-03-01,356.539
2001-03-02,360.2
2001-03-05,357.58
2001-03-06,364.346
2001-03-07,366.524
2001-03-08,366.25
2001-03-09,362.859
2001-03-12,356.649
2001-03-13,344.732
2001-03-14,335.117
2001-03-15,336.564
2001-03-16,329.818
2001-03-19,327.809
2001-03-20,333.634
2001-03-21,323.46
2001-03-22,308.495
2001-03-23,316.631
2001-03-26,322.744
2001-03-27,327.603
2001-03-28,323.794
2001-03-29,321.669
2001-03-30,324.805
2001-04-02,322.044
2001-04-03,317.971
2001-04-04,322.06
2001-04-05,324.954
2001-04-06,324.767
2001-04-09,326.551
2001-04-10,325.472
2001-04-11,325.449
2001-04-12,330.894
2001-04-13,330.894
2001-04-16,327.505
2001-04-17,325.217
2001-04-18,329.267
2001-04-19,337.719
2001-04-20,342.473
2001-04-23,339.56
2001-04-24,337.874
2001-04-25,339.518
2001-04-26,344.649
2001-04-27,341.674
2001-04-30,342.833
2001-05-01,344.65
2001-05-02,346.159
2001-05-03,341.713
2001-05-04,341.908
2001-05-07,341.833
2001-05-08,340.106
2001-05-09,338.395
2001-05-10,338.606
2001-05-11,336.909
2001-05-14,334.257
2001-05-15,337.716
2001-05-16,339.802
2001-05-17,342.34
2001-05-18,341.471
2001-05-21,343.717
2001-05-22,344.006
2001-05-23,339.52
2001-05-24,338.897
2001-05-25,338.908
2001-05-28,339.334
2001-05-29,336.164
2001-05-30,333.787
2001-05-31,330.892
2001-06-01,331.252
2001-06-04,333.703
2001-06-05,333.977
2001-06-06,333.619
2001-06-07,335.708
2001-06-08,335.485
2001-06-11,331.412
2001-06-12,329.927
2001-06-13,331.946
2001-06-14,332.108
2001-06-15,330.637
2001-06-18,330.562
2001-06-19,330.275
2001-06-20,327.246
2001-06-21,327.947
2001-06-22,330.076
2001-06-25,330.848
2001-06-26,330.399
2001-06-27,328.905
2001-06-28,326.716
2001-06-29,328.788
2001-07-02,328.824
2001-07-03,327.969
2001-07-04,326.45
2001-07-05,320.464
2001-07-06,319.038
2001-07-09,320.211
2001-07-10,323.276
2001-07-11,321.807
2001-07-12,320.821
2001-07-13,322.028
2001-07-16,321.541
2001-07-17,318.421
2001-07-18,322.323
2001-07-19,323.723
2001-07-20,323.031
2001-07-23,320.72
2001-07-24,320.407
2001-07-25,321.151
2001-07-26,321.574
2001-07-27,323.479
2001-07-30,325.427
2001-07-31,326.721
2001-08-01,329.53
2001-08-02,332.626
2001-08-03,332.776
2001-08-06,328.827
2001-08-07,326.932
2001-08-08,325.284
2001-08-09,325.812
2001-08-10,329.68
2001-08-13,332.223
2001-08-14,332.625
2001-08-15,335.621
2001-08-16,331.507
2001-08-17,330.86
2001-08-20,326.479
2001-08-21,326.711
