Date,GERMANY MID CAP Mid Cap
1994-05-31,275.861
1994-06-30,280.922
1994-07-29,283.716
1994-08-31,290.984
1994-09-30,280.029
1994-10-31,287.499
1994-11-30,270.852
1994-12-30,276.585
1995-01-31,272.07
1995-02-28,284.668
1995-03-31,289.646
1995-04-28,291.797
1995-05-31,293.402
1995-06-30,302.496
1995-07-31,311.396
1995-08-31,290.995
1995-09-29,289.978
1995-10-31,284.442
1995-11-30,276.246
1995-12-29,285.454
1996-01-31,280.822
1996-02-29,287.088
1996-03-29,281.108
1996-04-30,270.297
1996-05-31,276.493
1996-06-28,289.608
1996-07-31,290.811
1996-08-30,293.556
1996-09-30,290.373
1996-10-31,291.478
1996-11-29,290.288
1996-12-31,294.708
1997-01-31,292.025
1997-02-28,297.009
1997-03-31,309.824
1997-04-30,306.767
1997-05-30,328.083
1997-06-30,337.173
1997-07-31,332.962
1997-08-29,323.62
1997-09-30,339.909
1997-10-31,337.379
1997-11-28,333.552
1997-12-31,334.302
1998-01-30,338.633
1998-02-27,359.323
1998-03-31,372.45
1998-04-30,393.592
1998-05-29,407.527
1998-06-30,406.919
1998-07-31,420.17
1998-08-31,376.846
1998-09-30,377.614
1998-10-30,392.797
1998-11-30,398.076
1998-12-31,401.521
1999-01-29,395.767
1999-02-26,380.468
1999-03-31,366.795
1999-04-30,370.334
1999-05-31,368.166
1999-06-30,383.098
1999-07-30,402.921
1999-08-31,396.966
1999-09-30,382.749
1999-10-29,382.993
1999-11-30,387.01
1999-12-31,407.339
2000-01-31,396.119
2000-02-29,428.963
2000-03-31,428.98
2000-04-28,408.017
2000-05-31,403.85
2000-06-30,409.958
2000-07-31,422.155
2000-08-31,422.453
2000-09-29,400.4
2000-10-31,376.813
2000-11-30,355.839
2000-12-29,377.375
2001-01-31,384.572
2001-02-28,360.036
2001-03-30,324.805
2001-04-30,342.833
2001-05-31,330.892
2001-06-29,328.788
2001-07-31,326.721
2001-08-31,323.267
2001-09-28,281.438
2001-10-31,298.075
2001-11-30,311.807
2001-12-31,312.552
2002-01-31,312.434
2002-02-28,312.059
2002-03-29,324.793
2002-04-30,325.396
2002-05-31,331.719
2002-06-28,318.788
2002-07-31,274.077
2002-08-30,267.409
2002-09-30,218.818
2002-10-31,244.269
2002-11-29,257.012
2002-12-31,245.702
2003-01-31,233.772
2003-02-28,216.385
2003-03-31,221.676
2003-04-30,262.729
2003-05-30,281.666
2003-06-30,302.526
2003-07-31,320.3
2003-08-29,318.207
2003-09-30,325.377
2003-10-31,365.797
2003-11-28,370.009
2003-12-31,395.073
2004-01-30,408.368
2004-02-27,408.101
2004-03-31,400.561
2004-04-30,396.013
2004-05-31,399.236
2004-06-30,405.152
2004-07-30,387.354
2004-08-31,383.919
2004-09-30,406.775
2004-10-29,411.77
2004-11-30,447.53
2004-12-31,462.056
2005-01-31,459.009
2005-02-28,487.385
2005-03-31,484.105
2005-04-29,457.328
2005-05-31,472.565
2005-06-30,478.675
2005-07-29,504.779
2005-08-31,518.544
2005-09-30,527.185
2005-10-31,507.084
2005-11-30,522.669
2005-12-30,545.277
2006-01-31,610.796
2006-02-28,620.999
2006-03-31,672.414
2006-04-28,710.895
2006-05-31,677.555
2006-06-30,673.698
2006-07-31,678.192
2006-08-31,720.211
2006-09-29,729.914
2006-10-31,759.632
2006-11-30,783.481
2006-12-29,809.461
2007-01-31,828.752
2007-02-28,843.438
2007-03-30,893.456
2007-04-30,983.14
2007-05-31,1000.0
2007-06-29,993.267
2007-07-31,986.756
2007-08-31,933.713
2007-09-28,989.472
2007-10-31,1010.356
2007-11-30,932.584
2007-12-31,944.417
2008-01-31,784.793
2008-02-29,817.551
2008-03-31,819.911
2008-04-30,896.975
2008-05-30,931.674
2008-06-30,878.949
2008-07-31,798.709
2008-08-29,780.963
2008-09-30,547.62
2008-10-31,349.343
2008-11-28,326.806
2008-12-31,371.805
2009-01-30,305.776
2009-02-27,268.734
2009-03-31,283.637
2009-04-30,353.429
2009-05-29,396.732
2009-06-30,362.336
2009-07-31,395.689
2009-08-31,423.398
2009-09-30,469.859
2009-10-30,424.142
2009-11-30,458.647
2009-12-31,458.311
2010-01-29,441.143
