Date,GERMANY MID CAP Mid Cap
2001-01-01,388.187
2001-01-02,385.784
2001-01-03,379.839
2001-01-04,382.487
2001-01-05,380.381
2001-01-08,374.585
2001-01-09,370.463
2001-01-10,371.904
2001-01-11,380.868
2001-01-12,384.276
2001-01-15,384.217
2001-01-16,381.002
2001-01-17,383.805
2001-01-18,389.817
2001-01-19,388.456
2001-01-22,386.859
2001-01-23,390.617
2001-01-24,388.427
2001-01-25,390.33
2001-01-26,389.699
2001-01-29,389.673
2001-01-30,393.209
2001-01-31,395.577
2001-02-01,398.716
2001-02-02,393.711
2001-02-05,392.647
2001-02-06,393.984
2001-02-07,391.771
2001-02-08,387.263
2001-02-09,388.548
2001-02-12,389.751
2001-02-13,386.554
2001-02-14,381.485
2001-02-15,379.151
2001-02-16,380.664
2001-02-19,380.605
2001-02-20,374.953
2001-02-21,375.131
2001-02-22,369.87
2001-02-23,366.936
2001-02-26,370.236
2001-02-27,374.6
2001-02-28,370.339
2001-03-01,366.742
2001-03-02,370.507
2001-03-05,367.812
2001-03-06,374.772
2001-03-07,376.98
2001-03-08,376.699
2001-03-09,373.211
2001-03-12,366.824
2001-03-13,354.567
2001-03-14,344.677
2001-03-15,346.165
2001-03-16,339.227
2001-03-19,337.16
2001-03-20,343.152
2001-03-21,332.687
2001-03-22,317.296
2001-03-23,325.664
2001-03-26,331.951
2001-03-27,336.949
2001-03-28,333.032
2001-03-29,330.846
2001-03-30,334.071
2001-04-02,331.209
2001-04-03,327.02
2001-04-04,331.225
2001-04-05,334.202
2001-04-06,334.009
2001-04-09,335.822
2001-04-10,334.711
2001-04-11,334.689
2001-04-12,340.265
2001-04-13,340.265
2001-04-16,336.781
2001-04-17,334.428
2001-04-18,338.593
2001-04-19,347.284
2001-04-20,352.151
2001-04-23,349.155
2001-04-24,347.421
2001-04-25,349.112
2001-04-26,354.385
2001-04-27,351.327
2001-04-30,352.514
2001-05-01,354.383
2001-05-02,355.933
2001-05-03,351.362
2001-05-04,351.482
2001-05-07,351.405
2001-05-08,349.629
2001-05-09,347.871
2001-05-10,348.073
2001-05-11,346.284
2001-05-14,343.558
2001-05-15,347.114
2001-05-16,349.254
2001-05-17,351.785
2001-05-18,350.892
2001-05-21,353.2
2001-05-22,353.425
2001-05-23,348.797
2001-05-24,348.157
2001-05-25,347.968
2001-05-28,348.405
2001-05-29,345.136
2001-05-30,342.623
2001-05-31,339.608
2001-06-01,339.951
2001-06-04,342.433
2001-06-05,342.714
2001-06-06,342.346
2001-06-07,344.49
2001-06-08,344.215
2001-06-11,340.026
2001-06-12,338.503
2001-06-13,340.55
2001-06-14,340.696
2001-06-15,339.187
2001-06-18,339.109
2001-06-19,338.815
2001-06-20,335.676
2001-06-21,336.379
2001-06-22,338.563
2001-06-25,339.355
2001-06-26,338.894
2001-06-27,337.362
2001-06-28,335.082
2001-06-29,337.179
2001-07-02,337.174
2001-07-03,336.291
2001-07-04,334.733
2001-07-05,328.591
2001-07-06,327.129
2001-07-09,328.313
2001-07-10,331.455
2001-07-11,329.949
2001-07-12,328.938
2001-07-13,330.141
2001-07-16,329.642
2001-07-17,326.444
2001-07-18,330.338
2001-07-19,331.768
2001-07-20,331.059
2001-07-23,328.657
2001-07-24,328.336
2001-07-25,329.099
2001-07-26,329.533
2001-07-27,331.484
2001-07-30,333.481
2001-07-31,334.806
2001-08-01,337.685
2001-08-02,340.858
2001-08-03,341.011
2001-08-06,336.965
2001-08-07,335.023
2001-08-08,333.333
2001-08-09,333.875
2001-08-10,337.838
2001-08-13,340.445
2001-08-14,340.857
2001-08-15,343.927
2001-08-16,339.71
2001-08-17,339.048
2001-08-20,334.558
2001-08-21,334.796
2001-08-22,339.332
2001-08-23,336.571
2001-08-24,337.659
2001-08-27,337.399
2001-08-28,337.883
2001-08-29,336.218
2001-08-30,330.887
2001-08-31,331.178
2001-09-03,327.815
2001-09-04,323.315
2001-09-05,319.709
2001-09-06,316.045
2001-09-07,316.158
2001-09-10,310.209
2001-09-11,299.553
2001-09-12,297.239
2001-09-13,297.227
2001-09-14,294.198
2001-09-17,291.653
2001-09-18,288.253
2001-09-19,288.217
2001-09-20,274.715
2001-09-21,264.928
2001-09-24,273.306
2001-09-25,277.424
2001-09-26,279.988
2001-09-27,284.403
2001-09-28,288.248
2001-10-01,289.243
2001-10-02,290.845
2001-10-03,292.911
2001-10-04,297.025
2001-10-05,299.046
2001-10-08,298.661
2001-10-09,299.004
2001-10-10,299.055
2001-10-11,301.907
2001-10-12,304.337
2001-10-15,304.54
2001-10-16,306.941
2001-10-17,306.851
2001-10-18,304.81
2001-10-19,303.108
2001-10-22,301.661
2001-10-23,304.715
2001-10-24,307.392
2001-10-25,307.655
2001-10-26,309.6
2001-10-29,311.007
2001-10-30,307.579
2001-10-31,305.287
2001-11-01,307.721
2001-11-02,307.297
2001-11-05,308.39
2001-11-06,309.564
2001-11-07,312.837
2001-11-08,312.576
