Date,GERMANY MID CAP Mid Cap
1994-05-31,289.558
1994-06-30,294.462
1994-07-29,297.179
1994-08-31,304.744
1994-09-30,293.27
1994-10-31,301.018
1994-11-30,283.562
1994-12-30,289.523
1995-01-31,284.797
1995-02-28,297.984
1995-03-31,303.168
1995-04-28,305.382
1995-05-31,306.932
1995-06-30,315.989
1995-07-31,324.949
1995-08-31,303.631
1995-09-29,302.534
1995-10-31,296.655
1995-11-30,288.107
1995-12-29,297.698
1996-01-31,292.867
1996-02-29,299.402
1996-03-29,293.094
1996-04-30,281.756
1996-05-31,288.06
1996-06-28,301.339
1996-07-31,302.263
1996-08-30,305.096
1996-09-30,301.674
1996-10-31,302.791
1996-11-29,301.541
1996-12-31,306.133
1997-01-31,303.346
1997-02-28,308.52
1997-03-31,321.773
1997-04-30,318.5
1997-05-30,340.426
1997-06-30,349.403
1997-07-31,344.763
1997-08-29,335.09
1997-09-30,351.856
1997-10-31,349.2
1997-11-28,345.239
1997-12-31,346.015
1998-01-30,350.446
1998-02-27,371.857
1998-03-31,385.39
1998-04-30,407.19
1998-05-29,421.314
1998-06-30,420.261
1998-07-31,433.684
1998-08-31,388.968
1998-09-30,389.706
1998-10-30,405.366
1998-11-30,410.815
1998-12-31,414.369
1999-01-29,408.431
1999-02-26,392.643
1999-03-31,378.512
1999-04-30,382.163
1999-05-31,379.836
1999-06-30,395.121
1999-07-30,415.566
1999-08-31,409.346
1999-09-30,394.686
1999-10-29,394.937
1999-11-30,399.08
1999-12-31,419.962
2000-01-31,408.394
2000-02-29,442.256
2000-03-31,442.238
2000-04-28,420.601
2000-05-31,416.158
2000-06-30,422.205
2000-07-31,434.412
2000-08-31,434.707
2000-09-29,411.987
2000-10-31,387.712
2000-11-30,366.106
2000-12-29,388.187
2001-01-31,395.577
2001-02-28,370.339
2001-03-30,334.071
2001-04-30,352.514
2001-05-31,339.608
2001-06-29,337.179
2001-07-31,334.806
2001-08-31,331.178
2001-09-28,288.248
2001-10-31,305.287
2001-11-30,319.251
2001-12-31,320.013
2002-01-31,319.881
2002-02-28,319.498
2002-03-29,332.478
2002-04-30,333.06
2002-05-31,338.746
2002-06-28,325.093
2002-07-31,279.497
2002-08-30,272.697
2002-09-30,223.146
2002-10-31,249.1
2002-11-29,262.095
2002-12-31,250.561
2003-01-31,238.166
2003-02-28,220.226
2003-03-31,225.61
2003-04-30,267.391
2003-05-30,286.128
2003-06-30,306.813
2003-07-31,324.839
2003-08-29,322.716
2003-09-30,329.988
2003-10-31,370.981
2003-11-28,375.252
2003-12-31,400.672
2004-01-30,413.894
2004-02-27,413.622
2004-03-31,405.981
2004-04-30,401.315
2004-05-31,403.85
2004-06-30,409.638
2004-07-30,391.642
2004-08-31,388.169
2004-09-30,411.278
2004-10-29,416.328
2004-11-30,452.484
2004-12-31,467.172
2005-01-31,463.783
2005-02-28,492.454
2005-03-31,489.118
2005-04-29,462.063
2005-05-31,476.378
2005-06-30,482.148
2005-07-29,508.441
2005-08-31,522.305
2005-09-30,531.009
2005-10-31,510.762
2005-11-30,526.46
2005-12-30,549.232
2006-01-31,614.829
2006-02-28,625.091
2006-03-31,676.844
2006-04-28,715.367
2006-05-31,679.989
2006-06-30,676.002
2006-07-31,680.448
2006-08-31,722.607
2006-09-29,732.342
2006-10-31,762.159
2006-11-30,786.088
2006-12-29,812.154
2007-01-31,831.38
2007-02-28,846.112
2007-03-30,896.289
2007-04-30,985.276
2007-05-31,1000.0
2007-06-29,993.267
2007-07-31,986.377
2007-08-31,933.354
2007-09-28,989.092
2007-10-31,1009.968
2007-11-30,932.225
2007-12-31,944.054
2008-01-31,784.491
2008-02-29,817.237
2008-03-31,819.596
2008-04-30,896.497
2008-05-30,928.625
2008-06-30,875.773
2008-07-31,795.823
2008-08-29,778.141
2008-09-30,545.641
2008-10-31,348.081
2008-11-28,325.625
2008-12-31,370.461
2009-01-30,304.671
2009-02-27,267.763
2009-03-31,282.612
2009-04-30,351.989
2009-05-29,392.972
2009-06-30,358.846
2009-07-31,391.806
2009-08-31,419.244
