Date,WORLD SMID GROWTH SMID (Small+Mid Cap)
1994-05-31,341.927
1994-06-30,342.724
1994-07-29,345.816
1994-08-31,356.842
1994-09-30,350.214
1994-10-31,355.921
1994-11-30,336.025
1994-12-30,341.526
1995-01-31,332.695
1995-02-28,334.18
1995-03-31,347.172
1995-04-28,354.119
1995-05-31,349.783
1995-06-30,356.104
1995-07-31,378.698
1995-08-31,376.28
1995-09-29,382.696
1995-10-31,370.539
1995-11-30,378.904
1995-12-29,388.172
1996-01-31,391.371
1996-02-29,401.47
1996-03-29,410.664
1996-04-30,434.596
1996-05-31,439.345
1996-06-28,429.236
1996-07-31,401.199
1996-08-30,413.127
1996-09-30,423.931
1996-10-31,416.328
1996-11-29,425.616
1996-12-31,419.611
1997-01-31,420.365
1997-02-28,412.582
1997-03-31,395.079
1997-04-30,391.852
1997-05-30,431.138
1997-06-30,445.416
1997-07-31,457.002
1997-08-29,449.659
1997-09-30,467.334
1997-10-31,442.486
1997-11-28,428.243
1997-12-31,422.716
1998-01-30,428.708
1998-02-27,464.717
1998-03-31,486.306
1998-04-30,495.187
1998-05-29,481.563
1998-06-30,481.514
1998-07-31,466.836
1998-08-31,382.477
1998-09-30,390.96
1998-10-30,418.863
1998-11-30,443.376
1998-12-31,473.855
1999-01-29,490.909
1999-02-26,465.497
1999-03-31,483.501
1999-04-30,511.108
1999-05-31,506.015
1999-06-30,542.79
1999-07-30,550.295
1999-08-31,561.521
1999-09-30,569.467
1999-10-29,592.59
1999-11-30,651.475
1999-12-31,742.557
2000-01-31,733.745
2000-02-29,874.009
2000-03-31,836.042
2000-04-28,734.428
2000-05-31,687.108
2000-06-30,756.114
2000-07-31,712.641
2000-08-31,767.93
2000-09-29,723.698
2000-10-31,658.71
2000-11-30,559.939
2000-12-29,579.29
2001-01-31,604.075
2001-02-28,534.107
2001-03-30,476.662
2001-04-30,528.244
2001-05-31,528.697
2001-06-29,516.228
2001-07-31,487.375
2001-08-31,461.509
2001-09-28,391.498
2001-10-31,423.494
2001-11-30,452.36
2001-12-31,462.396
2002-01-31,449.05
2002-02-28,434.762
2002-03-29,464.491
2002-04-30,457.454
2002-05-31,455.332
2002-06-28,421.375
2002-07-31,375.875
2002-08-30,373.182
2002-09-30,340.986
2002-10-31,358.87
2002-11-29,384.579
2002-12-31,364.036
2003-01-31,357.118
2003-02-28,350.563
2003-03-31,353.746
2003-04-30,383.807
2003-05-30,419.836
2003-06-30,427.827
2003-07-31,443.148
2003-08-29,466.598
2003-09-30,469.332
2003-10-31,509.404
2003-11-28,518.978
2003-12-31,535.181
2004-01-30,553.876
2004-02-27,563.663
2004-03-31,569.888
2004-04-30,551.544
2004-05-31,558.26
2004-06-30,575.582
2004-07-30,540.221
2004-08-31,535.974
2004-09-30,557.206
2004-10-29,575.478
2004-11-30,616.925
2004-12-31,643.715
2005-01-31,633.844
2005-02-28,655.313
2005-03-31,641.206
2005-04-29,615.833
2005-05-31,637.362
2005-06-30,653.804
2005-07-29,685.963
2005-08-31,693.069
2005-09-30,710.954
2005-10-31,688.153
2005-11-30,720.038
2005-12-30,746.272
2006-01-31,801.511
2006-02-28,792.495
2006-03-31,824.373
2006-04-28,846.983
2006-05-31,804.88
2006-06-30,797.677
2006-07-31,776.397
2006-08-31,797.769
2006-09-29,805.469
2006-10-31,839.286
2006-11-30,872.481
2006-12-29,884.265
2007-01-31,902.464
2007-02-28,909.546
2007-03-30,931.658
2007-04-30,968.38
2007-05-31,1000.0
2007-06-29,995.128
2007-07-31,973.6
2007-08-31,959.94
2007-09-28,999.711
2007-10-31,1043.289
2007-11-30,978.317
2007-12-31,972.432
2008-01-31,881.012
2008-02-29,893.717
2008-03-31,878.491
2008-04-30,929.005
2008-05-30,968.781
2008-06-30,905.642
2008-07-31,859.175
2008-08-29,849.44
2008-09-30,708.737
2008-10-31,540.249
2008-11-28,497.458
2008-12-31,523.713
2009-01-30,492.44
2009-02-27,451.103
2009-03-31,484.706
2009-04-30,549.107
2009-05-29,596.125
2009-06-30,599.469
2009-07-31,644.616
2009-08-31,671.162
2009-09-30,711.208
2009-10-30,687.901
2009-11-30,710.367
2009-12-31,742.739
2010-01-29,715.561
2010-02-26,733.797
2010-03-31,787.168
2010-04-30,808.796
2010-05-31,732.878
2010-06-30,705.193
2010-07-30,760.167
2010-08-31,731.182
2010-09-30,819.624
2010-10-29,853.094
2010-11-30,860.165
2010-12-31,932.117
2011-01-31,941.177
2011-02-28,979.55
2011-03-31,992.974
2011-04-29,1034.709
2011-05-31,1018.494
2011-06-30,997.949
2011-07-29,977.057
2011-08-31,902.736
2011-09-30,800.444
2011-10-31,898.973
2011-11-30,875.959
2011-12-30,861.556
2012-01-31,920.793
2012-02-29,965.225
2012-03-30,973.446
2012-04-30,968.669
2012-05-31,878.809
2012-06-29,908.416
2012-07-31,912.08
2012-08-31,943.524
2012-09-28,972.585
2012-10-31,960.917
2012-11-30,974.16
2012-12-31,995.89
2013-01-31,1046.771
2013-02-28,1053.08
2013-03-29,1086.775
2013-04-30,1101.558
2013-05-31,1115.981
2013-06-28,1092.412
2013-07-31,1159.432
2013-08-30,1142.908
2013-09-30,1217.508
2013-10-31,1245.492
2013-11-29,1263.616
2013-12-31,1297.041
2014-01-31,1268.194
2014-02-28,1343.776
2014-03-31,1324.681
2014-04-30,1306.388
2014-05-30,1331.008
2014-06-30,1373.212
2014-07-31,1328.6
2014-08-29,1369.371
2014-09-30,1305.268
2014-10-31,1321.547
2014-11-28,1342.27
2014-12-31,1338.683
2015-01-30,1318.271
2015-02-27,1407.654
2015-03-31,1406.731
2015-04-30,1425.71
2015-05-29,1443.139
2015-06-30,1426.988
2015-07-31,1440.096
2015-08-31,1359.958
2015-09-30,1297.657
2015-10-30,1382.02
2015-11-30,1393.678
2015-12-31,1367.278
2016-01-29,1257.147
2016-02-29,1264.115
2016-03-31,1363.868
2016-04-29,1384.695
2016-05-31,1402.32
2016-06-30,1374.053
2016-07-29,1449.482
2016-08-31,1440.829
2016-09-30,1458.059
2016-10-31,1399.445
2016-11-30,1424.529
2016-12-30,1436.757
2017-01-31,1484.21
2017-02-28,1516.151
2017-03-31,1537.126
2017-04-28,1573.97
2017-05-31,1607.995
2017-06-30,1619.197
2017-07-31,1654.868
2017-08-31,1662.032
2017-09-29,1711.869
2017-10-31,1750.184
2017-11-30,1789.999
2017-12-29,1818.313
2018-01-31,1909.61
2018-02-28,1837.72
2018-03-30,1829.962
2018-04-30,1837.1
2018-05-31,1886.168
2018-06-29,1881.187
2018-07-31,1909.51
2018-08-31,1956.354
2018-09-28,1937.962
2018-10-31,1724.72
2018-11-30,1731.21
2018-12-31,1589.554
2019-01-31,1743.976
2019-02-28,1820.322
2019-03-29,1833.901
2019-04-30,1898.847
2019-05-31,1794.516
2019-06-28,1916.948
2019-07-31,1929.719
2019-08-30,1883.231
2019-09-30,1891.874
2019-10-31,1944.25
2019-11-29,2022.658
2019-12-31,2071.785
2020-01-31,2058.142
2020-02-28,1888.931
2020-03-31,1598.935
2020-04-30,1815.707
2020-05-29,1984.582
2020-06-30,2040.87
2020-07-31,2166.295
2020-08-31,2268.652
2020-09-30,2242.59
2020-10-30,2224.992
2020-11-30,2514.193
2020-12-31,2679.366
2021-01-29,2695.835
2021-02-26,2756.309
2021-03-31,2748.292
2021-04-30,2876.754
2021-05-31,2874.199
2021-06-30,2941.484
2021-07-30,2958.375
2021-08-31,3039.318
2021-09-30,2914.498
2021-10-29,3050.944
2021-11-30,2923.016
2021-12-31,2983.613
2022-01-31,2632.114
2022-02-28,2610.425
2022-03-31,2638.038
2022-04-29,2373.669
2022-05-31,2330.137
2022-06-30,2114.634
2022-07-29,2328.768
2022-08-31,2239.451
2022-09-30,2014.175
2022-10-31,2139.333
2022-11-30,2290.004
2022-12-30,2208.498
2023-01-31,2413.252
2023-02-28,2359.386
2023-03-31,2376.514
2023-04-28,2369.905
2023-05-31,2336.692
2023-06-30,2473.1
2023-07-31,2567.968
2023-08-31,2471.992
2023-09-29,2330.744
2023-10-31,2177.784
2023-11-30,2415.639
2023-12-29,2618.134
2024-01-31,2565.471
2024-02-29,2710.245
2024-03-29,2785.585
2024-04-30,2628.206
2024-05-31,2722.189
2024-06-28,2705.495
2024-07-31,2816.555
2024-08-30,2860.921
2024-09-30,2931.165
2024-10-31,2856.484
2024-11-29,3069.163
2024-12-31,2899.413
2025-01-31,3031.018
2025-02-28,2921.561
2025-03-31,2779.387
2025-04-30,2864.649
2025-05-30,3074.933
2025-06-30,3232.075
2025-07-31,3266.108
2025-08-29,3350.594
2025-09-30,3418.471
2025-10-31,3454.861
