Date,AUSTRALIA SMALL GROWTH Small Cap
2001-01-01,194.015
2001-01-02,196.202
2001-01-03,195.945
2001-01-04,197.788
2001-01-05,199.951
2001-01-08,197.508
2001-01-09,195.624
2001-01-10,194.548
2001-01-11,194.176
2001-01-12,193.817
2001-01-15,190.366
2001-01-16,191.137
2001-01-17,190.837
2001-01-18,196.063
2001-01-19,199.18
2001-01-22,199.148
2001-01-23,197.991
2001-01-24,195.425
2001-01-25,196.235
2001-01-26,195.695
2001-01-29,196.933
2001-01-30,199.066
2001-01-31,201.143
2001-02-01,204.085
2001-02-02,202.783
2001-02-05,200.834
2001-02-06,200.564
2001-02-07,197.717
2001-02-08,193.507
2001-02-09,191.993
2001-02-12,193.298
2001-02-13,191.748
2001-02-14,190.196
2001-02-15,187.759
2001-02-16,190.831
2001-02-19,189.075
2001-02-20,187.12
2001-02-21,188.187
2001-02-22,187.66
2001-02-23,186.944
2001-02-26,187.495
2001-02-27,188.61
2001-02-28,190.568
2001-03-01,191.076
2001-03-02,192.298
2001-03-05,189.55
2001-03-06,187.105
2001-03-07,185.528
2001-03-08,184.735
2001-03-09,183.784
2001-03-12,182.072
2001-03-13,176.406
2001-03-14,175.227
2001-03-15,169.723
2001-03-16,169.732
2001-03-19,170.139
2001-03-20,171.451
2001-03-21,169.776
2001-03-22,168.7
2001-03-23,169.553
2001-03-26,171.433
2001-03-27,171.638
2001-03-28,170.601
2001-03-29,169.384
2001-03-30,166.392
2001-04-02,166.94
2001-04-03,165.686
2001-04-04,166.998
2001-04-05,167.851
2001-04-06,169.656
2001-04-09,168.849
2001-04-10,168.82
2001-04-11,170.462
2001-04-12,174.33
2001-04-13,174.33
2001-04-16,174.88
2001-04-17,172.123
2001-04-18,170.955
2001-04-19,176.712
2001-04-20,177.959
2001-04-23,173.066
2001-04-24,172.161
2001-04-25,172.571
2001-04-26,175.902
2001-04-27,176.285
2001-04-30,177.92
2001-05-01,179.29
2001-05-02,180.211
2001-05-03,181.35
2001-05-04,179.979
2001-05-07,181.206
2001-05-08,181.236
2001-05-09,183.369
2001-05-10,186.975
2001-05-11,184.892
2001-05-14,183.229
2001-05-15,183.164
2001-05-16,184.233
2001-05-17,187.807
2001-05-18,187.414
2001-05-21,190.354
2001-05-22,185.558
