Date,AUSTRALIA SMALL GROWTH Small Cap
1997-05-30,227.401
1997-06-30,224.422
1997-07-31,219.632
1997-08-29,209.804
1997-09-30,212.52
1997-10-31,176.766
1997-11-28,169.875
1997-12-31,168.951
1998-01-30,183.527
1998-02-27,187.363
1998-03-31,181.315
1998-04-30,176.002
1998-05-29,162.311
1998-06-30,145.391
1998-07-31,146.766
1998-08-31,123.172
1998-09-30,135.904
1998-10-30,146.086
1998-11-30,154.057
1998-12-31,157.641
1999-01-29,171.658
1999-02-26,178.612
1999-03-31,190.295
1999-04-30,206.169
1999-05-31,197.416
1999-06-30,199.751
1999-07-30,206.16
1999-08-31,203.999
1999-09-30,218.119
1999-10-29,211.396
1999-11-30,233.621
1999-12-31,249.536
2000-01-31,230.636
2000-02-29,232.034
2000-03-31,239.039
2000-04-28,195.559
2000-05-31,186.573
2000-06-30,216.63
2000-07-31,208.465
2000-08-31,214.33
2000-09-29,192.912
2000-10-31,187.091
2000-11-30,187.922
2000-12-29,194.015
2001-01-31,201.143
2001-02-28,190.568
2001-03-30,166.392
2001-04-30,177.92
2001-05-31,174.995
2001-06-29,183.392
2001-07-31,179.804
2001-08-31,185.32
2001-09-28,159.362
2001-10-31,176.743
2001-11-30,182.862
2001-12-31,181.923
2002-01-31,185.452
2002-02-28,187.702
2002-03-29,199.144
2002-04-30,193.082
2002-05-31,207.331
2002-06-28,197.294
2002-07-31,179.391
2002-08-30,193.572
2002-09-30,180.566
2002-10-31,181.533
2002-11-29,182.309
2002-12-31,186.862
2003-01-31,197.332
2003-02-28,195.894
2003-03-31,194.582
2003-04-30,212.8
2003-05-30,226.082
2003-06-30,239.315
2003-07-31,241.297
2003-08-29,247.577
2003-09-30,268.298
2003-10-31,295.723
2003-11-28,301.208
2003-12-31,320.374
2004-01-30,323.39
2004-02-27,340.57
2004-03-31,341.843
2004-04-30,324.156
2004-05-31,322.836
2004-06-30,324.472
2004-07-30,336.742
2004-08-31,353.895
2004-09-30,378.35
2004-10-29,422.28
2004-11-30,451.51
2004-12-31,466.919
2005-01-31,477.228
