Date,AUSTRALIA SMALL GROWTH Small Cap
1997-05-30,247.735
1997-06-30,244.399
1997-07-31,239.154
1997-08-29,228.418
1997-09-30,231.05
1997-10-31,191.932
1997-11-28,184.374
1997-12-31,183.273
1998-01-30,199.041
1998-02-27,203.08
1998-03-31,196.22
1998-04-30,190.378
1998-05-29,175.534
1998-06-30,157.166
1998-07-31,158.601
1998-08-31,133.072
1998-09-30,146.467
1998-10-30,157.228
1998-11-30,165.725
1998-12-31,169.434
1999-01-29,184.483
1999-02-26,191.922
1999-03-31,204.099
1999-04-30,220.983
1999-05-31,211.591
1999-06-30,213.993
1999-07-30,220.859
1999-08-31,218.485
1999-09-30,233.264
1999-10-29,225.9
1999-11-30,249.622
1999-12-31,266.492
2000-01-31,246.295
2000-02-29,247.77
2000-03-31,254.975
2000-04-28,208.546
2000-05-31,198.867
2000-06-30,230.855
2000-07-31,222.148
2000-08-31,228.252
2000-09-29,205.131
2000-10-31,198.827
2000-11-30,199.616
2000-12-29,205.962
2001-01-31,213.517
2001-02-28,202.153
2001-03-30,176.243
2001-04-30,188.377
2001-05-31,185.187
2001-06-29,194.013
2001-07-31,190.204
2001-08-31,195.912
2001-09-28,168.215
2001-10-31,186.466
2001-11-30,192.867
2001-12-31,191.829
2002-01-31,195.537
2002-02-28,197.753
2002-03-29,209.505
2002-04-30,203.011
2002-05-31,217.961
2002-06-28,207.34
2002-07-31,188.51
2002-08-30,203.193
2002-09-30,189.189
2002-10-31,190.011
2002-11-29,190.67
2002-12-31,195.369
2003-01-31,206.286
2003-02-28,204.645
2003-03-31,202.68
2003-04-30,221.495
2003-05-30,235.292
2003-06-30,248.749
2003-07-31,250.809
2003-08-29,257.221
2003-09-30,277.828
2003-10-31,305.979
2003-11-28,311.476
2003-12-31,331.184
2004-01-30,334.302
2004-02-27,351.787
2004-03-31,351.97
2004-04-30,333.684
2004-05-31,332.309
2004-06-30,333.915
2004-07-30,346.534
2004-08-31,363.402
2004-09-30,387.399
2004-10-29,432.228
2004-11-30,462.132
2004-12-31,477.685
2005-01-31,488.177
2005-02-28,502.822
2005-03-31,490.381
2005-04-29,468.493
2005-05-31,468.265
2005-06-30,501.141
2005-07-29,519.235
2005-08-31,538.729
2005-09-30,575.578
2005-10-31,538.732
2005-11-30,558.707
2005-12-30,574.788
2006-01-31,614.981
2006-02-28,608.173
2006-03-31,624.859
2006-04-28,682.857
2006-05-31,653.938
2006-06-30,657.608
2006-07-31,669.918
2006-08-31,690.548
2006-09-29,681.706
2006-10-31,739.908
2006-11-30,792.369
2006-12-29,829.874
