Date,AUSTRALIA SMALL GROWTH Small Cap
2001-01-01,205.962
2001-01-02,208.283
2001-01-03,208.011
2001-01-04,209.967
2001-01-05,212.263
2001-01-08,209.67
2001-01-09,207.67
2001-01-10,206.528
2001-01-11,206.132
2001-01-12,205.752
2001-01-15,202.077
2001-01-16,202.896
2001-01-17,202.577
2001-01-18,208.124
2001-01-19,211.433
2001-01-22,211.4
2001-01-23,210.172
2001-01-24,207.447
2001-01-25,208.308
2001-01-26,207.734
2001-01-29,209.049
2001-01-30,211.313
2001-01-31,213.517
2001-02-01,216.64
2001-02-02,215.259
2001-02-05,213.189
2001-02-06,212.902
2001-02-07,209.871
2001-02-08,205.402
2001-02-09,203.789
2001-02-12,205.175
2001-02-13,203.53
2001-02-14,201.875
2001-02-15,199.289
2001-02-16,202.549
2001-02-19,200.685
2001-02-20,198.559
2001-02-21,199.676
2001-02-22,199.101
2001-02-23,198.341
2001-02-26,198.923
2001-02-27,200.104
2001-02-28,202.153
2001-03-01,202.691
2001-03-02,203.978
2001-03-05,201.003
2001-03-06,198.405
2001-03-07,196.721
2001-03-08,195.856
2001-03-09,194.767
2001-03-12,192.952
2001-03-13,186.942
2001-03-14,185.666
2001-03-15,179.83
2001-03-16,179.83
2001-03-19,180.254
2001-03-20,181.645
2001-03-21,179.87
2001-03-22,178.73
2001-03-23,179.628
2001-03-26,181.596
2001-03-27,181.8
2001-03-28,180.702
2001-03-29,179.412
2001-03-30,176.243
2001-04-02,176.812
2001-04-03,175.482
2001-04-04,176.864
2001-04-05,177.767
2001-04-06,179.678
2001-04-09,178.822
2001-04-10,178.79
2001-04-11,180.529
2001-04-12,184.624
2001-04-13,184.624
2001-04-16,185.205
2001-04-17,182.285
2001-04-18,181.032
2001-04-19,187.121
2001-04-20,188.441
2001-04-23,183.26
2001-04-24,182.284
2001-04-25,182.718
2001-04-26,186.245
2001-04-27,186.65
2001-04-30,188.377
2001-05-01,189.826
2001-05-02,190.801
2001-05-03,192.007
2001-05-04,190.555
2001-05-07,191.849
2001-05-08,191.881
2001-05-09,194.139
2001-05-10,197.957
2001-05-11,195.708
2001-05-14,193.944
2001-05-15,193.876
2001-05-16,195.007
2001-05-17,198.79
2001-05-18,198.374
2001-05-21,201.485
2001-05-22,196.409
2001-05-23,194.384
2001-05-24,192.927
2001-05-25,193.27
2001-05-28,193.394
2001-05-29,191.058
2001-05-30,189.169
2001-05-31,185.187
2001-06-01,185.776
2001-06-04,186.544
2001-06-05,185.749
2001-06-06,186.234
2001-06-07,190.334
2001-06-08,192.215
2001-06-11,191.83
2001-06-12,191.347
2001-06-13,193.812
2001-06-14,194.841
2001-06-15,195.046
2001-06-18,192.487
2001-06-19,191.941
2001-06-20,191.901
2001-06-21,192.809
2001-06-22,192.478
2001-06-25,193.2
2001-06-26,194.8
2001-06-27,194.719
2001-06-28,192.271
2001-06-29,194.013
2001-07-02,193.164
2001-07-03,195.498
2001-07-04,197.157
2001-07-05,196.621
2001-07-06,192.064
2001-07-09,191.889
2001-07-10,194.013
2001-07-11,192.236
2001-07-12,192.378
2001-07-13,194.021
2001-07-16,195.874
2001-07-17,193.691
2001-07-18,195.806
2001-07-19,194.985
2001-07-20,191.666
2001-07-23,192.086
2001-07-24,191.618
2001-07-25,189.965
2001-07-26,189.3
2001-07-27,189.373
2001-07-30,190.283
2001-07-31,190.204
2001-08-01,194.281
2001-08-02,196.981
2001-08-03,196.582
2001-08-06,196.875
2001-08-07,196.036
2001-08-08,196.845
2001-08-09,196.052
2001-08-10,194.791
2001-08-13,196.434
2001-08-14,196.055
2001-08-15,199.377
2001-08-16,198.102
2001-08-17,201.418
2001-08-20,197.952
2001-08-21,198.552
2001-08-22,200.737
2001-08-23,199.124
2001-08-24,198.732
2001-08-27,199.519
2001-08-28,199.27
2001-08-29,198.58
2001-08-30,199.943
2001-08-31,195.912
2001-09-03,195.823
2001-09-04,193.946
2001-09-05,191.877
2001-09-06,193.108
2001-09-07,193.164
2001-09-10,190.649
2001-09-11,192.764
2001-09-12,184.788
2001-09-13,184.746
2001-09-14,180.417
2001-09-17,167.29
2001-09-18,166.771
2001-09-19,168.218
2001-09-20,166.617
2001-09-21,161.101
2001-09-24,159.931
2001-09-25,163.303
2001-09-26,162.74
2001-09-27,162.983
2001-09-28,168.215
2001-10-01,169.837
2001-10-02,172.151
2001-10-03,172.893
2001-10-04,174.241
2001-10-05,178.841
2001-10-08,178.583
2001-10-09,177.312
2001-10-10,177.554
2001-10-11,177.524
2001-10-12,178.57
2001-10-15,182.945
2001-10-16,183.691
2001-10-17,184.296
2001-10-18,181.742
2001-10-19,180.76
2001-10-22,182.7
2001-10-23,183.754
2001-10-24,184.734
2001-10-25,186.395
2001-10-26,185.627
2001-10-29,187.64
2001-10-30,188.374
2001-10-31,186.466
2001-11-01,189.16
2001-11-02,189.019
2001-11-05,189.048
2001-11-06,191.796
2001-11-07,191.522
2001-11-08,192.656
2001-11-09,190.631
2001-11-12,192.94
2001-11-13,192.418
2001-11-14,193.03
2001-11-15,191.191
2001-11-16,192.07
2001-11-19,193.648
2001-11-20,192.399
2001-11-21,191.373
2001-11-22,190.239
2001-11-23,190.52
2001-11-26,191.179
2001-11-27,192.656
2001-11-28,193.014
2001-11-29,190.834
2001-11-30,192.867
2001-12-03,190.557
2001-12-04,189.403
2001-12-05,191.004
2001-12-06,191.7
2001-12-07,191.686
2001-12-10,190.336
2001-12-11,188.931
2001-12-12,189.167
2001-12-13,189.894
2001-12-14,190.038
2001-12-17,189.15
2001-12-18,189.134
2001-12-19,188.411
2001-12-20,185.484
2001-12-21,186.502
2001-12-24,187.817
2001-12-25,187.817
2001-12-26,187.688
2001-12-27,189.76
2001-12-28,191.326
2001-12-31,191.829
2002-01-01,191.829
2002-01-02,193.737
2002-01-03,192.555
2002-01-04,194.558
2002-01-07,194.306
2002-01-08,196.642
2002-01-09,197.506
2002-01-10,198.381
2002-01-11,198.348
2002-01-14,196.719
2002-01-15,196.029
2002-01-16,196.17
2002-01-17,193.625
2002-01-18,194.27
2002-01-21,195.563
2002-01-22,197.086
2002-01-23,197.799
2002-01-24,197.171
2002-01-25,196.3
2002-01-28,195.75
2002-01-29,195.997
2002-01-30,192.29
2002-01-31,195.537
2002-02-01,196.614
2002-02-04,198.267
2002-02-05,197.424
2002-02-06,196.905
2002-02-07,195.897
2002-02-08,198.042
2002-02-11,199.607
2002-02-12,198.794
2002-02-13,198.549
2002-02-14,201.104
2002-02-15,201.423
2002-02-18,202.514
2002-02-19,201.275
2002-02-20,200.088
2002-02-21,199.531
2002-02-22,199.178
2002-02-25,198.032
2002-02-26,198.8
2002-02-27,198.282
2002-02-28,197.753
2002-03-01,198.303
2002-03-04,199.981
2002-03-05,201.033
2002-03-06,201.696
2002-03-07,204.615
2002-03-08,204.221
2002-03-11,204.789
2002-03-12,203.646
2002-03-13,203.598
2002-03-14,205.495
2002-03-15,205.086
2002-03-18,205.416
2002-03-19,205.298
2002-03-20,208.234
2002-03-21,208.48
2002-03-22,209.103
2002-03-25,208.448
2002-03-26,205.33
2002-03-27,206.385
2002-03-28,209.505
2002-03-29,209.505
2002-04-01,209.878
2002-04-02,208.054
2002-04-03,206.772
2002-04-04,206.488
2002-04-05,205.919
2002-04-08,204.322
2002-04-09,203.825
2002-04-10,204.927
2002-04-11,205.451
2002-04-12,204.647
2002-04-15,203.462
2002-04-16,204.219
2002-04-17,206.372
2002-04-18,207.321
2002-04-19,208.138
2002-04-22,207.967
2002-04-23,206.397
2002-04-24,206.207
2002-04-25,207.082
2002-04-26,207.716
2002-04-29,205.233
2002-04-30,203.011
2002-05-01,204.273
2002-05-02,204.065
2002-05-03,203.677
2002-05-06,202.952
2002-05-07,201.235
2002-05-08,202.405
2002-05-09,202.12
2002-05-10,202.117
2002-05-13,201.141
2002-05-14,201.68
2002-05-15,204.213
2002-05-16,206.755
2002-05-17,210.636
2002-05-20,209.95
2002-05-21,210.103
2002-05-22,211.933
2002-05-23,211.121
2002-05-24,212.195
2002-05-27,212.983
2002-05-28,214.044
2002-05-29,216.238
2002-05-30,216.934
2002-05-31,217.961
2002-06-03,220.383
2002-06-04,219.331
2002-06-05,218.025
2002-06-06,220.127
2002-06-07,220.061
2002-06-10,218.603
2002-06-11,216.871
2002-06-12,217.587
2002-06-13,216.071
2002-06-14,211.898
2002-06-17,210.609
2002-06-18,212.701
2002-06-19,212.832
2002-06-20,213.599
2002-06-21,213.987
2002-06-24,214.105
2002-06-25,210.288
2002-06-26,205.212
2002-06-27,206.584
2002-06-28,207.34
2002-07-01,206.206
2002-07-02,205.375
2002-07-03,202.384
2002-07-04,202.001
2002-07-05,203.232
2002-07-08,206.407
2002-07-09,207.707
2002-07-10,205.233
2002-07-11,199.819
2002-07-12,199.94
2002-07-15,200.162
2002-07-16,198.246
2002-07-17,192.366
2002-07-18,193.382
2002-07-19,192.759
2002-07-22,190.048
2002-07-23,186.841
2002-07-24,180.057
2002-07-25,184.021
2002-07-26,181.743
2002-07-29,184.198
2002-07-30,188.332
2002-07-31,188.51
2002-08-01,185.69
2002-08-02,184.269
2002-08-05,179.946
2002-08-06,176.956
2002-08-07,181.769
2002-08-08,183.301
2002-08-09,185.719
2002-08-12,187.725
2002-08-13,186.8
2002-08-14,185.915
2002-08-15,190.608
2002-08-16,194.186
2002-08-19,193.812
2002-08-20,195.98
2002-08-21,195.0
2002-08-22,195.39
2002-08-23,196.626
2002-08-26,198.138
2002-08-27,202.382
2002-08-28,203.074
2002-08-29,201.888
2002-08-30,203.193
2002-09-02,204.438
2002-09-03,201.78
2002-09-04,198.468
2002-09-05,196.845
2002-09-06,196.268
2002-09-09,198.204
2002-09-10,197.212
2002-09-11,197.597
2002-09-12,199.084
2002-09-13,198.979
2002-09-16,197.821
2002-09-17,199.069
2002-09-18,198.133
2002-09-19,197.599
2002-09-20,195.492
2002-09-23,192.669
2002-09-24,190.956
2002-09-25,188.745
2002-09-26,189.337
2002-09-27,190.455
2002-09-30,189.189
2002-10-01,188.415
2002-10-02,189.767
2002-10-03,188.988
2002-10-04,188.043
2002-10-07,187.403
2002-10-08,186.094
2002-10-09,185.574
2002-10-10,184.176
2002-10-11,185.688
2002-10-14,185.406
2002-10-15,186.347
2002-10-16,188.065
2002-10-17,187.923
2002-10-18,187.384
2002-10-21,187.489
2002-10-22,189.012
2002-10-23,189.832
2002-10-24,191.089
2002-10-25,190.287
2002-10-28,191.207
2002-10-29,191.115
2002-10-30,188.409
2002-10-31,190.011
2002-11-01,190.658
2002-11-04,193.109
2002-11-05,194.183
2002-11-06,193.503
2002-11-07,193.935
2002-11-08,192.369
2002-11-11,188.443
2002-11-12,188.961
2002-11-13,186.103
2002-11-14,186.624
2002-11-15,187.626
2002-11-18,187.773
2002-11-19,185.686
2002-11-20,185.575
2002-11-21,188.764
2002-11-22,189.536
2002-11-25,187.284
2002-11-26,186.92
2002-11-27,185.892
2002-11-28,188.769
2002-11-29,190.67
2002-12-02,191.129
2002-12-03,189.982
2002-12-04,188.63
2002-12-05,190.054
2002-12-06,189.974
2002-12-09,191.063
2002-12-10,189.359
2002-12-11,188.161
2002-12-12,189.358
2002-12-13,189.912
2002-12-16,189.682
2002-12-17,191.41
2002-12-18,190.953
2002-12-19,192.195
2002-12-20,191.476
2002-12-23,192.946
2002-12-24,193.637
2002-12-25,193.637
2002-12-26,193.637
2002-12-27,193.173
2002-12-30,194.388
2002-12-31,195.369
2003-01-01,195.369
2003-01-02,195.459
2003-01-03,197.017
2003-01-06,202.139
2003-01-07,201.871
2003-01-08,201.22
2003-01-09,202.794
2003-01-10,203.811
2003-01-13,205.249
2003-01-14,207.506
2003-01-15,206.815
2003-01-16,207.022
2003-01-17,208.172
2003-01-20,209.579
2003-01-21,207.826
2003-01-22,206.766
2003-01-23,209.753
2003-01-24,210.37
2003-01-27,209.605
2003-01-28,206.928
2003-01-29,207.526
2003-01-30,206.1
2003-01-31,206.286
2003-02-03,204.157
2003-02-04,206.691
2003-02-05,206.106
2003-02-06,204.768
2003-02-07,203.691
2003-02-10,202.881
2003-02-11,201.136
2003-02-12,201.402
2003-02-13,200.853
2003-02-14,200.368
2003-02-17,200.711
2003-02-18,200.122
2003-02-19,201.423
2003-02-20,201.447
2003-02-21,200.726
2003-02-24,203.06
2003-02-25,200.377
2003-02-26,204.124
2003-02-27,203.314
2003-02-28,204.645
2003-03-03,206.018
2003-03-04,204.85
2003-03-05,204.197
2003-03-06,202.919
2003-03-07,201.342
2003-03-10,201.69
2003-03-11,196.145
2003-03-12,191.056
2003-03-13,189.466
2003-03-14,191.775
2003-03-17,191.779
2003-03-18,195.562
2003-03-19,195.678
2003-03-20,196.165
2003-03-21,195.697
2003-03-24,196.152
2003-03-25,197.514
2003-03-26,198.238
