Date,SPAIN SMALL GROWTH Small Cap
1994-05-31,172.161
1994-06-30,166.334
1994-07-29,167.028
1994-08-31,167.379
1994-09-30,161.479
1994-10-31,157.007
1994-11-30,155.08
1994-12-30,149.513
1995-01-31,144.609
1995-02-28,146.431
1995-03-31,140.72
1995-04-28,152.629
1995-05-31,161.515
1995-06-30,159.888
1995-07-31,165.159
1995-08-31,157.401
1995-09-29,155.611
1995-10-31,150.013
1995-11-30,146.281
1995-12-29,146.808
1996-01-31,142.695
1996-02-29,145.561
1996-03-29,143.882
1996-04-30,142.343
1996-05-31,140.807
1996-06-28,142.989
1996-07-31,143.348
1996-08-30,146.44
1996-09-30,144.848
1996-10-31,148.71
1996-11-29,154.19
1996-12-31,161.704
1997-01-31,164.72
1997-02-28,161.367
1997-03-31,164.163
1997-04-30,170.905
1997-05-30,185.686
1997-06-30,199.203
1997-07-31,193.959
1997-08-29,192.097
1997-09-30,207.374
1997-10-31,191.756
1997-11-28,197.458
1997-12-31,198.026
1998-01-30,213.042
1998-02-27,231.671
1998-03-31,265.357
1998-04-30,267.683
1998-05-29,286.398
1998-06-30,275.931
1998-07-31,281.399
1998-08-31,247.295
1998-09-30,236.618
1998-10-30,254.013
1998-11-30,268.593
1998-12-31,261.29
1999-01-29,254.138
1999-02-26,250.34
1999-03-31,233.621
1999-04-30,232.064
1999-05-31,227.131
1999-06-30,220.607
1999-07-30,221.482
1999-08-31,225.733
1999-09-30,219.854
1999-10-29,207.824
1999-11-30,200.079
1999-12-31,202.737
2000-01-31,195.055
2000-02-29,220.576
2000-03-31,236.37
2000-04-28,226.885
2000-05-31,220.273
2000-06-30,225.239
2000-07-31,216.504
2000-08-31,215.324
2000-09-29,227.162
2000-10-31,214.05
2000-11-30,207.237
2000-12-29,219.189
2001-01-31,233.229
2001-02-28,222.327
2001-03-30,207.415
2001-04-30,213.4
2001-05-31,205.139
2001-06-29,200.791
2001-07-31,204.19
2001-08-31,206.582
2001-09-28,185.704
2001-10-31,189.33
2001-11-30,200.763
2001-12-31,199.829
2002-01-31,194.131
2002-02-28,192.92
2002-03-29,211.836
2002-04-30,224.881
2002-05-31,229.529
2002-06-28,224.481
2002-07-31,207.053
2002-08-30,196.939
2002-09-30,176.38
2002-10-31,190.04
2002-11-29,203.881
2002-12-31,201.609
2003-01-31,207.236
2003-02-28,213.369
2003-03-31,217.795
2003-04-30,235.069
2003-05-30,259.408
2003-06-30,260.435
2003-07-31,265.694
2003-08-29,262.862
2003-09-30,274.585
2003-10-31,285.097
2003-11-28,299.191
2003-12-31,320.963
2004-01-30,332.558
2004-02-27,351.372
2004-03-31,337.297
2004-04-30,335.361
2004-05-31,337.493
2004-06-30,341.666
2004-07-30,339.154
2004-08-31,342.535
2004-09-30,365.66
2004-10-29,379.0
2004-11-30,405.968
2004-12-31,438.401
2005-01-31,449.658
2005-02-28,476.606
2005-03-31,469.625
2005-04-29,457.118
2005-05-31,477.741
2005-06-30,490.324
2005-07-29,505.208
2005-08-31,509.606
2005-09-30,543.118
2005-10-31,530.331
2005-11-30,521.398
2005-12-30,528.737
2006-01-31,575.903
2006-02-28,611.724
2006-03-31,638.746
2006-04-28,668.372
2006-05-31,644.026
2006-06-30,650.888
2006-07-31,666.097
2006-08-31,688.947
2006-09-29,737.655
2006-10-31,749.567
2006-11-30,803.485
2006-12-29,830.333
2007-01-31,913.424
2007-02-28,936.294
2007-03-30,989.636
2007-04-30,1012.164
2007-05-31,1000.0
2007-06-29,965.033
2007-07-31,960.536
2007-08-31,902.478
2007-09-28,924.696
2007-10-31,1010.722
2007-11-30,970.273
2007-12-31,881.626
2008-01-31,811.805
2008-02-29,829.326
2008-03-31,875.923
2008-04-30,856.321
2008-05-30,841.526
2008-06-30,753.132
2008-07-31,681.442
2008-08-29,653.028
2008-09-30,506.333
2008-10-31,390.51
2008-11-28,375.801
2008-12-31,398.103
2009-01-30,365.209
2009-02-27,334.03
2009-03-31,345.967
2009-04-30,405.32
2009-05-29,472.006
2009-06-30,478.312
2009-07-31,495.519
2009-08-31,528.848
2009-09-30,582.319
2009-10-30,546.894
2009-11-30,560.253
2009-12-31,569.062
2010-01-29,553.922
2010-02-26,522.668
2010-03-31,556.815
2010-04-30,536.381
2010-05-31,434.403
2010-06-30,430.369
2010-07-30,491.732
2010-08-31,478.779
2010-09-30,539.462
2010-10-29,580.494
2010-11-30,486.52
2010-12-31,551.834
2011-01-31,575.152
2011-02-28,580.879
2011-03-31,615.631
2011-04-29,663.552
2011-05-31,623.017
2011-06-30,602.906
2011-07-29,549.306
2011-08-31,495.366
2011-09-30,447.026
2011-10-31,501.006
2011-11-30,460.221
2011-12-30,441.666
2012-01-31,465.508
2012-02-29,492.009
2012-03-30,504.304
2012-04-30,480.745
2012-05-31,396.607
2012-06-29,430.242
2012-07-31,424.479
2012-08-31,443.379
2012-09-28,459.167
2012-10-31,487.641
2012-11-30,482.527
2012-12-31,514.731
2013-01-31,526.935
2013-02-28,531.488
2013-03-29,511.885
2013-04-30,526.7
2013-05-31,517.706
2013-06-28,530.931
2013-07-31,568.555
2013-08-30,562.284
2013-09-30,635.646
2013-10-31,656.342
2013-11-29,673.43
2013-12-31,692.415
2014-01-31,713.532
2014-02-28,740.783
2014-03-31,765.713
2014-04-30,756.244
2014-05-30,777.454
2014-06-30,776.504
2014-07-31,701.577
2014-08-29,684.358
2014-09-30,700.678
2014-10-31,692.657
2014-11-28,693.443
2014-12-31,676.451
2015-01-30,657.642
2015-02-27,691.643
2015-03-31,698.655
2015-04-30,729.555
2015-05-29,708.695
2015-06-30,703.955
2015-07-31,705.891
2015-08-31,676.959
2015-09-30,641.566
2015-10-30,687.105
2015-11-30,666.93
2015-12-31,667.471
2016-01-29,629.07
2016-02-29,621.726
2016-03-31,674.941
2016-04-29,691.213
2016-05-31,680.275
2016-06-30,638.728
2016-07-29,687.173
2016-08-31,703.812
2016-09-30,713.547
2016-10-31,681.274
2016-11-30,629.401
2016-12-30,653.04
2017-01-31,677.852
2017-02-28,691.636
2017-03-31,718.895
