Date,SPAIN SMALL GROWTH Small Cap
2001-01-01,219.189
2001-01-02,223.095
2001-01-03,220.037
2001-01-04,224.702
2001-01-05,224.863
2001-01-08,224.091
2001-01-09,222.172
2001-01-10,223.125
2001-01-11,226.98
2001-01-12,229.973
2001-01-15,229.933
2001-01-16,229.023
2001-01-17,228.964
2001-01-18,231.704
2001-01-19,230.012
2001-01-22,230.845
2001-01-23,230.463
2001-01-24,228.11
2001-01-25,228.525
2001-01-26,228.207
2001-01-29,227.545
2001-01-30,230.168
2001-01-31,233.229
2001-02-01,236.085
2001-02-02,232.823
2001-02-05,234.592
2001-02-06,232.805
2001-02-07,230.666
2001-02-08,228.937
2001-02-09,228.852
2001-02-12,230.786
2001-02-13,230.54
2001-02-14,227.209
2001-02-15,223.361
2001-02-16,226.081
2001-02-19,227.521
2001-02-20,223.092
2001-02-21,221.132
2001-02-22,219.323
2001-02-23,218.334
2001-02-26,220.977
2001-02-27,222.395
2001-02-28,222.327
2001-03-01,223.108
2001-03-02,225.97
2001-03-05,225.559
2001-03-06,228.627
2001-03-07,227.223
2001-03-08,226.621
2001-03-09,225.099
2001-03-12,222.272
2001-03-13,219.469
2001-03-14,216.221
2001-03-15,215.132
2001-03-16,211.307
2001-03-19,211.845
2001-03-20,213.179
2001-03-21,207.972
2001-03-22,200.311
2001-03-23,208.296
2001-03-26,210.717
2001-03-27,210.573
2001-03-28,208.475
2001-03-29,206.5
2001-03-30,207.415
2001-04-02,206.641
2001-04-03,205.764
2001-04-04,210.429
2001-04-05,209.065
2001-04-06,210.3
2001-04-09,211.451
2001-04-10,209.52
2001-04-11,207.032
2001-04-12,208.09
2001-04-13,208.09
2001-04-16,205.959
2001-04-17,205.383
2001-04-18,207.044
2001-04-19,211.193
2001-04-20,213.053
2001-04-23,211.888
2001-04-24,211.909
2001-04-25,213.4
2001-04-26,215.678
2001-04-27,213.387
2001-04-30,213.4
2001-05-01,214.532
2001-05-02,213.792
2001-05-03,213.604
2001-05-04,213.788
2001-05-07,212.839
2001-05-08,213.116
2001-05-09,214.945
2001-05-10,215.064
2001-05-11,213.409
2001-05-14,213.209
2001-05-15,213.857
2001-05-16,215.398
2001-05-17,215.596
2001-05-18,214.918
2001-05-21,213.739
2001-05-22,210.955
2001-05-23,210.372
2001-05-24,209.73
2001-05-25,209.336
2001-05-28,209.59
2001-05-29,207.613
2001-05-30,207.653
2001-05-31,205.139
2001-06-01,205.504
2001-06-04,206.761
2001-06-05,208.098
2001-06-06,207.974
2001-06-07,208.046
2001-06-08,208.606
2001-06-11,206.802
2001-06-12,206.992
2001-06-13,207.392
2001-06-14,208.786
2001-06-15,209.442
2001-06-18,207.589
2001-06-19,206.305
2001-06-20,204.856
2001-06-21,205.77
2001-06-22,204.973
2001-06-25,205.763
2001-06-26,204.538
2001-06-27,204.446
2001-06-28,202.325
2001-06-29,200.791
2001-07-02,201.224
