Date,SPAIN SMALL GROWTH Small Cap
2001-01-01,222.757
2001-01-02,226.728
2001-01-03,223.62
2001-01-04,228.361
2001-01-05,228.525
2001-01-08,227.727
2001-01-09,225.777
2001-01-10,226.724
2001-01-11,230.642
2001-01-12,233.683
2001-01-15,233.611
2001-01-16,232.687
2001-01-17,232.627
2001-01-18,235.41
2001-01-19,233.691
2001-01-22,234.538
2001-01-23,234.15
2001-01-24,231.759
2001-01-25,232.181
2001-01-26,231.857
2001-01-29,231.182
2001-01-30,233.848
2001-01-31,236.957
2001-02-01,239.859
2001-02-02,236.545
2001-02-05,238.342
2001-02-06,236.527
2001-02-07,234.354
2001-02-08,232.597
2001-02-09,232.511
2001-02-12,234.475
2001-02-13,234.225
2001-02-14,230.842
2001-02-15,226.932
2001-02-16,229.695
2001-02-19,231.158
2001-02-20,226.659
2001-02-21,224.667
2001-02-22,222.83
2001-02-23,221.824
2001-02-26,224.51
2001-02-27,225.951
2001-02-28,225.881
2001-03-01,226.675
2001-03-02,229.582
2001-03-05,229.165
2001-03-06,232.282
2001-03-07,230.856
2001-03-08,230.244
2001-03-09,228.697
2001-03-12,225.826
2001-03-13,222.977
2001-03-14,219.678
2001-03-15,218.571
2001-03-16,214.685
2001-03-19,215.232
2001-03-20,216.587
2001-03-21,211.297
2001-03-22,203.513
2001-03-23,211.626
2001-03-26,214.085
2001-03-27,213.939
2001-03-28,211.808
2001-03-29,209.801
2001-03-30,210.731
2001-04-02,209.944
2001-04-03,209.054
2001-04-04,213.793
2001-04-05,212.407
2001-04-06,213.643
2001-04-09,214.813
2001-04-10,212.851
2001-04-11,210.323
2001-04-12,211.398
2001-04-13,211.398
2001-04-16,209.233
2001-04-17,208.648
2001-04-18,210.335
2001-04-19,214.55
2001-04-20,216.44
2001-04-23,215.257
2001-04-24,215.278
2001-04-25,216.793
2001-04-26,219.106
2001-04-27,216.779
2001-04-30,216.793
2001-05-01,217.942
2001-05-02,217.19
2001-05-03,217.0
2001-05-04,217.186
2001-05-07,216.21
2001-05-08,216.491
2001-05-09,218.35
2001-05-10,218.47
2001-05-11,216.781
2001-05-14,216.577
2001-05-15,217.236
2001-05-16,218.801
2001-05-17,219.002
2001-05-18,218.313
2001-05-21,217.116
2001-05-22,214.288
2001-05-23,213.695
2001-05-24,213.044
2001-05-25,212.643
2001-05-28,212.901
2001-05-29,210.893
2001-05-30,210.933
2001-05-31,208.38
2001-06-01,208.719
2001-06-04,209.995
2001-06-05,211.353
2001-06-06,211.227
2001-06-07,211.3
2001-06-08,211.869
2001-06-11,210.037
2001-06-12,210.229
2001-06-13,210.635
2001-06-14,212.051
2001-06-15,212.711
2001-06-18,210.819
2001-06-19,209.515
2001-06-20,208.044
2001-06-21,208.972
2001-06-22,208.162
2001-06-25,208.965
2001-06-26,207.721
2001-06-27,207.627
2001-06-28,205.473
2001-06-29,203.909
2001-07-02,204.316
2001-07-03,203.614
2001-07-04,202.492
2001-07-05,198.15
2001-07-06,197.388
2001-07-09,198.297
2001-07-10,200.762
2001-07-11,198.952
2001-07-12,196.144
2001-07-13,196.37
2001-07-16,197.173
2001-07-17,195.71
2001-07-18,199.879
2001-07-19,200.284
2001-07-20,201.438
2001-07-23,200.517
2001-07-24,203.514
2001-07-25,203.881
2001-07-26,203.604
2001-07-27,204.811
2001-07-30,205.859
2001-07-31,207.218
2001-08-01,207.771
2001-08-02,209.033
2001-08-03,210.826
2001-08-06,209.48
2001-08-07,207.482
2001-08-08,206.706
2001-08-09,208.478
2001-08-10,208.253
2001-08-13,210.55
2001-08-14,212.167
2001-08-15,215.406
2001-08-16,215.903
2001-08-17,217.067
2001-08-20,215.44
2001-08-21,216.033
2001-08-22,216.847
2001-08-23,213.41
2001-08-24,212.402
2001-08-27,212.053
2001-08-28,211.15
2001-08-29,210.694
2001-08-30,209.706
2001-08-31,209.645
2001-09-03,208.302
2001-09-04,205.464
2001-09-05,202.948
2001-09-06,200.509
2001-09-07,200.611
2001-09-10,199.364
2001-09-11,192.698
2001-09-12,192.334
2001-09-13,193.426
2001-09-14,192.889
2001-09-17,192.174
2001-09-18,190.68
2001-09-19,192.216
2001-09-20,189.329
2001-09-21,182.72
2001-09-24,187.517
2001-09-25,189.676
2001-09-26,187.651
2001-09-27,188.289
2001-09-28,188.428
2001-10-01,190.979
2001-10-02,191.705
2001-10-03,191.834
2001-10-04,192.578
2001-10-05,192.479
2001-10-08,191.57
2001-10-09,192.149
2001-10-10,191.923
2001-10-11,192.764
2001-10-12,193.619
2001-10-15,193.475
2001-10-16,196.341
2001-10-17,196.006
2001-10-18,194.416
2001-10-19,191.709
2001-10-22,191.904
2001-10-23,191.253
2001-10-24,190.592
2001-10-25,191.265
2001-10-26,190.897
2001-10-29,193.042
2001-10-30,192.884
2001-10-31,192.091
2001-11-01,193.022
2001-11-02,193.445
2001-11-05,193.521
2001-11-06,194.41
2001-11-07,195.592
2001-11-08,194.86
2001-11-09,194.405
2001-11-12,193.511
2001-11-13,193.775
2001-11-14,195.865
2001-11-15,194.713
2001-11-16,195.111
2001-11-19,196.878
2001-11-20,196.871
2001-11-21,195.109
2001-11-22,198.298
2001-11-23,198.488
2001-11-26,199.972
2001-11-27,201.162
2001-11-28,200.512
2001-11-29,200.8
2001-11-30,203.671
2001-12-03,202.471
2001-12-04,204.253
2001-12-05,204.73
2001-12-06,205.433
2001-12-07,204.499
2001-12-10,203.288
2001-12-11,204.032
2001-12-12,206.034
2001-12-13,205.299
2001-12-14,205.476
2001-12-17,207.535
2001-12-18,206.521
2001-12-19,205.849
2001-12-20,202.787
2001-12-21,201.925
2001-12-24,199.91
2001-12-25,199.91
2001-12-26,200.081
2001-12-27,203.486
2001-12-28,200.754
2001-12-31,202.712
2002-01-01,202.712
2002-01-02,206.783
2002-01-03,207.118
2002-01-04,205.373
2002-01-07,203.794
2002-01-08,204.706
2002-01-09,202.385
2002-01-10,202.779
2002-01-11,202.218
2002-01-14,201.92
2002-01-15,201.936
2002-01-16,200.067
2002-01-17,200.365
2002-01-18,202.164
2002-01-21,200.325
2002-01-22,200.423
2002-01-23,200.728
2002-01-24,200.025
2002-01-25,196.243
2002-01-28,196.596
2002-01-29,196.808
2002-01-30,196.448
2002-01-31,196.893
2002-02-01,196.806
2002-02-04,197.626
2002-02-05,197.358
2002-02-06,196.115
2002-02-07,195.716
2002-02-08,195.57
2002-02-11,197.416
2002-02-12,195.234
2002-02-13,194.417
2002-02-14,195.185
2002-02-15,196.052
2002-02-18,195.085
2002-02-19,195.888
2002-02-20,194.284
2002-02-21,194.278
2002-02-22,195.463
2002-02-25,194.354
2002-02-26,195.176
2002-02-27,194.679
2002-02-28,195.661
2002-03-01,197.932
2002-03-04,201.078
2002-03-05,201.835
2002-03-06,205.051
2002-03-07,207.446
2002-03-08,207.837
2002-03-11,207.89
2002-03-12,206.321
2002-03-13,207.237
2002-03-14,210.152
2002-03-15,211.572
2002-03-18,212.38
2002-03-19,214.13
2002-03-20,213.379
2002-03-21,213.993
2002-03-22,216.136
2002-03-25,213.177
2002-03-26,214.269
2002-03-27,214.006
2002-03-28,214.825
2002-03-29,214.825
2002-04-01,216.586
2002-04-02,215.771
2002-04-03,216.04
2002-04-04,215.595
2002-04-05,216.337
2002-04-08,213.751
2002-04-09,214.174
2002-04-10,216.053
2002-04-11,216.413
2002-04-12,216.354
2002-04-15,217.606
2002-04-16,220.416
2002-04-17,221.891
2002-04-18,222.186
2002-04-19,223.266
2002-04-22,222.562
2002-04-23,222.822
2002-04-24,224.935
2002-04-25,226.707
2002-04-26,227.117
2002-04-29,228.146
2002-04-30,228.007
2002-05-01,229.298
2002-05-02,226.361
2002-05-03,228.831
2002-05-06,228.513
2002-05-07,226.43
2002-05-08,226.297
2002-05-09,227.723
2002-05-10,228.744
2002-05-13,228.379
2002-05-14,225.668
2002-05-15,227.162
2002-05-16,226.945
2002-05-17,232.614
2002-05-20,232.537
2002-05-21,231.81
2002-05-22,232.733
2002-05-23,232.261
2002-05-24,232.971
2002-05-27,232.16
2002-05-28,233.84
2002-05-29,233.875
2002-05-30,233.065
2002-05-31,232.676
