Date,SPAIN SMALL GROWTH Small Cap
1994-05-31,176.954
1994-06-30,170.914
1994-07-29,171.547
1994-08-31,171.907
1994-09-30,165.794
1994-10-31,161.192
1994-11-30,159.214
1994-12-30,153.465
1995-01-31,148.384
1995-02-28,150.237
1995-03-31,144.343
1995-04-28,156.535
1995-05-31,165.648
1995-06-30,163.906
1995-07-31,169.187
1995-08-31,161.239
1995-09-29,159.375
1995-10-31,153.636
1995-11-30,149.813
1995-12-29,150.285
1996-01-31,146.008
1996-02-29,148.933
1996-03-29,147.185
1996-04-30,145.608
1996-05-31,144.014
1996-06-28,146.161
1996-07-31,146.455
1996-08-30,149.614
1996-09-30,147.956
1996-10-31,151.895
1996-11-29,157.492
1996-12-31,165.122
1997-01-31,168.152
1997-02-28,164.71
1997-03-31,167.518
1997-04-30,174.397
1997-05-30,189.471
1997-06-30,203.202
1997-07-31,197.77
1997-08-29,195.871
1997-09-30,211.428
1997-10-31,195.472
1997-11-28,201.285
1997-12-31,201.835
1998-01-30,217.09
1998-02-27,236.057
1998-03-31,270.362
1998-04-30,272.721
1998-05-29,291.78
1998-06-30,281.076
1998-07-31,286.474
1998-08-31,251.752
1998-09-30,240.882
1998-10-30,258.591
1998-11-30,273.434
1998-12-31,266.0
1999-01-29,258.685
1999-02-26,254.801
1999-03-31,237.783
1999-04-30,236.176
1999-05-31,231.146
1999-06-30,224.474
1999-07-30,225.312
1999-08-31,229.636
1999-09-30,223.645
1999-10-29,211.408
1999-11-30,203.529
1999-12-31,206.227
2000-01-31,198.361
2000-02-29,224.315
2000-03-31,240.377
2000-04-28,230.731
2000-05-31,223.999
2000-06-30,229.04
2000-07-31,220.041
2000-08-31,218.83
2000-09-29,230.861
2000-10-31,217.535
2000-11-30,210.612
2000-12-29,222.757
2001-01-31,236.957
2001-02-28,225.881
2001-03-30,210.731
2001-04-30,216.793
2001-05-31,208.38
2001-06-29,203.909
2001-07-31,207.218
2001-08-31,209.645
2001-09-28,188.428
2001-10-31,192.091
2001-11-30,203.671
2001-12-31,202.712
2002-01-31,196.893
2002-02-28,195.661
2002-03-29,214.825
2002-04-30,228.007
2002-05-31,232.676
2002-06-28,227.528
2002-07-31,209.697
2002-08-30,199.454
2002-09-30,178.606
2002-10-31,192.334
2002-11-29,206.326
2002-12-31,204.004
2003-01-31,209.588
2003-02-28,215.782
2003-03-31,220.245
2003-04-30,237.592
2003-05-30,262.155
2003-06-30,263.128
2003-07-31,268.242
2003-08-29,265.378
2003-09-30,277.191
2003-10-31,287.725
2003-11-28,301.91
2003-12-31,323.848
2004-01-30,335.366
2004-02-27,354.336
2004-03-31,340.116
2004-04-30,338.098
2004-05-31,340.147
2004-06-30,344.168
2004-07-30,341.366
2004-08-31,344.769
2004-09-30,368.028
2004-10-29,381.397
2004-11-30,408.483
2004-12-31,441.108
2005-01-31,452.166
2005-02-28,479.131
2005-03-31,472.087
2005-04-29,459.379
2005-05-31,479.92
2005-06-30,492.476
2005-07-29,507.12
2005-08-31,511.534
2005-09-30,545.135
2005-10-31,532.194
2005-11-30,523.174
2005-12-30,530.517
2006-01-31,577.703
2006-02-28,613.625
2006-03-31,640.688
2006-04-28,670.318
2006-05-31,645.492
2006-06-30,652.294
2006-07-31,667.155
2006-08-31,690.041
2006-09-29,738.801
2006-10-31,750.659
2006-11-30,804.555
2006-12-29,831.412
2007-01-31,914.151
2007-02-28,937.006
2007-03-30,990.309
2007-04-30,1012.476
2007-05-31,1000.0
2007-06-29,964.949
2007-07-31,959.832
2007-08-31,901.817
2007-09-28,923.979
2007-10-31,1009.806
2007-11-30,969.252
2007-12-31,880.452
2008-01-31,810.091
2008-02-29,827.467
2008-03-31,873.927
2008-04-30,854.331
2008-05-30,838.355
2008-06-30,749.705
2008-07-31,677.651
2008-08-29,649.395
2008-09-30,503.381
2008-10-31,388.169
2008-11-28,373.495
2008-12-31,395.6
2009-01-30,362.236
2009-02-27,331.236
2009-03-31,343.005
2009-04-30,401.745
2009-05-29,467.211
2009-06-30,473.149
2009-07-31,489.467
2009-08-31,522.389
2009-09-30,575.166
2009-10-30,540.081
2009-11-30,553.168
2009-12-31,561.601
2010-01-29,546.461
2010-02-26,515.628
2010-03-31,549.215
2010-04-30,528.92
2010-05-31,428.315
2010-06-30,424.098
2010-07-30,483.955
2010-08-31,471.207
2010-09-30,530.931
2010-10-29,571.184
2010-11-30,478.68
2010-12-31,542.726
2011-01-31,565.397
2011-02-28,571.027
2011-03-31,605.039
2011-04-29,652.069
2011-05-31,612.123
2011-06-30,592.131
2011-07-29,538.767
2011-08-31,485.846
2011-09-30,438.37
2011-10-31,491.233
2011-11-30,451.243
2011-12-30,432.83
2012-01-31,455.854
2012-02-29,481.805
2012-03-30,493.802
2012-04-30,470.585
2012-05-31,388.198
2012-06-29,420.41
2012-07-31,414.116
2012-08-31,432.554
2012-09-28,447.915
2012-10-31,475.618
2012-11-30,470.63
2012-12-31,501.752
2013-01-31,513.233
2013-02-28,517.668
2013-03-29,498.575
2013-04-30,512.823
2013-05-31,504.066
2013-06-28,516.408
2013-07-31,552.404
2013-08-30,546.301
2013-09-30,617.577
2013-10-31,637.576
2013-11-29,654.175
2013-12-31,672.381
2014-01-31,692.568
2014-02-28,719.007
2014-03-31,743.203
2014-04-30,733.949
2014-05-30,754.534
2014-06-30,753.154
2014-07-31,680.298
2014-08-29,663.579
2014-09-30,679.405
2014-10-31,671.54
2014-11-28,672.301
2014-12-31,655.641
2015-01-30,637.352
2015-02-27,670.301
2015-03-31,677.096
2015-04-30,706.997
2015-05-29,686.62
2015-06-30,681.817
2015-07-31,683.466
2015-08-31,655.338
2015-09-30,621.076
2015-10-30,664.956
2015-11-30,645.387
2015-12-31,645.743
2016-01-29,608.559
2016-02-29,601.454
2016-03-31,652.808
2016-04-29,668.108
2016-05-31,657.5
2016-06-30,616.842
2016-07-29,663.482
2016-08-31,679.503
2016-09-30,688.871
2016-10-31,657.416
2016-11-30,607.284
2016-12-30,629.794
2017-01-31,653.629
2017-02-28,666.921
2017-03-31,693.095
2017-04-28,738.39
2017-05-31,788.072
2017-06-30,774.358
2017-07-31,803.378
2017-08-31,806.164
2017-09-29,809.4
2017-10-31,800.505
2017-11-30,811.412
2017-12-29,827.451
2018-01-31,887.745
2018-02-28,848.761
2018-03-30,860.441
2018-04-30,874.569
2018-05-31,833.549
2018-06-29,826.641
2018-07-31,842.477
