Date,ITALY MID CAP Mid Cap
1994-05-31,207.434
1994-06-30,194.582
1994-07-29,197.026
1994-08-31,189.868
1994-09-30,188.521
1994-10-31,180.616
1994-11-30,174.861
1994-12-30,175.363
1995-01-31,184.943
1995-02-28,167.902
1995-03-31,153.418
1995-04-28,162.686
1995-05-31,164.873
1995-06-30,156.769
1995-07-31,165.063
1995-08-31,161.248
1995-09-29,154.626
1995-10-31,148.994
1995-11-30,137.698
1995-12-29,147.461
1996-01-31,151.336
1996-02-29,154.338
1996-03-29,147.712
1996-04-30,162.011
1996-05-31,169.289
1996-06-28,165.081
1996-07-31,154.06
1996-08-30,155.287
1996-09-30,156.088
1996-10-31,149.423
1996-11-29,162.227
1996-12-31,161.86
1997-01-31,179.206
1997-02-28,163.135
1997-03-31,167.043
1997-04-30,164.322
1997-05-30,165.916
1997-06-30,180.338
1997-07-31,191.195
1997-08-29,192.564
1997-09-30,218.214
1997-10-31,212.131
1997-11-28,209.95
1997-12-31,229.665
1998-01-30,268.291
1998-02-27,293.993
1998-03-31,359.196
1998-04-30,339.544
1998-05-29,348.191
1998-06-30,316.614
1998-07-31,339.882
1998-08-31,301.23
1998-09-30,282.466
1998-10-30,305.643
1998-11-30,340.275
1998-12-31,367.184
1999-01-29,364.054
1999-02-26,343.065
1999-03-31,364.254
1999-04-30,363.931
1999-05-31,357.394
1999-06-30,350.727
1999-07-30,355.667
1999-08-31,357.629
1999-09-30,371.159
1999-10-29,363.149
1999-11-30,378.047
1999-12-31,480.241
2000-01-31,454.133
2000-02-29,619.52
2000-03-31,553.97
2000-04-28,514.47
2000-05-31,503.261
2000-06-30,518.87
2000-07-31,508.394
2000-08-31,522.24
2000-09-29,495.579
2000-10-31,481.152
2000-11-30,485.529
2000-12-29,490.661
2001-01-31,494.164
2001-02-28,435.461
2001-03-30,394.022
2001-04-30,400.601
2001-05-31,383.29
2001-06-29,360.489
2001-07-31,350.674
2001-08-31,341.326
2001-09-28,281.163
2001-10-31,286.872
2001-11-30,316.348
2001-12-31,308.639
2002-01-31,310.5
2002-02-28,304.651
2002-03-29,326.149
2002-04-30,334.346
2002-05-31,325.33
2002-06-28,317.721
2002-07-31,282.62
2002-08-30,285.763
2002-09-30,249.191
2002-10-31,272.754
2002-11-29,307.801
2002-12-31,287.992
2003-01-31,286.278
2003-02-28,299.367
2003-03-31,286.705
2003-04-30,333.923
2003-05-30,362.893
2003-06-30,348.287
2003-07-31,353.786
2003-08-29,346.153
2003-09-30,364.746
2003-10-31,387.532
2003-11-28,414.583
2003-12-31,421.337
2004-01-30,441.224
2004-02-27,440.648
2004-03-31,409.828
2004-04-30,416.36
2004-05-31,415.436
2004-06-30,436.144
2004-07-30,421.784
2004-08-31,418.806
2004-09-30,439.806
2004-10-29,455.849
2004-11-30,491.97
2004-12-31,535.636
2005-01-31,532.887
2005-02-28,550.916
2005-03-31,549.713
2005-04-29,537.627
2005-05-31,539.394
2005-06-30,542.005
2005-07-29,559.763
2005-08-31,561.498
2005-09-30,585.38
2005-10-31,553.712
2005-11-30,569.727
2005-12-30,581.891
2006-01-31,634.06
2006-02-28,673.358
2006-03-31,700.414
2006-04-28,739.484
2006-05-31,743.889
2006-06-30,737.879
2006-07-31,765.346
2006-08-31,803.284
2006-09-29,792.658
2006-10-31,830.925
2006-11-30,866.231
2006-12-29,899.21
2007-01-31,924.448
2007-02-28,924.922
2007-03-30,952.983
2007-04-30,1023.623
2007-05-31,1000.0
2007-06-29,966.045
2007-07-31,908.684
2007-08-31,904.906
2007-09-28,919.132
2007-10-31,966.917
2007-11-30,933.501
2007-12-31,917.705
2008-01-31,836.169
2008-02-29,848.195
2008-03-31,831.657
2008-04-30,841.339
2008-05-30,834.155
2008-06-30,736.738
2008-07-31,735.34
2008-08-29,721.313
2008-09-30,619.335
2008-10-31,476.926
2008-11-28,457.085
2008-12-31,487.188
2009-01-30,439.108
2009-02-27,391.507
2009-03-31,417.913
2009-04-30,494.388
2009-05-29,542.632
2009-06-30,512.284
2009-07-31,544.257
2009-08-31,597.622
2009-09-30,634.756
2009-10-30,609.346
2009-11-30,622.979
2009-12-31,626.878
2010-01-29,583.048
2010-02-26,556.737
2010-03-31,605.658
2010-04-30,567.224
2010-05-31,477.661
2010-06-30,467.027
2010-07-30,533.629
2010-08-31,489.525
2010-09-30,542.671
2010-10-29,569.124
2010-11-30,477.617
2010-12-31,512.646
2011-01-31,558.619
2011-02-28,555.495
2011-03-31,553.482
2011-04-29,602.456
2011-05-31,566.348
2011-06-30,541.285
2011-07-29,475.472
2011-08-31,396.781
2011-09-30,364.592
2011-10-31,387.89
2011-11-30,345.111
2011-12-30,325.738
2012-01-31,365.347
2012-02-29,388.326
2012-03-30,381.863
2012-04-30,334.747
2012-05-31,281.176
2012-06-29,314.724
2012-07-31,294.627
2012-08-31,333.814
2012-09-28,347.972
2012-10-31,354.546
2012-11-30,349.366
2012-12-31,377.482
2013-01-31,429.792
2013-02-28,385.708
2013-03-29,355.04
2013-04-30,394.411
2013-05-31,427.21
2013-06-28,382.082
2013-07-31,423.765
2013-08-30,422.365
2013-09-30,453.625
2013-10-31,509.212
2013-11-29,505.001
2013-12-31,513.333
2014-01-31,532.186
2014-02-28,574.584
2014-03-31,610.558
2014-04-30,615.544
2014-05-30,582.309
2014-06-30,551.815
2014-07-31,521.335
2014-08-29,510.389
2014-09-30,488.219
2014-10-31,462.126
2014-11-28,473.412
2014-12-31,429.406
2015-01-30,437.171
2015-02-27,493.148
2015-03-31,496.928
2015-04-30,504.218
2015-05-29,515.139
2015-06-30,496.463
2015-07-31,521.563
2015-08-31,501.637
2015-09-30,470.87
2015-10-30,499.914
2015-11-30,481.622
2015-12-31,471.597
2016-01-29,378.72
2016-02-29,360.174
2016-03-31,387.387
2016-04-29,410.05
2016-05-31,382.897
2016-06-30,347.741
2016-07-29,370.392
2016-08-31,376.819
2016-09-30,369.429
2016-10-31,385.8
2016-11-30,387.481
2016-12-30,422.964
2017-01-31,432.822
2017-02-28,441.546
2017-03-31,466.657
2017-04-28,494.893
2017-05-31,510.509
2017-06-30,507.981
2017-07-31,555.814
2017-08-31,583.69
2017-09-29,619.997
2017-10-31,627.685
2017-11-30,605.812
2017-12-29,599.874
2018-01-31,658.738
2018-02-28,621.389
2018-03-30,612.507
2018-04-30,627.317
2018-05-31,590.839
2018-06-29,586.17
2018-07-31,608.069
2018-08-31,591.303
2018-09-28,597.366
2018-10-31,523.135
2018-11-30,514.416
2018-12-31,496.386
2019-01-31,557.502
2019-02-28,578.61
2019-03-29,592.085
2019-04-30,607.998
2019-05-31,571.443
2019-06-28,640.532
2019-07-31,630.444
2019-08-30,628.192
2019-09-30,635.808
2019-10-31,670.545
2019-11-29,682.189
2019-12-31,688.0
2020-01-31,657.286
2020-02-28,616.466
2020-03-31,486.184
2020-04-30,514.25
2020-05-29,530.195
2020-06-30,561.575
2020-07-31,586.541
2020-08-31,609.785
2020-09-30,597.38
2020-10-30,564.231
2020-11-30,691.695
2020-12-31,736.412
2021-01-29,697.722
2021-02-26,748.341
2021-03-31,756.714
2021-04-30,771.766
2021-05-31,825.694
2021-06-30,821.136
2021-07-30,829.302
2021-08-31,837.243
2021-09-30,806.254
2021-10-29,841.531
2021-11-30,821.92
2021-12-31,863.528
2022-01-31,786.399
2022-02-28,760.545
2022-03-31,777.86
2022-04-29,735.025
2022-05-31,739.793
2022-06-30,648.313
2022-07-29,679.0
2022-08-31,633.209
2022-09-30,601.259
2022-10-31,649.327
2022-11-30,728.098
2022-12-30,741.526
2023-01-31,803.167
2023-02-28,783.918
2023-03-31,789.18
2023-04-28,805.11
2023-05-31,753.561
2023-06-30,808.928
2023-07-31,837.776
2023-08-31,803.383
2023-09-29,741.018
2023-10-31,692.852
2023-11-30,742.903
2023-12-29,795.927
2024-01-31,786.954
2024-02-29,822.686
2024-03-29,867.058
2024-04-30,841.968
2024-05-31,900.973
2024-06-28,844.169
2024-07-31,886.417
2024-08-30,911.968
2024-09-30,913.582
2024-10-31,873.295
2024-11-29,867.901
2024-12-31,873.782
2025-01-31,956.818
2025-02-28,988.055
2025-03-31,1012.806
2025-04-30,1072.921
2025-05-30,1179.135
2025-06-30,1190.847
2025-07-31,1194.865
2025-08-29,1270.266
2025-09-30,1307.453
2025-10-31,1330.501
2025-11-28,1337.222
