Date,ITALY MID CAP Mid Cap
1994-05-31,193.484
1994-06-30,181.794
1994-07-29,184.205
1994-08-31,177.513
1994-09-30,176.254
1994-10-31,168.863
1994-11-30,163.482
1994-12-30,163.952
1995-01-31,172.909
1995-02-28,156.976
1995-03-31,143.435
1995-04-28,152.221
1995-05-31,154.778
1995-06-30,147.286
1995-07-31,155.222
1995-08-31,151.633
1995-09-29,145.406
1995-10-31,140.111
1995-11-30,129.488
1995-12-29,138.668
1996-01-31,142.313
1996-02-29,145.135
1996-03-29,138.905
1996-04-30,152.351
1996-05-31,159.7
1996-06-28,155.918
1996-07-31,145.65
1996-08-30,146.809
1996-09-30,147.567
1996-10-31,141.266
1996-11-29,153.371
1996-12-31,153.024
1997-01-31,169.423
1997-02-28,154.23
1997-03-31,157.924
1997-04-30,155.477
1997-05-30,157.537
1997-06-30,171.377
1997-07-31,181.865
1997-08-29,183.167
1997-09-30,207.565
1997-10-31,201.779
1997-11-28,199.705
1997-12-31,218.457
1998-01-30,255.198
1998-02-27,279.646
1998-03-31,341.735
1998-04-30,323.204
1998-05-29,332.333
1998-06-30,302.358
1998-07-31,324.831
1998-08-31,287.891
1998-09-30,269.957
1998-10-30,292.108
1998-11-30,325.206
1998-12-31,350.924
1999-01-29,347.932
1999-02-26,327.873
1999-03-31,348.123
1999-04-30,347.815
1999-05-31,341.975
1999-06-30,335.682
1999-07-30,340.41
1999-08-31,342.288
1999-09-30,355.237
1999-10-29,347.571
1999-11-30,361.829
1999-12-31,459.64
2000-01-31,434.652
2000-02-29,592.944
2000-03-31,530.206
2000-04-28,492.455
2000-05-31,482.493
2000-06-30,497.477
2000-07-31,487.544
2000-08-31,500.822
2000-09-29,475.255
2000-10-31,461.419
2000-11-30,465.617
2000-12-29,470.538
2001-01-31,473.898
2001-02-28,417.602
2001-03-30,377.873
2001-04-30,384.222
2001-05-31,369.036
2001-06-29,347.26
2001-07-31,337.806
2001-08-31,328.8
2001-09-28,270.846
2001-10-31,276.345
2001-11-30,304.739
2001-12-31,297.313
2002-01-31,299.106
2002-02-28,293.472
2002-03-29,314.18
2002-04-30,322.18
2002-05-31,314.746
2002-06-28,307.501
2002-07-31,273.562
2002-08-30,276.604
2002-09-30,241.204
2002-10-31,264.012
2002-11-29,298.046
2002-12-31,278.865
2003-01-31,277.205
2003-02-28,289.88
2003-03-31,277.619
2003-04-30,323.341
2003-05-30,353.511
2003-06-30,339.463
2003-07-31,344.822
