Date,ITALY MID CAP Mid Cap
2001-01-01,490.661
2001-01-02,480.509
2001-01-03,461.555
2001-01-04,466.594
2001-01-05,464.359
2001-01-08,459.805
2001-01-09,460.328
2001-01-10,465.277
2001-01-11,470.989
2001-01-12,481.862
2001-01-15,477.225
2001-01-16,477.232
2001-01-17,490.183
2001-01-18,491.769
2001-01-19,486.673
2001-01-22,486.684
2001-01-23,485.14
2001-01-24,481.23
2001-01-25,479.262
2001-01-26,479.437
2001-01-29,476.662
2001-01-30,483.987
2001-01-31,494.164
2001-02-01,493.078
2001-02-02,484.469
2001-02-05,480.44
2001-02-06,478.599
2001-02-07,471.957
2001-02-08,463.956
2001-02-09,460.251
2001-02-12,464.822
2001-02-13,459.131
2001-02-14,449.385
2001-02-15,446.183
2001-02-16,444.769
2001-02-19,444.143
2001-02-20,434.386
2001-02-21,434.095
2001-02-22,433.285
2001-02-23,429.594
2001-02-26,434.022
2001-02-27,436.469
2001-02-28,435.461
2001-03-01,433.202
2001-03-02,430.361
2001-03-05,424.278
2001-03-06,433.144
2001-03-07,432.754
2001-03-08,432.393
2001-03-09,423.193
2001-03-12,409.634
2001-03-13,399.265
2001-03-14,392.988
2001-03-15,393.491
2001-03-16,384.313
2001-03-19,385.074
2001-03-20,393.254
2001-03-21,384.473
2001-03-22,363.403
2001-03-23,375.19
2001-03-26,385.309
2001-03-27,393.823
2001-03-28,390.18
2001-03-29,391.744
2001-03-30,394.022
2001-04-02,391.364
2001-04-03,382.394
2001-04-04,390.334
2001-04-05,395.565
2001-04-06,396.354
2001-04-09,399.864
2001-04-10,399.955
2001-04-11,399.161
2001-04-12,404.158
2001-04-13,404.158
2001-04-16,400.019
2001-04-17,398.304
2001-04-18,401.443
2001-04-19,404.808
2001-04-20,408.807
2001-04-23,398.559
2001-04-24,396.323
2001-04-25,396.93
2001-04-26,399.961
2001-04-27,398.4
2001-04-30,400.601
2001-05-01,402.725
2001-05-02,401.794
2001-05-03,398.511
2001-05-04,398.292
2001-05-07,399.331
2001-05-08,397.947
2001-05-09,396.584
2001-05-10,395.875
2001-05-11,394.396
2001-05-14,393.536
2001-05-15,393.597
2001-05-16,393.105
2001-05-17,394.448
2001-05-18,394.302
2001-05-21,391.76
2001-05-22,392.415
2001-05-23,389.6
2001-05-24,388.533
2001-05-25,385.096
2001-05-28,388.316
2001-05-29,382.095
2001-05-30,375.995
2001-05-31,383.29
2001-06-01,381.203
2001-06-04,379.738
2001-06-05,380.428
2001-06-06,378.051
2001-06-07,380.496
2001-06-08,381.033
2001-06-11,377.163
