Date,ITALY MID CAP Mid Cap
2001-01-01,470.538
2001-01-02,460.803
2001-01-03,442.626
2001-01-04,447.458
2001-01-05,445.315
2001-01-08,440.948
2001-01-09,441.449
2001-01-10,446.195
2001-01-11,451.673
2001-01-12,462.1
2001-01-15,457.653
2001-01-16,457.66
2001-01-17,470.08
2001-01-18,471.601
2001-01-19,466.713
2001-01-22,466.725
2001-01-23,465.244
2001-01-24,461.494
2001-01-25,459.607
2001-01-26,459.775
2001-01-29,457.114
2001-01-30,464.138
2001-01-31,473.898
2001-02-01,472.856
2001-02-02,464.6
2001-02-05,460.736
2001-02-06,458.971
2001-02-07,452.601
2001-02-08,444.928
2001-02-09,441.376
2001-02-12,445.758
2001-02-13,440.302
2001-02-14,430.955
2001-02-15,427.884
2001-02-16,426.528
2001-02-19,425.928
2001-02-20,416.571
2001-02-21,416.292
2001-02-22,415.515
2001-02-23,411.976
2001-02-26,416.222
2001-02-27,418.569
2001-02-28,417.602
2001-03-01,415.436
2001-03-02,412.712
2001-03-05,406.878
2001-03-06,415.38
2001-03-07,415.006
2001-03-08,414.66
2001-03-09,405.837
2001-03-12,392.834
2001-03-13,382.89
2001-03-14,376.871
2001-03-15,377.353
2001-03-16,368.552
2001-03-19,369.281
2001-03-20,377.126
2001-03-21,368.705
2001-03-22,348.5
2001-03-23,359.802
2001-03-26,369.507
2001-03-27,377.672
2001-03-28,374.178
2001-03-29,375.678
2001-03-30,377.873
2001-04-02,375.324
2001-04-03,366.721
2001-04-04,374.336
2001-04-05,379.352
2001-04-06,380.109
2001-04-09,383.476
2001-04-10,383.562
2001-04-11,382.801
2001-04-12,387.593
2001-04-13,387.593
2001-04-16,383.624
2001-04-17,381.98
2001-04-18,384.99
2001-04-19,388.217
2001-04-20,392.052
2001-04-23,382.263
2001-04-24,380.119
2001-04-25,380.701
2001-04-26,383.608
2001-04-27,382.111
2001-04-30,384.222
2001-05-01,386.259
2001-05-02,385.366
2001-05-03,382.217
2001-05-04,382.008
2001-05-07,383.253
2001-05-08,381.924
2001-05-09,380.616
2001-05-10,379.936
2001-05-11,378.516
2001-05-14,377.691
2001-05-15,377.75
2001-05-16,377.277
2001-05-17,378.566
2001-05-18,378.426
2001-05-21,377.191
2001-05-22,377.822
2001-05-23,375.112
2001-05-24,374.084
2001-05-25,370.775
2001-05-28,373.875
2001-05-29,367.886
2001-05-30,362.013
2001-05-31,369.036
2001-06-01,367.027
2001-06-04,365.617
2001-06-05,366.281
2001-06-06,363.992
2001-06-07,366.346
2001-06-08,366.863
2001-06-11,363.137
2001-06-12,362.243
2001-06-13,364.739
2001-06-14,361.547
2001-06-15,360.043
2001-06-18,358.007
2001-06-19,355.861
2001-06-20,348.899
2001-06-21,349.17
2001-06-22,349.158
2001-06-25,353.186
2001-06-26,349.104
2001-06-27,348.38
2001-06-28,343.596
2001-06-29,347.26
2001-07-02,348.811
2001-07-03,350.086
2001-07-04,347.85
2001-07-05,341.41
2001-07-06,338.861
2001-07-09,338.844
2001-07-10,340.977
2001-07-11,339.279
2001-07-12,336.299
2001-07-13,334.511
2001-07-16,334.0
2001-07-17,328.434
2001-07-18,332.823
2001-07-19,335.552
2001-07-20,335.15
2001-07-23,334.104
2001-07-24,334.751
2001-07-25,335.309
2001-07-26,335.155
2001-07-27,334.973
2001-07-30,336.449
2001-07-31,337.806
2001-08-01,342.441
2001-08-02,347.12
2001-08-03,347.431
2001-08-06,345.382
2001-08-07,345.578
2001-08-08,345.821
2001-08-09,347.349
2001-08-10,347.164
2001-08-13,349.604
2001-08-14,349.742
2001-08-15,355.081
2001-08-16,351.406
2001-08-17,348.012
2001-08-20,343.757
2001-08-21,345.817
2001-08-22,347.331
2001-08-23,343.692
2001-08-24,346.102
2001-08-27,343.208
2001-08-28,340.103
2001-08-29,339.388
2001-08-30,330.396
2001-08-31,328.8
2001-09-03,323.692
2001-09-04,319.395
2001-09-05,313.023
2001-09-06,307.948
2001-09-07,310.63
2001-09-10,302.608
2001-09-11,284.783
2001-09-12,280.712
2001-09-13,282.919
2001-09-14,271.992
2001-09-17,268.01
2001-09-18,263.458
2001-09-19,262.176
2001-09-20,251.322
2001-09-21,236.698
2001-09-24,248.83
2001-09-25,257.131
2001-09-26,261.686
2001-09-27,263.866
2001-09-28,270.846
2001-10-01,264.554
2001-10-02,266.439
2001-10-03,266.594
2001-10-04,273.857
2001-10-05,270.248
2001-10-08,270.881
2001-10-09,270.835
2001-10-10,273.846
2001-10-11,276.93
2001-10-12,277.247
2001-10-15,273.94
2001-10-16,278.058
2001-10-17,282.655
2001-10-18,280.197
2001-10-19,274.576
2001-10-22,276.156
2001-10-23,279.562
2001-10-24,280.525
2001-10-25,277.625
2001-10-26,283.482
2001-10-29,284.331
2001-10-30,274.565
2001-10-31,276.345
2001-11-01,278.074
2001-11-02,274.956
2001-11-05,277.026
2001-11-06,274.529
2001-11-07,277.954
2001-11-08,281.706
2001-11-09,281.547
2001-11-12,275.353
2001-11-13,278.725
2001-11-14,282.798
2001-11-15,286.927
2001-11-16,293.141
2001-11-19,304.417
2001-11-20,301.139
2001-11-21,297.792
2001-11-22,301.591
2001-11-23,302.416
2001-11-26,304.701
2001-11-27,298.635
2001-11-28,298.888
2001-11-29,302.017
2001-11-30,304.739
2001-12-03,299.692
2001-12-04,305.082
2001-12-05,311.043
2001-12-06,312.548
2001-12-07,313.205
2001-12-10,307.878
2001-12-11,307.247
2001-12-12,305.341
2001-12-13,298.941
2001-12-14,299.01
2001-12-17,305.476
2001-12-18,303.008
2001-12-19,298.448
2001-12-20,293.496
2001-12-21,292.23
2001-12-24,289.315
2001-12-25,289.315
2001-12-26,289.562
2001-12-27,295.588
2001-12-28,294.441
2001-12-31,297.313
2002-01-01,297.313
2002-01-02,302.341
2002-01-03,306.447
2002-01-04,305.11
2002-01-07,304.303
2002-01-08,306.263
2002-01-09,307.359
2002-01-10,305.295
2002-01-11,304.59
2002-01-14,300.706
2002-01-15,301.742
2002-01-16,295.77
2002-01-17,296.58
2002-01-18,298.424
2002-01-21,296.03
2002-01-22,297.206
2002-01-23,298.597
2002-01-24,298.367
2002-01-25,294.008
