Date,ACWI IMI IMI (Large+Mid+Small Cap)
2001-01-01,594.602
2001-01-02,583.229
2001-01-03,596.402
2001-01-04,596.418
2001-01-05,588.641
2001-01-08,586.308
2001-01-09,583.809
2001-01-10,586.219
2001-01-11,591.778
2001-01-12,592.222
2001-01-15,591.857
2001-01-16,593.368
2001-01-17,597.676
2001-01-18,605.027
2001-01-19,603.608
2001-01-22,604.008
2001-01-23,608.908
2001-01-24,607.759
2001-01-25,606.143
2001-01-26,605.039
2001-01-29,607.894
2001-01-30,611.469
2001-01-31,611.752
2001-02-01,613.737
2001-02-02,604.959
2001-02-05,604.743
2001-02-06,604.071
2001-02-07,598.943
2001-02-08,593.918
2001-02-09,588.528
2001-02-12,593.857
2001-02-13,589.826
2001-02-14,587.414
2001-02-15,590.293
2001-02-16,582.308
2001-02-19,581.274
2001-02-20,573.54
2001-02-21,565.362
2001-02-22,562.164
2001-02-23,559.402
2001-02-26,566.81
2001-02-27,564.865
2001-02-28,559.165
2001-03-01,558.266
2001-03-02,555.152
2001-03-05,557.085
2001-03-06,564.523
2001-03-07,566.238
2001-03-08,565.869
2001-03-09,556.666
2001-03-12,537.515
2001-03-13,535.653
2001-03-14,524.442
2001-03-15,527.242
2001-03-16,516.701
2001-03-19,520.895
2001-03-20,517.083
2001-03-21,511.618
2001-03-22,500.564
2001-03-23,512.148
2001-03-26,522.871
2001-03-27,531.843
2001-03-28,522.669
2001-03-29,516.858
2001-03-30,519.296
2001-04-02,513.079
2001-04-03,500.726
2001-04-04,502.949
2001-04-05,518.126
2001-04-06,513.84
2001-04-09,515.886
2001-04-10,524.456
2001-04-11,525.669
2001-04-12,532.545
2001-04-13,532.47
2001-04-16,528.948
2001-04-17,530.545
2001-04-18,546.802
2001-04-19,555.522
2001-04-20,552.853
2001-04-23,546.498
2001-04-24,543.078
2001-04-25,548.679
2001-04-26,552.812
2001-04-27,557.222
2001-04-30,558.591
2001-05-01,565.694
2001-05-02,567.421
2001-05-03,561.261
2001-05-04,566.075
2001-05-07,566.401
2001-05-08,563.375
2001-05-09,560.062
2001-05-10,561.473
2001-05-11,557.418
2001-05-14,553.613
2001-05-15,556.701
2001-05-16,564.604
2001-05-17,569.64
2001-05-18,570.117
2001-05-21,577.273
2001-05-22,576.667
2001-05-23,570.626
2001-05-24,571.116
2001-05-25,566.459
2001-05-28,566.337
2001-05-29,562.202
2001-05-30,553.965
2001-05-31,554.666
2001-06-01,555.674
2001-06-04,557.782
2001-06-05,562.786
2001-06-06,558.997
2001-06-07,561.525
2001-06-08,558.465
2001-06-11,552.177
2001-06-12,548.851
2001-06-13,547.423
2001-06-14,541.275
2001-06-15,538.243
2001-06-18,533.786
2001-06-19,533.812
2001-06-20,534.75
2001-06-21,539.054
2001-06-22,537.867
2001-06-25,536.751
2001-06-26,534.723
2001-06-27,533.451
2001-06-28,535.815
2001-06-29,539.643
2001-07-02,542.597
2001-07-03,540.79
2001-07-04,538.744
2001-07-05,531.87
2001-07-06,522.26
2001-07-09,523.566
2001-07-10,520.262
2001-07-11,517.594
2001-07-12,525.855
2001-07-13,527.133
2001-07-16,523.105
2001-07-17,523.592
2001-07-18,522.19
2001-07-19,525.372
2001-07-20,524.229
2001-07-23,517.797
2001-07-24,513.048
2001-07-25,516.393
2001-07-26,520.279
2001-07-27,522.727
2001-07-30,522.761
2001-07-31,526.856
2001-08-01,530.697
2001-08-02,534.425
2001-08-03,531.914
2001-08-06,527.565
2001-08-07,527.74
2001-08-08,521.381
2001-08-09,518.701
2001-08-10,520.436
2001-08-13,521.13
2001-08-14,523.77
2001-08-15,524.037
2001-08-16,522.259
2001-08-17,515.964
2001-08-20,515.749
2001-08-21,514.617
2001-08-22,517.787
2001-08-23,515.099
2001-08-24,521.985
2001-08-27,521.409
2001-08-28,515.356
2001-08-29,512.085
2001-08-30,504.144
2001-08-31,504.703
2001-09-03,501.227
2001-09-04,501.838
2001-09-05,497.282
2001-09-06,488.647
2001-09-07,482.364
2001-09-10,479.402
2001-09-11,472.953
2001-09-12,468.95
2001-09-13,470.848
2001-09-14,467.651
2001-09-17,453.838
2001-09-18,451.874
2001-09-19,448.175
2001-09-20,435.037
2001-09-21,423.925
2001-09-24,437.786
2001-09-25,442.962
2001-09-26,442.097
2001-09-27,445.442
2001-09-28,455.015
2001-10-01,452.929
2001-10-02,457.077
2001-10-03,462.539
2001-10-04,467.218
2001-10-05,467.759
2001-10-08,465.485
2001-10-09,463.219
2001-10-10,470.143
2001-10-11,477.17
2001-10-12,476.592
2001-10-15,473.767
2001-10-16,477.619
2001-10-17,475.9
2001-10-18,470.108
2001-10-19,468.791
2001-10-22,473.261
2001-10-23,475.529
2001-10-24,477.086
2001-10-25,479.479
2001-10-26,482.465
2001-10-29,475.381
2001-10-30,467.571
2001-10-31,468.216
2001-11-01,475.051
2001-11-02,475.756
2001-11-05,481.633
2001-11-06,486.253
2001-11-07,485.944
2001-11-08,488.481
2001-11-09,487.322
2001-11-12,484.372
2001-11-13,490.857
2001-11-14,492.949
2001-11-15,494.435
2001-11-16,495.727
2001-11-19,500.473
2001-11-20,496.701
2001-11-21,494.122
2001-11-22,495.592
2001-11-23,497.914
2001-11-26,502.217
2001-11-27,499.494
2001-11-28,492.221
2001-11-29,494.501
2001-11-30,496.392
2001-12-03,491.899
2001-12-04,497.628
2001-12-05,508.879
2001-12-06,510.43
