Date,ACWI IMI IMI (Large+Mid+Small Cap)
1994-05-31,320.453
1994-06-30,321.039
1994-07-29,326.086
1994-08-31,336.809
1994-09-30,329.356
1994-10-31,336.49
1994-11-30,320.334
1994-12-30,323.266
1995-01-31,316.707
1995-02-28,318.54
1995-03-31,332.921
1995-04-28,343.186
1995-05-31,345.39
1995-06-30,346.223
1995-07-31,363.164
1995-08-31,356.923
1995-09-29,365.438
1995-10-31,358.091
1995-11-30,368.211
1995-12-29,378.951
1996-01-31,385.801
1996-02-29,388.923
1996-03-29,394.955
1996-04-30,407.339
1996-05-31,408.349
1996-06-28,408.506
1996-07-31,390.939
1996-08-30,396.969
1996-09-30,410.044
1996-10-31,409.362
1996-11-29,427.823
1996-12-31,422.167
1997-01-31,426.649
1997-02-28,430.984
1997-03-31,421.234
1997-04-30,429.117
1997-05-30,458.578
1997-06-30,479.843
1997-07-31,498.663
1997-08-29,469.434
1997-09-30,491.88
1997-10-31,463.041
1997-11-28,464.555
1997-12-31,468.996
1998-01-30,477.453
1998-02-27,511.277
1998-03-31,532.516
1998-04-30,537.22
1998-05-29,526.337
1998-06-30,531.759
1998-07-31,528.017
1998-08-31,450.436
1998-09-30,460.119
1998-10-30,499.599
1998-11-30,527.608
1998-12-31,552.562
1999-01-29,562.576
1999-02-26,546.576
1999-03-31,571.391
1999-04-30,600.193
1999-05-31,582.052
1999-06-30,611.786
1999-07-30,611.061
1999-08-31,612.424
1999-09-30,608.857
1999-10-29,638.173
1999-11-30,665.938
1999-12-31,722.024
2000-01-31,688.677
2000-02-29,708.248
2000-03-31,736.32
2000-04-28,691.078
2000-05-31,666.504
2000-06-30,696.566
2000-07-31,673.594
2000-08-31,704.742
2000-09-29,667.716
2000-10-31,645.976
2000-11-30,598.407
2000-12-29,611.114
2001-01-31,628.635
2001-02-28,574.488
2001-03-30,533.346
2001-04-30,573.519
2001-05-31,569.193
2001-06-29,553.615
2001-07-31,540.399
2001-08-31,517.533
2001-09-28,466.455
2001-10-31,479.923
2001-11-30,508.689
2001-12-31,515.49
2002-01-31,501.861
2002-02-28,497.842
2002-03-29,522.985
2002-04-30,511.626
2002-05-31,512.604
2002-06-28,481.403
2002-07-31,440.528
2002-08-30,441.933
2002-09-30,396.056
2002-10-31,421.979
2002-11-29,444.745
2002-12-31,424.853
2003-01-31,412.682
2003-02-28,405.42
2003-03-31,404.358
2003-04-30,439.507
2003-05-30,467.142
2003-06-30,476.402
2003-07-31,487.622
2003-08-29,500.618
2003-09-30,504.137
2003-10-31,535.445
2003-11-28,544.064
2003-12-31,575.867
2004-01-30,587.593
2004-02-27,599.208
2004-03-31,598.393
2004-04-30,582.558
2004-05-31,587.117
2004-06-30,600.055
2004-07-30,579.493
2004-08-31,582.608
2004-09-30,595.934
2004-10-29,610.409
2004-11-30,644.949
2004-12-31,670.447
2005-01-31,657.005
2005-02-28,679.629
2005-03-31,664.72
2005-04-29,648.778
2005-05-31,662.744
2005-06-30,671.443
2005-07-29,697.59
2005-08-31,702.594
2005-09-30,722.762
2005-10-31,703.371
2005-11-30,729.133
2005-12-30,747.843
2006-01-31,786.866
2006-02-28,785.441
2006-03-31,803.918
2006-04-28,829.688
2006-05-31,796.488
2006-06-30,795.177
2006-07-31,798.369
2006-08-31,818.99
2006-09-29,827.933
2006-10-31,859.556
2006-11-30,885.27
2006-12-29,904.513
2007-01-31,914.435
2007-02-28,911.22
2007-03-30,929.885
2007-04-30,970.145
2007-05-31,1000.0
2007-06-29,996.538
2007-07-31,980.641
2007-08-31,975.991
2007-09-28,1025.973
2007-10-31,1066.723
2007-11-30,1017.419
2007-12-31,1005.492
2008-01-31,922.741
2008-02-29,926.474
2008-03-31,912.295
2008-04-30,961.955
2008-05-30,979.427
2008-06-30,898.662
2008-07-31,876.144
2008-08-29,858.648
2008-09-30,749.789
2008-10-31,598.113
2008-11-28,557.665
2008-12-31,579.721
2009-01-30,530.866
2009-02-27,478.886
2009-03-31,518.655
2009-04-30,582.995
2009-05-29,641.333
2009-06-30,638.897
2009-07-31,695.484
2009-08-31,721.952
2009-09-30,756.444
2009-10-30,743.03
2009-11-30,772.269
2009-12-31,790.821
2010-01-29,758.356
2010-02-26,768.759
2010-03-31,819.584
2010-04-30,824.636
2010-05-31,746.217
2010-06-30,722.392
2010-07-30,780.744
2010-08-31,752.95
2010-09-30,826.965
2010-10-29,857.259
2010-11-30,840.858
2010-12-31,904.266
2011-01-31,917.022
2011-02-28,943.985
2011-03-31,945.129
2011-04-29,983.508
2011-05-31,962.334
2011-06-30,946.364
2011-07-29,930.688
2011-08-31,861.05
2011-09-30,777.051
2011-10-31,861.207
2011-11-30,835.367
2011-12-30,832.92
2012-01-31,883.631
2012-02-29,928.072
2012-03-30,933.996
2012-04-30,923.691
2012-05-31,840.92
2012-06-29,880.928
2012-07-31,891.28
2012-08-31,911.775
2012-09-28,941.234
2012-10-31,934.943
2012-11-30,946.647
2012-12-31,969.377
2013-01-31,1015.096
2013-02-28,1016.069
2013-03-29,1036.301
2013-04-30,1063.811
2013-05-31,1062.434
2013-06-28,1031.407
2013-07-31,1082.169
2013-08-30,1059.642
2013-09-30,1116.762
2013-10-31,1160.317
2013-11-29,1176.828
2013-12-31,1197.681
2014-01-31,1153.066
2014-02-28,1209.282
2014-03-31,1213.571
2014-04-30,1221.117
2014-05-30,1245.74
2014-06-30,1272.269
2014-07-31,1252.725
2014-08-29,1281.747
2014-09-30,1236.286
2014-10-31,1246.031
2014-11-28,1264.483
2014-12-31,1243.629
2015-01-30,1224.333
2015-02-27,1292.797
2015-03-31,1275.718
2015-04-30,1310.749
2015-05-29,1311.619
2015-06-30,1282.56
2015-07-31,1290.009
2015-08-31,1203.494
2015-09-30,1159.522
2015-10-30,1247.264
2015-11-30,1239.548
2015-12-31,1216.435
2016-01-29,1140.21
